Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP135427	5	26	0	7	48	24	4	30	1	6	0	1
SP135403	0	3	0	1	5	0	0	0	0	1	0	0
SP102557	0	10	1	3	16	9	0	3	6	4	0	7
SP106801	2	0	0	5	0	30	3	13	0	0	0	4
SP106758	5	49	0	11	32	4	6	17	1	3	1	7
SP106808	7	30	0	12	30	14	0	45	2	2	0	12
SP102617	28	1	0	6	120	0	0	0	5	5	0	1
SP102605	1	6	0	0	22	7	0	7	0	3	0	0
SP117086	0	0	0	0	2	11	0	0	0	0	0	0
SP117700	13	2	0	8	18	28	0	21	0	9	0	4
SP135339	0	80	10	10	79	34	9	16	8	11	0	12
SP135324	3	57	3	4	0	26	9	6	1	4	1	3
SP102529	10	15	0	8	56	37	2	17	7	11	1	6
SP102507	10	47	9	8	41	32	8	7	5	2	0	0
SP102485	1	0	0	2	9	17	0	1	0	7	0	8
SP117043	6	20	0	4	52	44	1	16	2	0	0	8
SP135496	6	40	0	12	30	20	0	28	0	5	0	9
SP117228	7	17	0	0	21	10	4	27	10	6	0	11
SP118044	0	0	0	1	1	0	0	3	5	1	0	0
SP117984	0	15	10	1	36	17	12	8	6	4	1	4
SP135346	8	6	0	14	33	11	2	5	6	1	2	2
SP135492	0	4	0	0	4	0	0	7	0	2	1	0
SP102573	1	0	4	12	16	7	0	7	2	1	0	4
SP135460	2	0	0	1	18	33	0	11	2	0	0	0
SP117667	1	0	0	5	7	3	0	4	2	2	0	4
SP106815	0	43	14	15	45	19	11	29	2	10	0	7
SP106734	2	0	1	3	10	10	0	20	0	2	2	0
SP117796	4	13	0	9	20	27	0	56	1	0	0	10
SP102537	4	22	0	12	73	16	1	52	1	8	0	4
SP135334	0	5	28	0	59	0	0	3	0	0	2	1
SP102517	10	19	0	17	77	13	5	7	4	6	1	8
SP117493	2	1	0	0	6	0	0	6	0	4	0	1
SP106722	3	0	0	11	40	24	2	3	6	5	0	2
SP135434	0	32	16	4	30	26	4	74	0	8	0	14
SP106753	3	0	0	5	14	0	0	7	0	0	0	0
SP102523	0	6	19	1	77	16	5	0	0	7	0	5
SP102591	7	0	0	10	32	11	0	11	0	2	0	3
SP102547	5	6	0	6	46	31	8	22	6	7	0	0
SP118043	9	32	0	5	70	31	0	26	3	0	2	15
SP135478	3	10	0	0	25	18	2	14	8	0	1	4
SP102561	1	0	0	6	4	6	0	2	5	1	0	0
SP135274	3	12	0	9	19	14	3	13	3	0	3	0
SP106797	0	45	0	6	29	18	3	28	0	0	0	9
SP135488	39	153	109	38	204	51	18	27	7	16	0	12
SP135480	0	0	5	17	11	0	0	14	0	7	1	0
SP135455	398	85	294	9	0	1	6	149	0	0	0	0
SP135389	0	39	10	21	39	24	12	27	0	15	0	0
SP102597	6	11	0	12	0	0	6	152	4	0	4	0
SP102489	3	2	0	6	11	19	0	1	5	0	0	6
SP135410	0	31	12	3	21	15	0	18	5	1	2	8
SP135372	1	11	6	2	27	0	0	6	1	1	2	5
SP117223	0	4	7	2	27	12	8	15	2	8	0	0
SP135328	4	21	0	12	11	12	1	40	5	9	0	12
SP135444	2	2	0	1	4	2	0	2	1	0	0	4
SP106750	0	1	0	0	12	12	0	20	0	5	0	8
SP102511	3	19	0	21	36	5	0	88	1	6	0	5
SP102541	8	14	0	12	38	50	6	32	6	5	0	3
