Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP111126	0	0	17	13	10	85	0	75	24	18	20	0	0
SP111146	14	0	5	44	6	62	3	26	30	31	21	0	0
SP111123	11	19	6	37	14	66	4	71	0	21	15	3	0
SP111127	51	28	10	116	18	18	2	75	0	13	29	8	1
SP111121	2	0	0	3	1	9	2	0	5	3	3	0	0
SP111156	4	4	0	33	3	65	3	54	23	10	6	6	2
SP111122	22	31	1	80	12	44	6	75	13	7	16	0	2
SP111129	23	0	9	114	4	61	4	103	45	10	15	7	0
SP111152	26	0	4	60	11	42	4	46	44	38	5	4	0
SP111154	9	10	5	104	13	79	7	71	43	30	60	18	4
SP111124	5	0	8	44	0	19	3	41	12	4	11	1	0
SP111128	12	4	0	56	3	46	1	30	0	6	11	9	2
SP111125	35	2	0	163	3	71	10	37	130	27	26	1	0
SP111130	0	0	0	40	10	24	3	23	37	5	0	1	1
SP106835	8	3	1	10	4	12	1	19	2	9	3	3	0
SP106834	1	18	0	12	9	21	0	42	13	9	30	0	0
SP106825	44	31	0	123	17	71	0	91	63	30	58	17	1
SP106841	2	4	0	5	11	7	2	29	0	12	7	0	0
SP106827	24	24	0	77	8	36	2	47	56	42	27	2	0
SP106833	6	15	0	23	4	28	1	33	0	17	26	4	0
SP106839	16	32	10	51	4	30	0	66	49	15	20	2	0
SP106840	2	17	7	16	0	19	1	54	27	8	17	2	0
SP106828	8	0	0	19	4	16	0	18	28	13	22	2	1
SP106829	36	24	0	93	9	32	2	76	0	5	32	3	1
SP106836	1	0	1	1	0	5	0	1	11	0	3	0	0
SP106837	4	0	3	13	0	21	0	22	24	1	5	2	0
SP80037	15	13	10	69	1	42	0	4	51	86	15	3	2
SP102690	12	11	0	40	6	43	0	45	25	0	32	6	8
SP80213	0	0	2	1	0	0	0	0	0	1	1	0	5
SP79939	0	0	1	1	1	4	0	0	0	0	5	2	9
SP109649	1	0	1	1	0	27	0	4	27	7	7	0	7
SP79988	4	7	0	0	6	10	0	8	0	5	23	1	0
SP80183	5	0	0	44	0	29	0	34	30	26	15	0	1
SP79971	2	31	0	30	11	17	0	56	1	16	5	12	7
SP80217	0	0	2	0	0	0	0	0	0	0	0	0	7
SP79968	9	55	14	115	11	52	2	51	35	24	15	32	9
SP80160	0	0	0	6	2	0	0	0	1	2	0	0	5
SP80244	6	5	0	3	5	6	2	24	20	14	4	0	0
SP79998	0	1	2	0	0	0	0	0	0	0	0	0	4
SP80216	2	0	12	3	10	22	0	42	0	0	4	0	0
SP80042	7	0	0	9	4	21	5	31	16	10	9	7	0
SP79907	15	5	16	41	4	56	4	83	0	27	10	3	0
SP79958	25	24	20	91	15	37	7	56	33	15	30	2	2
SP80205	13	35	10	46	3	30	1	40	0	13	22	7	4
SP80014	0	1	0	10	2	4	0	13	8	9	18	0	0
CPCT02070032T	178	160	10	231	77	76	63	63	6	46	16	37	7
CPCT02060045T	27	94	0	40	79	224	57	48	121	19	0	45	1
CPCT02020310T	105	201	10	190	34	93	43	110	49	34	51	55	5
CPCT02020323T	11376	182	1781	955	22	0	68	91	0	102	0	0	44
CPCT02140007T	34	58	14	186	32	72	73	59	93	3	0	20	2
CPCT02140011T	80	108	29	92	9	61	99	78	69	35	19	42	0
CPCT02020348T	111	135	4	74	16	46	52	70	15	22	23	7	3
CPCT02020357T	103	242	45	243	63	172	68	173	0	52	47	65	0
CPCT02020351T	25	1	0	111	13	36	42	23	246	18	18	2	6
CPCT02140020T	252	115	45	46	45	82	84	106	55	67	58	39	11
CPCT02010399T	25	48	0	102	420	199	61	200	61	12	40	48	5
CPCT02020370T	65	140	0	82	134	502	48	208	0	59	159	22	9
CPCT02140023T	37	0	7	118	19	35	134	38	98	37	16	30	7
CPCT02140022T	9177	1982	528	1988	40	236	326	0	489	0	140	224	0
CPCT02020378T	93	216	0	257	42	62	88	47	164	33	24	8	0
CPCT02010415T	67	131	0	230	150	99	131	145	6	32	34	27	3
CPCT02070021T	108	99	15	394	56	26	72	143	0	30	67	31	0
CPCT02070024T	18999	4015	2755	1824	0	0	147	0	0	125	209	29	0
CPCT02020380T	169	10	7	229	30	70	78	66	122	25	60	19	3
CPCT02070023T	85513	8412	17362	10398	0	0	705	0	3261	0	1267	55	0
CPCT02020386T	124	85	23	135	642	172	69	143	0	0	59	118	0
CPCT02020387T	73065	6212	14037	5819	0	0	40	0	0	448	0	0	923
CPCT02020388T	97	131	9	187	580	159	139	76	0	42	39	114	18
CPCT02040046T	35	94	0	312	29	30	71	17	55	34	54	28	3
CPCT02070036T	250	185	46	209	74	166	67	125	0	58	72	53	3
CPCT02070035T	80	43	10	163	26	34	28	52	0	37	10	20	1
CPCT02020394T	91	102	0	232	32	7	27	156	0	13	57	20	2
CPCT02140026T	123	47	7	279	27	27	59	66	107	68	15	29	0
CPCT02140029T	62	184	65	210	32	48	55	66	0	52	11	22	0
CPCT02140030T	188	204	39	203	40	39	58	133	122	35	44	26	0
CPCT02020656TII	32	170	20	175	43	225	55	119	10	52	55	325	13
CPCT02011011T	98	160	0	436	61	177	45	99	0	59	63	32	9
CPCT02070269T	77	151	44	164	29	47	48	72	107	63	59	34	1
CPCT02330130T	192	149	10	168	40	39	36	66	30	89	78	55	0
CPCT02070256T	62	59	32	155	444	51	104	127	0	53	21	25	5
CPCT02070425T	338	424	66	455	21	45	58	33	33	59	29	47	0
CPCT02080281T	63	40	49	137	12	51	35	59	33	31	13	37	4
CPCT02070270T	155	128	0	90	4	65	63	17	106	52	11	41	0
CPCT02390037T	106	60	10	111	30	28	66	56	57	62	37	20	17
CPCT02140098T	86	0	0	47	1327	99	157	243	463	68	118	45	9
CPCT02020888T	26	27	7	276	13	71	25	58	122	39	0	28	5
CPCT02340055T	40	75	3	181	244	71	111	99	10	18	41	0	3
CPCT02070430T	153	211	12	210	22	59	35	136	64	48	23	37	1
CPCT02050418T	145	86	41	152	21	24	54	9	94	31	27	23	0
CPCT02340108T	49	37	0	148	14	7	37	103	60	19	79	25	6
CPCT02100137T	45	48	0	218	15	24	96	51	106	19	32	41	37
CPCT02070433T	46	172	0	297	41	81	40	61	56	14	43	35	7
