Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP107468	1.80E+00	3.77E-01	2.57E-01	5.65E-01	8.53E-01	0.00E+00	2.04E+00
SP78851	7.79E+00	9.00E-01	8.64E-01	1.04E+00	2.19E+00	4.48E-01	7.51E+00
SP78726	1.09E+00	5.66E-01	2.65E-01	7.52E-02	1.01E+00	0.00E+00	1.43E+00
SP107379	5.30E+00	1.38E+00	1.33E+00	1.06E+00	1.64E+00	6.12E-01	4.84E+00
SP107474	2.10E+00	4.91E-01	2.29E-01	4.87E-01	7.86E-01	0.00E+00	2.16E+00
SP107438	1.29E+00	3.37E-01	1.86E-01	5.56E-01	9.91E-01	0.00E+00	1.54E+00
SP107478	2.98E+00	3.75E-01	3.33E-01	4.12E-01	8.26E-01	0.00E+00	3.00E+00
SP78716	5.76E+00	1.03E+00	7.89E-01	6.32E-01	1.63E+00	0.00E+00	5.72E+00
SP78676	1.88E+00	7.85E-01	4.50E-01	0.00E+00	7.80E-01	0.00E+00	1.91E+00
SP107443	3.85E-01	0.00E+00	1.17E-01	2.22E-01	3.97E-01	7.34E-02	5.65E-01
SP107361	5.41E+00	1.36E+00	1.28E+00	7.16E-01	1.90E+00	5.35E-01	5.02E+00
SP107464	5.24E+00	1.06E+00	9.19E-01	9.88E-01	1.41E+00	6.24E-02	5.29E+00
SP78717	3.69E-01	3.92E-01	1.99E-01	2.69E-01	2.85E-01	3.00E-02	4.95E-01
SP78671	1.93E+00	3.04E-01	5.22E-01	5.44E-01	8.84E-01	0.00E+00	2.08E+00
SP78817	8.12E-01	3.79E-01	2.75E-01	3.93E-01	4.23E-01	0.00E+00	8.99E-01
SP107381	3.46E+00	1.10E+00	7.66E-01	9.40E-01	1.30E+00	0.00E+00	3.16E+00
SP107463	3.19E+00	1.15E+00	8.67E-01	7.64E-01	1.53E+00	1.41E-02	3.08E+00
SP107477	2.43E+00	4.34E-01	3.91E-01	3.74E-01	8.98E-01	0.00E+00	2.53E+00
SP78661	2.18E+00	7.71E-01	6.32E-01	7.14E-01	8.95E-01	4.86E-01	2.26E+00
SP78939	1.42E+00	4.22E-01	2.70E-01	3.58E-01	7.75E-01	0.00E+00	1.56E+00
SP78674	6.01E+00	6.95E-01	4.78E-01	7.10E-01	1.12E+00	0.00E+00	6.18E+00
