Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02020399T	682	236	39	25	401	2	62	168	22	10	46	43	234	34	44	1	24	0
CPCT02140024T	3652	599	51	782	633	62	69	0	64	16	22	0	28	0	15	107	0	0
CPCT02080050T	19	1	30	4	49	66	60	17	13	11	0	62	33	4	0	0	5	8
CPCT02030293T	30	16	14	12	131	18	40	38	29	17	10	1	19	8	8	0	9	19
CPCT02010441T	64702	1186	186	8003	1426	0	40	49	110	0	4	0	1073	86	32	0	22	0
CPCT02090030T	284	211	19	10	80	13	73	12	36	3	32	67	0	25	7	4	6	39
CPCT02010718T	72	312	5	13	19	50	84	13	20	12	3	22	8	43	16	19	6	0
CPCT02020653T	20	84	26	6	0	109	94	12	9	8	16	58	3	15	7	0	1	31
CPCT02340008TII	27	65	5	8	51	10	111	10	7	8	8	21	12	32	12	0	6	0
CPCT02020876T	14	13	12	10	2	23	12	9	7	28	27	58	10	5	8	4	0	17
CPCT02370016T	35	78	31	14	0	21	81	61	9	0	64	100	42	7	9	16	12	5
CPCT02070275T	29	218	0	25	134	33	79	24	6	12	13	7	13	42	6	0	9	0
CPCT02011028T	303	110	13	35	62	138	19	50	31	21	49	107	31	25	17	18	23	22
CPCT02230072T	21426	4094	145	6158	1977	973	103	1092	314	782	0	949	0	926	327	0	0	0
CPCT02130028T	138	224	0	9	7	18	92	31	19	11	9	20	5	59	10	11	0	0
CPCT02060182T	11	9	11	1	3	0	39	14	5	11	11	12	11	20	4	11	0	3
CPCT02020657T	0	32	5	1	21	36	84	20	12	6	0	32	8	0	7	8	9	5
DRUP01090026T	10	38	18	0	14	22	15	19	15	14	19	19	32	26	2	28	9	14
CPCT02130029T	1	1	16	0	3	4	40	9	0	1	6	0	15	23	4	14	1	12
CPCT02340010TII	212	93	1	25	0	0	163	5	1841	13	100	32	19	30	13	222	7	0
DRUP01020022T	7	26	19	5	0	56	13	13	8	22	2	0	17	49	4	13	9	2
CPCT02120103T	27	231	0	9	17	4	68	11	16	15	64	49	22	0	7	42	8	32
CPCT02300030T	57	212	12	27	58	39	78	16	5	15	20	65	23	0	6	0	6	2
CPCT02150044T	12	53	9	6	0	29	8	13	9	7	8	53	17	23	10	8	1	10
CPCT02020920T	7	12	19	2	0	66	28	31	8	7	33	7	37	7	13	3	18	47
CPCT02080192T	10	130	23	6	74	11	110	23	17	11	16	0	23	37	7	0	14	20
CPCT02130170T	77	38	63	25	17	20	23	62	1004	10	36	0	114	5	19	0	0	34
CPCT02260014T	851	638	21	23	48	44	51	21	35	16	7	123	87	64	130	50	18	102
CPCT02020922T	1	21	1	0	0	36	12	0	5	62	9	42	16	0	6	4	5	23
CPCT02011072T	10	28	14	6	5	36	6	6	10	1	6	7	9	14	10	4	0	1
CPCT02010758T	0	25	21	0	13	78	94	21	17	18	60	0	51	25	8	3	8	0
WIDE01010006T	0	10	1	6	0	12	17	6	4	8	0	0	2	19	11	12	10	15
CPCT02040220T	14	116	10	0	0	82	56	3	20	11	47	28	11	24	13	0	12	3
CPCT02100157T	210	316	12	28	119	62	71	26	44	10	10	11	9	58	8	68	13	3
CPCT02230088T	173	39	5043	80	0	67	144	833	119	896	47	874	175	0	147	0	18	0
CPCT02130178T	10	25	15	1	0	68	13	23	23	37	21	8	12	12	6	29	1	21
WIDE01010017T	55	87	31	14	57	30	19	39	21	24	45	0	6	50	8	38	23	26
WIDE01010025T	8	23	2	7	0	0	22	27	9	10	9	23	29	26	7	13	1	1
WIDE01010028T	184	129	31	57	31	189	21	102	70	33	124	0	76	67	20	79	58	86
WIDE01010012T	66	116	0	6	0	127	67	37	8	23	574	0	48	0	12	3	11	14
WIDE01010031T	513	544	133	0	188	20	36	0	30	24	34	5	167	52	447	0	50	0
CPCT02020956T	3	12	12	0	6	23	13	0	0	12	0	28	0	3	10	1	11	18
CPCT02010774T	2	34	18	13	0	59	21	13	2	9	25	3	38	37	0	0	0	5
CPCT02010756T	10	1	11	0	3	12	67	15	0	9	13	28	12	17	6	36	11	6
WIDE01010045T	13	43	2	0	24	170	29	31	11	10	32	0	14	0	12	0	14	1
CPCT02080204T	6	10	18	0	0	30	41	5	5	25	0	44	0	0	4	25	13	10
WIDE01010037T	623	773	30	32	334	0	22	56	51	33	19	61	25	70	57	29	44	66
WIDE01010056T	170	351	0	35	58	49	28	25	31	23	23	56	10	65	18	26	49	0
CPCT02070298T	192	271	20	13	72	3	18	25	21	14	23	36	17	30	12	17	18	0
WIDE01010594T	11	84	11	5	0	47	22	21	25	16	4	0	50	14	8	8	11	6
WIDE01010078T	3	6	36	2	13	286	21	83	23	23	112	27	42	0	12	11	18	37
CPCT02130054T	37	126	36	8	0	36	73	14	23	18	4	0	33	61	0	36	11	21
CPCT02040228T	12	68	1	21	20	32	56	9	8	8	11	36	6	24	12	13	4	16
WIDE01010051T	12	39	15	1	3	12	12	32	44	6	12	88	15	72	32	27	9	7
CPCT02050319T	7	0	0	0	5	0	94	25	41	23	6	0	20	8	2	35	15	8
CPCT02020689T	5	86	11	5	0	114	95	2	4	19	51	0	29	9	4	11	17	39
WIDE01010043T	20	17	8	16	58	48	7	24	10	16	35	5	36	25	4	5	4	1
WIDE01010112T	218	160	31	13	114	195	23	42	33	5	82	109	8	22	13	0	22	36
WIDE01010092T	16	70	6	8	0	14	13	6	4	14	13	19	16	41	11	5	0	22
WIDE01010119T	97	121	20	0	40	26	10	21	51	20	27	55	15	16	20	65	2	32
CPCT02170022T	6	64	3	0	0	17	98	19	14	14	19	29	6	18	2	12	1	11
WIDE01010120T	2	25	22	9	0	30	10	7	5	5	18	1	4	35	2	9	9	13
WIDE01010127T	266	233	3238	213	79	76	31	376	72	630	121	259	7	2	77	4	12	0
CPCT02300036T	69	369	61	12	34	74	44	40	14	41	62	0	69	27	6	34	9	43
WIDE01010146T	9	17	25	0	0	105	5	19	0	18	26	14	17	0	6	15	0	22
CPCT02070309T	11	23	18	0	23	42	61	24	6	9	30	18	48	12	6	13	10	0
WIDE01010157T	93	142	1407	51	31	135	9	175	31	335	55	5	127	68	36	24	31	21
WIDE01010170T	66	79	11	0	0	8	9	13	6	22	23	16	7	42	6	20	2	21
CPCT02020696T	7	22	40	0	16	92	74	0	2	17	1	19	13	0	4	3	1	17
CPCT02030471T	6	50	7	0	10	40	200	8	15	9	6	13	12	33	2	43	8	0
CPCT02130032T	6	17	17	0	0	76	112	22	15	12	0	3	38	5	4	26	13	1
CPCT02070310T	482	421	0	11	235	85	63	52	5	13	34	13	58	105	565	6	20	0
WIDE01010164T	61	88	28	32	59	52	32	83	0	50	102	63	71	8	47	0	16	4
WIDE01010190T	8	32	22	10	0	6	16	28	0	10	2	56	25	8	5	0	9	11
WIDE01010182T	310	298	65	26	53	291	10	84	45	29	72	0	95	88	55	21	13	20
DRUP01050040TII	606	477	0	12	51	25	0	257	10	41	8	7	0	268	59	5	13	0
WIDE01010225T	100	110	8	12	63	0	39	61	13	2	11	66	70	38	7	0	0	0
CPCT02050348T	33	34	21	6	15	28	34	97	0	20	35	0	44	14	4	19	5	19
WIDE01010275T	26	53	46	0	104	276	14	35	17	10	58	0	15	24	12	8	21	19
CPCT02010810T	14	57	17	14	0	1	42	6	9	8	13	0	35	21	6	14	5	17
CPCT02060206T	62	104	2818	86	7	61	170	350	13	455	54	211	65	25	74	0	19	14
WIDE01010284T	12	58	9	2	9	0	13	16	4	13	1	29	9	25	2	0	9	10
WIDE01010330T	7	30	4	5	34	26	1	17	6	12	8	38	10	22	2	8	0	0
WIDE01010312T	114	71	2762	98	24	169	14	181	45	582	59	0	66	115	67	14	7	0
WIDE01010317T	221	184	38	29	119	77	54	77	16	51	663	64	34	58	42	2	4	16
WIDE01010337T	46	294	283	18	0	60	47	34	3	67	54	66	82	8	27	50	0	27
CPCT02220043T	429	413	34	0	190	31	98	130	15	437	56	8	199	90	165	0	24	40
CPCT02130094T	64	349	35	20	82	350	39	33	31	18	105	8	50	34	18	5	22	46
WIDE01010329T	247	232	1551	112	153	73	47	71	18	166	233	42	152	98	48	24	25	0
WIDE01010331T	10	33	1	1	41	48	16	5	6	13	0	34	2	13	12	15	4	1
CPCT02010828T	60	162	697	63	28	27	62	60	15	56	48	108	57	24	13	0	15	19
WIDE01010101T	85	315	1463	47	32	84	38	209	48	352	49	62	56	0	50	4	15	23
WIDE01010349T	1	25	19	8	0	34	22	37	0	16	23	38	22	0	6	0	6	22
WIDE01010342T	17	159	31	0	5	49	15	4	14	17	11	21	20	32	12	9	5	8
WIDE01010359T	3	13	16	13	3	10	19	5	7	12	5	3	14	16	6	25	5	6
WIDE01010370T	10	0	13	0	0	66	15	25	15	22	24	22	35	3	5	4	1	7
WIDE01010369T	8	230	11	6	55	25	24	0	17	17	22	54	14	0	4	0	4	27
CPCT02340084T	95	155	253	44	39	110	10	34	5	56	16	42	57	67	10	1	0	23
DRUP01030015T	49	173	73	30	115	15	25	27	26	417	27	0	13	7	12	0	12	12
CPCT02060236T	8	46	10	4	13	25	79	19	11	17	5	21	0	15	4	21	4	18
CPCT02120125T	45	86	1236	34	0	43	30	173	15	293	5	150	25	13	34	46	13	3
CPCT02230098T	2038	192	0	89	0	8	36	29	31	0	2	29	0	180	16	12	20	0
DRUP01090015T	0	0	15	6	0	33	44	5	20	11	2	0	0	29	10	1	4	21
WIDE01010401T	38	53	16	12	0	75	20	52	44	7	31	23	62	27	2	38	3	24
CPCT02230105T	9	7	27	0	0	28	48	13	2	0	11	49	0	24	6	4	0	4
CPCT02080223T	32	35	21	0	64	61	92	37	13	8	460	0	52	71	9	2	21	11
CPCT02020730T	14	45	61	0	0	257	80	73	9	1	17	159	60	0	4	2	13	0
