COSMIC_83	Koh_476
INS:C:1:5+	G[Ins(C):R5]A
INS:repeats:5+:0	Ins(5,):U2:R3
DEL:C:1:5+	G[Del(C):R14]G
INS:repeats:5+:1	Ins(5,):U(3,):R2
INS:C:1:5+	T[Ins(C):R9]A
INS:repeats:4:1	Ins(2,4):M
DEL:repeats:3:2	Del3:U1:R(5,9)
DEL:repeats:4:1	Del4:U1:R(5,9)
INS:T:1:5+	G[Ins(T):R14]C
INS:C:1:5+	G[Ins(C):R9]G
INS:C:1:1	T[Ins(C):R1]G
DEL:repeats:2:4	Del2:U1:R(5,9)
INS:T:1:5+	A[Ins(T):R14]C
INS:C:1:5+	A[Ins(C):R10]T
DEL:C:1:5+	A[Del(C):R14]A
DEL:C:1:5+	T[Del(C):R6]A
INS:repeats:4:1	Ins4:U1:R(5,9)
INS:C:1:5+	G[Ins(C):R9]T
INS:C:1:4	T[Ins(C):R4]G
INS:repeats:3:3	Ins3:U1:R(5,9)
INS:C:1:3	G[Ins(C):R3]T
DEL:MH:5+:5+	Del(7,):M3
DEL:C:1:5+	T[Del(C):R11]T
INS:repeats:4:0	Ins4:U1:R2
DEL:MH:4:2	Del4:U2:R3
INS:C:1:5+	A[Ins(C):R7]G
INS:C:1:5+	A[Ins(C):R9]G
INS:repeats:4:2	Ins4:U2:R(5,9)
INS:C:1:5+	A[Ins(C):R8]G
INS:C:1:5+	A[Ins(C):R6]T
INS:T:1:5+	G[Ins(T):R14]G
DEL:repeats:3:1	Del3:U1:R(5,9)
DEL:repeats:5+:1	Del5:M3
INS:C:1:4	A[Ins(C):R4]G
DEL:MH:5+:5+	Del(6,):U2:R(4,9)
INS:C:1:5+	T[Ins(C):R5]G
DEL:C:1:5+	T[Del(C):R7]T
INS:repeats:5+:1	Ins(5,):U(3,):R4
INS:C:1:4	G[Ins(C):R4]A
INS:C:1:5+	A[Ins(C):R5]A
DEL:C:1:5+	G[Del(C):R7]T
DEL:C:1:5+	T[Del(C):R6]G
INS:C:1:2	A[Ins(C):R2]G
DEL:C:1:5+	T[Del(C):R7]G
INS:repeats:5+:0	Ins(5,):U1:R4
INS:C:1:5+	T[Ins(C):R8]G
INS:C:1:5+	A[Ins(C):R6]A
DEL:C:1:5+	T[Del(C):R11]A
DEL:C:1:5+	T[Del(C):R13]A
DEL:C:1:5+	G[Del(C):R11]G
DEL:repeats:5+:1	Del(6,):U1:R(7,9)
INS:repeats:4:0	Ins4:U2:R1
DEL:C:1:5+	A[Del(C):R11]G
INS:C:1:5+	A[Ins(C):R11]A
INS:C:1:5+	G[Ins(C):R11]T
DEL:C:1:5+	T[Del(C):R10]T
DEL:C:1:5+	G[Del(C):R12]A
INS:C:1:5+	T[Ins(C):R10]A
INS:C:1:5+	A[Ins(C):R12]A
INS:C:1:5+	G[Ins(C):R8]G
INS:repeats:5+:0	Ins(5,):U(3,):R1
INS:repeats:5+:0	Ins(5,):U1:R3
INS:repeats:4:1	Ins4:U1:R4
DEL:C:1:5+	G[Del(C):R9]G
DEL:C:1:5+	T[Del(C):R12]T
INS:repeats:4:0	Ins4:U1:R0
DEL:C:1:5+	A[Del(C):R12]G
INS:C:1:5+	A[Ins(C):R11]T
DEL:MH:5+:4	Del(6,):U1:R(7,9)
INS:C:1:5+	T[Ins(C):R12]T
DEL:C:1:5+	G[Del(C):R13]A
INS:repeats:3:4	Ins3:U3:R4
DEL:C:1:5+	G[Del(C):R12]T
DEL:C:1:5+	A[Del(C):R12]T
DEL:C:1:5+	T[Del(C):R9]T
DEL:C:1:5+	T[Del(C):R9]G
DEL:C:1:5+	T[Del(C):R13]T
INS:repeats:5+:0	Ins(5,):U(3,):R4
INS:C:1:5+	T[Ins(C):R6]G
DEL:C:1:5+	A[Del(C):R13]A
DEL:MH:5+:5+	Del6:M3
DEL:repeats:5+:4	Del(6,):U3:R(3,9)
INS:C:1:5+	G[Ins(C):R12]A
DEL:repeats:5+:1	Del(7,):M4
DEL:repeats:5+:1	Del6:M4
DEL:C:1:5+	G[Del(C):R8]T
INS:C:1:5+	T[Ins(C):R11]G
INS:repeats:5+:2	Ins(5,):U1:R(5,9)
INS:C:1:5+	T[Ins(C):R11]A
DEL:MH:5+:3	Del5:U1:R(5,9)
INS:C:1:5+	G[Ins(C):R11]A
INS:C:1:5+	T[Ins(C):R12]A
INS:repeats:5+:0	Ins(5,):U2:R2
DEL:C:1:5+	A[Del(C):R13]T
DEL:C:1:5+	A[Del(C):R14]G
DEL:C:1:5+	T[Del(C):R10]G
DEL:MH:5+:4	Del5:U1:R(5,9)
DEL:C:1:5+	T[Del(C):R11]G
DEL:MH:5+:5+	Del(6,):U3:R(3,9)
INS:repeats:5+:0	Ins(5,):U(3,):R2
INS:repeats:3:1	Ins3:U1:R4
DEL:repeats:5+:1	Del6:M5
DEL:MH:5+:3	Del(6,):U1:R(7,9)
DEL:C:1:5+	A[Del(C):R8]G
DEL:MH:5+:1	Del5:U1:R(5,9)
DEL:C:1:5+	A[Del(C):R13]G
INS:C:1:5+	T[Ins(C):R12]G
DEL:C:1:5+	T[Del(C):R8]G
DEL:C:1:5+	A[Del(C):R9]T
INS:C:1:5+	A[Ins(C):R5]G
DEL:C:1:5+	G[Del(C):R14]A
DEL:MH:5+:3	Del(6,):U3:R(3,9)
DEL:C:1:5+	T[Del(C):R13]G
INS:C:1:5+	A[Ins(C):R11]G
INS:repeats:4:3	Ins4:U1:R(5,9)
DEL:MH:5+:4	Del6:M3
DEL:C:1:5+	G[Del(C):R13]G
DEL:C:1:5+	T[Del(C):R14]A
DEL:C:1:5+	T[Del(C):R12]G
INS:C:1:5+	T[Ins(C):R11]T
INS:C:1:5+	G[Ins(C):R13]A
INS:C:1:5+	G[Ins(C):R13]T
DEL:MH:5+:5+	Del(6,):U1:R(7,9)
INS:C:1:5+	A[Ins(C):R12]G
INS:repeats:5+:0	Ins(5,):U2:R4
DEL:MH:5+:2	Del(6,):U1:R(7,9)
DEL:MH:5+:4	Del5:M3
INS:C:1:5+	A[Ins(C):R13]G
DEL:C:1:5+	T[Del(C):R14]G
DEL:C:1:5+	G[Del(C):R13]T
INS:C:1:5+	A[Ins(C):R13]A
INS:C:1:5+	G[Ins(C):R13]G
DEL:repeats:5+:2	Del(6,):U1:R(7,9)
INS:C:1:5+	G[Ins(C):R15]A
DEL:repeats:5+:2	Del5:U1:R(5,9)
DEL:repeats:4:3	Del4:U1:R(5,9)
DEL:repeats:5+:3	Del5:U1:R(5,9)
DEL:repeats:3:4	Del3:U1:R(5,9)
DEL:T:1:5+	C[Del(T):R15]A
DEL:T:1:5+	A[Del(T):R15]G
DEL:T:1:5+	A[Del(T):R15]A
DEL:T:1:5+	A[Del(T):R15]C
