Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID10	ID11	ID13	ID14	ID18	ID19	ID25
CPCT02120168T	115	36	0	0	0	0	105	102	0	0	0	0	0	84	0
CPCT02440016T	226	114	166	0	0	0	132	0	0	0	0	0	0	306	0
CPCT02010935T	215	141	170	0	0	0	139	118	0	0	0	0	0	134	0
CPCT02010963T	357	248	233	0	0	0	157	0	0	0	0	0	0	170	0
CPCT02070401T	201	179	164	0	0	0	0	0	0	0	0	0	0	153	0
CPCT02230056T	2449	3460	0	0	0	0	1411	0	0	0	0	0	0	0	0
CPCT02040169T	1594	11466	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02020859T	54	86	0	0	0	0	105	80	0	0	0	0	0	162	0
CPCT02020633TII	199	259	357	0	0	0	190	0	0	0	0	0	0	205	0
CPCT02020621TII	224	74	444	0	0	0	165	0	0	0	92	0	0	194	0
CPCT02020586T	167	314	292	0	290	0	0	0	0	0	0	0	0	154	0
CPCT02070237T	556	1098	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02080273T	19106	77957	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02070410T	649	378	0	0	0	459	521	0	0	0	0	0	0	330	0
CPCT02020600T	388	623	689	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02010963TII	391	320	411	0	0	0	0	0	0	0	0	334	0	0	0
CPCT02120056T	335	157	171	0	0	0	107	0	0	0	0	0	0	164	0
CPCT02020840T	216	59	167	0	171	0	0	0	0	0	0	0	0	0	0
CPCT02040164T	763	821	0	0	0	0	803	0	0	0	0	0	0	0	0
CPCT02070244T	243	0	211	0	659	0	230	0	0	0	0	0	0	0	0
CPCT02020619T	348	176	0	0	260	174	162	0	0	0	0	0	0	247	0
CPCT02020633T	147	137	172	0	177	0	0	0	0	0	0	0	0	101	0
CPCT02010663T	165	226	0	0	0	0	373	199	0	0	0	0	0	180	0
CPCT02020614T	508	558	427	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02290020T	306	145	0	0	0	0	108	0	0	0	0	0	0	178	0
CPCT02020632T	614	650	0	0	0	0	0	0	0	0	0	0	0	375	0
CPCT02050103T	405	104	189	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02100072T	320	118	0	0	0	0	0	146	0	0	0	0	0	0	0
CPCT02100076T	170	110	479	0	436	0	277	0	0	0	0	0	0	0	0
CPCT02100077T	132	123	104	0	0	0	105	0	0	0	0	0	0	0	0
CPCT02070154T	321	150	0	0	303	0	619	0	0	0	0	0	0	182	0
CPCT02330034T	224	0	374	935	0	0	257	0	0	0	0	0	0	0	0
CPCT02070156T	388	734	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02070162T	273	232	0	0	0	0	0	104	0	0	0	0	0	119	0
CPCT02070172T	70	52	110	0	130	79	176	0	0	0	0	0	0	0	0
CPCT02070188T	466	324	0	0	0	0	343	0	0	0	0	0	0	0	0
CPCT02270003T	312	95	149	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02160026T	141	114	290	0	215	0	233	0	0	0	0	0	0	0	0
CPCT02070149T	138	230	0	0	249	380	0	0	0	0	0	0	0	0	0
CPCT02080119T	397	654	0	0	0	0	0	255	0	0	0	0	0	0	0
CPCT02110041T	1112	1119	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02050216T	315	127	0	0	0	0	0	0	0	0	0	0	0	182	0
CPCT02070194T	126	87	86	0	0	0	77	0	0	0	43	0	0	134	0
CPCT02330046T	139	59	137	0	0	0	190	0	0	0	0	0	0	203	0
CPCT02070204T	331	298	0	0	409	0	855	0	0	0	0	0	0	243	0
CPCT02120020T	538	409	0	0	0	0	232	0	0	0	0	0	0	299	0
CPCT02260007T	177	0	0	0	0	0	80	0	0	0	0	0	0	131	0
CPCT02020583T	1214	644	0	0	0	0	0	470	0	0	0	0	0	0	0
CPCT02070041T	2903	11418	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02070043T	392	180	200	0	328	0	360	0	0	0	0	0	0	0	0
CPCT02050086T	197	123	0	0	0	0	0	0	0	0	0	0	0	113	0
CPCT02070044T	110	51	0	0	0	0	69	58	0	0	0	0	0	89	0
CPCT02220005T	237	289	251	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02070057T	662	1003	0	0	0	0	0	496	0	0	0	0	0	0	0
CPCT02330015T	405	439	0	0	385	0	215	0	0	0	0	0	0	0	0
CPCT02140037T	232	74	222	0	0	0	100	0	0	0	0	0	0	103	0
CPCT02070096T	402	161	400	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02040064T	76	39	0	70	0	0	62	62	0	0	0	0	0	83	0
CPCT02070094T	304	195	471	0	0	0	179	0	0	0	0	0	0	0	0
CPCT02070102T	163	216	0	0	286	0	0	0	0	0	0	0	0	0	0
CPCT02050124T	770	271	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02060073T	43	23	0	0	0	0	50	0	0	0	0	0	0	76	0
CPCT02060082T	564	426	0	0	0	0	0	369	0	0	0	262	0	0	0
CPCT02040105T	205	110	319	0	0	0	0	0	0	0	0	0	112	97	0
CPCT02010665T	0	0	0	0	0	901	319	0	0	0	0	0	0	235	0
CPCT02020629T	303	214	0	0	0	137	145	0	0	0	0	0	0	139	0
CPCT02080164T	190	0	0	0	0	909	461	0	0	0	0	0	0	361	0
CPCT02120080T	287	377	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02050289T	156	190	0	0	0	0	375	0	0	0	0	0	0	219	0
CPCT02050297T	284	139	177	0	0	0	0	0	0	0	0	0	0	136	0
WIDE01010621T	133	89	335	0	326	0	0	0	0	0	0	0	0	0	0
WIDE01010461T	273	82	249	0	206	0	0	0	0	0	0	0	0	0	0
CPCT02120204T	600	278	427	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02120206T	347	78	0	0	203	0	0	0	0	0	0	0	0	0	0
WIDE01010518T	532	239	0	0	494	0	424	0	0	0	0	0	0	0	0
CPCT02020991T	391	582	0	0	0	0	0	0	0	0	0	325	0	254	0
WIDE01010609T	166	191	388	0	297	0	318	0	0	0	0	0	0	0	0
CPCT02020993T	381	176	0	0	0	0	0	0	0	0	0	0	0	0	0
WIDE01010723T	340	265	0	0	0	0	236	248	0	0	0	0	0	199	0
