Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP78013	7.61E+00	5.85E+00	9.39E+00	7.62E-01	1.49E+00	1.59E+00	6.33E+00	2.07E+00	1.32E+00	0.00E+00	4.95E-01	7.87E-01	7.92E-01
SP118083	1.47E+00	2.10E+00	2.11E+00	1.27E+00	3.76E+00	3.82E+00	2.93E+00	9.45E-01	2.35E+00	3.73E-01	4.76E-01	7.71E-01	1.10E+00
SP125772	7.08E-01	2.25E+00	1.43E+00	3.05E-01	1.06E+00	1.07E+00	2.30E+00	1.30E+00	9.64E-01	2.76E-01	2.26E-01	4.20E-01	4.72E-01
SP117216	4.56E+00	3.56E+00	5.29E+00	5.25E-01	2.02E+00	1.53E+00	4.02E+00	8.66E-01	1.54E+00	0.00E+00	5.01E-01	1.78E-01	1.17E+00
SP125784	2.52E+00	1.94E+00	2.76E+00	7.51E-01	1.92E+00	1.37E+00	2.70E+00	1.35E+00	1.24E+00	2.32E-01	2.82E-01	1.13E+00	9.01E-01
SP117323	5.32E+00	4.90E+00	6.59E+00	8.88E-01	3.18E+00	2.93E+00	5.59E+00	1.17E+00	2.16E+00	3.42E-01	5.30E-01	1.56E+00	1.05E+00
SP118046	4.91E+00	5.61E+00	6.82E+00	5.27E-01	1.85E+00	1.80E+00	6.11E+00	1.97E+00	1.29E+00	1.69E-01	4.67E-01	8.43E-01	1.01E+00
SP77888	5.17E-01	1.43E+00	8.34E-01	5.05E-01	1.59E+00	1.81E+00	1.82E+00	3.17E-01	5.53E-01	0.00E+00	2.22E-01	2.40E-01	7.41E-01
SP125766	3.02E+00	3.51E+00	3.96E+00	2.01E-01	1.27E+00	1.15E+00	4.54E+00	1.04E+00	1.51E+00	2.20E-01	4.05E-01	1.09E+00	2.24E+00
SP125737	2.22E+00	2.97E+00	3.39E+00	1.11E+00	2.39E+00	2.31E+00	3.26E+00	9.75E-01	1.34E+00	3.65E-01	5.15E-01	9.86E-01	1.01E+00
SP125763	5.82E+00	8.35E+00	9.01E+00	9.75E-01	2.40E+00	1.86E+00	9.20E+00	3.31E+00	1.67E+00	1.04E+00	4.89E-01	1.77E+00	1.21E+00
SP125802	3.02E+00	2.67E+00	3.70E+00	5.39E-01	1.63E+00	1.46E+00	2.65E+00	1.89E+00	1.09E+00	0.00E+00	3.14E-01	1.01E+00	8.03E-01
SP117656	2.12E+00	2.45E+00	2.48E+00	2.05E+00	2.63E+00	3.56E+00	3.15E+00	5.33E-01	1.23E+00	0.00E+00	4.92E-01	5.76E-01	1.66E+00
SP77872	4.72E-01	1.05E+00	7.79E-01	1.86E-01	8.11E-01	8.86E-01	1.13E+00	1.07E-01	8.85E-01	0.00E+00	3.99E-01	3.50E-01	8.94E-01
SP117309	4.06E+00	6.84E+00	6.09E+00	5.66E-01	1.42E+00	2.21E+00	7.67E+00	2.89E+00	1.96E+00	2.72E-01	5.53E-01	3.00E-01	4.90E-01
SP117201	6.48E+00	5.09E+00	7.63E+00	8.59E-01	2.00E+00	2.10E+00	5.49E+00	2.34E+00	1.37E+00	1.86E-01	6.27E-01	4.80E-01	1.07E+00
SP125685	1.86E+00	2.75E+00	2.75E+00	5.68E-01	1.40E+00	1.34E+00	2.43E+00	4.58E-01	1.41E+00	0.00E+00	4.85E-01	1.04E+00	9.92E-01
SP117463	8.09E+00	3.82E+00	9.90E+00	5.00E-01	1.52E+00	1.48E+00	3.94E+00	2.10E+00	1.38E+00	0.00E+00	3.39E-01	7.35E-01	9.88E-01
SP117568	4.31E+00	3.84E+00	5.66E+00	8.09E-01	2.87E+00	2.63E+00	3.93E+00	1.30E+00	1.73E+00	2.26E-01	4.93E-01	9.15E-01	1.08E+00
SP125717	4.97E+00	3.21E+00	6.44E+00	4.69E-01	1.60E+00	1.59E+00	3.87E+00	1.05E+00	1.27E+00	7.22E-01	3.49E-01	1.00E+00	8.18E-01
SP125707	0.00E+00	0.00E+00	7.39E-02	2.21E-01	7.75E-02	9.85E-02	2.45E-01	0.00E+00	9.14E-02	3.31E-01	8.29E-02	5.23E-01	2.31E-01
SP125794	2.54E+00	4.90E+00	3.97E+00	2.85E-01	1.40E+00	1.56E+00	5.61E+00	1.31E+00	1.33E+00	4.43E-01	5.25E-01	8.61E-01	1.04E+00
SP125756	7.98E+00	4.13E+00	9.27E+00	5.43E+00	2.81E+00	5.44E+00	5.73E+00	8.05E-01	1.42E+00	1.10E+00	4.40E-01	1.44E+00	4.49E+00
SP117441	2.66E+00	4.82E+00	4.63E+00	4.45E-01	1.76E+00	2.10E+00	5.17E+00	1.41E+00	1.46E+00	5.84E-01	3.31E-01	5.80E-01	1.29E+00
SP125780	4.04E+00	4.18E+00	5.43E+00	6.32E-01	1.87E+00	1.83E+00	4.18E+00	1.92E+00	1.19E+00	3.60E-01	0.00E+00	1.23E+00	9.91E-01
SP125764	6.65E+00	5.57E+00	8.29E+00	7.25E+00	2.71E+00	3.87E+00	5.73E+00	2.64E+00	1.84E+00	7.54E-01	5.26E-01	6.95E-01	5.85E+00
SP117690	2.53E+00	2.57E+00	3.46E+00	4.69E-01	1.50E+00	2.08E+00	2.72E+00	1.50E+00	1.23E+00	3.03E-01	1.56E-01	4.47E-01	6.08E-01
SP125742	1.08E+00	3.45E+00	1.46E+00	1.65E+00	4.13E+00	6.84E+00	5.15E+00	7.40E-01	3.67E+00	4.37E-01	4.48E-01	1.10E+00	1.66E+00
SP125804	2.63E+00	5.28E+00	3.09E+00	8.58E+00	3.41E+00	9.67E+00	7.55E+00	1.80E+00	6.36E-01	9.41E-01	7.58E-01	1.32E+00	6.80E+00
SP125695	1.60E+00	1.99E+00	2.16E+00	7.66E-01	1.40E+00	1.48E+00	1.91E+00	9.46E-01	1.35E+00	2.03E-01	4.17E-01	1.06E+00	6.47E-01
SP77986	5.22E-01	9.26E-01	7.32E-01	4.67E-01	9.57E-01	9.15E-01	1.23E+00	3.04E-01	7.50E-01	2.52E-01	1.61E-01	3.23E-01	2.38E-01
SP125689	4.09E+00	7.80E+00	6.35E+00	1.11E+00	3.17E+00	3.48E+00	8.63E+00	2.88E+00	2.11E+00	2.49E-01	6.71E-01	1.47E+00	2.53E+00
SP117523	1.64E+00	3.88E+00	3.06E+00	5.83E-01	1.58E+00	1.78E+00	3.81E+00	2.46E+00	1.41E+00	2.49E-01	4.36E-01	6.94E-01	8.11E-01
SP125694	3.28E+00	3.71E+00	4.55E+00	7.75E-01	1.39E+00	1.22E+00	4.70E+00	1.59E+00	1.25E+00	4.96E-01	2.85E-01	9.11E-01	8.93E-01
SP125745	1.92E+00	5.05E+00	3.69E+00	4.43E-01	1.61E+00	1.50E+00	5.84E+00	1.30E+00	9.29E-01	0.00E+00	2.70E-01	6.36E-01	7.52E-01
SP117001	3.16E+00	4.12E+00	4.21E+00	3.87E-01	1.59E+00	1.86E+00	4.71E+00	9.71E-01	1.52E+00	2.35E-01	3.31E-01	6.06E-01	9.87E-01
SP117949	1.16E+01	4.00E+00	1.34E+01	8.42E-01	1.87E+00	2.13E+00	4.58E+00	1.91E+00	1.69E+00	0.00E+00	2.87E-01	1.48E+00	1.51E+00
