Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
CPCT02040143T	1.01E+00	1.18E+00	1.84E+00	1.58E+00	1.73E+00	1.30E+00
CPCT02020593T	1.70E+00	2.16E+00	5.35E+00	5.36E+00	2.07E+00	2.20E+00
CPCT02180005T	1.42E+00	2.05E+00	2.53E+00	2.16E+00	2.04E+00	1.99E+00
CPCT02030299T	1.38E+01	1.17E+00	3.33E+00	1.23E+01	2.22E+00	1.32E+00
CPCT02020420T	9.85E-01	1.32E+00	1.78E+00	1.54E+00	1.57E+00	7.89E-01
CPCT02030303T	1.40E+01	1.13E+00	2.93E+00	1.41E+01	1.92E+00	9.53E-01
CPCT02070058T	1.67E+01	1.11E+00	3.30E+00	1.54E+01	2.38E+00	1.14E+00
CPCT02040050T	5.61E+00	9.22E-01	1.68E+00	5.59E+00	1.22E+00	6.80E-01
CPCT02020434T	1.29E+00	1.52E+00	3.63E+00	3.54E+00	1.80E+00	1.36E+00
CPCT02220006T	1.30E+00	1.86E+00	3.85E+00	3.92E+00	1.43E+00	1.20E+00
DRUP01140003T	5.69E-01	1.13E+00	1.97E+00	1.64E+00	1.13E+00	1.72E-01
CPCT02020459T	8.68E+00	3.30E-01	2.42E+00	7.73E+00	2.12E+00	9.73E-01
CPCT02330021T	9.03E-01	1.44E+00	2.94E+00	2.94E+00	1.30E+00	1.55E+00
CPCT02110016T	7.49E-01	4.64E-01	1.09E+00	1.06E+00	9.52E-01	3.64E-01
CPCT02330023T	1.28E+00	7.55E-01	1.50E+00	1.39E+00	1.08E+00	6.37E-01
CPCT02040095T	1.19E+00	1.54E+00	5.31E+00	5.92E+00	2.04E+00	2.32E+00
CPCT02160017T	1.62E+01	1.69E+00	4.12E+00	1.83E+01	3.10E+00	1.74E+00
CPCT02080093T	6.82E-01	1.21E+00	1.26E+00	1.28E+00	1.35E+00	1.32E+00
CPCT02060088T	3.55E-01	8.09E-01	1.36E+00	1.26E+00	9.69E-01	5.79E-01
CPCT02290021T	2.69E+00	1.41E+00	4.25E+00	5.07E+00	2.70E+00	2.02E+00
CPCT02340042T	1.22E+00	1.79E+00	3.32E+00	3.80E+00	2.06E+00	2.03E+00
CPCT02040192T	5.67E+00	1.14E+00	2.34E+00	6.71E+00	1.66E+00	1.37E+00
CPCT02300026T	1.70E+00	1.86E+00	2.50E+00	2.18E+00	2.15E+00	1.29E+00
CPCT02450007T	1.58E+01	1.40E+00	3.08E+00	1.69E+01	1.89E+00	1.80E+00
CPCT02170020T	9.84E+00	4.37E-01	3.19E+00	9.92E+00	1.70E+00	1.26E+00
CPCT02030440T	1.55E+00	1.58E+00	2.27E+00	1.87E+00	1.78E+00	1.61E+00
CPCT02190003T	2.33E+01	2.84E+00	3.06E+00	2.49E+01	1.97E+00	4.59E+00
WIDE01010536T	5.69E-01	7.38E-01	7.90E-01	8.50E-01	8.78E-01	3.42E-01
WIDE01010554T	1.01E+00	1.11E+00	2.44E+00	2.91E+00	1.34E+00	3.34E-01
