Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
CPCT02050133T	168	0	458	12	0	271	16	131	21	0	26	11	7	49	0	64	21	0	0
CPCT02050144T	1140	0	859	0	0	236	37	214	36	68	121	10	0	143	132	283	0	0	0
CPCT02050286T	63	0	301	44	0	215	237	0	915	0	76	12	17	121	60	93	45	0	32
CPCT02130006T	355	0	142	39	24	0	78	0	9	52	30	9	28	3	0	13	56	299	0
CPCT02130003T	37	0	0	17	0	28	48	118	21	17	16	49	0	47	2	0	6	0	0
CPCT02340039T	189	0	249	0	0	0	66	0	24	33	76	4	0	64	2	13	0	211	0
CPCT02230075T	140	0	0	12	124	0	38	0	14	21	0	0	0	0	3	4	18	0	0
CPCT02080169T	81	0	58	18	125	0	100	0	6	17	0	54	14	4	61	7	0	0	0
CPCT02150005T	4	0	0	10	46	34	65	0	11	35	21	21	35	2	12	11	0	0	126
WIDE01010522T	0	26	57	0	0	0	15	0	4	16	10	40	14	69	45	9	0	0	0
WIDE01010696T	0	20	56	0	0	0	12	8	2	0	69	21	11	0	46	15	8	25	0
