MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Ins:T:1	6.01E-05	2.29E-04	2.19E-05	1.40E-05	3.96E-05	6.13E-05	1.40E-04	6.25E-07	3.37E-05	6.21E-04	9.34E-05	2.02E-04	4.88E-03	1.61E-04
1:Ins:T:2	2.65E-05	9.77E-04	5.57E-05	9.74E-05	1.08E-04	4.04E-04	1.83E-03	1.24E-05	1.02E-04	7.61E-04	0.00E+00	3.48E-04	1.25E-02	3.08E-04
1:Ins:T:3	6.16E-05	5.36E-04	4.62E-05	3.09E-05	5.63E-05	1.99E-04	9.53E-04	8.10E-05	4.76E-05	4.26E-04	5.99E-05	3.37E-04	6.54E-03	4.62E-04
1:Ins:T:4	7.03E-06	3.13E-04	1.08E-04	3.48E-05	1.28E-04	3.96E-05	5.57E-04	4.58E-04	1.07E-03	1.33E-04	4.66E-05	2.59E-04	1.73E-03	7.40E-04
1:Ins:T:5	2.71E-03	7.08E-03	3.45E-03	7.64E-04	8.02E-04	3.72E-03	1.27E-02	5.77E-03	7.08E-03	8.57E-04	1.24E-03	2.89E-03	2.27E-02	2.25E-03
2:Del:R:0	2.40E-04	2.56E-04	1.07E-04	3.65E-04	0.00E+00	2.00E-05	5.68E-04	1.32E-07	1.93E-05	5.54E-05	2.61E-04	5.01E-04	4.53E-04	1.31E-04
2:Del:R:1	1.06E-04	1.42E-04	8.82E-05	1.14E-04	6.02E-06	2.12E-05	4.43E-04	1.38E-05	4.84E-06	5.60E-05	1.13E-03	1.88E-04	3.35E-04	1.27E-04
2:Del:R:2	9.32E-05	6.20E-05	9.47E-05	1.70E-04	1.58E-06	1.22E-05	2.75E-04	2.20E-05	9.63E-06	4.84E-05	3.10E-04	1.55E-04	1.17E-04	2.39E-05
2:Del:R:3	1.11E-03	7.62E-04	8.98E-04	3.51E-03	1.27E-05	2.81E-05	5.71E-03	2.47E-06	1.30E-04	2.57E-04	4.48E-04	6.46E-05	4.87E-04	5.62E-07
2:Del:R:4	1.89E-04	2.55E-04	1.10E-03	5.82E-04	1.04E-05	4.74E-05	1.78E-03	5.48E-05	3.92E-05	1.02E-04	1.56E-04	1.66E-05	5.33E-04	1.26E-05
2:Del:R:5	2.45E-04	7.96E-04	4.16E-03	1.48E-03	1.48E-05	9.44E-05	7.58E-03	1.19E-05	1.03E-04	1.01E-04	3.29E-04	2.83E-04	7.09E-04	1.41E-06
3:Del:R:0	1.16E-04	1.81E-04	9.56E-05	3.48E-04	0.00E+00	2.07E-06	4.88E-04	1.89E-06	9.43E-06	2.11E-05	1.69E-04	2.31E-04	2.87E-04	1.20E-04
3:Del:R:1	6.39E-05	1.03E-04	1.29E-04	1.55E-04	5.28E-06	1.34E-05	5.09E-04	3.42E-05	1.03E-05	2.69E-05	1.16E-03	6.91E-05	3.06E-04	1.22E-04
3:Del:R:2	2.66E-05	3.77E-05	8.42E-05	7.35E-05	1.59E-06	8.28E-07	1.65E-04	1.26E-05	6.07E-06	1.14E-05	3.30E-04	1.57E-05	1.37E-04	2.75E-05
3:Del:R:3	8.27E-06	1.60E-05	5.50E-05	3.03E-05	1.55E-06	3.95E-06	8.06E-05	3.90E-06	2.88E-06	2.52E-06	8.21E-05	8.63E-06	4.38E-05	8.89E-06
3:Del:R:4	1.05E-05	1.63E-05	7.01E-05	2.47E-05	8.56E-07	3.36E-06	1.16E-04	7.34E-06	3.61E-06	2.19E-11	5.14E-05	1.09E-05	2.49E-05	2.13E-05
3:Del:R:5	1.32E-05	3.51E-05	1.65E-04	6.40E-05	6.43E-07	6.49E-06	3.09E-04	8.19E-07	6.67E-06	1.65E-11	6.32E-05	1.13E-06	2.47E-05	1.60E-05
