	DRUP01070119T	DRUP01010095T	CPCT02020597TII	CPCT02340026T	CPCT02070053T	CPCT02070357T	DRUP01340014T	CPCT02030278T	WIDE01010510T	CPCT02020413T	CPCT02250003T	CPCT02340081T	CPCT02020815T	WIDE01010470T	CPCT02050424T	CPCT02040317T	CPCT02220006T	CPCT02070336T	CPCT02020865T	CPCT02100089T	DRUP01030028T	CPCT02080153T	CPCT02340014T	CPCT02120032T	DRUP01030015T	CPCT02050149T	CPCT02050439T	DRUP01230004T	CPCT02050117T	CPCT02060264T	CPCT02100131T	CPCT02010648T	CPCT02450014T
A[Ins(C):R2]T	0	0	1	0	0	0	0	1	0	0	5	0	5	3	2	0	1	3	2	0	0	0	4	2	1	0	0	4	0	0	0	0	26
A[Ins(C):R3]A	1	1	0	0	0	0	3	0	0	1	37	0	6	1	0	2	0	2	1	0	1	0	3	2	0	0	1	12	0	0	1	0	75
A[Ins(C):R3]G	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	1	0	1	0	1	0	0	0	0	0	3	0	0	0	0	9
A[Ins(C):R3]T	1	0	0	0	0	0	1	0	1	1	11	0	3	1	2	2	0	1	0	0	0	0	0	2	1	0	1	6	0	1	0	0	46
A[Ins(C):R4]A	1	0	0	0	0	1	1	0	0	0	6	0	12	6	2	3	0	0	0	0	0	0	0	10	0	0	0	39	0	0	1	0	1940
A[Ins(C):R4]G	2	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	3	0	0	0	16	0	0	0	0	103
A[Ins(C):R4]T	0	0	0	0	0	1	0	0	0	0	4	0	5	7	0	0	0	0	1	0	0	0	0	4	0	0	0	19	0	0	0	0	2228
A[Ins(C):R5]A	2	1	0	0	1	0	2	0	1	0	1	1	6	15	0	0	0	0	0	0	0	1	0	5	0	1	0	35	1	0	0	0	2188
A[Ins(C):R5]G	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	9	0	0	0	0	143
A[Ins(C):R5]T	2	0	0	0	0	0	0	0	0	0	3	1	2	8	1	0	0	0	0	0	0	0	0	4	0	1	0	19	1	0	0	0	794
A[Ins(C):R6]A	5	0	3	0	0	0	1	0	0	0	0	0	2	13	2	0	0	0	0	0	0	0	1	10	0	1	1	48	1	0	0	0	870
A[Ins(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	2	0	13	0	0	0	0	274
A[Ins(C):R6]T	0	0	0	0	0	0	0	0	0	0	1	0	2	10	0	2	0	0	0	0	1	0	3	1	0	0	3	19	0	0	0	0	641
A[Ins(C):R7]A	10	2	2	0	0	1	1	0	4	0	0	0	0	13	1	0	1	2	1	0	1	1	0	17	1	1	2	192	1	0	4	0	1636
A[Ins(C):R7]G	4	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	3	40	0	0	0	0	216
A[Ins(C):R7]T	3	1	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	6	0	0	3	39	1	0	2	0	603
A[Ins(C):R8]A	11	3	0	0	0	1	0	0	2	0	0	0	1	4	2	0	0	0	0	1	1	0	1	12	0	2	1	129	0	0	4	0	258
A[Ins(C):R8]G	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	3	0	0	0	18	0	0	2	0	29
A[Ins(C):R8]T	5	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	2	25	0	0	0	0	86
A[Ins(C):R(9,)]A	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	24	0	0	2	0	31
A[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4
A[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	4	0	0	0	0	2
G[Ins(C):R0]A	2	1	0	0	0	0	65	0	0	0	4	0	3	4	6	0	0	0	0	0	0	0	1	1	2	0	1	3	1	0	1	0	9
G[Ins(C):R0]G	2	0	0	0	0	1	1	0	1	0	1	0	5	1	2	2	1	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	19
G[Ins(C):R0]T	2	0	0	0	0	0	0	0	0	0	2	0	4	12	4	5	0	0	1	0	0	0	4	1	0	0	2	5	0	0	0	1	20
G[Ins(C):R1]A	0	1	1	0	1	1	12	0	0	1	9	0	5	1	3	2	1	2	0	0	0	1	1	0	0	0	1	5	0	0	0	0	19
G[Ins(C):R1]G	0	0	0	0	0	0	2	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
G[Ins(C):R1]T	1	1	2	0	0	0	1	3	0	1	0	0	7	2	1	0	1	1	0	0	0	0	0	1	1	0	0	6	0	0	0	0	27
G[Ins(C):R2]A	0	0	0	0	0	1	2	1	0	1	7	0	4	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	15
G[Ins(C):R2]G	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7
G[Ins(C):R2]T	1	0	0	0	0	0	1	0	0	2	1	0	8	0	3	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	26
G[Ins(C):R3]A	0	0	1	0	0	1	0	1	0	1	16	0	10	1	0	0	0	0	2	0	0	0	2	1	0	0	0	12	0	0	1	0	30
G[Ins(C):R3]G	2	0	0	0	0	0	0	1	0	0	3	0	3	0	0	1	0	1	0	0	2	0	0	1	0	0	0	5	0	0	0	1	8
G[Ins(C):R3]T	0	0	0	0	0	0	0	1	1	0	6	0	4	1	0	0	1	1	1	0	0	0	0	0	0	0	0	9	0	0	0	0	27
G[Ins(C):R4]A	0	1	0	0	0	1	0	0	1	0	5	0	4	6	0	2	0	0	0	0	1	0	0	3	0	0	0	40	0	0	2	0	1939
G[Ins(C):R4]G	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	0	1	0	100
G[Ins(C):R4]T	1	0	0	0	0	1	0	0	1	0	2	0	4	1	0	3	0	0	0	0	0	0	0	4	0	0	1	23	0	0	0	0	2613
G[Ins(C):R5]A	0	1	1	1	0	1	2	0	1	1	1	0	4	5	0	4	2	2	0	0	0	0	1	2	1	0	0	26	0	0	1	0	879
G[Ins(C):R5]G	2	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	1	0	1	0	0	2	0	1	0	12	0	0	0	0	125
G[Ins(C):R5]T	1	0	2	0	0	0	0	0	0	0	0	0	2	4	1	2	0	0	0	0	0	0	0	6	1	0	1	52	0	0	1	0	512
G[Ins(C):R6]A	2	0	0	0	0	1	0	0	0	0	0	0	2	12	2	0	0	0	0	0	0	0	0	13	0	0	1	73	0	1	1	0	1284
G[Ins(C):R6]G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	3	0	5	0	49	0	0	0	0	283
G[Ins(C):R6]T	0	1	0	0	0	0	0	0	0	0	1	0	1	4	2	0	1	1	3	1	0	0	0	11	0	0	1	48	0	0	1	0	769
G[Ins(C):R7]A	7	1	1	0	0	0	1	0	2	0	0	0	1	9	2	0	0	0	1	0	1	0	0	12	0	0	5	147	0	0	1	1	1075
G[Ins(C):R7]G	8	0	1	1	0	2	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	3	0	1	2	60	0	0	1	0	209
G[Ins(C):R7]T	7	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	2	43	0	0	0	0	545
G[Ins(C):R8]A	6	3	0	1	0	1	0	0	2	0	0	0	1	4	1	1	0	0	0	0	0	0	0	12	0	1	0	115	0	1	2	0	246
G[Ins(C):R8]G	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	22	0	0	0	0	48
G[Ins(C):R8]T	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	35	0	0	1	0	102
G[Ins(C):R(9,)]A	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	15	0	0	1	0	22
G[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7
G[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	4
T[Ins(C):R0]A	0	0	0	1	0	0	0	1	0	4	21	0	1	7	7	1	0	1	0	0	0	0	2	1	1	1	1	3	0	0	0	2	32
T[Ins(C):R0]G	0	0	0	0	0	0	0	0	1	0	2	0	7	1	3	2	0	1	0	0	1	0	1	1	1	0	1	6	0	0	0	0	23
T[Ins(C):R0]T	6	0	1	0	3	2	0	3	0	3	2	0	9	28	51	3	0	0	1	1	0	0	97	9	0	1	3	77	1	0	7	4	164
T[Ins(C):R1]A	2	1	1	0	1	1	0	0	0	0	14	0	3	3	3	1	0	0	3	1	0	0	1	1	0	0	0	4	1	1	0	0	72
T[Ins(C):R1]G	0	0	0	0	0	0	0	0	0	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8
T[Ins(C):R1]T	2	1	3	0	0	1	0	0	0	4	8	1	9	7	11	2	2	2	4	1	1	0	8	2	0	0	0	20	2	0	2	0	193
T[Ins(C):R2]A	3	1	1	0	1	2	0	0	0	4	2	1	4	1	1	0	0	3	0	0	0	1	1	2	0	0	0	7	1	0	2	0	48
T[Ins(C):R2]G	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	17
T[Ins(C):R2]T	4	2	0	0	0	0	0	0	1	1	7	1	7	7	9	1	2	2	3	0	0	0	1	1	1	1	1	8	0	1	1	2	78
T[Ins(C):R3]A	1	0	0	0	0	2	2	0	2	2	9	0	10	3	1	0	2	2	1	0	0	0	0	2	0	1	0	6	0	0	0	0	97
T[Ins(C):R3]G	0	0	0	0	0	0	0	0	1	0	1	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	17
T[Ins(C):R3]T	3	0	0	0	0	0	0	0	0	0	7	0	13	4	3	0	0	1	1	0	0	0	1	7	1	0	1	5	1	0	0	0	104
T[Ins(C):R4]A	4	0	2	0	0	1	0	1	0	0	5	1	18	11	1	2	1	1	1	0	0	1	0	15	0	1	0	95	1	0	2	0	6173
T[Ins(C):R4]G	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	1	0	2	0	7	0	0	0	0	160
T[Ins(C):R4]T	7	1	0	0	1	2	2	0	0	0	5	0	6	0	0	0	0	0	0	1	0	1	4	5	1	0	0	51	0	0	3	2	7786
T[Ins(C):R5]A	2	1	1	0	0	0	2	0	0	0	0	0	7	9	0	4	1	0	1	0	0	0	0	7	0	1	1	28	0	0	0	0	2246
T[Ins(C):R5]G	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	11	0	0	0	0	243
T[Ins(C):R5]T	1	2	1	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	10	1	0	2	55	1	0	1	0	1678
T[Ins(C):R6]A	6	1	0	0	0	0	4	0	1	1	1	0	3	10	1	0	1	0	0	0	0	1	0	17	0	0	1	59	0	0	0	1	1783
T[Ins(C):R6]G	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	6	1	1	0	16	0	0	0	0	382
T[Ins(C):R6]T	0	0	0	0	0	0	0	0	0	1	0	0	4	4	1	0	0	1	0	0	1	1	0	9	0	0	2	40	0	0	1	0	1132
T[Ins(C):R7]A	11	2	0	0	0	2	1	0	1	0	0	1	0	9	1	1	0	1	0	0	0	0	0	14	1	0	8	151	0	0	4	0	1233
T[Ins(C):R7]G	3	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	6	0	0	1	43	0	0	2	0	197
T[Ins(C):R7]T	2	0	0	0	0	1	0	1	0	0	0	0	2	8	0	1	0	0	0	0	0	0	0	3	1	0	1	47	0	0	1	0	761
T[Ins(C):R8]A	8	0	0	0	0	1	0	0	1	0	0	0	0	6	2	0	0	0	0	1	0	2	1	16	1	2	3	97	0	0	4	0	238
T[Ins(C):R8]G	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	1	0	35
T[Ins(C):R8]T	3	1	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	4	1	0	0	24	1	0	1	0	112
T[Ins(C):R(9,)]A	5	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	2	22	0	0	2	0	53
T[Ins(C):R(9,)]G	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8
T[Ins(C):R(9,)]T	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	15
A[Ins(T):R0]A	21	7	5	1	0	9	0	1	6	2	4	0	19	131	114	4	3	8	6	1	5	2	96	10	3	1	12	157	2	2	15	1	295
A[Ins(T):R0]C	0	1	0	0	0	2	0	0	0	1	4	1	8	1	4	3	0	1	3	0	0	1	5	0	1	0	0	5	1	0	2	0	18
A[Ins(T):R0]G	4	0	1	0	0	1	3	2	0	1	2	2	21	41	12	6	2	3	1	0	1	0	4	2	1	0	3	27	1	0	2	0	31
A[Ins(T):R1]A	3	1	2	1	4	4	1	1	0	5	29	1	9	6	18	4	1	6	11	3	3	2	37	5	0	1	5	33	1	1	3	3	102
A[Ins(T):R1]C	1	1	1	1	0	0	2	0	0	1	3	0	7	8	9	5	4	0	0	0	0	0	4	1	0	0	0	7	0	1	1	0	29
A[Ins(T):R1]G	2	0	2	0	0	0	0	1	1	3	6	0	74	15	16	10	2	2	8	1	0	0	8	4	0	1	1	23	0	1	1	0	30
A[Ins(T):R2]A	8	0	1	3	0	1	1	0	0	2	79	0	5	12	11	1	1	4	15	1	2	1	9	1	0	0	3	40	0	4	3	0	126
A[Ins(T):R2]C	1	0	1	0	0	0	0	1	0	2	2	0	3	3	24	0	2	0	4	0	0	1	3	0	0	0	1	16	0	0	2	1	42
A[Ins(T):R2]G	3	0	1	1	0	4	1	0	1	3	15	0	129	13	5	20	1	5	11	0	1	1	4	3	2	0	4	53	0	0	0	0	75
A[Ins(T):R3]A	5	2	1	1	2	1	1	2	0	2	10	0	8	24	14	0	0	2	7	2	0	0	2	3	2	0	4	32	2	0	1	0	121
A[Ins(T):R3]C	2	1	2	1	0	1	0	0	1	1	0	0	3	17	20	1	0	5	5	0	0	0	2	5	1	1	2	22	0	0	1	0	45
A[Ins(T):R3]G	3	0	0	1	0	0	0	0	1	3	4	0	57	20	3	7	2	1	6	0	1	0	2	5	1	0	2	38	1	0	0	0	46
A[Ins(T):R4]A	3	2	2	0	2	2	0	1	4	1	0	1	5	119	7	3	2	3	5	0	3	0	2	10	1	2	12	99	1	0	1	0	1354
A[Ins(T):R4]C	3	3	0	0	2	1	0	1	1	2	0	0	1	57	17	0	1	1	2	0	0	2	1	9	1	2	18	52	1	0	3	0	4077
A[Ins(T):R4]G	6	4	3	0	0	1	0	0	0	3	4	0	22	50	3	4	1	1	1	0	0	0	0	25	0	1	9	75	0	1	3	0	624
A[Ins(T):R5]A	9	7	2	0	1	3	0	0	1	1	0	1	4	440	7	3	2	4	2	0	3	1	2	35	3	1	38	241	2	1	11	0	2773
A[Ins(T):R5]C	11	5	4	0	0	0	0	1	4	0	1	1	4	237	21	0	5	3	0	1	2	2	10	43	2	3	63	195	0	1	11	0	1093
A[Ins(T):R5]G	14	5	0	0	0	3	1	0	7	2	2	0	25	189	5	4	5	6	1	1	1	3	3	29	2	1	41	258	1	1	6	0	1393
A[Ins(T):R6]A	31	14	10	1	3	2	0	1	10	3	0	0	8	687	10	4	5	4	3	1	8	3	6	54	3	4	87	449	3	3	28	1	2719
A[Ins(T):R6]C	28	16	7	0	8	11	1	2	9	2	1	0	11	441	11	4	4	2	1	2	3	6	5	89	1	2	138	385	1	2	28	0	1459
A[Ins(T):R6]G	48	26	13	1	6	11	2	4	15	4	4	0	34	284	11	9	17	0	1	1	3	4	7	112	13	5	133	587	3	2	24	0	3068
A[Ins(T):R7]A	65	12	5	1	1	12	2	1	7	3	0	1	10	625	4	4	5	5	0	2	6	5	8	92	8	2	99	787	2	2	32	1	4578
A[Ins(T):R7]C	34	25	10	2	5	9	2	4	13	1	3	1	6	456	11	4	8	3	0	0	10	6	11	66	10	2	149	502	2	4	31	0	4038
A[Ins(T):R7]G	64	24	10	0	1	10	2	2	8	4	0	0	19	206	5	7	7	5	1	1	6	6	7	81	5	4	130	718	3	2	25	0	4363
A[Ins(T):R8]A	54	23	7	0	4	9	2	4	18	3	3	0	11	428	10	6	7	2	1	0	7	10	10	98	10	3	146	815	5	1	45	0	3886
A[Ins(T):R8]C	53	29	8	2	2	6	2	5	15	3	3	2	4	446	7	3	8	5	3	2	7	5	9	79	9	3	123	587	1	1	35	0	4523
A[Ins(T):R8]G	63	33	9	1	13	6	0	3	9	1	0	0	9	211	9	5	12	2	2	4	6	6	7	76	6	6	126	712	3	1	27	0	3634
A[Ins(T):R(9,)]A	121	61	23	1	19	27	7	13	16	5	3	3	7	579	17	13	20	10	4	5	7	11	17	145	24	14	269	931	5	6	83	1	7875
A[Ins(T):R(9,)]C	111	54	14	2	16	24	5	11	24	3	8	2	9	701	15	13	15	8	0	9	7	13	19	126	22	15	211	828	5	3	78	6	6333
A[Ins(T):R(9,)]G	97	35	13	2	9	10	3	9	15	5	7	2	7	266	10	5	9	4	3	4	11	10	14	83	18	8	166	809	2	5	62	0	5605
C[Ins(T):R0]A	0	1	0	0	0	0	0	0	0	3	6	0	21	2	16	4	0	5	5	0	1	0	1	0	2	1	1	12	1	0	1	0	23
C[Ins(T):R0]C	2	1	1	0	0	1	0	0	1	1	2	0	6	5	80	2	1	1	1	0	0	0	0	2	0	1	1	16	0	0	1	1	72
C[Ins(T):R0]G	0	0	0	0	0	0	0	0	1	0	2	0	10	3	6	3	0	1	0	0	0	0	0	0	1	0	0	5	0	0	1	0	14
C[Ins(T):R1]A	0	1	2	1	1	1	0	1	0	3	63	0	14	3	3	4	5	6	3	0	2	0	2	0	0	3	0	3	2	0	3	0	138
C[Ins(T):R1]C	1	0	1	0	0	2	4	1	0	2	4	0	6	5	22	1	1	4	0	0	1	2	2	1	2	2	1	12	0	0	1	2	60
C[Ins(T):R1]G	2	0	5	1	0	1	0	4	2	1	32	0	149	7	7	32	5	5	5	1	2	2	1	1	3	1	0	3	1	0	2	0	26
C[Ins(T):R2]A	1	0	3	0	0	2	1	0	0	2	6	0	3	3	9	1	0	2	2	0	0	0	0	1	1	0	0	16	0	0	3	0	48
C[Ins(T):R2]C	3	2	3	0	0	0	6	2	1	1	2	1	8	10	27	0	4	2	4	0	1	2	1	1	0	1	1	21	0	0	1	0	72
C[Ins(T):R2]G	8	1	0	0	0	1	2	0	2	0	2	0	111	6	5	21	1	5	3	0	1	0	2	4	1	1	0	85	0	1	2	0	159
C[Ins(T):R3]A	1	0	1	0	0	2	0	0	0	2	6	0	7	29	6	1	1	0	6	0	1	0	2	5	1	0	0	12	3	0	2	0	60
C[Ins(T):R3]C	2	0	3	1	0	4	1	1	1	2	1	0	9	30	17	1	0	0	2	0	2	4	2	7	0	0	0	28	1	0	5	3	48
C[Ins(T):R3]G	6	0	2	0	0	0	1	0	0	2	2	0	65	27	4	21	0	5	2	1	0	0	0	3	0	1	4	43	0	0	2	1	77
C[Ins(T):R4]A	3	0	1	1	0	0	0	1	0	1	5	0	4	208	6	1	0	0	0	0	2	0	0	5	0	1	3	39	0	0	2	0	522
C[Ins(T):R4]C	2	2	0	1	0	2	0	1	0	0	0	0	5	189	15	0	0	1	2	1	0	1	0	6	3	0	5	43	0	0	3	0	1749
C[Ins(T):R4]G	2	1	0	0	0	3	0	0	1	2	1	0	8	103	1	1	2	0	1	0	1	0	0	6	0	0	4	37	0	0	1	1	412
C[Ins(T):R5]A	6	2	2	0	0	1	1	0	3	0	1	0	0	474	3	0	3	1	1	3	1	0	0	9	2	1	15	75	3	0	5	0	907
C[Ins(T):R5]C	3	1	0	0	1	2	0	1	2	1	0	0	7	271	9	3	0	3	1	0	1	2	3	15	0	0	16	75	1	1	6	0	923
C[Ins(T):R5]G	5	5	1	0	0	1	0	3	1	0	0	0	7	148	6	4	0	1	0	1	0	1	2	7	2	2	10	85	0	0	3	0	566
C[Ins(T):R6]A	16	3	2	0	1	5	1	1	0	1	1	0	4	242	6	1	3	3	0	0	1	1	2	29	5	1	24	183	3	0	18	0	1943
C[Ins(T):R6]C	20	8	11	0	2	3	2	1	5	1	1	0	7	200	10	4	3	1	1	1	2	4	4	53	4	1	79	262	2	0	16	0	1740
C[Ins(T):R6]G	14	5	1	0	0	6	0	1	4	1	1	1	15	101	3	6	3	3	1	0	2	0	5	48	3	0	67	261	0	0	11	0	1447
C[Ins(T):R7]A	41	7	6	0	4	9	1	1	5	1	2	1	5	197	2	4	1	1	0	2	3	1	7	32	4	0	34	332	1	1	11	1	3125
C[Ins(T):R7]C	24	7	2	0	3	2	0	0	8	1	1	0	6	158	7	1	3	0	0	1	2	4	3	44	4	1	56	249	2	0	10	0	3634
C[Ins(T):R7]G	31	8	5	1	3	4	4	0	8	0	3	1	8	96	5	6	3	2	0	2	4	1	8	55	2	1	60	405	0	0	25	1	3685
C[Ins(T):R8]A	34	13	4	0	4	10	1	2	4	2	5	0	7	176	4	1	5	3	0	2	5	1	8	48	4	1	69	396	0	0	25	0	2221
C[Ins(T):R8]C	38	16	6	0	1	6	2	1	8	2	2	2	4	234	2	4	4	1	2	1	3	4	4	58	5	3	69	422	3	2	20	0	2805
C[Ins(T):R8]G	57	24	8	0	5	7	3	4	9	1	1	0	9	107	7	5	5	2	0	0	4	5	4	72	9	1	84	545	4	3	22	3	2739
C[Ins(T):R(9,)]A	103	25	10	1	9	15	2	7	21	6	4	2	6	244	7	8	8	5	0	3	10	12	13	83	18	5	150	680	5	1	40	1	4473
C[Ins(T):R(9,)]C	88	34	8	6	14	14	2	7	12	2	12	1	7	366	9	10	6	3	0	2	14	12	8	69	16	8	148	609	1	4	57	6	4902
C[Ins(T):R(9,)]G	107	42	10	3	7	11	5	8	20	1	3	3	6	161	4	9	6	7	1	3	7	5	8	87	8	5	109	783	6	4	53	3	5494
G[Ins(T):R0]A	1	0	1	0	0	0	22	1	1	1	8	0	12	4	9	5	1	1	0	0	4	0	3	0	4	1	2	7	0	1	0	0	17
G[Ins(T):R0]C	1	0	0	0	0	1	0	1	0	0	1	1	12	4	1	1	6	2	0	0	0	0	1	0	13	0	1	9	1	0	2	1	13
G[Ins(T):R0]G	6	0	1	1	0	2	1	1	2	1	6	0	29	15	1	10	6	2	0	1	0	0	4	1	2	0	0	38	0	0	4	1	88
G[Ins(T):R1]A	4	2	4	0	3	3	2	2	5	3	14	0	4	4	7	3	12	1	4	1	4	3	2	2	37	0	5	10	2	3	2	0	17
G[Ins(T):R1]C	1	1	1	0	0	2	0	0	0	3	2	0	6	1	4	1	3	0	1	0	0	0	2	0	14	1	4	2	0	0	1	0	13
G[Ins(T):R1]G	1	2	1	0	0	1	0	2	0	0	6	2	70	3	3	8	9	3	5	0	0	0	2	1	71	1	4	21	0	0	0	2	40
G[Ins(T):R2]A	1	1	0	0	0	0	1	0	1	0	25	0	6	2	3	1	1	2	4	0	2	0	4	1	16	0	0	4	1	0	1	1	28
G[Ins(T):R2]C	0	0	0	1	0	0	0	1	0	1	1	0	6	1	6	0	5	1	2	0	1	0	2	0	43	0	0	6	1	1	1	0	20
G[Ins(T):R2]G	3	2	0	0	0	0	0	0	1	1	2	0	100	3	1	24	1	1	1	0	0	0	1	0	32	0	3	53	0	0	5	0	73
G[Ins(T):R3]A	1	0	1	0	0	0	1	1	1	0	3	0	2	0	1	0	2	1	5	1	0	0	0	1	14	0	0	4	0	1	0	0	18
G[Ins(T):R3]C	1	1	0	0	0	1	1	0	0	1	2	0	2	1	7	0	4	0	0	0	0	1	0	0	22	1	0	7	0	0	0	0	21
G[Ins(T):R3]G	5	1	4	0	0	0	0	1	0	0	0	0	71	3	3	17	4	0	1	0	1	0	3	1	15	1	1	23	0	0	1	0	35
G[Ins(T):R4]A	2	0	0	0	0	1	0	0	0	0	2	0	0	7	2	1	3	0	0	0	0	0	0	0	8	0	0	17	0	0	0	0	429
G[Ins(T):R4]C	1	0	1	0	0	0	0	0	1	0	0	0	1	6	10	0	2	0	1	0	0	0	1	2	3	0	1	7	0	0	1	1	755
G[Ins(T):R4]G	1	0	1	0	0	1	0	0	1	1	1	0	19	12	0	1	3	0	2	0	1	0	0	5	8	1	6	55	0	0	2	0	594
G[Ins(T):R5]A	6	0	1	0	1	1	0	0	0	0	0	0	3	166	2	2	4	0	2	0	0	0	0	9	3	1	3	55	0	1	3	0	460
G[Ins(T):R5]C	5	3	2	0	0	1	0	4	0	1	0	0	1	155	18	0	0	0	0	0	0	0	0	5	1	1	4	47	0	0	5	0	687
G[Ins(T):R5]G	8	3	1	0	0	1	0	0	2	0	0	0	9	84	2	7	2	2	1	0	2	0	1	14	3	1	11	84	0	0	2	0	455
G[Ins(T):R6]A	9	2	4	0	1	2	0	1	4	2	1	0	4	315	3	3	4	0	0	0	3	2	6	31	6	2	19	206	0	1	14	0	840
G[Ins(T):R6]C	17	8	4	0	1	3	1	1	8	0	2	1	9	332	5	2	2	2	0	1	3	1	5	41	3	2	50	268	1	0	16	0	578
G[Ins(T):R6]G	49	6	2	1	7	6	0	0	8	4	0	1	20	186	7	3	5	4	0	0	3	1	2	49	2	3	40	542	1	0	20	0	1213
G[Ins(T):R7]A	27	16	5	1	4	7	2	2	4	1	2	2	2	282	2	3	5	1	0	1	1	4	9	38	2	1	39	374	3	1	15	1	1897
G[Ins(T):R7]C	23	9	5	2	0	4	0	2	5	0	4	0	4	262	7	3	4	0	0	1	5	1	5	35	5	3	52	292	3	2	21	0	1374
G[Ins(T):R7]G	57	19	4	0	3	9	1	1	6	2	0	0	7	141	3	7	5	1	2	0	4	3	4	58	4	1	67	630	1	2	21	1	2742
G[Ins(T):R8]A	28	16	11	0	2	8	2	2	6	1	3	1	3	203	3	1	1	2	1	1	1	4	9	65	3	3	44	412	1	3	23	1	1419
G[Ins(T):R8]C	27	16	5	0	4	3	1	1	7	2	1	1	4	203	5	3	6	1	0	1	2	3	6	58	3	4	43	422	0	2	27	0	1576
G[Ins(T):R8]G	66	21	6	1	2	8	4	2	9	4	0	1	1	136	2	4	7	3	1	2	3	5	6	54	2	0	88	699	3	0	33	0	1955
G[Ins(T):R(9,)]A	67	20	8	2	12	9	3	5	15	1	6	0	8	201	2	4	10	9	2	3	10	4	9	67	5	4	82	511	2	4	37	2	1796
G[Ins(T):R(9,)]C	64	22	9	7	7	10	2	2	10	1	7	0	3	258	10	7	7	1	0	4	9	1	8	67	15	3	98	444	3	3	38	5	1767
G[Ins(T):R(9,)]G	63	15	6	1	5	7	2	2	5	3	4	0	5	85	5	2	8	3	2	0	8	5	11	40	11	4	63	455	4	2	24	1	1650
