Samples	ID1	ID2	ID3	ID4	ID8	ID9	ID13	ID19	ID21	ID22	ID25	ID83H	ID83I	ID83J
CPCT02050047T	599	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02010393T	182	117	0	0	0	0	528	418	0	0	0	0	0	0
CPCT02020358T	55	36	0	0	62	0	89	69	0	0	0	0	0	0
CPCT02090002T	36	0	0	0	0	0	235	213	0	0	0	0	0	335
CPCT02010403T	15	0	0	0	49	0	0	84	0	0	0	0	0	0
CPCT02030272T	79	55	0	0	137	0	136	209	0	0	0	0	0	0
CPCT02020373T	127	59	0	0	165	0	93	146	0	0	0	0	0	0
CPCT02050052T	49	85	0	178	93	0	106	126	0	0	0	0	0	0
CPCT02030270T	53	0	0	0	84	0	0	157	0	0	0	0	0	0
CPCT02050056T	54	42	0	0	141	0	208	191	0	0	0	0	0	0
CPCT02050055T	147	236	0	0	139	0	166	185	0	0	0	0	0	0
CPCT02030279T	70	36	0	0	44	0	36	61	0	0	0	83	0	0
CPCT02020320T	138	64	0	0	131	0	274	204	0	0	0	0	0	0
CPCT02060037T	0	0	0	0	29	0	0	49	0	0	50	0	0	0
CPCT02100033T	36	0	0	0	70	0	126	46	0	0	0	0	0	0
CPCT02010436T	47	34	0	0	152	0	231	187	0	0	0	0	0	0
CPCT02010439T	38	22	0	0	67	0	126	61	0	0	0	87	0	0
CPCT02060043T	434	156	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02030284T	134	49	0	0	87	0	287	149	0	0	0	0	0	0
CPCT02020410T	61	0	0	0	119	0	294	85	0	0	0	0	0	0
CPCT02020408T	48	68	0	0	126	0	197	157	0	0	0	0	0	0
CPCT02030291T	85	0	0	0	188	0	686	349	0	0	0	0	0	0
CPCT02050079T	23	0	0	0	47	0	0	107	0	0	0	0	0	0
CPCT02050073T	69	0	0	0	60	0	48	74	0	0	0	128	0	0
CPCT02220001T	0	0	0	0	102	0	0	178	0	0	0	0	0	0
CPCT02010440T	74	37	0	0	98	0	74	111	0	0	0	0	0	0
CPCT02011020T	74	79	0	125	208	0	377	177	0	0	0	0	0	219
CPCT02340050T	420	451	0	0	158	0	0	174	0	0	0	0	0	0
CPCT02080280T	61	0	0	0	212	0	336	180	0	0	0	0	0	0
CPCT02080282T	108	93	0	0	0	0	129	96	0	0	0	143	0	0
CPCT02060163T	0	0	0	0	48	0	0	105	0	0	33	0	0	0
CPCT02011025T	116	109	0	0	114	0	168	180	0	0	0	0	0	0
CPCT02010754TII	53	31	0	0	70	0	102	125	0	0	0	0	284	0
CPCT02010716T	127	0	0	0	173	0	695	334	0	0	0	0	0	0
CPCT02170039T	63	0	0	0	60	0	92	0	0	0	0	0	0	98
CPCT02080284T	17	0	0	0	30	0	43	54	0	0	0	0	0	0
CPCT02030555T	91	0	0	0	116	0	295	0	0	0	0	175	0	0
CPCT02011037T	116	75	0	0	133	0	616	189	0	0	0	0	0	0
CPCT02120180T	53	21	49	0	34	0	87	60	0	0	0	89	0	0
CPCT02050304T	0	0	0	0	1165	0	736	365	0	0	422	0	0	0
CPCT02020895T	152	40	0	0	126	0	0	102	0	0	0	0	0	0
CPCT02090032T	0	0	0	0	172	211	0	123	0	0	0	0	327	0
CPCT02020662T	0	0	0	0	75	0	129	155	0	0	41	0	0	0
DRUP01080025T	0	140	0	251	200	0	516	343	0	0	0	0	454	0
CPCT02020891T	61	59	0	0	0	0	328	121	0	0	0	0	0	0
CPCT02080266TII	64	0	0	0	0	0	0	134	0	0	0	163	215	0
CPCT02020901T	96	50	0	0	94	0	206	166	0	0	0	0	0	0
CPCT02080287T	63	34	0	0	63	0	142	95	0	0	0	85	0	0
CPCT02011045T	134	79	0	0	0	0	130	120	0	0	0	0	0	0
CPCT02020897T	42	45	0	0	56	44	93	48	0	0	0	0	0	0
CPCT02120101T	90	33	0	0	57	0	0	67	0	0	0	118	0	0
CPCT02020910T	87	46	0	0	92	0	345	123	0	0	0	0	0	0
CPCT02120095T	0	0	0	0	259	0	226	224	0	0	0	0	0	0
CPCT02080294T	96	38	0	0	0	0	0	127	0	0	0	150	0	0
CPCT02080292T	53	0	0	0	39	0	0	68	0	0	0	0	0	0
CPCT02120098T	0	0	0	0	133	0	208	114	0	0	57	0	0	0
CPCT02120105T	461	4149	0	0	0	0	0	0	0	0	0	0	0	0
