Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
CPCT02180026T	443	475	79	0	422	73	26	60	189	174	33
CPCT02100074T	5	211	26	29	49	40	64	42	18	6	20
CPCT02120018T	17	145	26	22	32	76	61	24	1	9	24
CPCT02380008T	0	417	54	19	31	21	24	7	26	1	22
CPCT02170003T	12	63	25	0	34	29	170	7	15	0	7
CPCT02020523T	66	77	0	27	92	50	45	17	80	23	28
CPCT02060081T	134	190	32	15	25	44	31	38	33	12	13
CPCT02110035T	3	11	8	56	34	18	50	19	29	8	11
CPCT02080118T	2	100	37	53	14	23	14	22	29	8	26
CPCT02010589T	0	14	4	29	56	11	37	14	5	1	5
CPCT02030349T	47767	3217	299	4567	0	0	0	106	0	8	0
CPCT02110039T	68	222	15	39	0	25	102	10	0	10	28
CPCT02030353T	295	388	54	0	152	212	66	36	1101	59	5
CPCT02020540T	121	126	713	139	157	29	71	19	66	67	0
CPCT02010611T	0	5	3	8	24	14	33	11	4	0	0
CPCT02010608T	36	24	23	9	54	55	24	13	10	16	0
CPCT02330041T	622	487	280	0	46	856	0	174	17	720	6
CPCT02380013T	10	8	0	30	28	7	30	13	11	13	11
CPCT02010613T	3	5	6	44	61	34	40	14	10	7	7
CPCT02010577T	0	21	6	58	34	19	97	20	31	14	13
CPCT02050202T	22	69	13	69	10	49	94	18	23	14	12
CPCT02020559T	100	114	33	0	110	75	97	517	46	9	13
CPCT02050213T	11	89	33	9	113	19	122	6	13	6	0
CPCT02020568T	12	117	38	0	80	26	29	8	26	2	3
CPCT02030364T	0	20	34	59	41	1	93	5	22	9	17
CPCT02050192T	6	7	4	20	52	8	181	14	23	6	10
CPCT02010596T	0	8	0	25	55	16	93	6	4	7	7
CPCT02030365T	7	11	1	17	21	17	91	5	18	7	15
DRUP01010036T	7	30	21	27	130	6	156	25	38	2	9
CPCT02230043T	138	252	30	38	33	84	43	54	33	25	15
CPCT02080135T	176	121	83	0	343	63	161	40	126	49	37
CPCT02050229T	1	71	6	2	29	9	72	5	9	8	8
CPCT02010632T	8	18	13	10	40	3	66	11	19	3	6
CPCT02020579T	33	47	24	0	65	28	79	5	16	6	0
CPCT02020587T	28	11	99	0	583	12	166	43	127	11	14
CPCT02070040T	562	515	3	0	0	105	186	64	34	156	40
CPCT02070050T	369	665	29	21	111	87	54	25	8	112	27
CPCT02300004T	26	142	40	18	45	45	59	28	26	7	4
CPCT02020424T	1	21	20	22	17	55	30	3	13	4	3
CPCT02020433T	0	7	34	45	44	21	27	5	0	13	10
CPCT02010466T	10	11	4	55	34	28	38	18	9	1	4
CPCT02010454T	8	17	16	41	40	7	26	8	1	11	4
CPCT02140036T	214	334	37	0	119	77	11	33	0	81	0
CPCT02010350T	7	97	21	34	30	8	30	13	15	5	1
CPCT02100039T	541	524	15	10	67	200	44	42	65	691	48
CPCT02050106T	220	334	90	0	302	12	21	30	168	17	45
CPCT02020415T	10	64	8	0	36	31	33	4	16	3	0
