Samples	ID83A	ID83B	ID83C
CPCT02340010TIII	2.35E+00	2.35E+00	2.61E-01
CPCT02060033TII	1.12E+00	1.55E+00	1.11E+00
CPCT02020582T	4.35E-01	9.01E-01	8.55E-01
DRUP01050040T	2.51E+00	2.87E+00	1.70E+00
CPCT02180041T	1.47E+00	1.67E+00	1.39E+00
CPCT02060137T	3.17E-01	8.61E-01	8.33E-01
CPCT02070403T	1.77E-01	6.04E-01	6.12E-01
CPCT02050264T	1.80E+00	1.95E+00	1.02E+00
CPCT02060143T	4.03E+00	3.83E+00	4.12E+00
CPCT02010988T	6.35E-01	1.08E+00	9.00E-01
CPCT02010993T	1.09E+00	1.79E+00	1.59E+00
CPCT02450003T	1.83E+00	2.07E+00	1.43E+00
CPCT02230049T	7.88E-01	2.30E+00	2.20E+00
CPCT02010995T	1.15E+00	1.65E+00	1.39E+00
CPCT02010878TII	1.04E+00	1.64E+00	1.40E+00
CPCT02010656T	2.38E-01	4.64E-01	4.47E-01
CPCT02010645T	5.27E-01	9.52E-01	9.21E-01
DRUP01330016T	3.50E+00	4.26E+00	2.57E+00
DRUP01080005T	4.66E+00	4.28E+00	5.90E+00
CPCT02020879T	1.06E+00	1.44E+00	1.18E+00
DRUP01090004T	6.76E-01	1.57E+00	1.63E+00
CPCT02020613T	8.96E-01	1.83E+00	1.67E+00
DRUP01110006T	2.59E+00	2.87E+00	1.18E+00
CPCT02010993TII	1.08E+00	1.56E+00	1.22E+00
CPCT02060125T	1.48E+00	1.95E+00	1.17E+00
CPCT02010647T	1.74E+00	1.96E+00	1.01E+00
CPCT02170013T	2.32E+00	2.60E+00	1.34E+00
CPCT02170009T	6.95E-01	1.42E+00	1.31E+00
CPCT02170012T	1.27E+00	1.84E+00	1.46E+00
CPCT02020608T	2.67E-01	5.90E-01	5.53E-01
CPCT02010653T	4.54E-01	9.50E-01	9.02E-01
CPCT02230061T	2.46E+00	2.93E+00	1.29E+00
CPCT02050282T	1.87E+00	2.37E+00	1.50E+00
CPCT02010560T	5.02E-01	9.11E-01	8.28E-01
CPCT02380007T	8.59E-01	1.01E+00	6.35E-01
CPCT02380006T	2.29E+00	2.93E+00	3.52E+00
CPCT02080105T	4.25E+00	4.28E+00	5.06E+00
CPCT02340010T	2.07E+00	2.09E+00	3.88E-01
CPCT02010574T	8.64E-01	1.22E+00	8.79E-01
CPCT02180026T	3.11E+00	3.34E+00	1.91E+00
CPCT02100074T	9.10E-01	1.13E+00	7.64E-01
CPCT02120018T	8.62E-01	1.39E+00	1.23E+00
CPCT02380008T	1.90E+00	2.14E+00	1.09E+00
CPCT02170003T	5.39E-01	9.69E-01	8.48E-01
CPCT02020523T	1.11E+00	1.33E+00	9.12E-01
CPCT02060081T	1.66E+00	1.92E+00	1.17E+00
CPCT02110035T	4.57E-01	9.46E-01	8.73E-01
CPCT02080118T	7.05E-01	1.07E+00	8.51E-01
CPCT02010589T	2.02E-01	6.85E-01	6.79E-01
CPCT02030349T	6.46E+00	5.17E+00	5.02E+00
CPCT02110039T	1.79E+00	1.95E+00	8.28E-01
CPCT02030353T	2.35E+00	2.79E+00	1.93E+00
CPCT02020540T	1.96E+00	2.92E+00	2.88E+00
CPCT02010611T	1.16E-01	5.67E-01	5.89E-01
CPCT02010608T	7.97E-01	1.12E+00	9.86E-01
CPCT02330041T	4.47E+00	5.29E+00	3.98E+00
CPCT02380013T	4.72E-01	7.09E-01	5.23E-01
CPCT02010613T	3.93E-01	9.06E-01	8.57E-01
CPCT02010577T	3.18E-01	9.16E-01	8.60E-01
CPCT02050202T	8.28E-01	1.21E+00	9.19E-01
CPCT02020559T	1.43E+00	1.96E+00	1.52E+00
CPCT02050213T	6.38E-01	1.15E+00	1.06E+00
CPCT02020568T	8.41E-01	1.29E+00	1.07E+00
CPCT02030364T	4.21E-01	1.12E+00	1.17E+00
CPCT02050192T	3.91E-01	6.74E-01	5.54E-01
CPCT02010596T	3.01E-01	8.90E-01	9.44E-01
CPCT02030365T	3.79E-01	7.87E-01	7.55E-01
DRUP01010036T	4.26E-01	1.17E+00	1.21E+00
CPCT02230043T	2.10E+00	2.30E+00	1.17E+00
CPCT02080135T	1.72E+00	2.18E+00	1.92E+00
CPCT02050229T	3.32E-01	5.76E-01	4.94E-01
CPCT02010632T	4.12E-01	8.10E-01	7.60E-01
CPCT02020579T	9.12E-01	1.24E+00	9.65E-01
CPCT02020587T	7.36E-01	2.14E+00	2.09E+00
CPCT02070040T	2.88E+00	2.93E+00	9.80E-01
CPCT02070050T	3.53E+00	3.62E+00	1.41E+00
CPCT02300004T	9.63E-01	1.35E+00	1.03E+00
CPCT02020424T	3.67E-01	9.05E-01	9.69E-01
CPCT02020433T	3.59E-01	1.05E+00	1.02E+00
CPCT02010466T	5.89E-01	1.05E+00	9.07E-01
CPCT02010454T	5.81E-01	7.96E-01	7.25E-01
CPCT02140036T	2.56E+00	2.93E+00	1.44E+00
CPCT02010350T	7.13E-01	1.04E+00	8.03E-01
CPCT02100039T	3.98E+00	4.53E+00	1.70E+00
CPCT02050106T	2.21E+00	2.77E+00	1.76E+00
CPCT02020415T	5.57E-01	7.93E-01	6.80E-01
CPCT02180014T	1.46E+00	1.93E+00	1.26E+00
CPCT02090006T	5.65E-01	1.11E+00	1.20E+00
CPCT02020444T	6.10E-01	1.91E+00	1.87E+00
CPCT02030314T	7.45E-01	1.14E+00	1.06E+00
CPCT02190010T	1.17E+00	1.50E+00	9.73E-01
DRUP01010013T	1.08E+00	1.44E+00	1.18E+00
CPCT02080086T	4.36E+00	4.23E+00	5.54E+00
CPCT02010438T	2.77E-01	9.46E-01	9.57E-01
CPCT02190012T	1.30E+00	2.32E+00	1.98E+00
