Sample Names	MutationType	ID1	ID2	ID4	ID6	ID8	ID9	ID19	ID21	ID23	ID25
SP101682	2:Del:R:0	0.021800227051517677	0.00561624182621038	0.0	0.0	0.25665701809840646	0.41864900596505383	0.0	0.29727750705881156	0.0	0.0
SP101682	2:Del:R:1	0.011182945199487294	0.035297196734402805	0.0	0.0	0.08702223536732516	0.029319686583276536	0.0	0.8371779361155082	0.0	0.0
SP101682	2:Del:R:2	0.02780547326526647	0.11737392952677407	0.0	0.0	0.02882152636577333	0.06997389339219696	0.0	0.7560251774499891	0.0	0.0
SP101682	2:Del:R:3	0.06834768350975634	0.12771777881484955	0.0	0.0	0.003997924055278691	0.015360289765151932	0.0	0.7845763238549635	0.0	0.0
SP101682	2:Del:R:4	0.012775244113730677	0.2226444767014361	0.0	0.0	0.059054686551168634	1.2658254698769773e-15	0.0	0.7055255926336633	0.0	0.0
SP101682	2:Del:R:5	6.491366718375235e-16	9.881554981454175e-16	0.0	0.0	0.15048000103609976	1.060975647927795e-15	0.0	0.8495199989638976	0.0	0.0
SP101682	3:Del:R:0	0.003207484071402299	0.0003378408467815958	0.0	0.0	0.2529643723148545	0.07159431595965915	0.0	0.6718959868073023	0.0	0.0
SP101682	3:Del:R:1	0.020137838566335706	0.021693730674351982	0.0	0.0	0.004992690711382412	0.017287906532598277	0.0	0.9358878335153316	0.0	0.0
SP101682	3:Del:R:2	0.013041181890355144	0.041878337872636305	0.0	0.0	0.005879030124314667	0.021623635351467597	0.0	0.9175778147612262	0.0	0.0
SP101682	3:Del:R:3	0.029587191453678576	0.034617066934962595	0.0	0.0	0.01860835962658701	0.024076611314216703	0.0	0.8931107706705551	0.0	0.0
SP101682	3:Del:R:4	8.573239802954092e-16	1.1094500260191108e-15	0.0	0.0	0.0006393463933193624	1.4012455387909861e-15	0.0	0.9993606536066773	0.0	0.0
SP101682	3:Del:R:5	1.4519029948725507e-15	1.8694203372524218e-15	0.0	0.0	0.0367650742460572	2.373049910048489e-15	0.0	0.9632349257539371	0.0	0.0
SP101682	4:Del:R:0	0.003260900801648643	0.0004270001815176825	0.0	0.0	0.20157560071695543	0.0468619246256904	0.0	0.7478745736741877	0.0	0.0
SP101682	4:Del:R:1	0.004760163250019198	0.012067266043562761	0.0	0.0	0.00790182867271846	0.02428556365277345	0.0	0.9509851783809261	0.0	0.0
SP101682	4:Del:R:2	8.972494778148212e-05	0.01628336890609399	0.0	0.0	0.00697521553988989	0.024890311644258433	0.0	0.9517613789619761	0.0	0.0
SP101682	4:Del:R:3	3.0529805168300605e-16	0.0007234869634691812	0.0	0.0	0.002446656353128241	0.002195194450167838	0.0	0.9946346622332344	0.0	0.0
SP101682	4:Del:R:4	8.604286644250503e-16	1.1078583415776507e-15	0.0	0.0	0.023296150554138247	1.4063199620965323e-15	0.0	0.9767038494458583	0.0	0.0
SP101682	4:Del:R:5	0.08830044794265667	0.6936460100813028	0.0	0.0	0.01784180422370744	0.04185868985516941	0.0	0.15835304789716365	0.0	0.0
SP101682	5:Del:R:0	3.676598698310218e-05	0.0001829029639231856	0.0	0.0	0.9651228206400615	0.0033994315906919767	0.0	0.031258078818340175	0.0	0.0
SP101682	5:Del:R:1	0.004295112603298561	0.07236562242599748	0.0	0.0	0.01187282544541027	0.010802227569407939	0.0	0.9006642119558859	0.0	0.0
SP101682	5:Del:R:2	0.022021037520855564	0.07474980278197027	0.0	0.0	0.0829629583019309	0.04617856270716297	0.0	0.7740876386880804	0.0	0.0
SP101682	5:Del:R:3	0.012262344825827026	0.11070925363203031	0.0	0.0	0.004876254082785016	0.003970664038839227	0.0	0.8681814834205185	0.0	0.0
SP101682	5:Del:R:4	0.015056489865662426	0.4424324958240473	0.0	0.0	0.5034241474858223	0.03509953425275003	0.0	0.003987332571718032	0.0	0.0
SP101682	5:Del:R:5	0.2490057252056224	0.18197055351330665	0.0	0.0	0.32460347816656926	0.23786808893444433	0.0	0.006552154180057477	0.0	0.0
SP101682	2:Ins:R:0	0.10683547117661076	0.09514731439808509	0.0	0.0	0.4691280303362632	0.30887541098794785	0.0	0.020013773101093143	0.0	0.0
SP101682	2:Ins:R:1	0.0006632908895057004	0.024672420850254503	0.0	0.0	0.1288383631085298	0.17678149997623802	0.0	0.6690444251754719	0.0	0.0
SP101682	2:Ins:R:2	0.08110750695380724	0.4093276526805532	0.0	0.0	0.10279732120489687	0.27882929268947415	0.0	0.12793822647126846	0.0	0.0
SP101682	2:Ins:R:3	0.16411920511792466	0.13130056090162223	0.0	0.0	0.05219822554561837	0.11221786440463229	0.0	0.5401641440302025	0.0	0.0
SP101682	2:Ins:R:4	0.37048098944861724	0.2713378478482551	0.0	0.0	0.0019444781637001514	0.0039043515073538667	0.0	0.3523323330320737	0.0	0.0
SP101682	2:Ins:R:5	0.31913053107085104	0.2590453918172535	0.0	0.0	0.02861869043574594	9.527291726227155e-17	0.0	0.39320538667614935	0.0	0.0
SP101682	3:Ins:R:0	8.930713423912949e-05	0.01820089841072317	0.0	0.0	0.17952980485054784	0.07429799047273827	0.0	0.7278819991317516	0.0	0.0
SP101682	3:Ins:R:1	0.08426730427792997	0.4380273231123286	0.0	0.0	0.20469788168737826	0.27241173291095244	0.0	0.0005957580114106922	0.0	0.0
SP101682	3:Ins:R:2	0.016136895802321853	0.08293847345302738	0.0	0.0	0.045757603786333194	0.04327359261855747	0.0	0.8118934343397601	0.0	0.0
SP101682	3:Ins:R:3	0.5526393433384055	0.010802099979882374	0.0	0.0	0.11572432259177814	0.017172390244225868	0.0	0.3036618438457081	0.0	0.0
SP101682	3:Ins:R:4	0.1469144529256642	0.2528486800270014	0.0	0.0	0.18576032687008895	0.026606554466852568	0.0	0.3878699857103928	0.0	0.0
