Samples	ID83A	ID83B
WIDE01010343T	1.17E+00	1.17E+00
WIDE01010036T	2.25E+00	2.25E+00
CPCT02010782T	2.72E+00	2.72E+00
DRUP01080030T	1.56E+00	1.56E+00
WIDE01010368T	1.20E+00	1.20E+00
WIDE01010242T	1.70E+00	1.70E+00
WIDE01010399T	1.18E+00	1.18E+00
WIDE01010395T	1.88E+00	1.88E+00
DRUP01230005T	2.45E+00	2.45E+00
DRUP01340010T	1.36E+00	1.36E+00
WIDE01010419T	1.42E+00	1.42E+00
WIDE01010403T	1.79E+00	1.79E+00
WIDE01010398T	2.31E+00	2.31E+00
WIDE01010422T	3.26E+00	3.26E+00
WIDE01010390T	3.18E+00	3.18E+00
DRUP01010149T	1.16E+00	1.16E+00
WIDE01010449T	1.81E+00	1.81E+00
WIDE01010238TII	4.16E+00	4.16E+00
WIDE01010417T	1.59E+00	1.59E+00
CPCT02370031T	2.20E+00	2.20E+00
CPCT02010811T	2.28E+00	2.28E+00
CPCT02010842T	1.47E+00	1.47E+00
CPCT02010836T	2.03E+00	2.03E+00
CPCT02010683T	3.71E+00	3.71E+00
CPCT02010852T	3.30E+00	3.30E+00
CPCT02040255T	3.08E+00	3.08E+00
CPCT02010858T	1.26E+00	1.26E+00
CPCT02010849T	1.48E+00	1.48E+00
CPCT02390026T	3.31E+00	3.31E+00
CPCT02010870T	4.49E+00	4.49E+00
CPCT02010847T	4.75E+00	4.75E+00
CPCT02190039T	2.13E+00	2.13E+00
CPCT02120147T	3.02E+00	3.02E+00
CPCT02010865T	1.23E+00	1.23E+00
CPCT02190040T	1.48E+00	1.48E+00
CPCT02120140T	1.78E+00	1.78E+00
CPCT02120138T	1.96E+00	1.96E+00
CPCT02370034T	3.50E+00	3.50E+00
CPCT02390028T	1.97E+00	1.97E+00
CPCT02010874T	3.05E+00	3.05E+00
CPCT02010867T	4.91E+00	4.91E+00
DRUP01010086T	2.77E+00	2.77E+00
CPCT02190043T	3.03E+00	3.04E+00
CPCT02270034T	3.53E+00	3.53E+00
CPCT02390030T	2.57E+00	2.57E+00
DRUP01270004T	2.65E+00	2.65E+00
WIDE01010591T	1.29E+00	1.29E+00
CPCT02390032T	2.73E+00	2.73E+00
CPCT02010853T	2.50E+00	2.50E+00
CPCT02190045T	2.50E+00	2.50E+00
CPCT02030508T	3.20E+00	3.20E+00
CPCT02010567TII	1.48E+00	1.48E+00
CPCT02040215TII	1.28E+00	1.28E+00
DRUP01010090T	3.74E+00	3.74E+00
CPCT02020784T	1.48E+00	1.48E+00
CPCT02010904T	2.46E+00	2.46E+00
CPCT02330122T	1.91E+00	1.91E+00
CPCT02270036T	3.79E+00	3.79E+00
CPCT02010894T	1.61E+00	1.61E+00
CPCT02010897T	2.85E+00	2.85E+00
DRUP01010092T	1.97E+00	1.97E+00
CPCT02010903T	1.19E+00	1.19E+00
CPCT02410006T	2.63E+00	2.63E+00
CPCT02190047T	3.23E+00	3.23E+00
DRUP01140006T	3.49E+00	3.49E+00
CPCT02120152T	1.48E+00	1.48E+00
CPCT02010895T	4.28E+00	4.28E+00
CPCT02040286T	3.63E+00	3.63E+00
CPCT02010913T	3.00E+00	3.00E+00
CPCT02010911T	4.74E+00	4.74E+00
CPCT02100184T	2.74E+00	2.74E+00
CPCT02330123T	3.23E+00	3.23E+00
CPCT02010919T	8.47E-01	8.47E-01
CPCT02410013T	2.96E+00	2.96E+00
CPCT02120161T	2.43E+00	2.43E+00
CPCT02010924T	1.92E+00	1.92E+00
CPCT02030531T	2.32E+00	2.32E+00
CPCT02060261T	5.22E+00	5.22E+00
CPCT02060265T	3.15E+00	3.15E+00
CPCT02010918T	3.83E+00	3.83E+00
CPCT02010925T	3.23E+00	3.23E+00
CPCT02070380T	4.10E+00	4.10E+00
CPCT02010931T	2.10E+00	2.10E+00
DRUP01010096T	4.59E+00	4.59E+00
CPCT02010938T	2.44E+00	2.44E+00
