Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
DRUP01010047TII	101563	18612	0	0	1409	166	455	117
CPCT02010880T	197	34	321	351	98	49	200	104
CPCT02010884T	100	164	269	166	49	498	81	118
WIDE01010460T	135707	54057	7766	4039	2562	166	0	0
CPCT02010882T	129164	48595	0	2448	601	210	131	0
CPCT02080244T	336	128	478	293	46	174	236	149
CPCT02010881T	511	101	342	355	49	30	88	103
CPCT02170033T	242	234	200	76	129	99	49	327
CPCT02120079T	192	109	337	412	19	13	72	107
CPCT02040258T	555	100	374	451	195	1179	195	174
CPCT02040269T	295	227	332	351	104	150	199	298
CPCT02090059T	516	285	441	131	143	239	314	615
CPCT02330102T	343	244	446	166	328	70	329	134
CPCT02390033T	344	75	206	382	8	27	93	115
CPCT02030514T	0	816	664	122	211	171	174	549
CPCT02010898T	0	78	303	320	1	16	50	81
CPCT02110073T	559	0	419	409	9	22	73	74
CPCT02340095T	255	0	42	389	61	59	72	137
CPCT02050387T	231	84	533	389	0	8	57	49
CPCT02390034T	866	149	635	663	121	484	108	212
CPCT02130144T	150	889	1490	449	72	51	196	234
CPCT02210064T	2094	404	887	532	14	51	92	98
CPCT02410008T	107	0	202	257	19	9	51	60
CPCT02170037T	364	104	395	211	113	1268	55	219
CPCT02170035T	99205	40171	43	1153	1679	124	0	0
CPCT02020802T	298	329	622	289	0	65	39	73
CPCT02230117T	753	183	649	752	51	80	158	253
CPCT02350009T	1015	595	193	199	205	203	230	443
CPCT02210070T	224	144	471	345	74	48	73	107
CPCT02120160T	508	242	501	408	59	113	84	87
CPCT02180072T	244	17	285	360	23	52	43	195
CPCT02350012T	234	148	437	318	48	71	59	64
CPCT02050397T	363	120	321	263	136	116	80	106
CPCT02030528T	487	277	303	431	204	409	288	308
CPCT02100182T	344	21	351	281	32	214	72	62
DRUP01050031T	901	334	266	539	223	86	664	330
CPCT02370036T	307	43	588	674	150	163	86	144
CPCT02050398T	303	34	1139	664	84	20	4	120
CPCT02120162T	166	84	335	393	122	13	74	120
CPCT02130137T	318	0	549	710	0	42	47	197
CPCT02300048T	74	219	450	242	108	24	199	157
CPCT02250011T	209	268	342	191	306	1316	205	618
CPCT02050261T	381	367	382	217	26	101	43	180
DRUP01160001T	308	24	300	214	338	466	649	753
CPCT02150025T	113	54	244	454	251	38	41	73
DRUP01020033T	761	197	665	473	78	382	385	147
CPCT02460002T	307	56	358	312	89	813	876	87
CPCT02040264T	440	140	418	354	99	182	63	135
CPCT02370037T	598	347	610	278	71	93	101	350
CPCT02100188T	1	0	0	61	9	2	34	55
DRUP01220004T	128	37	131	142	90	53	186	55
CPCT02380011T	158	121	378	350	97	139	358	55
CPCT02160057T	162	215	213	300	98	179	249	83
CPCT02050220T	273	0	252	473	65	185	94	117
CPCT02220059T	82	34	203	237	66	526	30	87
DRUP01090023T	80	117	325	239	33	24	81	87
CPCT02120171T	385	154	538	345	0	86	186	91
CPCT02050269T	107	47	312	211	33	189	34	140
CPCT02230023T	592	273	193	4	425	18	148	639
CPCT02180045T	920	45	901	494	63	57	118	178
CPCT02090023T	380	0	1004	844	0	384	139	268
CPCT02050238T	131	0	312	351	11	55	120	65
CPCT02070405T	1186	230	604	524	32	253	276	157
CPCT02060135T	333	197	462	377	65	74	140	100
CPCT02230053T	644	0	731	571	0	41	79	154
CPCT02330052T	453	673	808	371	147	132	139	218
CPCT02330049T	565	67	443	452	178	103	181	267
DRUP01010047T	114835	23806	0	52	726	272	992	580
CPCT02370002TII	380	20	307	814	329	122	269	181
CPCT02190023T	442	370	513	426	38	116	89	115
CPCT02230055T	142	148	218	572	404	205	181	455
CPCT02030414T	464	639	941	446	11	19	42	109
DRUP01030026T	500	327	389	261	0	15	53	79
CPCT02050278T	184	174	528	416	79	36	68	107
CPCT02210027T	261	172	636	573	93	284	63	225
CPCT02230045T	424	244	470	397	0	51	85	90
CPCT02110046T	156	0	150	365	43	370	249	139
CPCT02010674T	336	0	185	692	37	249	21	103
CPCT02050279T	103415	33241	2472	1941	302	30	0	0
CPCT02220027T	450	259	701	356	66	214	102	100
CPCT02160034T	2681	63	958	566	146	73	110	156
CPCT02070239T	295	0	663	735	0	18	51	122
CPCT02340024T	872	0	644	689	55	210	336	171
CPCT02030382T	641	0	321	327	5	96	70	115
CPCT02120054T	98	0	144	337	35	139	111	207
CPCT02310002T	406	299	400	236	23	90	56	96
CPCT02120066T	576	270	656	367	588	209	286	225
CPCT02440001T	425	250	639	265	55	60	128	78
CPCT02100120T	1652	695	1396	766	0	510	135	118
DRUP01010051T	90252	35685	3438	570	1314	86	0	0
CPCT02340036T	425	159	387	152	805	218	297	218
CPCT02040165T	210	112	441	365	337	189	141	154
CPCT02450004T	565	0	487	614	19	354	73	164
CPCT02330051T	376	0	339	656	57	148	88	214
CPCT02080126T	128	0	444	273	47	67	405	110
CPCT02240007T	102	0	38	324	51	31	0	129
CPCT02340014T	20	0	131	234	154	2350	254	117
CPCT02170016T	386	65	387	384	49	165	66	129
CPCT02330055T	342	184	256	137	29	75	37	106
CPCT02180042T	295	34	331	305	58	252	82	98
CPCT02010666T	186	331	392	186	65	34	99	84
CPCT02340029T	1106	312	1093	640	0	179	687	88
CPCT02070232T	226	50	229	323	32	38	470	81
CPCT02080042T	631	0	877	662	0	66	157	167
CPCT02240009T	271	91	480	664	58	197	88	196
CPCT02230057T	141	0	202	513	34	137	424	247
CPCT02040183T	0	0	126	143	37	0	58	131
CPCT02050256T	165	0	223	334	4	102	60	124
CPCT02050258T	309	137	1012	623	0	106	20	93
CPCT02330053T	160	370	511	237	213	220	49	174
DRUP01010041T	820	148	482	686	224	485	157	148
DRUP01010044T	2510	0	715	864	58	335	53	213
CPCT02020611T	475	0	591	463	123	132	736	168
CPCT02050252T	1174	267	1204	768	46	623	83	171
CPCT02290017T	272	0	640	471	3	54	54	104
CPCT02050259T	1370	154	264	550	92	495	309	289
CPCT02060155T	259	0	287	743	85	64	65	214
CPCT02050260T	168	9	335	462	158	19	35	186
CPCT02290016T	261	151	303	317	66	134	111	91
CPCT02050118T	316	419	514	124	26	63	119	211
CPCT02090004T	535	410	441	149	110	760	148	293
CPCT02050115T	532	379	528	303	18	220	40	115
CPCT02210007T	250	466	953	289	8	78	68	62
CPCT02050175T	317	223	563	298	10	130	56	85
CPCT02380005T	129	259	470	169	35	103	175	60
CPCT02010543T	170	246	783	265	136	124	114	141
CPCT02270001T	379	228	782	258	48	771	451	89
CPCT02100019T	76420	18971	9266	5466	880	281	362	0
CPCT02010576T	85	40	133	67	283	9	34	35
CPCT02330024T	288	283	520	249	36	62	48	90
CPCT02120021T	254	485	701	111	84	22	153	129
CPCT02120023T	236	126	322	205	42	74	119	35
CPCT02030343T	167	122	200	132	9	7	34	90
CPCT02330036T	517	212	430	274	105	103	67	84
CPCT02050184T	758	743	294	40	255	99	625	251
DRUP01070017T	443	229	520	230	175	845	327	93
CPCT02210018T	626	543	928	324	0	193	78	32
CPCT02020521T	85	153	287	65	129	19	195	66
CPCT02110033T	525	0	563	0	8	77	102	1845
CPCT02220019T	229	359	921	385	255	706	94	120
CPCT02010579T	419	432	980	384	0	34	76	172
CPCT02010587T	166	113	337	175	43	113	124	106
CPCT02220020T	100	291	531	307	51	170	80	135
CPCT02060096T	462	97	568	353	0	113	74	45
CPCT02070167T	217	183	491	88	0	22	48	46
CPCT02080077T	145	171	429	184	19	72	55	50
CPCT02300017T	63	291	536	269	345	17	41	66
CPCT02010590T	805	483	561	448	219	505	181	114
CPCT02220022T	254	388	921	87	15	54	72	195
CPCT02120031T	468	409	536	225	27	202	117	68
CPCT02120030T	256	412	590	147	16	127	94	119
DRUP01010025T	110482	32574	3602	0	2253	105	0	0
CPCT02010604T	71	94	311	271	37	28	42	76
CPCT02100086T	223	115	345	98	119	141	118	422
CPCT02050199T	257	397	334	326	122	153	96	121
CPCT02220023T	0	338	51	152	832	64	4611	313
CPCT02010605T	315	357	892	252	0	56	68	45
CPCT02060103T	1037	131	620	191	71	141	104	100
CPCT02010607T	281	133	270	221	69	498	131	67
CPCT02010598T	893	314	355	229	39	58	71	78
CPCT02140047T	364	468	443	184	113	18	155	122
CPCT02070171T	283	77	592	529	0	48	64	99
CPCT02220024T	525	325	675	124	279	718	227	445
CPCT02160028T	295	488	822	190	38	197	101	74
CPCT02370005T	467	117	335	389	40	90	40	322
CPCT02230024T	105	311	465	260	193	221	102	260
CPCT02230032T	572	304	601	294	1	95	84	63
CPCT02070185T	245	352	744	165	23	146	200	92
CPCT02230027T	305	273	823	650	230	53	100	222
CPCT02030357T	141656	65868	0	0	824	235	0	0
CPCT02080062T	425	107	662	547	0	81	127	136
CPCT02330045T	303	229	492	316	182	50	306	72
CPCT02010614T	138	0	124	366	14	193	34	111
CPCT02380015T	183	119	270	341	51	9	43	93
CPCT02050187T	554	80	442	376	247	88	88	140
CPCT02050211T	72871	26983	4378	1301	1068	232	0	0
CPCT02020554T	782	5	720	734	42	320	116	338
CPCT02030361T	191	320	734	245	342	493	286	235
CPCT02080131T	173	121	330	161	141	47	34	53
CPCT02380016T	4916	879	342	292	87	1042	74	90
CPCT02340017T	253	0	174	440	89	310	519	300
CPCT02010623T	1034	144	935	517	230	447	92	124
CPCT02010624T	743	0	804	509	64	58	127	113
DRUP01090003T	83957	39623	626	1638	0	329	0	0
CPCT02210023T	273	0	157	706	236	260	168	180
CPCT02210024T	41	1	139	346	229	579	46	152
CPCT02050227T	78	22	239	200	10	18	59	105
CPCT02070198T	314	0	155	525	70	69	76	164
CPCT02030371T	246	123	497	235	195	441	206	233
CPCT02040140T	139	0	50	401	129	20	36	138
CPCT02060124T	4	90	140	176	123	2	169	355
CPCT02220025T	724	283	744	385	75	148	152	167
CPCT02120042T	153486	38363	0	0	2382	257	335	37
CPCT02120048T	301	53	162	267	65	28	43	71
CPCT02120044T	191	0	168	281	53	116	27	132
CPCT02120041T	138	50	351	332	3	79	36	87
CPCT02050234T	961	0	588	505	1	28	70	120
CPCT02050241T	188	44	204	410	148	77	151	303
CPCT02100106T	211	34	325	591	5	27	61	105
CPCT02210029T	381	35	432	161	155	404	27	310
CPCT02340022T	925	0	5674	2990	184	596	0	0
CPCT02040148T	718	486	1181	608	0	27	112	140
CPCT02040152T	501	166	444	344	21	27	74	97
CPCT02040151T	307	43	263	411	74	139	82	76
CPCT02180008T	557	193	1293	481	0	79	39	55
CPCT02110012T	41	36	138	119	24	5	24	36
CPCT02050093T	394	663	550	252	429	69	64	200
CPCT02040068T	152	259	304	250	24	84	62	103
CPCT02050085T	526	413	677	227	44	193	219	201
CPCT02110013T	1155	0	726	707	149	183	519	195
CPCT02100042T	106	233	666	285	87	344	297	142
CPCT02040067T	319	237	489	332	18	39	97	144
CPCT02030306T	220	441	784	213	18	53	169	388
CPCT02050097T	329	304	513	192	240	46	42	66
CPCT02040062T	90	476	635	210	64	101	26	47
CPCT02190004T	174	94	98	222	58	64	55	78
CPCT02070066T	470	392	551	301	166	927	129	95
CPCT02230003T	256	197	491	463	1061	135	20	58
CPCT02210008T	465	345	508	259	100	157	105	145
CPCT02050095T	473	117	330	328	61	201	43	75
CPCT02210009T	341	179	374	162	158	188	417	128
CPCT02230005T	63	97	210	67	80	14	42	28
CPCT02010473T	108	284	392	131	16	28	84	35
CPCT02010485T	114	214	246	0	70	127	103	441
CPCT02050104T	32	339	370	172	327	3125	588	212
CPCT02010483T	375	318	387	210	28	488	93	101
CPCT02020442T	350	367	385	292	37	63	203	79
CPCT02050107T	131	169	264	130	7	54	34	44
CPCT02070070T	374	126	329	205	121	247	237	208
CPCT02050113T	7	321	506	230	4	160	49	59
CPCT02020454T	293	243	668	321	208	316	121	71
CPCT02010474T	1446	356	394	240	147	204	277	256
CPCT02010471T	260	235	283	324	30	24	128	83
CPCT02040075T	153	478	509	237	63	10	143	100
