Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
CPCT02010441T	32773	10157	10111	10908	4026	2963	2818	1190	1007	139	827	0	0	0
DRUP01010007T	2253	0	114	0	673	250	0	0	0	0	173	189	0	634
DRUP01070001T	57071	1100	16482	7456	6718	3059	8711	4234	0	351	0	0	0	0
CPCT02011015T	0	0	217	309	326	0	578	500	97	6724	339	537	0	263
CPCT02230072T	0	11333	12112	0	3117	2902	1902	598	55	1551	1150	2010	2058	478
CPCT02380035T	17182	772	9501	0	1173	1913	1380	452	0	185	780	116	499	339
CPCT02020704TII	34446	7224	6399	0	595	8137	4282	2003	531	470	1076	735	112	115
DRUP01010020T	22220	30320	6457	1225	336	7051	4897	0	62	0	808	787	0	0
CPCT02011050T	22485	6529	3412	152	2326	2624	2215	367	290	21	2606	0	0	0
CPCT02080188T	0	139	0	0	282	82	293	273	0	4536	99	343	49	95
CPCT02250005T	17819	1783	11739	698	645	1198	2162	357	205	240	385	561	0	63
DRUP01070038T	10803	7742	1193	0	1096	1069	584	33	0	107	326	557	0	0
DRUP01010123T	55834	47435	28119	31833	8304	14427	6554	0	1368	0	2514	402	0	0
CPCT02200005T	3510	6026	2154	0	0	0	688	0	67	13	3	40	0	0
CPCT02120105T	1666	960	810	25	26	0	0	202	25	71	14	428	338	45
CPCT02330076T	119367	0	4882	7734	402	5080	7920	12829	416	707	1202	0	0	79
CPCT02220071T	6203	2941	2724	0	590	666	620	257	84	28	190	226	0	11
CPCT02020671T	506	0	0	128	12	152	387	299	0	7489	132	357	0	147
CPCT02050424T	0	0	0	0	0	0	0	217	0	1115	0	2603	980	611
DRUP01340017T	68604	33735	31096	33502	8893	1985	13727	0	868	153	567	321	0	1622
CPCT02230088T	0	48	0	0	25	119	292	346	0	6714	180	686	0	245
DRUP01010122T	60801	16452	27709	25612	6047	12541	6129	2637	570	300	1131	206	0	208
CPCT02230086T	13679	4592	5123	0	2995	3040	2556	1152	0	361	291	103	0	192
WIDE01010064T	1136	459	148	0	755	776	0	16	0	389	285	371	0	311
CPCT02150052T	0	0	0	1263	0	0	0	257	0	289	531	833	1967	981
WIDE01010069T	42628	28254	8809	0	3279	3151	12633	311	401	161	0	0	2700	0
DRUP01010078T	0	0	0	82	141	0	444	361	56	6986	63	335	0	134
WIDE01010075T	12815	5827	249	0	454	781	1577	1188	0	0	64	0	0	0
CPCT02020680T	12761	14514	6389	939	53	3040	1466	882	122	46	659	941	0	79
