Samples	ID83A	ID83B	ID83C
CPCT02120052T	265	798	123
CPCT02100105T	67	532	1560
CPCT02100102T	70	277	69
CPCT02260008T	124	665	114
CPCT02100067TII	50	888	29
CPCT02210028T	105	850	86
CPCT02100104T	40	487	65
CPCT02020591T	19	332	32
CPCT02010639T	55	481	923
CPCT02080055T	3	91	61
CPCT02180007T	20	596	0
CPCT02080056T	453	694	212
CPCT02040070T	74	617	266
CPCT02040069T	155	680	7
CPCT02290001T	41	657	281
CPCT02100043T	16	265	35
CPCT02020407T	63	595	405
CPCT02210004T	34333	11594	0
CPCT02100035T	66	275	44
CPCT02010433T	28	103	24
CPCT02100049T	113	826	477
CPCT02290003T	55	336	63
CPCT02030305T	48	161	136
CPCT02100037T	39	339	19
CPCT02080060T	81	222	102
CPCT02010447T	56	323	496
CPCT02060059T	37	420	25
CPCT02100048T	179	578	179
CPCT02040071T	37	282	49
CPCT02050096T	30	214	539
CPCT02010461T	60	556	220
CPCT02100050T	34	362	62
CPCT02020436T	61	1011	85
CPCT02160014T	30	109	40
CPCT02230002T	69	517	0
CPCT02160015T	61	823	0
CPCT02080064T	50	629	89
CPCT02080063T	125	419	27
CPCT02010468T	242	586	225
CPCT02300005T	67	457	0
CPCT02100051T	49	264	147
CPCT02160013T	141	281	39
CPCT02080069T	83	346	47
CPCT02080067T	40	382	107
CPCT02010427T	160	468	13
CPCT02330017T	38	333	132
CPCT02050109T	36	200	69
CPCT02070078T	350	667	134
CPCT02210010T	22	167	22
CPCT02080070T	43	526	28
CPCT02050117T	33	324	30
CPCT02080072T	147	400	122
CPCT02080073T	202	497	1485
CPCT02040078T	243	503	31
CPCT02080076T	15	181	30
CPCT02010508T	30	249	4
CPCT02080019T	173	408	69
CPCT02190009T	62	698	427
CPCT02010509T	202	343	38
DRUP01010012T	202	424	401
CPCT02020441T	102	346	44
CPCT02140039T	48	398	308
CPCT02040086T	17	697	0
CPCT02060070T	19	190	385
DRUP01020002T	60	374	1292
CPCT02100055T	146	731	0
CPCT02220008T	364	642	242
CPCT02300008T	41	252	1436
CPCT02010520T	26	306	46
CPCT02020475T	37	354	30
CPCT02020478T	74	493	66
CPCT02010523T	51	3003	0
CPCT02050120T	124	588	9
CPCT02050143T	162	525	67
CPCT02050138T	70	771	0
CPCT02010528T	55	317	27
CPCT02110020T	62	301	30
CPCT02300009T	92	725	1363
CPCT02020493T	76	407	892
CPCT02020487T	110	687	0
CPCT02020345TII	87	520	28
CPCT02030329T	21	365	6
CPCT02370003T	286	163	1722
CPCT02290008T	73	392	841
CPCT02160018T	33	259	19
CPCT02160019T	19	201	17
CPCT02110023T	82	685	8
CPCT02110028T	140	333	12
CPCT02010555T	308	789	81
CPCT02110029T	248	780	127
CPCT02210014T	78	269	50
CPCT02060075T	411	489	198
CPCT02020490T	51	371	37
CPCT02050127T	13	324	69
CPCT02040097T	157	353	194
CPCT02050146T	28	297	12
CPCT02080095T	86	617	0
CPCT02110030T	64	513	42
CPCT02290010T	190	905	0
CPCT02010554T	64	649	0
CPCT02050156T	93	513	4
CPCT02300014T	71	306	42
CPCT02230014T	339	792	0
CPCT02230016T	25	455	0
CPCT02220029T	175	878	257
CPCT02140053T	138	569	152
CPCT02050285T	34	648	525
CPCT02050288T	139	662	266
CPCT02020637T	46	750	41
CPCT02010682T	72	339	288
CPCT02330066T	373	1082	118
CPCT02330067T	10	349	62
CPCT02020599T	253	927	84
CPCT02030384T	30	415	184
CPCT02010419TII	146	457	1932
CPCT02020493TII	75	696	1355
CPCT02010691T	104	526	67
CPCT02210037T	115	222	853
CPCT02040191T	41	225	46
CPCT02190026T	81	385	40
CPCT02390008T	58	354	64
CPCT02190024T	127	619	175
CPCT02010694T	83	505	98
CPCT02230071T	16	219	155
CPCT02230074T	21	292	13
CPCT02100132T	64	955	247
CPCT02330071T	347	561	100
CPCT02380026T	125	775	429
CPCT02080170T	42	200	86
CPCT02380024T	139	595	55
CPCT02040207T	178	350	3
CPCT02340047T	18	153	282
CPCT02360008T	35	139	62
CPCT02080173T	5	130	60
DRUP01080009T	73	892	195
CPCT02030428T	22	356	0
CPCT02300028T	9	328	23
WIDE01010647T	55	437	222
WIDE01010448T	28	320	266
WIDE01010481T	96	217	893
WIDE01010468T	245	647	275
WIDE01010489T	59	246	234
WIDE01010478T	121	134	89
WIDE01010534T	105	282	185
WIDE01010547T	76	478	82
WIDE01010550T	46	327	276
WIDE01010584T	38	100	476
WIDE01010564T	96	399	58
WIDE01010574T	155	318	1824
WIDE01010035T	18	172	47
WIDE01010613T	25	404	0
WIDE01010659T	74	201	58
WIDE01010649T	21	329	33
WIDE01010701T	191	772	96
WIDE01010702T	9	228	72
