hdp.1	hdp.2
A[Ins(T):R5]C	0.00166900577175098	0.00746968008173772
A[Ins(T):R5]G	0.000620369067661775	0.00517080662924777
A[Ins(T):R6]A	0.00258188100559591	0.0120048133699561
A[Ins(T):R6]C	0.00408433242339575	0.0163081518782426
A[Ins(T):R6]G	0.00153612949503972	0.0161128471531123
A[Ins(T):R7]A	0.00161408217849528	0.0167340074041638
A[Ins(T):R7]C	0.00245183746435343	0.01786768706129
A[Ins(T):R7]G	0.00329767129210402	0.0181475823680055
A[Ins(T):R8]A	0.00234970161328482	0.0171088597853058
A[Ins(T):R8]C	0.00212376473061787	0.0150036324190916
A[Ins(T):R8]G	0.000965438214209987	0.0173829498560301
A[Ins(T):R(9,)]A	0	0
A[Ins(T):R(9,)]C	0	0
A[Ins(T):R(9,)]G	0	0
C[Ins(T):R0]A	0.000109794728447158	0.000529105794620702
C[Ins(T):R0]C	0.000263549314724569	0.000325507875217282
C[Ins(T):R0]G	0.00024928072125222	0.000704506853495747
C[Ins(T):R1]A	0.00122332205799701	0.00183860117033558
C[Ins(T):R1]C	0.00169061849421645	0.000771267067393814
C[Ins(T):R1]G	0.00359054466473684	0.00174779069304566
C[Ins(T):R2]A	0.000577720661437437	0.000417976991361809
C[Ins(T):R2]C	0.00110230130380322	0.00100264718761196
C[Ins(T):R2]G	0.000836129085866822	0.00154087549593302
C[Ins(T):R3]A	0.000485289552252586	0.00169678754826639
C[Ins(T):R3]C	0.000218855043995005	0.00109055504690631
C[Ins(T):R3]G	0.000640827712714041	0.00154004617650571
C[Ins(T):R4]A	8.13099995666964e-05	0.00129456762602338
C[Ins(T):R4]C	5.32973932643636e-05	0.00159478125870785
C[Ins(T):R4]G	0.000209150302111238	0.0016258807372318
C[Ins(T):R5]A	0.00047878475228725	0.00177225561615116
C[Ins(T):R5]C	0.00192306017684872	0.00286695726019399
C[Ins(T):R5]G	0.00106615769754422	0.00129871422315991
C[Ins(T):R6]A	0.000522429861732083	0.00625472712073564
C[Ins(T):R6]C	0.00162279021715855	0.00902714196621684
C[Ins(T):R6]G	0.00123895456113951	0.00863114193967862
C[Ins(T):R7]A	0.0011391268648973	0.00622279832278439
C[Ins(T):R7]C	0.00156204377877259	0.00669841301434391
C[Ins(T):R7]G	0.00144065581812915	0.0115876656980216
C[Ins(T):R8]A	0.00144637374713094	0.0118194604779534
C[Ins(T):R8]C	0.000973779046423603	0.00736850311160649
C[Ins(T):R8]G	0.00154861451432803	0.0129784343776124
C[Ins(T):R(9,)]A	0	0
C[Ins(T):R(9,)]C	0	0
C[Ins(T):R(9,)]G	0	0
G[Ins(T):R0]A	0.000686780976985283	0.000707824131204968
G[Ins(T):R0]C	0.000222264818170382	0.000183694253148097
G[Ins(T):R0]G	0.000338092224004747	0.000556058676008121
G[Ins(T):R1]A	0.000483191229683123	0.00416276886535833
G[Ins(T):R1]C	0.000154331624984013	0.00023718535620928
G[Ins(T):R1]G	0.00076211075722901	0.00200446505579661
G[Ins(T):R2]A	0.000301371579039142	0.00114155819168558
G[Ins(T):R2]C	0.00069496443500619	0.000212305773390125
G[Ins(T):R2]G	0.000401409107538297	0.000692896381513475
G[Ins(T):R3]A	0.000116351986476731	0.000261235619601131
G[Ins(T):R3]C	0.000105283334922813	0.000112787442113504
G[Ins(T):R3]G	0.000343862611070771	0.000430002123057734
G[Ins(T):R4]A	4.76319223268131e-05	0.000209403155394557
G[Ins(T):R4]C	6.36840899832061e-05	0.000521227260061303
G[Ins(T):R4]G	0.000191629308656221	0.000941692209705028
G[Ins(T):R5]A	0.000516607016601823	0.00191075196051113
G[Ins(T):R5]C	0.000763527124963397	0.00164702838262808
G[Ins(T):R5]G	0.000496935242513106	0.00204551636744822
G[Ins(T):R6]A	0.00187243814486043	0.00527861815479745
G[Ins(T):R6]C	0.0015713813142067	0.0087721262423205
G[Ins(T):R6]G	0.00149342863075115	0.0100293744941151
G[Ins(T):R7]A	0.00126938023839672	0.00827951050250123
G[Ins(T):R7]C	0.00235122289714768	0.00940406764592705
G[Ins(T):R7]G	0.00153733603051716	0.00862243408569192
G[Ins(T):R8]A	0.00153046402410217	0.00712385388055146
G[Ins(T):R8]C	0.000545091745482285	0.00908975558297838
G[Ins(T):R8]G	0.000764943492697785	0.0118725369213009
G[Ins(T):R(9,)]A	0	0
G[Ins(T):R(9,)]C	0	0
G[Ins(T):R(9,)]G	0	0
Del2:U1:R1	0.00580726508518193	0.00521600453803591
Del3:U1:R1	0.00139118786355406	0.00107438331807386
Del4:U1:R1	0.00205373321486204	0.000397658665392832
Del5:U1:R1	0.00182758649993815	0.000582596897681886
Del6:U1:R1	0.0026421028633395	0.000204841898544379
Del7:U1:R1	0.00209847994365584	0.000539057627748365
Del8:U1:R1	0.0024857778319145	0.000407195838806842
Del9:U1:R1	0.0023569932842137	0.00024506389076868
Del(10,):U1:R1	0.0420948687305138	0.00157238963417061
Del2:U(2,):R1	0.00873421523732605	0.00310621591497154
Del3:U(2,):R1	0.00582961222054671	0.00213881480302005
Del4:U(2,):R1	0.00794860326731906	0.00233992476414155
Del5:U(2,):R1	0.00444052267956212	0.00107189535979194
Del6:U(2,):R1	0.00330900223397912	0.000549838780303332
Del7:U(2,):R1	0.00747705772789645	0.000176645038016003
Del8:U(2,):R1	0.00526804864289414	0.00166029749346496
Del9:U(2,):R1	0.00653129128777518	0.000607476480501042
Del(10,):U(2,):R1	0.091908469490862	0.00689330307976063
Del2:U1:R3	0.005233426320498	0.00579611347743588
Del2:U1:R4	0.000721141009060242	0.00372281490917294
Del2:U1:R(5,9)	0.00100708991721383	0.00167605456258376
Del2:U2:R2	0.0114745195969164	0.0157454586468161
Del2:U2:R3	0.00172503098435564	0.0042933866751589
Del2:U2:R4	0.00038803230115797	0.000663870201557794
Del2:U2:R(5,9)	0.000331954630489068	0.00314394994891392
