hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14
A[Del(C):R7]T	0.000839514056223326	9.12132923924605e-05	0.000450504032276655	0.000205271029526928	0.000387147326158652	0.000802245329296044	5.80007636240042e-05	0.000311791132817301	5.38916278979091e-05	0.000114902137505886	0.00218029933362789	8.31100637216008e-06	0.000151396517873462	0.000397211509743524
A[Del(C):R8]A	0.00360554704821719	0.000489095659726532	0.00028360287409327	0.00113158389320001	0.000428259695683224	0.00141004587028466	4.90340000402806e-05	8.14570083383636e-05	0.000141694104118005	0.000789165239113824	0.000885227163702601	1.10982341189211e-05	0.000320953438775444	0.000926202028974244
A[Del(C):R8]G	0.000307238423102385	4.79465715880027e-05	8.7046791892329e-06	0.000126724348725157	6.6491891155142e-05	6.20121216764247e-05	5.70077258194081e-06	6.67605068794449e-05	1.73049781396755e-05	8.10642743363006e-05	0.000792900178117872	1.75848732386558e-05	0.000307901253110884	0.000203217573898747
A[Del(C):R8]T	0.000814318411800068	6.29459499655291e-05	0.000157348141615541	0.000643994666833417	0.000389909782728669	6.24792563029891e-05	3.75956756984509e-05	7.07255236623605e-05	2.73337503251846e-05	0.000232210076796768	0.000561381612494925	1.57605059862304e-05	0.000265569317755822	0.000912961645316126
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	2.42199974321929e-05	0.000448445629682766	0.0158325204970298	0.000283037035780286	0.00190323611000442	0.00135451524155181	0.00192988070320552	0.0048823363853241	0.00523886006220037	0.0019834088599125	0.000126867692547742	0.00356293856711865	0.000138772317988044	0.00108145668499235
G[Del(C):R1]G	0.000209958913116388	0.000136336298095529	0.00316485168572936	0.000120772671474875	0.000286058955102819	0.000955757445950772	0.000297344942038443	0.00129481884512742	0.000751028374782389	0.000774967393855132	0.000947332792256658	0.000357018535926023	0.000359844920705915	0.000758867382472553
G[Del(C):R1]T	0.000103452113928156	0.000897469018721526	0.00850218474538168	0.00025291536533308	0.00319348749197375	0.0012575848065397	0.00640927931009559	0.00634205546114287	0.00935545994116477	0.00332554302048928	0.000481850613006652	0.00320946741196123	0.00018362798884076	0.00168024931672182
G[Del(C):R2]A	5.93605345892482e-05	0.000771847361069884	0.0326447968978884	0.000134747518836575	0.000918582582306166	0.001667320265865	0.00150683188677639	0.00669723202993622	0.00738849640008614	0.00290296534268219	0.000272725023052504	0.00146420675067574	0.000860212759296496	0.00258937273846065
G[Del(C):R2]G	1.67808088855942e-05	0.000181921511283391	0.00754404300259056	8.58355530706229e-05	0.000615028068926571	0.000411253646861638	0.00021167152492636	0.000693129401131573	0.00129932092518697	0.000467147264465007	0.00033332275456656	1.61152440630909e-05	0.000230954932418201	0.000726376373585667
G[Del(C):R2]T	9.33261436677023e-05	0.000904219484487356	0.018899518310348	0.000270260253319616	0.000602268150484111	0.00208855891536945	0.00124728490591511	0.005700856662998	0.00550001389579875	0.00149487044301531	0.000600678536757006	0.00187423329065834	0.000626054836531163	0.00192506252287685
G[Del(C):R3]A	9.17871443714861e-05	0.000182752739260078	0.0231599055099697	7.15979043757929e-05	0.000992370866687512	0.000620238000420888	0.00230263767170856	0.00153402423145524	0.0036622317972048	0.00211143647360097	0.000408583727857448	0.000845543544631042	0.00114375471857773	0.00123962720078236
G[Del(C):R3]G	2.69300924784038e-05	6.9206252148694e-05	0.004095072063494	2.85371329974552e-05	0.000431171237210988	0.00042211452692926	0.000342524484229773	0.000428199578815907	0.00110648501780256	0.000279900377957083	0.000273655127768767	0.00117327085078201	0.000195893232911413	0.000451363191221667
G[Del(C):R3]T	9.24309755773736e-05	0.000138997718612813	0.00723078520447974	0.000202109684078402	0.000403862380833105	0.000865308503882239	0.000931649678683125	0.00294920171687154	0.00329837489229933	0.000739565157070762	0.00070935281735483	1.50003529643865e-05	0.00140718410743784	0.000796029717728707
G[Del(C):R4]A	0.000208091930363601	0.000316278517649679	0.00704842955231208	0.000253340485136672	0.000263748829661157	0.00148338600665527	0.000530672046940588	0.00125596168065485	0.00161658159934752	0.00115728504312669	0.000664728929717793	0.00332936888194008	0.00670298349659776	0.00048962641231007
