hdp.1	hdp.2	hdp.3	hdp.4
C[Del(T):R3]C	0.00140662223219909	0.00321862398662917	0.00196287031084819	0.00318804245148177
C[Del(T):R3]G	0.00418234337263598	0.00112938030296154	0.00266489597792771	0.00406099947178847
C[Del(T):R4]A	0.00250088504228724	0.00200675941700488	0.00207205248452546	0.00297214985506183
C[Del(T):R4]C	0.00253470484001212	0.00140621876176704	0.00220627848293229	0.00333737527509239
C[Del(T):R4]G	0.00555503096908736	0.00104623166488206	0.00220957751264052	0.00294142995991907
C[Del(T):R5]A	0.00297430479142415	0.00046368014338975	0.00215206704633786	0.00114858274617089
C[Del(T):R5]C	0.00165134205886029	0.00137606652054584	0.00195039421834047	0.00113578278986141
C[Del(T):R5]G	0.0032711897899581	0.000302851155045482	0.00114235449341461	0.000860157063997222
C[Del(T):R6]A	0.0023823434932159	0.000582244888530742	0.00353560417592228	0.00155647468723307
C[Del(T):R6]C	0.00220153102626234	0.000356256395852523	0.00345572052798719	0.0011886892759406
C[Del(T):R6]G	0.00222446992132361	0.000618376472502587	0.00213966950215652	0.000966823366576242
C[Del(T):R7]A	0.0010733909994379	0.000394483305061774	0.00442791316367314	0.00154111473966169
C[Del(T):R7]C	0.00155358619192207	0.000432863530751811	0.00649433635147423	0.00212735273863599
C[Del(T):R7]G	0.00124421255840482	0.000452539145785984	0.00516395025607802	0.00108799628630601
C[Del(T):R8]A	0.000721929230551657	0.000363973325385407	0.00600962772073075	0.00139092858563043
C[Del(T):R8]C	0.000350887578772065	0.00177796012217893	0.00678203268825258	0.00244735164637305
C[Del(T):R8]G	0.000773462793298822	0.00038569316016339	0.00422749710889793	0.000675837693140674
C[Del(T):R(9,)]A	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0
G[Del(T):R1]A	0.00270050223548002	0.00202500407821839	0.00113833543738117	0.00237567189103995
G[Del(T):R1]C	0.00126603178274346	0.00188630376860087	0.00141550629842373	0.00188500689917645
G[Del(T):R1]G	0.00245164823999677	0.00350220837058924	0.00152064323329209	0.00268031085120563
G[Del(T):R2]A	0.00142281439341882	0.000590370662012387	0.00123153302663877	0.000744104126791247
