Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
CPCT02330024T	9.46E+00	6.04E+00	1.78E+00	1.37E+01	1.19E+01	3.31E+00	8.94E-01	3.17E+00	9.79E+00	1.77E+00	4.91E+00	1.38E+00	1.55E+00	1.18E+00	1.92E+00
CPCT02120021T	9.64E+00	5.63E+00	3.43E+00	1.35E+01	1.29E+01	2.72E+00	6.33E-01	5.22E+00	1.07E+01	2.60E+00	5.99E+00	2.36E+00	1.32E+00	1.76E+00	2.21E+00
CPCT02120023T	6.15E+00	5.23E+00	2.29E+00	7.41E+00	6.93E+00	2.66E+00	1.01E+00	2.55E+00	6.63E+00	1.61E+00	3.86E+00	1.83E+00	1.25E+00	8.10E-01	1.88E+00
CPCT02030343T	5.18E+00	4.11E+00	1.39E+00	5.80E+00	5.26E+00	1.60E+00	3.25E-01	2.05E+00	4.24E+00	1.05E+00	2.46E+00	1.04E+00	1.16E+00	1.15E+00	1.00E+00
CPCT02330036T	1.20E+01	9.05E+00	2.43E+00	7.99E+00	6.78E+00	4.52E+00	1.17E+00	4.82E+00	8.93E+00	2.78E+00	5.15E+00	1.52E+00	1.45E+00	1.50E+00	1.58E+00
CPCT02050184T	1.79E+01	1.37E+01	9.14E+00	7.18E+00	9.41E+00	4.62E+00	1.33E+00	7.86E+00	1.94E+01	1.08E+01	1.06E+01	6.01E+00	1.65E+00	2.46E+00	6.27E+00
DRUP01070017T	1.02E+01	8.76E+00	5.84E+00	8.60E+00	7.65E+00	4.44E+00	5.33E+00	4.13E+00	1.21E+01	3.22E+00	5.71E+00	3.93E+00	1.90E+00	1.55E+00	4.29E+00
CPCT02210018T	1.76E+01	1.33E+01	2.87E+00	2.67E+01	2.14E+01	5.98E+00	1.77E+00	3.84E+00	2.04E+01	2.04E+00	9.22E+00	1.72E+00	8.09E-01	1.13E+00	2.11E+00
CPCT02020521T	4.97E+00	2.96E+00	2.04E+00	9.09E+00	8.16E+00	1.77E+00	6.17E-01	2.34E+00	6.75E+00	3.45E+00	2.79E+00	1.97E+00	9.83E-01	1.07E+00	2.10E+00
CPCT02110033T	1.18E+01	9.07E+00	3.74E+00	1.11E+01	1.01E+01	7.88E+00	1.15E+00	2.85E+00	2.18E+01	4.30E+00	7.26E+00	4.02E+00	3.91E+00	1.80E+01	1.34E+01
CPCT02220019T	9.93E+00	8.25E+00	5.90E+00	1.29E+01	1.18E+01	7.17E+00	4.33E+00	5.26E+00	1.09E+01	4.87E+00	6.88E+00	2.14E+00	1.73E+00	1.76E+00	4.13E+00
CPCT02010579T	1.57E+01	1.10E+01	1.84E+00	2.55E+01	2.03E+01	6.45E+00	8.12E-01	4.50E+00	1.66E+01	2.98E+00	8.61E+00	1.68E+00	2.01E+00	1.82E+00	1.82E+00
