signature	cluster_id	retained
C.PH.Stomach.5	62	TRUE
C.PH.Stomach.6	95	TRUE
C.PH.Stomach.7	101	TRUE
C.PH.Stomach.8	98	TRUE
C.PH.Thymus.1	118	FALSE
C.PH.Thymus.2	23	TRUE
C.PH.Thymus.3	75	TRUE
C.PH.Thymus.4	4	TRUE
C.PH.Uterus.1	1	TRUE
C.PH.Uterus.2	79	TRUE
C.PH.Uterus.3	16	TRUE
C.PH.Uterus.4	23	TRUE
C.PH.Uterus.5	78	TRUE
C.PH.Uterus.6	21	TRUE
C.PH.Uterus.7	26	TRUE
C.PH.Uterus.8	95	TRUE
C.PH.Uterus.9	13	TRUE
C.PH.Uterus.10	102	TRUE
C.PH.Uterus.11	66	TRUE
C.PH.Uterus.12	40	TRUE
C.PH.Uterus.13	120	FALSE
