MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
3:Ins:R:0	1.19E-05	1.04E-04	3.34E-05	1.35E-03	1.18E-04	3.46E-04	6.87E-05	6.41E-04	7.51E-04	2.06E-04	4.99E-04	7.17E-04	2.37E-04	2.50E-04
3:Ins:R:1	6.21E-06	5.78E-05	1.30E-05	1.98E-04	1.20E-04	1.21E-04	1.83E-06	3.29E-04	2.30E-04	4.97E-05	4.50E-05	2.52E-04	1.37E-04	8.83E-04
3:Ins:R:2	2.76E-06	2.01E-05	8.46E-06	5.69E-05	2.41E-05	5.26E-05	0.00E+00	1.05E-04	4.44E-05	6.37E-05	3.84E-06	3.40E-05	6.24E-05	2.65E-04
3:Ins:R:3	5.09E-06	3.85E-06	1.07E-06	2.19E-05	9.42E-06	2.31E-05	0.00E+00	5.68E-05	2.59E-05	1.23E-05	0.00E+00	1.24E-05	3.56E-05	7.02E-05
3:Ins:R:4	5.66E-06	1.97E-05	2.61E-06	2.09E-05	1.29E-06	0.00E+00	5.85E-06	3.95E-05	1.18E-05	1.94E-05	2.61E-05	6.57E-05	4.39E-05	5.01E-10
3:Ins:R:5	2.65E-05	4.55E-05	2.72E-06	1.24E-04	3.27E-05	5.95E-08	3.70E-05	2.22E-05	5.87E-05	2.46E-05	2.42E-05	1.30E-04	1.04E-04	3.48E-05
4:Ins:R:0	4.57E-05	1.53E-04	9.81E-05	2.42E-03	1.13E-04	5.86E-04	4.13E-05	8.42E-04	1.46E-03	2.35E-04	1.02E-03	1.03E-03	3.75E-04	2.20E-04
4:Ins:R:1	5.10E-06	2.82E-06	9.41E-06	6.20E-06	0.00E+00	0.00E+00	5.76E-05	0.00E+00	0.00E+00	2.04E-05	6.61E-05	0.00E+00	8.47E-05	9.65E-04
4:Ins:R:2	6.49E-06	1.32E-05	4.58E-06	1.46E-04	2.40E-05	8.52E-05	1.48E-05	1.30E-04	5.16E-05	3.83E-05	8.31E-05	2.12E-04	3.63E-05	1.43E-04
4:Ins:R:3	1.17E-05	2.60E-05	2.44E-06	1.01E-04	1.04E-05	3.65E-05	9.22E-06	7.65E-05	8.50E-05	2.49E-05	4.43E-05	7.98E-05	8.10E-05	0.00E+00
4:Ins:R:4	1.64E-05	5.13E-05	3.68E-06	1.52E-04	1.72E-05	4.79E-05	1.54E-06	5.75E-05	7.92E-05	1.77E-05	3.42E-05	2.05E-04	6.92E-05	6.19E-10
4:Ins:R:5	9.59E-06	4.33E-05	4.52E-09	5.30E-05	2.04E-06	3.48E-05	0.00E+00	7.94E-05	5.82E-05	7.02E-05	2.25E-05	1.04E-04	7.90E-05	4.07E-10
5:Ins:R:0	9.63E-05	6.43E-05	3.05E-04	4.91E-03	9.63E-04	1.94E-03	5.08E-04	2.80E-03	1.94E-03	1.05E-03	2.39E-03	1.77E-03	1.62E-03	4.19E-04
5:Ins:R:1	0.00E+00	2.58E-04	9.90E-06	1.78E-03	4.35E-04	4.49E-04	1.56E-04	1.12E-03	6.83E-04	2.91E-04	5.41E-04	2.35E-03	4.13E-04	1.62E-04
5:Ins:R:2	5.88E-06	4.11E-05	2.35E-06	1.36E-04	1.97E-05	9.83E-05	2.95E-05	1.70E-04	9.36E-05	4.16E-05	5.81E-05	1.62E-04	8.63E-05	4.83E-05
5:Ins:R:3	2.80E-06	2.39E-05	2.88E-07	7.53E-05	1.79E-05	4.72E-05	0.00E+00	1.09E-04	5.79E-05	1.66E-05	7.36E-06	7.77E-05	2.20E-05	5.15E-10
5:Ins:R:4	3.24E-06	1.97E-05	2.52E-06	6.08E-05	6.22E-06	2.05E-10	4.75E-06	4.19E-05	5.68E-05	0.00E+00	3.03E-05	4.72E-05	1.40E-05	9.80E-10
5:Ins:R:5	2.24E-06	2.02E-05	1.21E-06	1.60E-05	3.56E-06	4.31E-06	1.14E-05	3.17E-05	3.29E-05	0.00E+00	1.59E-05	7.74E-05	1.98E-05	1.28E-05
2:Del:M:1	1.07E-04	2.19E-04	2.23E-04	5.45E-04	5.92E-04	1.54E-04	1.06E-03	3.75E-04	9.16E-04	3.58E-04	6.66E-04	3.73E-06	2.95E-04	5.58E-04
3:Del:M:1	1.51E-05	2.02E-05	1.94E-05	1.28E-04	2.57E-04	9.77E-05	6.16E-05	2.92E-04	1.95E-04	1.82E-04	8.33E-05	3.94E-04	1.13E-04	2.54E-04
3:Del:M:2	6.90E-05	1.38E-04	2.68E-05	5.25E-04	2.46E-04	8.85E-05	1.98E-04	3.10E-04	3.16E-04	2.38E-04	1.49E-04	1.06E-03	1.16E-04	1.78E-04
4:Del:M:1	3.49E-05	1.38E-05	9.49E-06	5.00E-04	2.67E-04	1.44E-04	1.29E-04	1.78E-04	2.82E-04	2.05E-04	2.11E-04	5.53E-04	8.14E-05	2.78E-04
4:Del:M:2	2.06E-05	4.13E-05	2.38E-05	2.06E-04	2.02E-04	1.37E-04	1.70E-04	3.31E-04	2.30E-04	2.11E-04	1.33E-04	6.69E-04	4.43E-05	2.59E-04
4:Del:M:3	3.04E-05	5.52E-05	2.88E-05	5.42E-04	1.67E-04	2.23E-04	2.44E-04	5.80E-04	1.19E-04	1.70E-04	1.53E-04	9.52E-04	1.46E-04	1.13E-04
5:Del:M:1	2.95E-05	1.87E-04	1.18E-04	2.76E-04	1.24E-03	8.09E-04	3.59E-04	4.73E-04	2.64E-04	1.06E-03	4.31E-04	4.17E-04	3.77E-04	7.57E-04
5:Del:M:2	6.99E-06	1.10E-04	9.50E-05	1.88E-04	8.62E-04	4.87E-04	5.44E-04	5.82E-04	6.07E-04	1.52E-03	5.27E-04	4.83E-04	3.67E-04	1.18E-03
5:Del:M:3	1.61E-05	1.08E-04	4.99E-05	2.02E-04	5.67E-04	2.35E-05	4.12E-04	5.50E-04	3.28E-04	1.01E-03	3.91E-04	7.07E-04	2.64E-04	1.08E-03
5:Del:M:4	1.36E-05	7.28E-05	4.90E-05	1.50E-04	2.69E-04	1.90E-04	2.67E-04	2.69E-04	9.68E-05	6.71E-04	1.94E-04	5.10E-04	5.61E-05	5.59E-04
5:Del:M:5	8.93E-06	1.47E-04	5.10E-05	3.75E-04	2.25E-05	2.82E-04	1.86E-04	6.78E-04	3.66E-04	6.25E-04	2.18E-04	7.18E-04	2.66E-04	5.20E-04
