Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP135389	4	41	22	49	16	41	0	0	0	14
SP102597	5	12	3	0	2	163	0	10	0	0
SP102489	1	2	9	19	0	9	7	0	6	0
SP135410	4	35	3	31	0	27	5	1	9	1
SP135372	2	12	1	33	0	0	0	4	9	1
SP117223	2	3	2	35	13	19	3	0	0	8
SP135328	0	21	11	5	0	61	5	0	15	9
SP135444	0	1	1	4	0	3	1	0	8	0
SP106750	0	1	0	17	0	35	0	0	1	4
SP102511	3	18	17	22	0	117	0	2	0	5
SP102541	7	15	17	53	6	63	9	0	0	4
SP102567	8	28	6	136	0	26	5	0	19	8
SP117595	4	14	1	29	0	25	4	0	6	0
SP135440	3	11	2	65	3	21	5	6	21	14
SP135296	9	66	10	135	2	0	0	0	0	3
SP117294	0	3	4	4	5	19	2	0	0	2
SP135363	9	10	4	88	0	22	3	0	12	3
SP102499	4	8	9	45	0	47	4	0	0	4
SP117951	2	3	5	15	0	7	3	0	3	0
SP117085	1	1	9	25	0	6	1	2	0	1
SP106669	4	9	3	56	1	26	3	0	0	9
SP135316	1	19	11	29	0	8	1	0	6	3
SP135305	51	136	539	258	0	0	17	4	0	1
SP102581	0	2	0	17	0	2	2	0	7	1
SP106718	10	54	0	56	1	48	0	6	13	0
SP135451	0	5	2	28	6	40	0	3	0	5
SP135354	12	13	5	50	19	33	2	0	0	1
SP102611	21	418	48	314	14	0	6	0	36	0
SP135448	5	27	5	28	0	38	1	0	6	2
SP117758	10	46	17	98	7	42	12	3	20	6
SP135282	6	22	2	30	0	26	3	0	0	2
SP135288	0	34	8	47	4	65	2	7	9	1
SP135475	4	8	10	6	12	63	0	1	0	5
SP135416	5	24	4	55	0	26	2	2	0	9
SP117331	20	50	12	123	0	14	5	0	0	1
SP135468	4	6	2	28	0	17	0	0	0	3
SP135463	1	0	3	9	0	21	2	0	0	4
SP135422	11	36	21	60	2	31	2	0	0	10
SP135484	3	17	2	61	0	11	0	0	11	6
CPCT02030262T	29	110	20	34	17	42	49	2	37	4
CPCT02190001T	116	141	23	52	24	64	84	2	129	9
CPCT02160010T	62	344	33	73	0	15	96	13	115	3
CPCT02330006T	44	293	16	28	37	23	84	8	15	9
CPCT02030290T	59	185	979	226	22	0	196	28	53	8
CPCT02060058T	98	326	21	16	29	57	89	1	52	3
CPCT02130025T	260	371	21	20	106	109	88	0	19	13
CPCT02060167T	269	263	21	47	48	69	91	0	55	8
CPCT02090031T	27	126	557	60	0	27	67	3	16	2
CPCT02220061T	302	496	17	0	155	152	62	27	85	21
DRUP01020037T	54	231	871	128	55	101	93	0	90	17
CPCT02380033T	73	287	8	69	42	46	84	3	18	8
CPCT02100135T	105	232	13	36	33	55	61	0	10	12
CPCT02080286T	6	34	8	45	6	35	35	0	10	11
CPCT02380032T	280	170	25	54	61	46	106	0	0	13
CPCT02250006T	107	128	426	141	2	39	129	0	0	5
CPCT02050312T	68	206	8	35	13	57	75	0	24	13
CPCT02270017T	185	190	22	40	29	36	203	0	0	2
CPCT02060210T	75	195	26	60	59	45	143	0	1	3
CPCT02090039T	109	251	15	54	65	43	55	0	36	18
CPCT02110060T	103	392	34	26	29	29	115	0	23	0
CPCT02130044T	67	212	16	27	18	51	149	0	0	11
CPCT02130047T	438	360	53	40	36	117	181	0	41	0
WIDE01010068T	209	490	27	40	69	106	60	7	70	10
WIDE01010103T	3	56	15	14	16	26	28	0	15	3
CPCT02440009T	348	345	15	8	6	23	192	0	0	0
WIDE01010243T	38	151	16	39	26	72	45	0	7	8
CPCT02130079T	117	159	16	46	19	34	126	0	1	11
CPCT02130082T	31	362	22	50	22	55	144	4	36	22
CPCT02210054T	116	155	24	10	45	102	70	5	55	18
CPCT02120131T	220	190	12	22	4	34	152	4	0	0
CPCT02370030T	78	217	43	73	47	40	238	0	0	14
CPCT02090047T	35	332	1403	0	59	225	449	0	34	17
CPCT02130118T	162	276	12	5	45	47	86	0	55	3
CPCT02080238T	168	335	34	66	86	85	78	0	0	11
CPCT02130120T	118	437	38	88	72	50	163	0	0	14
CPCT02030501T	34	207	21	78	17	4	111	0	0	3
CPCT02190041T	442	377	34	125	135	14	75	0	64	9
CPCT02130133T	116	101	26	24	55	189	99	26	17	8
CPCT02130129T	75	142	3	21	15	51	67	8	0	4
CPCT02290049T	207	382	16	29	41	83	127	3	40	11
CPCT02380050T	54	143	13	49	47	64	177	0	9	1
CPCT02090060T	148	175	26	89	0	81	84	3	64	9
CPCT02210068T	33	177	329	107	27	106	150	0	61	12
CPCT02410012T	28	274	34	38	42	5	107	2	24	11
DRUP01090022T	92	264	765	75	43	85	172	0	65	11
CPCT02050246T	50	532	11	40	46	42	220	0	26	13
CPCT02050244T	106	367	6	0	14	0	167	0	390	9
CPCT02060111T	19	183	490	96	0	6	235	0	0	9
CPCT02050070T	24	44	16	6	37	51	138	10	6	3
CPCT02250001T	84	178	167	14	4	75	139	0	68	11
CPCT02070231T	103	275	19	118	0	22	93	0	8	12
CPCT02210016T	178500	4622	0	0	4437	0	2108	8918	0	0
CPCT02070132T	101	243	7	2	4	34	44	1	146	19
CPCT02180029T	3	111	25	82	13	52	102	7	6	9
CPCT02050195T	40	102	39	88	27	94	53	0	30	0
CPCT02060107T	153	446	11	101	94	64	59	13	89	15
CPCT02070177T	30	102	0	47	42	39	63	11	21	11
CPCT02030366T	131	458	9	85	82	26	57	0	55	5
CPCT02050223T	128	244	6	67	0	29	147	0	0	2
CPCT02060116T	126	121	4	59	11	0	61	0	9	6
