Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
CPCT02050108T	3	6	62	234	0	165	5
CPCT02050391T	254	549	179	49	92	175	34
CPCT02130146T	10775	18708	0	1413	438	1606	80
CPCT02070378T	129	395	647	123	21	115	24
CPCT02070383T	118	392	141	33	63	126	59
CPCT02070379T	74	300	120	40	18	154	36
CPCT02340099T	308	257	191	9	99	118	52
CPCT02070274T	151	55	602	117	21	92	61
CPCT02070388T	96	137	597	146	0	155	7
CPCT02010361T	111	324	724	227	25	132	12
CPCT02070389T	72	513	96	40	76	130	15
CPCT02330125T	74553	1565	43	42	2780	265	742
CPCT02070391T	109	341	123	17	80	154	40
CPCT02020827T	6	155	46	744	120	213	116
CPCT02150031T	73	197	76	18	105	75	71
DRUP01070052T	49	182	137	40	176	79	89
CPCT02010947T	67	211	168	14	15	99	105
DRUP01070020TII	23615	2810	29	84	0	987	0
DRUP01010097T	142	146	71	800	141	159	94
CPCT02030545T	85	359	72	386	96	172	54
CPCT02140086T	35	240	205	42	15	150	17
CPCT02070395T	41	225	203	37	35	135	41
CPCT02440017T	122	287	218	52	48	262	0
CPCT02040294T	241	613	30	1780	118	530	74
CPCT02070392T	118	13	1468	430	0	388	0
CPCT02070107TII	166	287	140	43	48	359	20
CPCT02010958T	266	476	176	9	17	104	201
CPCT02100189T	46	105	129	41	51	122	95
CPCT02080078TII	87	155	189	40	0	195	13
CPCT02020847T	131	699	142	237	24	139	24
DRUP01070055T	30	142	173	43	0	114	17
CPCT02010654T	46009	5214	0	0	1024	169	333
CPCT02010973T	25	447	105	27	30	102	47
CPCT02070130TII	97	568	122	20	33	172	115
CPCT02070064TIII	70	163	126	30	0	204	46
CPCT02070196T	92	545	188	43	0	254	66
CPCT02070398T	309	594	89	53	45	153	62
CPCT02010971T	74	248	194	21	15	91	44
DRUP01070057T	83	334	191	57	45	113	51
CPCT02050268T	161	349	252	39	42	101	64
CPCT02020678TII	26	75	114	970	38	157	123
CPCT02010978T	130	203	508	101	0	181	98
CPCT02210074T	82	208	67	16	64	41	29
CPCT02070402T	123	184	111	737	118	76	89
CPCT02070236T	128	319	219	22	0	119	161
CPCT02070217T	23	108	60	9	38	72	70
DRUP01010040T	219	114	486	48	0	378	420
CPCT02010692TII	92	395	0	36	228	118	153
CPCT02030380T	66	61	101	808	83	234	77
CPCT02220064T	54	399	291	52	90	108	25
CPCT02020596T	136	366	178	11	42	244	25
CPCT02011000T	72	364	535	72	86	111	17
CPCT02010998T	70	230	121	13	110	47	40
CPCT02070409T	50	333	103	8	31	66	40
CPCT02011002T	89	282	195	52	173	65	87
CPCT02040295T	67	243	170	13	75	42	14
CPCT02330129T	16	326	0	1308	79	91	180
CPCT02040280TII	208	335	0	12	0	62	5905
CPCT02020610T	27	158	137	668	0	204	102
CPCT02011003T	225	360	176	1333	193	269	130
CPCT02070211T	102	360	122	1208	36	300	87
CPCT02120057T	157	64	69	957	81	112	3
CPCT02070218T	145	228	249	2026	242	329	454
CPCT02070416T	35	229	138	36	82	39	46
CPCT02210075T	33	98	85	10	13	15	45
CPCT02070415T	50	226	234	33	0	110	5
CPCT02011010T	233	469	866	203	0	58	0
CPCT02011012T	54	235	90	21	25	50	67
CPCT02070092T	111	760	206	34	0	214	83
CPCT02011005T	39	396	155	59	121	144	5
CPCT02140050T	91	265	115	18	35	167	77
CPCT02070235T	100	375	128	26	49	116	28
CPCT02340038T	127	303	277	59	85	97	54
CPCT02020620T	244	260	60	206	104	115	42
CPCT02140041TII	232	238	245	34	0	859	0
CPCT02070223T	67	405	268	32	25	189	0
CPCT02070229T	38	407	152	18	58	143	31
CPCT02070206T	91	576	254	50	77	224	17
CPCT02230052T	27	212	85	8	19	79	42
CPCT02140054T	531	378	118	52	44	103	96
CPCT02020628T	461	727	61	37	119	184	39
