	C_ID1	C_ID2	C_ID3	C_ID4	C_ID5	C_ID6	C_ID7	C_ID8	C_ID9	C_ID10	C_ID11	C_ID12	C_ID13	C_ID14	C_ID15	C_ID16	C_ID17	C_ID18	C_ID19	C_ID23	ID_A	ID_B	ID_C	ID_D	ID_E	ID_F	ID_G	ID_H	ID_I	ID_J	ID_K	ID_L	ID_M	ID_N
DEL:repeats:3:5+	9.41E-05	0.000394979	4.33E-05	0.002225482	5.86E-05	6.99E-05	0.004285026	3.33E-05	0.000565927	0.000404935	3.69E-06	0.172280711	0.000142141	0.000143351	0	0	0.000374244	0.000142085	0.000234561	1.98E-05	0.001201963	0.000119533	0.000845745	0.000389416	0.000334164	0.000718015	0.001166585	0.000363469	0.004188387	0.010315791	0.000613855	0.00231434	8.03E-05	9.39E-05
DEL:repeats:4:0	0.001715974	0.000870744	0.000809762	0.00680094	0.008748949	0.004508309	0.001394118	0.006161712	0.002540536	0.005368451	3.13E-06	0.001198833	0.003308205	0.000724713	0	0	0.021534953	0.005194415	0.002850532	0.003824549	0.002753702	0.015763302	0.00194964	0.000545411	0.003209965	0.006073963	0.002274457	0.004600743	0.000113835	0.002285828	0.000367611	0.003220373	0.005406316	0.000404399
DEL:repeats:4:1	0.005267027	0.006269925	0.001242448	0.09329364	0.004789831	0.002929183	0.004542457	0.001495471	0.007358357	0.003084397	0.000318788	0.004306744	0.001048609	0.001578627	0	0	0.004107451	0.003198944	0.005380554	0.001767813	0.002753453	0.003694427	0.0048312	0.00076556	0.003922581	0.022205187	0.005937479	0.000699416	0.000264361	0.003734474	0.001236421	0.004169692	0.002108909	0.003943432
DEL:repeats:4:2	0.001639191	0.002428142	0.00033187	0.023969926	0.000680433	0.000931449	0.003599945	0.000339497	0.001978487	0.00135904	2.03E-06	0.002557289	0.000301004	0.000222468	0	0	0.000557893	0.000769158	0.003291286	4.79E-05	0.001726005	0.000599191	0.004778194	0.000576633	0.002319703	0.004715189	0.003215712	0.000511247	0.003688829	0.00594627	0.000471361	0.001540405	9.61E-05	0.001187157
DEL:repeats:4:3	0.001040063	0.000920691	0.000121816	0.011584094	0.000394556	0.000361738	0.003982553	0.000114432	0.000760338	0.00197327	1.61E-06	0.03450773	0.000178468	0.000133669	0	0	0.00043917	0.000390813	0.002600544	4.89E-05	0.000605084	0.000381211	0.001774092	0.000335339	0.001077325	0.002553259	0.000571347	0.000764462	0.000110072	0.010617454	0.000341413	0.004259997	0.002664298	8.59E-05
DEL:repeats:4:4	0.000125357	0.000243547	9.72E-05	0.004490351	0.000136362	2.96E-05	0.001748281	7.74E-05	0.000398053	0.000543565	2.58E-06	0.04129013	4.44E-05	5.96E-05	0	0	0.000255385	0.000239412	0.000708439	6.08E-05	0.001454786	0.000249617	0.00081263	0.00037371	0.000271886	0.00374869	0.000186276	0.000531435	0.000254953	0.002689297	0.000474091	0.001729224	8.65E-05	3.70E-05
DEL:repeats:4:5+	0.000143813	0.000380553	1.64E-05	0.001086566	1.82E-05	5.60E-05	0.002642684	7.89E-05	0.000207617	0.000233138	2.07E-06	0.010834201	4.42E-05	5.67E-05	0	0	6.77E-05	0.000135196	0.00022558	1.39E-05	4.28E-05	4.51E-05	0.002225494	0.000358993	0.000152307	0.000588413	0.000348838	0.000151646	0.00019098	0.006491185	0.000240784	0.002840496	6.99E-05	0.000112008
DEL:repeats:5+:0	0.011844243	0.003165093	0.004934744	0.003995989	0.053165784	0.072934815	0.001306508	0.223433731	0.016720509	0.061510897	0.000995442	0.014193654	0.036119987	0.005336003	0.000274236	0	0.051666607	0.01183522	0.159101487	0.015263269	0.008879116	0.131915791	0.009516875	0.001786675	0.005809976	0.014944307	0.009618132	0.145085422	0.000171223	0.004532861	0.000363711	0.014955516	0.003734035	0.001858311
DEL:repeats:5+:1	0.004488638	0.003590483	0.000795616	0.013733889	0.001492836	0.005537668	0.001252885	0.001928326	0.004445737	0.004914096	0.000540392	0.001511033	0.002402005	0.001344646	0	0	0.003133531	0.001840848	0.006930895	0.000540865	0.006706881	0.002540168	0.003261292	0.00066851	0.001920084	0.002433432	0.002514421	0.044756738	0.000136414	0.003261291	0.000408175	0.002197167	0.000171158	0.002029854
DEL:repeats:5+:2	0.000899792	0.001177599	0.000198605	0.001256648	9.61E-05	0.000146572	0.001224894	0.000374055	0.000978344	0.000618255	2.72E-06	0.00490523	0.000160795	0.000168231	0	0	0.000149037	0.000301726	0.000763648	0.000520645	0.002827286	0.00033403	0.000569252	0.001048533	0.000619715	0.002102962	0.00230778	0.003708923	5.36E-05	0.00188223	0.000230057	0.000394057	0.000123129	0.000322817
DEL:repeats:5+:3	0.000237755	0.000458588	0.000113265	0.000474111	5.15E-05	0.000132494	0.001499205	5.38E-05	0.000181946	0.000404324	1.75E-06	0.000969805	2.93E-05	4.98E-05	0	0	0.000203421	0.000116881	0.000514556	1.43E-05	0.000399246	0.000229566	0.000668064	0.000465208	0.00020402	0.001722354	0.00066162	0.000632487	0.000486387	0.000872247	9.32E-05	0.000582876	8.91E-05	0.000112967
DEL:repeats:5+:4	6.24E-05	0.000127752	2.05E-05	6.05E-05	3.08E-06	1.41E-05	0.000458255	2.49E-05	3.74E-05	7.10E-05	9.35E-06	0.000276243	1.86E-05	1.87E-05	0	0	5.64E-05	8.89E-05	8.55E-05	1.08E-07	0.000932982	1.84E-05	0.000589729	0.000101119	0.000111962	0.000952624	0.000365588	0.000271768	3.10E-05	0.000313618	2.10E-05	0.000674674	6.72E-05	1.49E-05
DEL:repeats:5+:5+	1.51E-05	2.53E-05	6.91E-06	0.000196898	1.57E-06	6.23E-06	0.000194089	2.56E-05	5.09E-05	0.000139649	4.61E-07	0.00020125	9.31E-06	1.39E-05	0	0	3.77E-05	2.77E-05	2.34E-05	1.30E-06	3.21E-05	8.77E-05	8.41E-05	9.21E-05	2.81E-05	2.59E-05	0.0001727	0.000233728	5.93E-05	0.000964201	1.24E-06	0.000247032	3.23E-05	3.25E-05
INS:repeats:2:0	0.007422545	0.002160141	0.008153855	0.000528431	0.005453584	0.006458085	0.001979256	0.001532901	0.002776004	0.011294273	0.000161007	0.008679897	0.01380043	0.021000143	0	0	0.01843341	0.001274379	0.017716511	0.001786952	0.002806653	0.001816687	0.015181769	0.012380505	0.109365233	0.003703282	0.012630112	0.00436183	0.027371279	0.014313349	0.00066417	0.003225597	0.008164053	0.002670332
INS:repeats:2:1	0.003046041	0.001546326	0.003256063	0.000718469	0.015823628	0.001173297	0.002237114	0.001396756	0.001050586	0.040403258	3.00E-06	0.00812725	0.004482804	0.001228182	0	0	0.061785576	0.002883353	0.008781628	0.002683888	0.01134196	0.003376266	0.004052059	0.003545664	0.005713516	0.002595829	0.007950285	0.004948459	0.000134533	0.002097297	0.000321326	0.005035424	0.000128368	0.001073129
