MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
5:Del:R:3	3.82E-05	8.11E-05	8.96E-05	7.96E-05	2.38E-04	1.08E-04	1.80E-04	3.73E-05	9.86E-05	1.47E-04	1.10E-04	7.41E-05	2.20E-04	1.53E-04	2.22E-04	1.93E-09	3.55E-05	2.20E-04	1.93E-04	1.58E-04
5:Del:R:4	6.10E-06	1.43E-05	4.09E-06	2.61E-09	4.06E-05	4.80E-06	4.86E-06	2.05E-05	1.99E-09	1.14E-05	1.19E-06	2.04E-08	7.38E-06	8.88E-09	2.50E-05	6.36E-09	5.37E-09	9.08E-06	3.69E-05	1.22E-05
5:Del:R:5	9.48E-06	2.05E-05	9.08E-06	1.05E-09	3.73E-05	5.77E-05	1.36E-05	1.85E-05	5.39E-10	1.07E-05	2.45E-05	4.16E-05	3.51E-05	1.22E-05	3.27E-05	2.55E-05	1.31E-09	2.49E-05	3.60E-06	3.69E-05
2:Ins:R:0	2.94E-04	7.40E-04	9.50E-04	5.24E-04	3.89E-03	7.31E-04	8.60E-04	4.46E-05	9.83E-04	9.19E-04	1.29E-03	1.17E-03	4.15E-03	4.14E-04	1.65E-03	3.66E-04	2.52E-03	1.98E-03	2.53E-03	1.84E-03
2:Ins:R:1	1.30E-04	6.46E-04	3.99E-04	5.66E-04	1.54E-03	4.27E-04	8.69E-04	1.21E-04	3.98E-04	4.28E-04	7.94E-04	1.15E-03	1.35E-03	6.75E-04	3.72E-04	2.42E-04	4.45E-04	1.31E-03	1.80E-03	1.27E-03
2:Ins:R:2	1.83E-04	3.65E-04	4.28E-04	2.19E-04	9.37E-04	3.01E-04	4.80E-04	8.20E-05	0.00E+00	3.40E-04	5.02E-04	6.50E-04	6.93E-04	4.34E-04	2.96E-04	1.73E-04	3.63E-04	1.16E-03	6.78E-04	6.65E-04
2:Ins:R:3	7.17E-05	2.57E-04	1.37E-04	2.37E-04	6.39E-04	2.67E-04	3.66E-04	9.89E-05	2.63E-04	3.12E-04	4.98E-04	3.52E-04	6.73E-04	2.21E-04	2.68E-04	1.20E-04	2.02E-04	7.39E-04	7.46E-04	4.35E-04
2:Ins:R:4	3.12E-04	6.20E-04	4.14E-04	2.79E-04	1.50E-03	3.47E-04	3.71E-04	7.66E-05	1.05E-04	5.63E-04	2.34E-04	7.88E-04	1.02E-03	8.47E-05	9.03E-04	1.68E-04	5.72E-04	9.25E-04	5.64E-04	6.36E-04
2:Ins:R:5	1.70E-03	2.52E-03	2.92E-03	1.00E-03	6.93E-03	1.91E-03	1.51E-03	6.15E-05	7.55E-04	3.40E-03	9.29E-04	1.98E-03	3.94E-03	5.39E-05	4.61E-03	9.20E-10	3.88E-04	1.49E-03	2.52E-03	3.02E-03
3:Ins:R:0	1.25E-04	4.44E-04	3.71E-04	3.02E-04	1.46E-03	2.05E-04	5.38E-04	1.69E-04	6.58E-04	6.20E-04	6.64E-04	4.01E-04	2.20E-03	1.67E-04	7.03E-04	7.06E-05	1.33E-03	5.80E-04	8.34E-04	1.00E-03
3:Ins:R:1	3.08E-04	4.96E-04	3.12E-04	4.15E-04	1.15E-03	4.72E-04	6.45E-04	8.87E-05	2.31E-04	3.75E-04	7.98E-04	7.25E-04	5.85E-04	5.04E-04	4.17E-04	5.67E-04	6.35E-04	1.37E-03	1.30E-03	8.18E-04
3:Ins:R:2	3.66E-05	9.24E-05	1.36E-04	6.20E-05	2.87E-04	1.96E-04	1.49E-04	4.80E-05	1.61E-05	1.33E-04	2.04E-04	4.00E-04	1.93E-04	1.12E-04	8.44E-05	1.41E-04	1.51E-04	3.03E-04	3.39E-04	2.52E-04
3:Ins:R:3	6.38E-06	7.30E-05	1.57E-05	5.61E-06	1.06E-04	8.62E-05	4.49E-05	2.22E-05	2.23E-05	6.32E-05	1.11E-04	1.99E-04	1.85E-04	8.88E-05	5.42E-05	3.32E-05	7.94E-05	1.29E-04	5.22E-05	9.65E-05
3:Ins:R:4	1.81E-05	7.51E-05	4.02E-05	1.58E-05	9.88E-05	7.96E-05	5.64E-05	4.50E-10	3.59E-05	7.30E-05	4.55E-06	4.97E-05	8.22E-05	1.07E-05	1.02E-04	1.54E-08	6.12E-05	8.42E-05	4.99E-05	1.08E-04
3:Ins:R:5	3.47E-04	4.83E-04	1.81E-04	1.15E-04	1.07E-03	2.05E-04	2.77E-04	1.14E-05	2.54E-05	5.00E-04	3.01E-04	3.79E-04	3.10E-04	2.55E-05	5.57E-04	2.35E-04	3.39E-04	1.93E-04	5.73E-04	4.00E-04
4:Ins:R:0	5.06E-04	9.90E-04	5.78E-04	4.24E-04	2.15E-03	3.19E-04	9.37E-04	2.17E-04	7.63E-04	8.97E-04	7.28E-04	6.50E-04	2.15E-03	8.01E-05	1.63E-03	2.29E-05	8.02E-04	4.24E-04	1.48E-03	1.08E-03
4:Ins:R:1	1.03E-04	1.09E-03	4.63E-04	5.93E-04	1.97E-03	1.20E-03	1.13E-03	3.30E-05	3.75E-05	3.63E-04	6.20E-04	1.23E-03	1.13E-03	6.90E-04	6.44E-04	5.23E-04	3.26E-04	1.88E-03	9.67E-04	1.34E-03
4:Ins:R:2	1.93E-05	2.29E-04	2.20E-05	9.91E-05	5.00E-04	2.62E-04	1.21E-04	2.82E-05	1.75E-05	7.41E-05	1.85E-04	3.71E-04	4.94E-04	5.83E-09	1.54E-04	5.81E-05	2.92E-04	3.92E-04	4.80E-04	2.97E-04
4:Ins:R:3	4.08E-05	5.30E-05	5.33E-05	5.45E-05	1.80E-04	1.13E-04	7.24E-05	2.77E-05	8.29E-05	7.62E-05	7.05E-05	8.25E-05	6.41E-05	5.71E-05	7.31E-05	1.30E-09	1.48E-04	6.73E-05	2.27E-04	4.53E-05
