Sample Names	MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID12	ID14	ID19	ID21
SP106825	1:Ins:C:0	2.0763173571679143e-15	7.302932094220745e-16	0.6258380774879375	0.0	0.37416192251205965	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:C:1	1.5112054054584625e-15	0.030549599982919895	0.3452505227853978	0.0	0.6241998772316808	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:C:2	7.676733108159004e-16	0.0017909529044825713	0.1941620064528769	0.0	0.8040470406426398	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:C:3	0.18412461915318873	0.027586846828138462	0.6439609987545105	0.0	0.14432753526416237	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:C:4	0.28505688900701104	0.1370151007437456	0.5432299123406945	0.0	0.03469809790854879	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:C:5	0.7849740373665407	0.08586837492455174	0.1137499237332018	0.0	0.01540766397570598	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:T:0	0.12251888620464622	0.021006548382998265	0.4810485463932733	0.0	0.37542601901908224	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:T:1	0.0011351789016271416	3.279372770535767e-17	0.5817227230155213	0.0	0.4171420980828515	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:T:2	0.0036869668159395506	0.0036456642071642053	0.36767600804703865	0.0	0.6249913609298575	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:T:3	0.11369812224346383	0.00855199208205087	0.3224439969907986	0.0	0.5553058886836867	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:T:4	0.5012364314693742	0.030945317928081934	0.09463712563708983	0.0	0.3731811249654539	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	1:Ins:T:5	0.9833922163863209	0.0010191355347897572	0.01384116484973292	0.0	0.0017474832291565344	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Del:R:0	0.01965875204495792	0.001383486397866375	0.09466415139187354	0.0	0.8842936101653022	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Del:R:1	0.03658103625186879	0.031540907780486925	0.12170739753844514	0.0	0.8101706584291991	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Del:R:2	0.04044512453085025	0.0466381909183284	0.48353614960232055	0.0	0.4293805349485008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Del:R:3	0.0998135242839282	0.05095081243327215	0.7473658709293468	0.0	0.1018697923534529	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Del:R:4	0.020834143600236492	0.09918649356892724	0.5158323786426098	0.0	0.36414698418822655	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	2:Del:R:5	1.401476647719086e-16	5.827860914477586e-17	0.0020530215590391734	0.0	0.9979469784409605	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Del:R:0	0.00664689025827154	0.0001912495064765503	0.01464705765295386	0.0	0.9785148025822981	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Del:R:1	0.38064107498773836	0.11201371632713025	0.013547682754580398	0.0	0.493797525930551	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Del:R:2	0.31826855450700536	0.2791903363079087	0.019079422449795144	0.0	0.3834616867352909	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Del:R:3	0.3133179016923877	0.10013961126785921	0.009902973204802054	0.0	0.5766395138349512	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SP106825	3:Del:R:4	5.127321715619126e-16	1.8125396149092765e-16	0.0002834090594344921	0.0	0.9997165909405649	0.0	0.0	0.0	0.0	0.0	0.0	0.0
