Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
CPCT02050412T	27	294	526	9	156	75	28	101	12
DRUP01020006T	165	20	338	42	176	147	151	133	27
CPCT02010954T	1924	381	288	458	451	162	583	168	257
DRUP01010104T	185	135	438	211	286	116	232	58	16
CPCT02070399T	13	51	296	59	91	59	120	73	24
DRUP01050038T	0	37	276	42	102	95	37	51	9
CPCT02390006T	409	118	237	147	392	132	280	27	53
CPCT02120172T	13	50	89	15	70	78	51	59	12
CPCT02010655T	12	26	124	10	33	97	60	29	19
CPCT02010869T	27	31	89	7	74	100	39	34	12
CPCT02040298T	1	13	12	20	69	37	0	17	28
CPCT02040299T	382	295	199	135	370	63	106	96	44
CPCT02010981T	13	61	167	14	98	78	65	32	15
CPCT02010979T	493	185	126	248	220	104	81	49	129
CPCT02010977T	617	154	99	124	175	62	8	135	46
CPCT02010982T	46	21	316	35	71	256	27	68	21
CPCT02040173T	1035	348	193	185	51	99	52	56	53
CPCT02010926T	62	396	411	55	173	100	151	109	40
CPCT02010965T	20	165	392	116	160	54	49	178	151
CPCT02070404T	199	11	97	61	0	57	0	43	326
CPCT02010986T	1080	1364	0	35	0	88	73	2036	51
CPCT02270041T	1	69	230	29	86	45	16	57	29
CPCT02010980T	888	164	428	123	66	104	95	35	102
CPCT02040174T	749	38	656	429	86	138	79	28	22
CPCT02010972T	2483	123	181	1201	350	160	185	77	120
CPCT02010990T	36	9	111	12	42	29	22	69	51
CPCT02010976T	825	150	302	302	1	80	56	55	108
CPCT02080156T	117	99	185	79	104	211	41	35	15
CPCT02010985T	545	55	118	283	155	85	40	11	165
CPCT02010984T	838	13	17	419	111	29	35	0	65
DRUP01060026T	21	30	104	0	95	20	83	32	55
CPCT02270043T	182	41	126	126	228	76	0	54	62
CPCT02010989T	17	88	50	6	261	81	78	52	26
CPCT02040301T	1351	62	61	278	84	117	59	11	117
DRUP01010111T	381	125	345	276	142	58	65	91	91
DRUP01010110T	25	10	102	7	50	29	15	24	31
CPCT02011001T	23	44	155	44	43	71	37	87	8
CPCT02040305T	2010	93	159	409	142	84	115	11	115
CPCT02011004T	1184	0	22	589	151	26	1	34	37
DRUP01090005T	841	235	301	211	120	263	69	59	169
CPCT02020872T	3704	75	30	0	0	148	30	0	0
CPCT02011009T	20	198	345	59	80	104	145	94	57
CPCT02120070T	772	95	236	123	283	100	12	47	101
CPCT02040309T	277	69	143	46	124	45	37	38	60
CPCT02040115TII	202	30	34	61	0	75	48	40	468
CPCT02190020T	3625	373	256	1750	63	409	340	185	537
CPCT02040172T	973	48	129	103	0	237	54	0	4
CPCT02020630T	2163	586	185	218	212	324	811	1621	90
CPCT02010667T	1150	68	39	477	99	81	16	42	64
CPCT02010676T	928	149	222	215	329	110	172	45	80
CPCT02230060T	1262	69	102	867	299	201	35	69	146
CPCT02010660T	1249	68	77	234	20	279	26	9	73
CPCT02040186T	1264	282	287	277	460	158	94	28	116
CPCT02020458T	196	65	142	24	359	65	137	76	2
CPCT02110017T	360	78	54	151	192	68	11	64	66
CPCT02010567T	2	5	52	23	69	39	9	26	10
CPCT02080092T	1280	110	156	396	274	68	217	35	84
CPCT02390002T	1740	99	79	211	16	87	84	21	98
DRUP01010024T	5	14	50	13	28	32	16	33	18
CPCT02040113T	1697	144	134	252	195	70	66	22	64
CPCT02080114T	691	111	422	95	83	68	52	91	70
CPCT02300015T	942	829	613	182	280	96	628	107	101
