Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
CPCT02330111T	174	1186	24	236	20	110	164	10	0	10
CPCT02120136T	0	261	0	106	3	59	18	34	66	36
CPCT02030493T	47	304	5	129	80	68	71	31	0	15
CPCT02020757T	446	1742	63	113	238	201	32	86	0	89
DRUP01030018T	139585	27613	40460	2191	173	1301	0	166	0	316
CPCT02060239T	313	407	47	129	24	108	106	93	344	331
CPCT02330112T	358	1010	94	74	50	115	69	118	0	1117
DRUP01330008T	387	1205	0	92	387	142	76	903	0	97
CPCT02330043T	385	1026	52	38	413	214	1188	294	328	295
CPCT02010873T	93	768	9	0	23	81	17	36	31	26
CPCT02010860T	118	500	37	52	3	31	55	34	86	33
CPCT02090050T	0	588	11	58	17	88	13	101	7	48
CPCT02380047T	165	839	37	265	194	112	55	359	0	28
CPCT02050375T	411	1220	40	312	470	85	4	38	122	44
CPCT02390027T	37	618	35	0	15	32	80	19	10	39
DRUP01050028T	49281	2370	9032	3093	4	660	0	2	0	0
CPCT02310013T	178	1671	42	1	185	125	56	19	0	77
CPCT02120145T	0	294	25	17	11	69	8	45	124	38
WIDE01010606T	71615	56613	13356	16994	147	2144	0	0	0	0
CPCT02110071T	438	1635	19	225	192	145	60	507	0	88
CPCT02320005T	574	287	15	468	461	120	56	65	467	89
CPCT02290044T	150	1008	30	34	392	138	55	51	17	92
CPCT02020758T	16	496	1	0	12	51	0	15	0	37
DRUP01010047TII	97434	2757	17945	1880	134	618	751	608	0	195
CPCT02010880T	126	505	22	127	46	109	82	170	103	64
CPCT02010884T	45	636	17	0	483	65	44	69	0	86
WIDE01010460T	135070	25852	30874	10048	129	1682	609	33	0	0
CPCT02010882T	125763	24432	28794	0	137	1551	0	472	0	0
CPCT02080244T	212	920	19	73	167	96	46	206	0	101
CPCT02010881T	488	288	27	164	28	103	48	55	325	53
CPCT02170033T	308	0	36	103	95	69	123	26	348	248
CPCT02120079T	176	310	42	237	12	126	11	46	244	57
CPCT02040258T	463	806	33	0	1140	157	177	162	178	107
CPCT02040269T	215	805	44	0	144	134	95	166	126	227
CPCT02090059T	479	684	7	0	231	120	158	271	241	493
CPCT02330102T	261	899	6	0	65	51	302	289	93	94
CPCT02390033T	236	658	50	0	26	118	5	73	8	76
CPCT02030514T	72	1033	0	0	163	82	227	113	597	420
CPCT02010898T	0	241	2	175	15	75	0	23	261	57
CPCT02110073T	446	675	11	188	20	119	13	56	0	37
CPCT02340095T	249	63	17	0	56	124	53	42	329	82
CPCT02050387T	109	901	0	181	7	100	0	35	0	18
CPCT02390034T	653	1390	77	121	469	208	109	75	0	136
CPCT02130144T	0	2495	7	431	46	114	80	149	38	171
CPCT02210064T	1778	1947	136	8	46	127	38	52	0	40
CPCT02410008T	92	116	29	209	9	83	8	40	84	35
CPCT02170037T	341	481	23	209	1244	120	106	53	0	152
CPCT02170035T	99426	13655	23215	4279	98	950	224	232	0	296
CPCT02020802T	158	1309	18	42	61	67	4	15	0	41
CPCT02230117T	517	1578	62	81	75	227	49	117	0	173
CPCT02350009T	1145	0	120	0	196	125	198	173	824	302
CPCT02210070T	107	941	11	97	45	98	67	50	0	70
CPCT02120160T	343	1234	52	0	107	109	55	56	0	46
CPCT02180072T	171	422	48	166	50	130	14	27	51	140
CPCT02350012T	130	866	11	99	68	85	46	40	0	34
CPCT02050397T	256	764	26	0	111	79	124	59	15	71
CPCT02030528T	492	459	45	0	393	163	187	230	533	205
CPCT02100182T	243	642	5	81	206	79	32	55	0	34
DRUP01050031T	981	0	71	35	81	191	214	558	1011	201
CPCT02370036T	153	1059	34	279	158	198	125	58	0	91
CPCT02050398T	170	1076	0	790	18	187	66	0	0	61
CPCT02120162T	82	645	35	118	12	122	102	51	67	73
CPCT02130137T	170	1001	0	277	40	225	0	23	0	127
CPCT02300048T	0	809	27	94	22	82	94	167	71	107
CPCT02250011T	179	809	12	0	1291	163	294	189	0	518
CPCT02050261T	326	840	45	0	96	71	30	20	136	133
DRUP01160001T	222	613	16	0	456	189	322	607	14	613
CPCT02150025T	5	745	37	43	36	129	211	21	0	41
DRUP01020033T	699	728	36	301	370	148	79	335	311	81
CPCT02460002T	272	408	31	112	787	115	79	812	242	40
CPCT02040264T	324	839	54	105	175	109	87	43	0	95
CPCT02370037T	482	1219	0	0	88	106	87	66	136	264
CPCT02100188T	1	0	8	0	2	33	7	28	49	34
DRUP01220004T	149	0	0	87	51	42	81	160	212	40
CPCT02380011T	38	949	0	0	134	96	88	322	0	29
CPCT02160057T	113	621	44	0	174	90	82	223	94	58
CPCT02050220T	180	620	0	30	179	146	59	68	112	65
CPCT02220059T	83	184	9	147	514	88	56	21	111	52
DRUP01090023T	0	684	3	31	22	67	32	59	31	57
CPCT02120171T	247	1054	10	86	82	96	0	157	0	53
CPCT02050269T	141	0	10	271	182	80	29	15	250	95
CPCT02230023T	650	65	45	22	16	94	405	115	363	517
CPCT02180045T	951	0	39	791	55	154	59	73	552	102
CPCT02090023T	213	1201	20	650	374	275	0	107	0	179
CPCT02050238T	75	384	21	214	53	109	3	102	53	31
CPCT02070405T	989	1342	53	0	244	145	45	231	113	100
CPCT02060135T	183	1129	33	0	70	105	60	110	0	58
CPCT02230053T	518	858	7	465	39	180	0	58	0	95
CPCT02330052T	342	1728	25	0	124	105	158	91	231	137
CPCT02330049T	481	616	27	160	98	157	165	141	222	189
DRUP01010047T	109843	8056	20500	0	219	995	196	1097	0	357
CPCT02370002TII	232	1021	12	0	117	243	293	220	174	110
CPCT02190023T	336	1157	39	0	110	115	40	52	200	60
CPCT02230055T	230	0	2	119	196	223	361	115	761	318
CPCT02030414T	272	2061	46	79	16	101	20	8	0	68
DRUP01030026T	414	943	40	0	13	68	1	33	62	50
CPCT02050278T	59	1002	46	164	33	119	62	45	0	62
CPCT02210027T	171	900	47	315	275	189	78	32	155	145
CPCT02230045T	275	1186	32	0	48	105	4	59	0	52
CPCT02110046T	186	0	0	212	368	145	35	233	206	87
CPCT02010674T	221	730	42	86	247	222	21	6	0	48
CPCT02050279T	103230	8925	20935	7179	14	1118	0	0	0	0
CPCT02220027T	302	1264	29	156	205	95	64	75	0	58
CPCT02160034T	2362	1428	141	281	68	150	158	72	0	93
CPCT02070239T	153	965	14	427	16	218	0	26	0	65
CPCT02340024T	699	1015	49	331	205	216	49	302	0	111
CPCT02030382T	536	537	27	88	93	103	11	51	59	70
CPCT02120054T	109	0	37	213	136	141	23	95	167	150
CPCT02310002T	333	808	38	0	85	65	28	29	168	52
CPCT02120066T	449	1254	29	165	202	117	532	249	0	180
CPCT02440001T	268	1235	25	60	55	65	55	97	0	40
CPCT02100120T	1334	2628	159	313	491	191	11	87	0	58
DRUP01010051T	90741	11521	20903	7276	73	762	69	0	0	0
CPCT02340036T	359	777	0	39	211	68	729	264	41	173
CPCT02040165T	114	818	31	164	183	123	295	117	0	104
CPCT02450004T	486	578	20	296	345	201	17	45	201	87
CPCT02330051T	400	0	50	432	145	229	38	57	395	132
CPCT02080126T	91	333	5	332	65	97	39	378	57	77
CPCT02240007T	122	0	0	150	31	131	42	0	112	87
CPCT02340014T	92	0	3	225	2327	160	131	266	0	56
CPCT02170016T	330	484	11	148	158	119	46	36	228	71
CPCT02330055T	297	522	14	0	71	45	36	21	86	74
CPCT02180042T	179	756	0	8	242	92	56	62	0	60
CPCT02010666T	110	890	49	0	31	52	58	76	63	48
CPCT02340029T	855	1863	64	315	172	165	0	625	0	46
CPCT02070232T	154	494	21	0	35	99	28	424	153	41
CPCT02080042T	510	781	41	604	63	202	0	121	143	95
CPCT02240009T	227	536	31	282	190	208	45	48	366	112
CPCT02230057T	61	541	19	112	135	197	24	399	21	189
CPCT02040183T	0	35	6	72	0	51	35	39	162	95
CPCT02050256T	189	0	0	254	101	124	1	43	229	71
CPCT02050258T	135	1390	0	472	100	164	0	0	0	39
CPCT02330053T	54	1195	45	0	210	76	189	25	17	123
DRUP01010041T	622	1235	122	92	471	212	189	125	0	82
DRUP01010044T	2318	952	100	358	328	274	76	18	208	116
CPCT02020611T	348	850	0	279	128	154	115	690	0	124
CPCT02050252T	886	2125	28	299	602	213	57	41	0	85
CPCT02290017T	224	449	0	488	53	143	0	31	158	52
CPCT02050259T	1311	348	111	0	478	197	92	250	557	179
CPCT02060155T	176	605	34	239	62	256	64	43	104	134
CPCT02050260T	41	828	2	58	17	151	141	13	0	121
CPCT02290016T	172	737	28	0	129	92	60	86	77	53
CPCT02050118T	306	614	81	194	59	57	25	91	207	158
CPCT02090004T	651	0	74	212	726	86	102	103	692	200
CPCT02050115T	399	1178	94	51	211	85	16	20	0	81
CPCT02210007T	120	1540	21	272	73	61	16	41	0	30
CPCT02050175T	185	1071	36	95	123	81	11	32	3	45
CPCT02380005T	68	775	29	154	99	46	32	155	0	42
CPCT02010543T	78	1012	27	353	118	81	120	90	0	100
CPCT02270001T	300	923	43	383	750	91	44	420	0	52
CPCT02100019T	75287	7727	13907	12016	267	1707	147	588	0	0
CPCT02010576T	102	0	28	147	8	23	244	26	81	27
CPCT02330024T	166	1109	27	34	58	66	37	26	0	53
CPCT02120021T	126	1445	30	0	19	28	85	121	0	85
CPCT02120023T	166	569	36	104	71	57	35	103	0	18
CPCT02030343T	113	463	20	0	6	44	11	22	20	62
CPCT02330036T	401	929	30	0	98	73	99	41	75	46
CPCT02050184T	963	0	39	0	95	35	261	543	966	163
DRUP01070017T	356	907	54	127	820	85	155	301	0	57
CPCT02210018T	484	1633	56	234	186	67	0	53	0	11
CPCT02020521T	32	577	0	9	18	19	120	174	0	50
CPCT02110033T	512	2	85	450	78	137	36	82	0	1738
CPCT02220019T	128	1366	24	374	685	108	228	70	0	86
CPCT02010579T	231	1829	0	149	30	94	0	42	0	122
CPCT02010587T	97	619	0	54	109	59	44	105	20	70
CPCT02220020T	79	694	16	183	162	92	48	48	260	83
