Koh_476,Koh_89
C[Ins(T):R4]A,"C[Ins(T):R(0,4)]A"
C[Ins(T):R4]C,"C[Ins(T):R(0,4)]C"
C[Ins(T):R4]G,"C[Ins(T):R(0,4)]G"
C[Ins(T):R5]A,"C[Ins(T):R(5,7)]A"
C[Ins(T):R5]C,"C[Ins(T):R(5,7)]C"
C[Ins(T):R5]G,"C[Ins(T):R(5,7)]G"
C[Ins(T):R6]A,"C[Ins(T):R(5,7)]A"
C[Ins(T):R6]C,"C[Ins(T):R(5,7)]C"
C[Ins(T):R6]G,"C[Ins(T):R(5,7)]G"
C[Ins(T):R7]A,"C[Ins(T):R(5,7)]A"
C[Ins(T):R7]C,"C[Ins(T):R(5,7)]C"
C[Ins(T):R7]G,"C[Ins(T):R(5,7)]G"
C[Ins(T):R8]A,"C[Ins(T):R(8,)]A"
C[Ins(T):R8]C,"C[Ins(T):R(8,)]C"
C[Ins(T):R8]G,"C[Ins(T):R(8,)]G"
C[Ins(T):R9]A,"C[Ins(T):R(8,)]A"
C[Ins(T):R9]C,"C[Ins(T):R(8,)]C"
C[Ins(T):R9]G,"C[Ins(T):R(8,)]G"
"Del(10,):U(2,):R1","Del(5,):R1"
"Del(10,):U1:R1","Del(5,):R1"
"Del(6,):U(4,):R(2,9)","Del(3,):U(3,):R(3,)"
"Del(6,):U(4,):R(2,9)","Del(3,):U(3,):R2"
"Del(6,):U1:R(7,9)","Del(2,):U(1,2):R(5,)"
"Del(6,):U2:R(4,9)","Del(2,):U(1,2):R(5,)"
"Del(6,):U3:R(3,9)","Del(3,):U(3,):R(3,)"
"Del(7,):M(6,)","Del(6,):M(4,)"
"Del(7,):M1","Del(6,):M1"
"Del(7,):M2","Del(6,):M2"
"Del(7,):M3","Del(6,):M3"
"Del(7,):M4","Del(6,):M(4,)"
"Del(7,):M5","Del(6,):M(4,)"
Del2:M1,"Del(2,5):M1"
"Del2:U(2,):R1","Del(2,4):R1"
"Del2:U1:R(5,9)","Del(2,):U(1,2):R(5,)"
Del2:U1:R1,"Del(2,4):R1"
Del2:U1:R3,"Del(2,8):U(1,2):R(2,4)"
Del2:U1:R4,"Del(2,8):U(1,2):R(2,4)"
"Del2:U2:R(5,9)","Del(2,):U(1,2):R(5,)"
Del2:U2:R2,"Del(2,8):U(1,2):R(2,4)"
Del2:U2:R3,"Del(2,8):U(1,2):R(2,4)"
Del2:U2:R4,"Del(2,8):U(1,2):R(2,4)"
Del3:M1,"Del(2,5):M1"
Del3:M2,"Del(3,5):M2"
"Del3:U(2,):R1","Del(2,4):R1"
"Del3:U1:R(5,9)","Del(2,):U(1,2):R(5,)"
Del3:U1:R1,"Del(2,4):R1"
Del3:U1:R4,"Del(2,8):U(1,2):R(2,4)"
"Del3:U3:R(5,9)","Del(3,):U(3,):R(3,)"
Del3:U3:R2,"Del(3,):U(3,):R2"
Del3:U3:R3,"Del(3,):U(3,):R(3,)"
Del3:U3:R4,"Del(3,):U(3,):R(3,)"
Del4:M1,"Del(2,5):M1"
Del4:M2,"Del(3,5):M2"
Del4:M3,"Del(4,5):M(3,4)"
"Del4:U(2,):R1","Del(2,4):R1"
"Del4:U1:R(5,9)","Del(2,):U(1,2):R(5,)"
Del4:U1:R1,"Del(2,4):R1"
"Del4:U2:R(5,9)","Del(2,):U(1,2):R(5,)"
Del4:U2:R3,"Del(2,8):U(1,2):R(2,4)"
Del4:U2:R4,"Del(2,8):U(1,2):R(2,4)"
"Del4:U4:R(5,9)","Del(3,):U(3,):R(3,)"
Del4:U4:R2,"Del(3,):U(3,):R2"
Del4:U4:R3,"Del(3,):U(3,):R(3,)"
Del4:U4:R4,"Del(3,):U(3,):R(3,)"
Del5:M1,"Del(2,5):M1"
Del5:M2,"Del(3,5):M2"
Del5:M3,"Del(4,5):M(3,4)"
Del5:M4,"Del(4,5):M(3,4)"
"Del5:U(2,):R1","Del(5,):R1"
"Del5:U1:R(5,9)","Del(2,):U(1,2):R(5,)"
Del5:U1:R1,"Del(5,):R1"
"Del5:U5:R(5,9)","Del(3,):U(3,):R(3,)"
Del5:U5:R2,"Del(3,):U(3,):R2"
Del5:U5:R3,"Del(3,):U(3,):R(3,)"
Del5:U5:R4,"Del(3,):U(3,):R(3,)"
Del6:M1,"Del(6,):M1"
Del6:M2,"Del(6,):M2"
Del6:M3,"Del(6,):M3"
Del6:M4,"Del(6,):M(4,)"
Del6:M5,"Del(6,):M(4,)"
"Del6:U(2,):R1","Del(5,):R1"
Del6:U1:R1,"Del(5,):R1"
"Del7:U(2,):R1","Del(5,):R1"
Del7:U1:R1,"Del(5,):R1"
"Del8:U(2,):R1","Del(5,):R1"
Del8:U1:R1,"Del(5,):R1"
"Del9:U(2,):R1","Del(5,):R1"
G[Del(C):R10]A,"Del(C):R(6,9)"
G[Del(C):R10]G,"Del(C):R(6,9)"
G[Del(C):R10]T,"Del(C):R(6,9)"
G[Del(C):R11]A,"Del(C):R(6,9)"
G[Del(C):R11]G,"Del(C):R(6,9)"
G[Del(C):R11]T,"Del(C):R(6,9)"
G[Del(C):R12]A,"Del(C):R(6,9)"
G[Del(C):R12]G,"Del(C):R(6,9)"
G[Del(C):R12]T,"Del(C):R(6,9)"
G[Del(C):R13]A,"Del(C):R(6,9)"
G[Del(C):R14]A,"Del(C):R(6,9)"
G[Del(C):R1]A,[Del(C):R1]A
G[Del(C):R1]G,"[Del(C):R(1,5)]G"
G[Del(C):R1]T,[Del(C):R1]T
G[Del(C):R2]A,[Del(C):R2]A
G[Del(C):R2]G,"[Del(C):R(1,5)]G"
G[Del(C):R2]T,[Del(C):R2]T
G[Del(C):R3]A,[Del(C):R3]A
G[Del(C):R3]G,"[Del(C):R(1,5)]G"
G[Del(C):R3]T,[Del(C):R3]T
G[Del(C):R4]A,"[Del(C):R(4,5)]A"
G[Del(C):R4]G,"[Del(C):R(1,5)]G"
G[Del(C):R4]T,"[Del(C):R(4,5)]T"
G[Del(C):R5]A,"[Del(C):R(4,5)]A"
G[Del(C):R5]G,"[Del(C):R(1,5)]G"
G[Del(C):R5]T,"[Del(C):R(4,5)]T"
G[Del(C):R6]A,"Del(C):R(6,9)"
G[Del(C):R6]G,"Del(C):R(6,9)"
G[Del(C):R6]T,"Del(C):R(6,9)"
G[Del(C):R7]A,"Del(C):R(6,9)"
G[Del(C):R7]G,"Del(C):R(6,9)"
G[Del(C):R7]T,"Del(C):R(6,9)"
G[Del(C):R8]A,"Del(C):R(6,9)"
G[Del(C):R8]G,"Del(C):R(6,9)"
G[Del(C):R8]T,"Del(C):R(6,9)"
G[Del(C):R9]A,"Del(C):R(6,9)"
G[Del(C):R9]G,"Del(C):R(6,9)"
G[Del(C):R9]T,"Del(C):R(6,9)"
G[Del(T):R10]A,"G[Del(T):R(8,)]A"
G[Del(T):R10]C,"G[Del(T):R(8,)]C"
G[Del(T):R10]G,"G[Del(T):R(8,)]G"
G[Del(T):R11]A,"G[Del(T):R(8,)]A"
G[Del(T):R11]C,"G[Del(T):R(8,)]C"
G[Del(T):R11]G,"G[Del(T):R(8,)]G"
G[Del(T):R12]A,"G[Del(T):R(8,)]A"
G[Del(T):R12]C,"G[Del(T):R(8,)]C"
G[Del(T):R12]G,"G[Del(T):R(8,)]G"
G[Del(T):R13]A,"G[Del(T):R(8,)]A"
G[Del(T):R13]C,"G[Del(T):R(8,)]C"
G[Del(T):R13]G,"G[Del(T):R(8,)]G"
G[Del(T):R14]A,"G[Del(T):R(8,)]A"
G[Del(T):R14]C,"G[Del(T):R(8,)]C"
G[Del(T):R14]G,"G[Del(T):R(8,)]G"
G[Del(T):R1]A,"G[Del(T):R(1,4)]A"
G[Del(T):R1]C,"G[Del(T):R(1,4)]C"
G[Del(T):R1]G,"G[Del(T):R(1,4)]G"
G[Del(T):R2]A,"G[Del(T):R(1,4)]A"
G[Del(T):R2]C,"G[Del(T):R(1,4)]C"
G[Del(T):R2]G,"G[Del(T):R(1,4)]G"
G[Del(T):R3]A,"G[Del(T):R(1,4)]A"
G[Del(T):R3]C,"G[Del(T):R(1,4)]C"
G[Del(T):R3]G,"G[Del(T):R(1,4)]G"
G[Del(T):R4]A,"G[Del(T):R(1,4)]A"
G[Del(T):R4]C,"G[Del(T):R(1,4)]C"
G[Del(T):R4]G,"G[Del(T):R(1,4)]G"
G[Del(T):R5]A,"G[Del(T):R(5,7)]A"
G[Del(T):R5]C,"G[Del(T):R(5,7)]C"
G[Del(T):R5]G,"G[Del(T):R(5,7)]G"
G[Del(T):R6]A,"G[Del(T):R(5,7)]A"
G[Del(T):R6]C,"G[Del(T):R(5,7)]C"
G[Del(T):R6]G,"G[Del(T):R(5,7)]G"
G[Del(T):R7]A,"G[Del(T):R(5,7)]A"
G[Del(T):R7]C,"G[Del(T):R(5,7)]C"
G[Del(T):R7]G,"G[Del(T):R(5,7)]G"
G[Del(T):R8]A,"G[Del(T):R(8,)]A"
G[Del(T):R8]C,"G[Del(T):R(8,)]C"
G[Del(T):R8]G,"G[Del(T):R(8,)]G"
G[Del(T):R9]A,"G[Del(T):R(8,)]A"
G[Del(T):R9]C,"G[Del(T):R(8,)]C"
G[Del(T):R9]G,"G[Del(T):R(8,)]G"
G[Ins(C):R0]A,"Ins(C):R(0,3)"
G[Ins(C):R0]G,"Ins(C):R(0,3)"
G[Ins(C):R0]T,"Ins(C):R(0,3)"
G[Ins(C):R10]A,"Ins(C):R(7,)"
G[Ins(C):R10]G,"Ins(C):R(7,)"
G[Ins(C):R10]T,"Ins(C):R(7,)"
G[Ins(C):R11]A,"Ins(C):R(7,)"
G[Ins(C):R11]G,"Ins(C):R(7,)"
G[Ins(C):R1]A,"Ins(C):R(0,3)"
G[Ins(C):R1]G,"Ins(C):R(0,3)"
G[Ins(C):R1]T,"Ins(C):R(0,3)"
G[Ins(C):R2]A,"Ins(C):R(0,3)"
G[Ins(C):R2]G,"Ins(C):R(0,3)"
G[Ins(C):R2]T,"Ins(C):R(0,3)"
G[Ins(C):R3]A,"Ins(C):R(0,3)"
G[Ins(C):R3]G,"Ins(C):R(0,3)"
G[Ins(C):R3]T,"Ins(C):R(0,3)"
G[Ins(C):R4]A,"Ins(C):R(4,6)"
G[Ins(C):R4]G,"Ins(C):R(4,6)"
G[Ins(C):R4]T,"Ins(C):R(4,6)"
G[Ins(C):R5]A,"Ins(C):R(4,6)"
G[Ins(C):R5]G,"Ins(C):R(4,6)"
G[Ins(C):R5]T,"Ins(C):R(4,6)"
G[Ins(C):R6]A,"Ins(C):R(4,6)"
G[Ins(C):R6]G,"Ins(C):R(4,6)"
G[Ins(C):R6]T,"Ins(C):R(4,6)"
G[Ins(C):R7]A,"Ins(C):R(7,)"
G[Ins(C):R7]G,"Ins(C):R(7,)"
G[Ins(C):R7]T,"Ins(C):R(7,)"
G[Ins(C):R8]A,"Ins(C):R(7,)"
G[Ins(C):R8]G,"Ins(C):R(7,)"
G[Ins(C):R8]T,"Ins(C):R(7,)"
G[Ins(C):R9]A,"Ins(C):R(7,)"
G[Ins(C):R9]G,"Ins(C):R(7,)"
G[Ins(C):R9]T,"Ins(C):R(7,)"
G[Ins(T):R0]A,"G[Ins(T):R(0,4)]A"
G[Ins(T):R0]C,"G[Ins(T):R(0,4)]C"
G[Ins(T):R0]G,"G[Ins(T):R(0,4)]G"
G[Ins(T):R10]A,"G[Ins(T):R(8,)]A"
G[Ins(T):R10]C,"G[Ins(T):R(8,)]C"
G[Ins(T):R10]G,"G[Ins(T):R(8,)]G"
G[Ins(T):R11]A,"G[Ins(T):R(8,)]A"
G[Ins(T):R11]C,"G[Ins(T):R(8,)]C"
G[Ins(T):R11]G,"G[Ins(T):R(8,)]G"
G[Ins(T):R12]A,"G[Ins(T):R(8,)]A"
G[Ins(T):R12]C,"G[Ins(T):R(8,)]C"
G[Ins(T):R12]G,"G[Ins(T):R(8,)]G"
G[Ins(T):R13]A,"G[Ins(T):R(8,)]A"
G[Ins(T):R13]C,"G[Ins(T):R(8,)]C"
G[Ins(T):R13]G,"G[Ins(T):R(8,)]G"
G[Ins(T):R14]A,"G[Ins(T):R(8,)]A"
G[Ins(T):R14]C,"G[Ins(T):R(8,)]C"
G[Ins(T):R14]G,"G[Ins(T):R(8,)]G"
G[Ins(T):R1]A,"G[Ins(T):R(0,4)]A"
G[Ins(T):R1]C,"G[Ins(T):R(0,4)]C"
G[Ins(T):R1]G,"G[Ins(T):R(0,4)]G"
G[Ins(T):R2]A,"G[Ins(T):R(0,4)]A"
G[Ins(T):R2]C,"G[Ins(T):R(0,4)]C"
G[Ins(T):R2]G,"G[Ins(T):R(0,4)]G"
G[Ins(T):R3]A,"G[Ins(T):R(0,4)]A"
G[Ins(T):R3]C,"G[Ins(T):R(0,4)]C"
G[Ins(T):R3]G,"G[Ins(T):R(0,4)]G"
G[Ins(T):R4]A,"G[Ins(T):R(0,4)]A"
G[Ins(T):R4]C,"G[Ins(T):R(0,4)]C"
G[Ins(T):R4]G,"G[Ins(T):R(0,4)]G"
G[Ins(T):R5]A,"G[Ins(T):R(5,7)]A"
G[Ins(T):R5]C,"G[Ins(T):R(5,7)]C"
G[Ins(T):R5]G,"G[Ins(T):R(5,7)]G"
G[Ins(T):R6]A,"G[Ins(T):R(5,7)]A"
G[Ins(T):R6]C,"G[Ins(T):R(5,7)]C"
G[Ins(T):R6]G,"G[Ins(T):R(5,7)]G"
G[Ins(T):R7]A,"G[Ins(T):R(5,7)]A"
G[Ins(T):R7]C,"G[Ins(T):R(5,7)]C"
G[Ins(T):R7]G,"G[Ins(T):R(5,7)]G"
G[Ins(T):R8]A,"G[Ins(T):R(8,)]A"
G[Ins(T):R8]C,"G[Ins(T):R(8,)]C"
G[Ins(T):R8]G,"G[Ins(T):R(8,)]G"
G[Ins(T):R9]A,"G[Ins(T):R(8,)]A"
G[Ins(T):R9]C,"G[Ins(T):R(8,)]C"
G[Ins(T):R9]G,"G[Ins(T):R(8,)]G"
"Ins(2,4):M","Ins(2,4):R0"
"Ins(5,):M","Ins(5,):R0"
"Ins(5,):R0","Ins(5,):R0"
"Ins(5,):U(3,):R(5,9)","Ins(2,):R(5,)"
"Ins(5,):U(3,):R1","Ins(5,):R1"
