MutationType	CPCT02030262T	CPCT02190001T	CPCT02160010T	CPCT02330006T	CPCT02030290T	CPCT02060058T	CPCT02130025T	CPCT02060167T	CPCT02090031T	CPCT02220061T	DRUP01020037T	CPCT02380033T	CPCT02100135T	CPCT02080286T	CPCT02380032T	CPCT02250006T	CPCT02050312T	CPCT02270017T	CPCT02060210T	CPCT02090039T	CPCT02110060T	CPCT02130044T	CPCT02130047T	WIDE01010068T	WIDE01010103T	CPCT02440009T	WIDE01010243T	CPCT02130079T	CPCT02130082T	CPCT02210054T	CPCT02120131T	CPCT02370030T	CPCT02090047T	CPCT02130118T	CPCT02080238T	CPCT02130120T	CPCT02030501T	CPCT02190041T	CPCT02130133T	CPCT02130129T	CPCT02290049T	CPCT02380050T	CPCT02090060T	CPCT02210068T	CPCT02410012T	DRUP01090022T	CPCT02050246T	CPCT02050244T	CPCT02060111T	CPCT02050070T	CPCT02250001T	CPCT02070231T	CPCT02210016T	CPCT02070132T	CPCT02180029T	CPCT02050195T	CPCT02060107T	CPCT02070177T	CPCT02030366T	CPCT02050223T	CPCT02060116T	CPCT02050239T	CPCT02210031T	CPCT02230035T	CPCT02050089T	CPCT02180009T	CPCT02330014T	CPCT02230001T	CPCT02040083T	CPCT02180020T	CPCT02050135T	CPCT02020483T	CPCT02080091T	CPCT02260012T	CPCT02210036T	CPCT02130014T	CPCT02130010T	CPCT02250002T	CPCT02090027T	DRUP01070119T	CPCT02050447T	CPCT02330135T	CPCT02200008T	CPCT02200009T
5:Del:R:1	1	5	6	1	22	3	3	4	9	7	14	2	2	2	4	3	4	2	3	3	1	2	2	2	1	5	1	1	4	2	2	1	10	2	4	3	1	6	10	0	4	2	3	3	2	12	2	3	5	3	4	3	99	2	3	0	7	3	0	2	3	4	3	4	6	21	1	2	2	15	20	5	3	6	6	1	4	1	2	6	4	4	2	2
5:Del:R:2	0	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	1	0	1	0	0	1	2	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	0	1	52	0	0	0	1	0	0	0	1	0	1	1	3	5	0	0	1	4	3	1	0	1	0	1	1	1	0	0	1	0	0	0
5:Del:R:3	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	1
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	10	3	8	6	20	6	10	12	5	9	12	7	4	2	8	8	4	4	4	5	7	3	6	10	1	7	7	3	10	6	2	9	37	6	9	9	3	13	6	4	7	5	10	5	2	15	5	13	6	6	7	5	496	4	9	2	9	11	6	3	3	7	3	11	18	14	1	3	7	21	12	3	5	8	8	5	6	3	2	72	10	6	1	0
2:Ins:R:1	3	0	4	5	4	8	2	1	2	6	2	3	2	4	6	1	4	2	1	2	1	0	3	3	0	3	2	2	3	6	2	3	7	1	3	3	3	3	5	0	3	3	2	3	2	2	5	2	0	4	7	1	74	2	3	3	6	0	2	0	0	2	1	1	4	4	0	2	3	4	3	1	1	7	6	3	2	2	0	11	4	4	3	1
2:Ins:R:2	1	1	0	1	3	1	0	0	1	7	2	2	1	1	1	2	1	2	0	1	1	0	2	1	1	2	0	2	1	1	0	0	1	1	3	3	1	1	2	1	0	2	1	0	3	2	5	0	1	2	2	2	104	1	1	0	2	0	1	0	0	2	1	0	5	1	1	0	1	3	4	1	3	7	4	1	1	2	1	15	1	2	0	2
2:Ins:R:3	0	1	3	1	6	2	0	1	0	1	2	2	0	0	1	0	0	0	0	1	1	1	0	2	1	0	0	1	1	0	1	2	2	1	0	3	1	3	0	0	2	2	2	1	0	1	1	0	0	1	0	1	211	2	2	0	1	2	0	1	0	2	1	1	8	2	1	1	1	6	0	0	0	0	1	0	1	3	0	15	1	1	1	1
2:Ins:R:4	2	3	3	1	2	2	0	4	0	8	0	3	2	0	0	1	3	0	2	1	2	1	3	8	0	0	3	0	4	1	1	1	4	6	2	2	1	2	1	2	5	0	1	0	1	1	2	2	0	1	1	3	696	1	2	0	2	1	2	1	3	0	0	3	13	4	1	0	1	5	5	1	0	1	4	1	6	2	2	33	1	2	0	0
