MutationType	CPCT02060034T	CPCT02020356T	CPCT02050063T	CPCT02030275T	CPCT02070033T	CPCT02030294T	CPCT02070038T	CPCT02080179T	CPCT02010866TII	CPCT02330133T	CPCT02050427T	DRUP01030028T	CPCT02080193T	CPCT02030556T	CPCT02120111T	CPCT02050341T	WIDE01010210T	WIDE01010208T	CPCT02290033T	CPCT02070323T	WIDE01010450T	CPCT02090049T	CPCT02010866T	CPCT02070363T	CPCT02060222T	CPCT02080251T	CPCT02070384T	CPCT02070386T	DRUP01070051T	CPCT02080137T	CPCT02080157T	CPCT02330128T	CPCT02070030T	DRUP01050009T	CPCT02070225T	CPCT02070230T	DRUP01070022T	DRUP01050010T	CPCT02050161T	CPCT02050174T	CPCT02050172T	CPCT02050186T	DRUP01070016T	CPCT02080120T	CPCT02030351T	CPCT02060119T	CPCT02080136T	DRUP01010035T	CPCT02070039T	CPCT02030302T	CPCT02070053T	CPCT02070065T	DRUP01070003T	CPCT02070099T	CPCT02020473T	DRUP01070009T	CPCT02030324T	CPCT02030330T	CPCT02050151T	CPCT02070128T	CPCT02080099T	DRUP01030004T	CPCT02070265T	CPCT02080040T	WIDE01010705T
C[Del(T):R(8,)]A	0	3	2	3	0	4	3	2	17	2	5	4	6	11	0	1	1	28	6	0	14	2	11	7	0	7	2	16	0	12	1898	0	0	7	2	1	20	0	4	0	21	17	3	2	8	1	6	1	2	1	2	1	0	0	1	8	23	3	2	3	6	4	6	5	0
C[Del(T):R(8,)]C	0	4	1	2	2	8	3	1	14	7	8	2	5	12	0	1	3	37	4	0	11	2	10	4	1	11	3	21	3	15	2194	3	0	7	2	0	20	0	4	0	11	19	1	2	6	2	9	0	2	1	0	0	1	0	0	5	23	3	0	1	16	7	2	7	1
C[Del(T):R(8,)]G	0	5	3	0	0	5	5	2	8	2	2	3	1	2	1	0	0	41	5	0	9	3	5	3	1	4	5	3	6	8	1948	0	0	4	1	1	19	0	3	1	8	11	1	1	7	1	5	0	0	2	0	0	0	0	0	6	21	5	0	1	3	5	8	5	1
G[Del(T):R(8,)]A	0	1	1	0	2	2	1	2	5	2	2	0	0	7	0	0	4	20	2	1	9	1	4	3	0	5	2	12	1	7	1402	1	0	3	0	1	5	1	1	0	7	12	0	0	3	1	8	0	0	3	0	0	0	0	1	1	10	3	3	0	2	2	4	6	0
G[Del(T):R(8,)]C	0	2	0	2	1	3	0	4	8	4	2	1	3	8	0	1	0	14	1	0	6	0	5	3	1	5	3	5	2	9	991	1	0	4	0	0	11	0	2	0	8	12	0	2	2	3	5	0	1	1	1	0	0	0	0	5	11	7	1	0	7	3	2	9	1
G[Del(T):R(8,)]G	0	2	1	0	1	0	1	2	4	4	3	0	1	10	1	1	2	16	2	1	7	2	4	4	0	4	2	6	1	3	1058	0	0	0	2	0	8	0	1	0	6	9	0	1	5	0	2	0	0	1	1	0	0	1	1	2	6	3	0	0	4	0	3	3	0
A[Ins(C):R0]A	0	0	0	3	0	2	0	10	6	2	33	1	9	9	0	0	0	1	2	0	3	0	2	1	1	3	1	35	0	10	39	0	0	4	0	0	1	0	2	0	1	3	2	3	3	1	1	0	0	2	3	0	0	0	0	2	2	1	1	2	4	3	2	4	1
A[Ins(C):R0]T	0	0	1	1	0	3	0	8	5	1	21	1	4	2	0	0	0	0	1	0	0	0	4	0	0	2	1	29	0	5	10	0	0	0	1	1	0	0	0	0	0	2	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	1	1	0	1	3	4	6	0
Ins(C):R(0,3)	5	9	19	10	5	14	11	10	93	17	24	8	17	31	3	6	6	6	13	4	7	10	35	7	2	22	8	33	16	14	116	21	3	19	11	6	6	4	5	9	26	22	9	5	14	5	14	3	9	5	7	6	9	3	8	7	14	23	6	9	10	15	9	9	12
Ins(C):R(4,6)	2	3	4	3	3	8	10	1	21	12	10	6	3	14	1	2	2	6	8	0	6	10	14	5	1	9	0	12	4	10	425	11	1	7	12	2	6	1	6	3	12	25	1	1	6	4	4	2	3	2	2	2	4	3	0	11	8	8	2	2	9	9	14	1	4
Ins(C):R(7,)	0	10	2	4	7	4	5	1	18	6	9	4	7	28	1	2	5	7	1	4	10	10	9	1	2	14	7	10	5	7	526	12	0	11	6	1	1	1	6	0	9	15	1	3	10	0	9	1	2	2	2	4	2	2	0	9	10	12	2	1	9	5	7	10	5
A[Ins(T):R(0,4)]A	6	3	5	11	3	19	7	3	21	29	24	13	19	20	1	4	3	5	10	4	10	9	18	13	2	38	7	22	7	11	173	6	1	10	6	10	14	2	6	4	20	18	1	28	5	5	10	0	8	1	8	6	3	2	1	11	10	31	3	1	13	20	8	14	4
