MutationType	SP99325	SP18310	SP17172	SP96133	SP110242	SP21017	SP22383	SP81312	SP19215	SP16886	SP17905	SP18121	SP96118	SP21400	SP18946	SP80615	SP102897	SP98845	SP107012	SP55142	SP53810	SP116697	SP102133	SP125732	SP125746	SP125770	SP77956	SP124384	SP135287	SP85122	SP84384	SP84982	SP84392	SP84439	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94933	SP92364	SP94917	SP92460	SP89909
C[Del(T):R(5,7)]A	3556	4577	946	2947	3671	2988	2542	436	2871	102	598	2842	585	272	564	272	290	193	755	40	18	96	109	283	1377	276	6	618	2271	3308	2955	1654	3536	3630	720	1476	3657	1488	2942	3791	1263	827	1651	474	390	458
C[Del(T):R(5,7)]C	3289	3469	947	2217	3001	3153	2596	182	2691	39	277	2328	389	114	297	148	278	263	741	41	14	180	106	313	949	319	2	477	2144	2611	3864	1911	2906	3330	577	1134	2308	1290	2101	2487	1036	674	1406	403	266	338
C[Del(T):R(5,7)]G	3187	4639	1075	2710	3469	2707	2228	66	2659	29	267	2682	488	61	178	81	273	195	658	34	17	53	80	290	1325	253	0	566	2055	3224	2884	1411	3320	3315	659	1397	2511	1394	2924	2644	1210	783	1359	376	321	437
G[Del(T):R(5,7)]A	2558	2462	684	1929	2373	2571	2431	139	2083	35	306	1920	354	87	252	143	188	233	544	24	8	110	50	254	860	215	3	363	1900	2113	3169	1634	2534	2990	498	759	4264	848	1452	4401	763	420	896	283	236	175
G[Del(T):R(5,7)]C	1985	1801	633	1178	1614	1817	1745	113	1526	30	187	1321	215	56	157	92	155	210	494	27	7	108	79	229	571	184	2	284	1227	1286	2575	1256	1788	2120	295	572	1904	692	1065	1957	591	457	685	213	156	178
G[Del(T):R(5,7)]G	1990	2174	624	1487	1932	2020	1700	74	1601	27	168	1382	258	55	151	87	135	252	450	29	8	67	51	209	747	173	4	347	1295	1606	2406	1111	2009	2064	391	644	2767	787	1333	2980	663	400	734	216	178	186
A[Del(T):R(8,)]A	9211	10207	3835	5474	9213	8554	6080	631	5679	112	402	7338	268	299	862	382	806	452	1854	17	1	185	446	420	3576	801	6	1462	4670	8602	6073	3866	7215	5198	2361	4306	7137	4866	8448	7479	4668	3211	4850	1205	1081	900
A[Del(T):R(8,)]C	5771	6077	2368	3210	5224	5911	3978	238	3036	63	243	4021	114	129	415	224	486	350	1364	19	1	261	344	386	1870	569	8	801	3110	4779	5457	3288	5001	3904	1071	2198	2796	2574	4260	3091	2148	2087	2587	659	488	454
A[Del(T):R(8,)]G	5508	6923	2409	3524	5761	5134	3317	101	3203	26	156	4338	164	58	196	126	462	379	1054	7	2	70	237	254	2180	378	4	860	2580	4928	3575	2346	4394	2897	1178	2858	3236	2980	5081	3285	2693	1871	2828	669	584	583
C[Del(T):R(8,)]A	6436	8367	2353	4627	6927	6669	4165	317	3501	56	172	5429	251	166	377	163	675	356	1654	13	0	96	257	249	3022	395	3	1205	3804	5617	4139	2665	5505	4602	1559	3565	3818	3227	6274	3177	3078	2069	2943	929	654	641
C[Del(T):R(8,)]C	6717	7979	2395	4581	7217	8187	5282	182	3696	27	77	5096	207	57	188	114	571	553	1670	11	2	221	289	371	2708	487	4	1094	4311	5613	6590	4313	6195	5577	1336	2878	2685	3264	5129	2428	2672	1935	2809	808	563	487
