MutationType	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
1:Ins:T:1	3	5	9	7	22	11	9	10	17	9	16	8	56	15	7	20	455	15	11	22	18	12	18	9	19	4	12	20	16	13	71	86	10	9	12	17	3	22	9	6	12	11	22	12
1:Ins:T:2	5	5	6	4	12	9	5	4	13	5	14	5	148	7	5	6	643	5	6	16	13	8	12	9	10	0	4	15	17	5	53	267	12	6	6	7	6	9	15	7	13	8	18	7
1:Ins:T:3	5	3	10	12	12	7	4	5	12	4	14	6	127	10	4	3	471	7	4	19	9	7	11	8	16	1	3	15	15	5	22	217	15	10	8	7	5	15	5	7	4	2	19	6
1:Ins:T:4	2	2	28	13	11	10	4	9	16	10	11	5	294	14	7	16	10516	7	7	15	7	9	8	9	18	1	4	17	12	4	10	423	16	5	4	9	5	22	19	3	11	6	12	9
1:Ins:T:5	60	187	859	536	458	589	165	404	757	369	689	224	15463	774	195	317	101662	417	443	807	441	262	483	441	860	119	153	861	660	340	269	14237	871	228	255	495	216	684	791	91	480	439	488	298
2:Del:R:0	1	8	9	10	25	4	8	7	12	16	31	9	268	8	5	8	175	7	12	28	14	5	22	13	21	2	7	17	15	5	14	333	23	16	23	9	3	17	18	11	7	6	34	8
2:Del:R:1	2	10	22	11	25	8	6	17	20	27	19	17	324	11	16	12	71	11	20	22	16	11	26	20	20	4	15	35	33	11	30	356	27	19	22	9	16	27	26	6	7	16	48	9
2:Del:R:2	0	2	3	5	8	2	1	9	2	5	4	7	174	3	5	2	79	6	8	7	10	2	8	10	4	4	5	14	9	3	9	322	12	2	7	1	5	8	7	2	3	7	23	2
2:Del:R:3	1	0	5	3	2	1	0	3	5	5	5	0	775	2	6	3	606	3	0	8	3	2	2	3	3	0	2	6	4	1	2	3208	7	0	3	1	1	2	3	3	1	5	9	3
2:Del:R:4	0	1	2	0	2	0	2	0	3	3	2	1	366	1	1	4	298	4	2	3	4	3	1	2	10	1	1	2	2	2	0	869	4	0	2	1	2	1	5	1	0	1	3	0
2:Del:R:5	1	3	13	2	10	3	0	3	7	6	7	2	1144	1	1	3	559	4	2	9	5	2	8	3	10	0	7	8	8	5	1	2809	11	1	7	2	6	5	3	0	4	8	4	4
3:Del:R:0	0	3	3	2	7	3	2	1	1	6	2	2	99	3	3	4	55	7	2	4	3	3	8	4	4	3	1	6	4	1	0	178	3	3	5	1	2	7	6	3	2	3	12	4
