MutationType	CPCT02030434T	CPCT02060161T	CPCT02030441T	CPCT02030426T	CPCT02100147T	CPCT02030445T	CPCT02060147T	CPCT02030453T	CPCT02090038T	CPCT02100151T	CPCT02100159T	CPCT02030465T	CPCT02100166T	CPCT02070311T	CPCT02030467T	CPCT02060225T	CPCT02060224T	CPCT02030466T	CPCT02070341T	CPCT02080225T	CPCT02030476T	CPCT02070351T	CPCT02070353T	CPCT02060247T	CPCT02060257T	CPCT02030506T	CPCT02050390T	CPCT02030483T	CPCT02030487T	CPCT02070373T	CPCT02050396T	CPCT02030510T	CPCT02030516T	CPCT02030537T	CPCT02030529T	CPCT02060246T	CPCT02030532T	DRUP01060020T	CPCT02060264T	CPCT02030399T	CPCT02050254T	CPCT02030392T	CPCT02030397T	CPCT02100121T	CPCT02100116T	CPCT02030385T	CPCT02030387T	CPCT02080162T	CPCT02100122T	CPCT02030386T	CPCT02030400T	CPCT02030396T	CPCT02050176T	CPCT02100081T	CPCT02100084T	DRUP01050008T	CPCT02100085T	CPCT02100092T	CPCT02100090T	CPCT02100094T	CPCT02100089T	CPCT02100101T	CPCT02100095T	CPCT02030368T	CPCT02030369T	CPCT02100108T	CPCT02030375T	CPCT02030377T	CPCT02030374T	DRUP01050003T	CPCT02330058T	CPCT02030417T	CPCT02100129T	CPCT02100134T	CPCT02030410T	CPCT02030421T	CPCT02030430T	CPCT02030416T
1:Del:T:5	84	20	75	89	75	49	71	101	17	78	65	50	785	19	75	122	20	23	61	79	126	20	80	57	14	54	132	78	77	190	921	24	72	70	46	207	3819	65	47	78	47	9854	40	71	146	64	54	3645	42	94	99	71	46	55	87	13	68	69	67	18	109	2287	20	95	58	40	65	11	49	2156	86	90	29	45	69	79	6797	73
1:Ins:C:0	3	4	1	3	5	1	2	1	3	4	1	2	2	6	2	6	8	0	4	4	3	0	3	2	2	2	2	1	3	3	9	6	3	7	2	2	212	5	0	4	4	41	2	3	6	4	6	22	3	2	4	3	2	5	3	3	1	6	4	5	3	49	5	2	0	1	2	2	2	219	6	4	3	3	2	4	50	2
1:Ins:C:1	4	1	4	4	3	0	2	2	2	1	2	4	6	4	2	7	3	0	8	3	4	2	0	4	2	4	5	1	3	4	4	4	2	3	1	1	86	4	1	1	0	11	2	4	4	6	9	11	2	2	6	2	8	2	3	4	3	3	5	2	2	18	1	3	3	0	3	2	0	56	7	2	2	3	1	3	11	2
1:Ins:C:2	2	1	3	1	0	3	1	2	0	1	2	1	4	6	2	1	2	0	3	4	6	1	3	2	2	0	1	2	0	4	2	0	3	1	0	1	104	1	1	0	3	6	2	1	2	6	4	5	0	1	4	2	6	1	3	4	0	1	0	0	0	16	1	1	3	0	1	0	3	52	1	2	4	1	0	1	6	0
1:Ins:C:3	0	0	1	2	2	1	2	4	0	0	0	1	3	3	5	0	2	1	2	3	1	1	3	0	0	1	2	0	1	6	5	2	3	2	0	0	131	2	1	1	2	7	1	1	4	1	3	10	2	1	5	8	2	2	2	1	3	0	2	0	1	19	1	1	2	0	0	1	1	84	2	0	1	2	1	1	5	5
1:Ins:C:4	2	0	2	1	1	0	2	3	0	2	1	1	8	1	5	1	1	1	2	1	0	2	2	1	0	1	2	2	1	1	11	0	3	3	0	1	286	3	0	1	0	39	0	1	0	1	0	20	0	0	2	2	0	1	0	1	0	0	2	2	1	75	2	2	0	0	0	1	0	131	1	1	0	1	3	0	26	1
1:Ins:C:5	14	3	5	4	0	2	5	4	2	2	4	2	32	1	6	4	5	1	5	2	2	4	3	2	4	3	8	4	4	6	44	3	5	5	4	8	2683	4	2	4	2	445	7	3	4	7	3	210	6	3	5	3	3	8	5	3	5	4	4	6	3	683	9	5	3	13	3	0	4	1709	2	2	3	5	2	6	336	5
1:Ins:T:0	7	2	6	5	5	0	6	6	2	3	1	3	20	6	1	5	7	1	5	8	4	4	4	3	6	2	6	2	5	4	22	3	7	7	6	8	1448	12	3	4	2	87	2	4	5	10	8	54	4	2	7	6	4	4	9	6	5	7	4	2	2	85	0	5	8	3	7	0	5	703	5	2	2	1	4	4	61	3
1:Ins:T:1	3	2	11	12	8	4	10	7	8	2	5	10	12	10	9	7	8	1	10	9	11	3	16	7	4	5	19	11	6	11	15	14	10	11	6	6	416	6	6	7	7	21	8	3	13	12	10	23	3	4	15	11	10	4	14	11	6	5	10	1	6	19	4	11	9	4	6	5	7	298	9	5	3	8	9	4	14	5
1:Ins:T:2	3	2	3	2	1	1	0	4	0	5	2	2	10	8	5	3	2	0	3	8	1	1	2	2	3	2	4	2	1	5	17	4	3	4	4	1	455	5	6	2	1	78	5	3	5	5	1	50	4	1	4	0	8	0	2	5	1	4	2	1	1	56	3	5	4	2	3	2	2	259	1	3	1	1	1	2	29	0
