MutationType	CPCT02060034T	CPCT02020356T	CPCT02050063T	CPCT02030275T	CPCT02070033T	CPCT02030294T	CPCT02070038T	CPCT02080179T	CPCT02010866TII	CPCT02330133T	CPCT02050427T	DRUP01030028T	CPCT02080193T	CPCT02030556T	CPCT02120111T	CPCT02050341T	WIDE01010210T	WIDE01010208T	CPCT02290033T	CPCT02070323T	WIDE01010450T	CPCT02090049T	CPCT02010866T	CPCT02070363T	CPCT02060222T	CPCT02080251T	CPCT02070384T	CPCT02070386T	DRUP01070051T	CPCT02080137T	CPCT02080157T	CPCT02330128T	CPCT02070030T	DRUP01050009T	CPCT02070225T	CPCT02070230T	DRUP01070022T	DRUP01050010T	CPCT02050161T	CPCT02050174T	CPCT02050172T	CPCT02050186T	DRUP01070016T	CPCT02080120T	CPCT02030351T	CPCT02060119T	CPCT02080136T	DRUP01010035T	CPCT02070039T	CPCT02030302T	CPCT02070053T	CPCT02070065T	DRUP01070003T	CPCT02070099T	CPCT02020473T	DRUP01070009T	CPCT02030324T	CPCT02030330T	CPCT02050151T	CPCT02070128T	CPCT02080099T	DRUP01030004T	CPCT02070265T	CPCT02080040T	WIDE01010705T
4:Ins:R:0	3	4	3	2	2	6	2	5	14	4	9	7	8	10	0	3	3	5	1	4	5	5	12	1	2	16	4	20	4	8	78	3	1	2	4	3	8	1	2	6	5	6	4	5	9	4	4	3	1	2	2	3	1	1	4	4	3	10	2	3	3	7	5	12	4
4:Ins:R:1	0	0	4	4	1	1	2	4	5	6	2	3	3	12	1	0	2	1	2	3	3	2	4	4	0	4	3	9	2	2	9	1	0	7	1	3	2	0	3	2	9	4	1	0	7	2	5	2	2	5	0	1	0	0	1	2	3	8	1	1	2	2	2	1	1
4:Ins:R:2	0	0	1	0	1	1	0	0	2	2	0	2	0	1	0	1	0	0	0	0	0	0	2	0	1	1	1	1	0	0	9	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	1	0
4:Ins:R:3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	29	1	2	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
4:Ins:R:4	0	0	2	2	1	0	0	1	0	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	18	0	0	3	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	0	0	0	2	0	1	1	0	0	0	1	0	0
4:Ins:R:5	0	2	0	3	0	0	1	0	0	1	2	0	2	0	0	0	2	2	0	0	2	0	0	1	0	1	1	1	1	0	21	2	0	2	1	0	0	0	2	0	1	2	0	1	2	0	1	0	0	1	0	0	0	0	2	2	2	3	3	0	0	1	1	1	0
5:Ins:R:0	18	31	19	30	14	41	31	55	42	19	24	27	46	40	50	53	9	18	28	36	18	41	43	88	29	69	53	50	46	113	260	24	32	54	108	34	38	40	17	19	33	35	11	15	148	71	28	39	13	20	18	14	8	11	11	21	28	51	13	8	17	25	28	37	15
5:Ins:R:1	3	3	7	3	4	16	5	9	14	12	8	10	7	23	5	3	6	5	4	6	8	10	10	9	3	31	10	35	5	8	31	8	0	10	7	11	8	0	8	9	21	19	4	7	13	9	9	2	8	14	4	5	3	5	3	10	9	22	3	4	11	13	8	6	4
5:Ins:R:2	0	1	1	0	0	0	0	1	4	3	1	1	2	1	0	2	0	0	0	0	0	0	2	0	0	1	2	1	0	1	9	0	0	1	0	2	0	0	0	1	0	3	0	1	2	2	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	2	0	1
5:Ins:R:3	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0
5:Ins:R:4	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
5:Ins:R:5	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
2:Del:M:1	6	4	17	21	2	15	9	10	15	25	10	360	8	22	4	5	2	84	14	7	20	98	22	13	5	40	11	28	13	16	109	13	0	25	11	17	21	8	17	5	25	12	11	9	23	5	10	2	8	5	6	6	8	0	4	14	18	12	4	12	18	18	18	16	2
3:Del:M:1	5	1	7	9	3	7	1	1	6	12	3	5	6	8	0	0	0	7	5	3	6	12	11	2	1	23	2	11	10	2	8	12	0	3	4	10	5	6	2	2	12	4	12	2	11	1	6	3	9	4	8	1	2	0	0	3	3	7	5	11	9	9	4	4	0
3:Del:M:2	2	3	2	7	3	8	1	8	11	9	2	21	10	6	1	1	0	67	5	3	12	40	10	8	2	16	3	15	5	1	56	13	1	4	6	6	9	3	3	3	16	6	12	3	12	6	9	0	6	3	5	0	6	0	1	4	10	2	2	12	9	8	3	8	1
4:Del:M:1	7	3	10	10	2	4	4	4	2	8	6	1	2	6	2	1	2	9	3	4	2	16	6	3	2	9	4	12	16	2	40	7	0	7	3	10	4	5	5	2	13	6	7	2	9	4	2	1	8	0	4	1	0	1	2	0	5	3	1	8	3	6	4	7	1
4:Del:M:2	0	1	5	9	3	6	1	5	2	11	7	10	3	2	1	1	1	15	3	1	8	28	3	5	2	8	4	13	4	2	20	6	1	2	2	10	12	6	5	1	14	0	5	3	3	4	5	1	4	1	8	1	1	0	4	2	1	7	0	7	6	7	4	5	0
4:Del:M:3	0	0	7	1	0	7	1	7	7	8	1	22	5	4	2	1	5	37	2	1	10	39	7	7	1	9	3	12	7	3	28	4	0	1	2	5	24	2	2	0	11	7	2	4	7	1	4	1	2	1	4	2	2	2	0	4	3	8	3	2	3	6	9	11	0
5:Del:M:1	22	13	35	58	13	51	10	33	35	63	17	30	19	48	7	13	6	10	33	15	10	21	56	82	8	130	16	66	53	28	119	68	4	37	17	55	14	39	27	12	94	17	57	12	63	13	14	6	39	15	36	9	8	8	6	14	41	45	6	59	51	50	26	36	5
5:Del:M:2	11	7	26	39	7	36	6	22	26	59	22	29	32	43	4	6	3	7	37	10	10	14	42	88	3	79	20	35	41	20	52	47	2	31	7	41	7	12	17	5	60	20	28	8	40	7	10	2	28	6	14	5	4	1	2	13	27	49	8	28	37	39	45	22	5
5:Del:M:3	8	7	14	15	6	34	5	19	18	40	20	11	21	27	3	5	4	4	21	5	6	12	27	59	2	58	8	16	14	14	54	24	0	7	4	23	11	12	5	3	52	12	13	5	19	7	7	0	14	6	8	2	2	1	4	7	18	43	1	13	22	34	23	24	2
5:Del:M:4	1	4	8	12	3	17	2	11	6	10	9	10	9	15	0	0	1	7	15	2	6	6	6	19	1	26	4	11	11	6	17	13	3	7	1	1	5	3	5	3	20	6	4	3	7	5	7	3	7	3	4	1	2	1	2	4	7	22	1	4	10	18	19	12	3
5:Del:M:5	2	2	7	9	2	20	6	11	8	23	16	8	23	9	0	3	0	4	15	4	13	4	7	35	2	41	9	21	2	15	33	11	1	8	0	6	5	4	4	3	26	18	7	7	12	1	8	1	4	4	6	0	1	0	1	13	12	50	3	7	15	18	21	17	2
