Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP111006	1:Ins:C:4	0.09043089711748961	0.33186950423876777	0.4431123737525401	0.013734400139572557	0.10818282116419742	0.012670003587432432
SP111006	1:Ins:C:5	0.08021413423044775	0.6051966490185924	0.2653375013524551	0.017685282658119472	0.01915362104572136	0.012412811694663841
SP111006	1:Ins:T:0	0.012568766177139291	0.16117271905133554	0.65413048525843	0.04611207424314411	0.09493708180447881	0.03107887346547229
SP111006	1:Ins:T:1	0.0	0.13922152457145767	0.30695831581149985	0.056635551146003056	0.43975175555219687	0.05743285291884247
SP111006	1:Ins:T:2	0.014193409463317644	0.23534849554658893	0.3368880871178055	0.03655129208348542	0.33320405242050216	0.04381466336830027
SP111006	1:Ins:T:3	0.020947022645979124	0.2984942916322034	0.4031695613227782	0.026295491993690776	0.22325183425093	0.02784179815441855
SP111006	1:Ins:T:4	0.03433860036700985	0.532870286681654	0.30972997471907293	0.002694619417380337	0.10037334507853465	0.019993173736348232
SP111006	1:Ins:T:5	0.03526405523481337	0.6823250647605381	0.2560244653538585	0.008046472342255598	0.0031741917129619384	0.015165750595572552
SP111006	2:Del:R:0	0.0778060401250781	0.12370180573176699	0.2664246846760421	0.045105131725822506	0.3853538932109141	0.10160844453037635
SP111006	2:Del:R:1	0.06715493768297993	0.2935520725077291	0.35094897432994304	0.014271404378742417	0.22409372263534943	0.04997888846525612
SP111006	2:Del:R:2	0.08029034068646736	0.29585523589475593	0.24077831012484127	0.025514458816803465	0.3153761687092943	0.04218548576783776
SP111006	2:Del:R:3	0.5332765015376297	0.008506726461298117	0.09027438696545506	0.09552541005597626	0.26292496677120464	0.009492008208436188
SP111006	2:Del:R:4	0.5273919519766572	0.005079113207279364	0.15347604214815017	0.11129196908403184	0.17374645500366404	0.02901446858021722
SP111006	2:Del:R:5	0.7109535610632187	0.0	0.0	0.18041631974271288	0.031574831549290985	0.07705528764477738
SP111006	3:Del:R:0	0.042870454581499996	0.005389735949631116	0.2925912469730212	0.05310847348554223	0.3430363677411672	0.26300372126913824
SP111006	3:Del:R:1	0.07363549634699466	0.35029115550641404	0.32947279626895837	0.009563281502619406	0.20797283516551496	0.02906443520949864
SP111006	3:Del:R:2	0.11752127246005514	0.33807896726822073	0.3150902129982748	0.02203130979430456	0.19311146213747096	0.01416677534167365
SP111006	3:Del:R:3	0.16667921159515445	0.17182414129421386	0.22531256997644675	0.053048882765359344	0.38276183850436213	0.00037335586446332966
SP111006	3:Del:R:4	0.16239454466859968	0.16990195737206518	0.3927384859180361	0.12613876067631669	0.029040121917223393	0.1197861294477589
SP111006	3:Del:R:5	0.24511950671736993	0.018244893325265056	0.39932754032066536	0.10687924728268644	0.07702861390358688	0.15340019845042646
SP111006	4:Del:R:0	0.04689702658666507	0.0054833797743244995	0.2928518568845301	0.08563941453615952	0.28039003046064104	0.2887382917576798
SP111006	4:Del:R:1	0.09423482732190186	0.21760916552534343	0.35676672644381513	0.030873644456043476	0.24345354958237692	0.057062086670519235
SP111006	4:Del:R:2	0.11784227407900026	0.18634485688129818	0.3007472311313614	0.09860864857827312	0.2777258647184512	0.018731124611615694
SP111006	4:Del:R:3	0.1989307523802384	0.5377868000643148	0.0022655578720654533	0.1216270670252624	0.07889746982183841	0.06049235283628063
SP111006	4:Del:R:4	0.3093132991531093	0.07103387550489954	0.13557292287266595	0.10959647299684795	0.2222871341514375	0.15219629532103987
SP111006	4:Del:R:5	0.6721740467870895	0.05582244448178314	0.003280503973741323	0.26202253586859514	0.0013760112052705734	0.005324457683520211
SP111006	5:Del:R:0	0.00015565307187230556	0.025560746179878892	0.21572423181076159	0.12390537904199189	0.1948519883435562	0.43980200155193916
SP111006	5:Del:R:1	0.07362301865073018	0.2503962319040341	0.38254395731402974	0.05822811835781496	0.07236555754483526	0.16284311622855568
SP111006	5:Del:R:2	0.05594588078330411	0.1999444145855151	0.28435303670799494	0.13466609124215656	0.08174195061999258	0.2433486260610368
SP111006	5:Del:R:3	0.3448139492072913	0.1394407407424474	0.0047850310253483895	0.25184490497061573	0.041998130285176884	0.2171172437691203
SP111006	5:Del:R:4	0.485301572469377	0.03831591713188084	0.04765803725301723	0.19153715896023746	0.20029076677077068	0.036896547414716714
SP111006	5:Del:R:5	0.2861691086692929	0.0	0.37438658111096645	0.14547476597557288	0.12556361892190362	0.06840592532226401
SP111006	2:Ins:R:0	0.016506052854216947	0.1227365348065763	0.7441107974111131	0.07627206388174057	0.02619448198308547	0.014180069063267579
SP111006	2:Ins:R:1	0.0061936389522007805	0.38761369583478705	0.32050776897613903	0.05959379701765161	0.21440191964205393	0.011689179577167592
SP111006	2:Ins:R:2	0.02631104999625446	0.5282108101759617	0.2104098861693857	0.04242130071739479	0.13992232772756924	0.052724625213434004
SP111006	2:Ins:R:3	0.0776652304505419	0.38261140688097905	0.34787368951393094	0.07541059449427831	0.09174533453453411	0.024693744125735585
SP111006	2:Ins:R:4	0.10512873872222084	0.5518030136528604	0.2725534296564712	0.04788982634989422	0.0013312976311028585	0.02129369398745069
SP111006	2:Ins:R:5	0.14902160040085624	0.6589612732756845	0.12570339168784017	0.059023997702406086	5.147206253565179e-09	0.007289731786006652
SP111006	3:Ins:R:0	0.0008221697184634147	0.1405315130052297	0.7187991298419572	0.1035135242985815	0.0002845297315785951	0.036049133404189644
SP111006	3:Ins:R:1	0.007709236944404967	0.4442064334517339	0.42897112094130324	0.008093255652720129	0.0933539603814485	0.017665992628389287
SP111006	3:Ins:R:2	0.07104374824028098	0.3017751102972333	0.45464771602346415	0.027025721710940944	0.059383507795403946	0.08612419593267667
SP111006	3:Ins:R:3	0.05555249401344322	0.18394354212544017	0.595815570650041	0.09202125188028121	0.07215765704526719	0.000509484285527223
SP111006	3:Ins:R:4	0.09418618444785833	0.01151816123433346	0.8442047974788645	0.00454735724813201	0.004537999444646461	0.04100550014616524
SP111006	3:Ins:R:5	0.09128781800087246	0.5207908988930721	0.35386342107070445	0.023094810637739577	1.4412523828466604e-06	0.010961610145228633
SP111006	4:Ins:R:0	0.012908307118859312	0.1324222710925968	0.6120276301202789	0.23067011556124958	0.0003145672062795563	0.01165710890073585
SP111006	4:Ins:R:1	0.0014339101501708834	0.45738494499818216	0.3881767517330631	0.02922183869282174	0.10595615416993687	0.017826400255825253
SP111006	4:Ins:R:2	0.05537356696953115	0.3165676214628159	0.33119616767147964	0.13130046665566444	0.013974347371153337	0.15158782986935565
SP111006	4:Ins:R:3	0.025105522397969694	0.7306566706651475	0.1815109153330535	0.04915265720925582	0.00898011955310653	0.004594114841467173
SP111006	4:Ins:R:4	0.045253695643020786	0.4270978304654712	0.42293450085052625	0.0556649130253959	0.004589415022582943	0.04445964499300287
SP111006	4:Ins:R:5	0.08722893447635788	0.47538171337004465	0.38447646405328817	0.03152947991463944	0.006780699665382573	0.014602708520287182
SP111006	5:Ins:R:0	0.00011940238822359317	1.228128541017378e-06	0.004800545113495627	0.9846581198399049	0.0025026277495335107	0.007918076780301238
SP111006	5:Ins:R:1	0.007981165697859616	0.39512438757751045	0.43233964215190546	0.017347738797459926	0.10022019248147089	0.04698687329379359
SP111006	5:Ins:R:2	0.05710094405271082	0.4243334509438148	0.3468518254789758	0.07542008336691142	0.02340487216462763	0.07288882399295944
