Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02360018T	20	175	9	14	17	14	24	8	0	17	9	73	23	44	17	28	11	2
CPCT02330104T	13	36	0	6	79	31	31	0	34	106	40	78	5	0	24	54	0	7
CPCT02050359T	16	80	3	15	33	15	71	52	47	12	15	38	10	0	11	8	16	8
CPCT02370025T	18	9	6	307	327	31	39	0	108	20	38	0	52	31	39	20	0	25
WIDE01010131T	54	158	18	63	45	51	29	21	142	58	51	37	49	52	21	37	56	14
WIDE01010371T	172	326	48	43	32	26	31	37	0	20	35	0	29	88	39	36	24	26
CPCT02020719T	112	18	14	941	522	132	119	19	90	85	151	156	81	40	58	60	24	60
WIDE01010400T	13	47	10	1	19	30	31	18	6	40	27	33	32	35	29	19	25	21
CPCT02010825T	7	31	0	0	8	9	19	0	16	5	3	38	8	0	6	9	11	1
CPCT02010359TII	171	96	23	636	498	75	75	35	176	70	109	0	105	29	35	24	42	44
WIDE01010405T	53	91	10	17	6	8	14	23	5	17	8	56	13	17	3	9	17	6
WIDE01010388T	124	256	40	11	8	0	21	88	0	29	10	0	15	11	21	10	30	12
DRUP01330020T	180072	1996	16067	0	0	17138	382	729	0	0	1	0	586	0	384	0	0	606
CPCT02230099T	120	132	26	1016	437	98	204	0	358	9	86	0	116	61	50	159	0	15
CPCT02110069T	49	56	20	38	47	13	45	18	0	55	7	0	45	64	23	24	14	10
WIDE01010410T	11	94	14	8	4	12	21	29	0	14	9	0	29	20	10	12	10	13
CPCT02020721T	52	68	0	13	12	3	47	44	46	46	9	26	42	9	13	18	11	0
CPCT02230101T	71	56	21	16	13	18	62	40	2	40	22	44	16	50	13	20	0	3
WIDE01010418T	0	2	1	19	20	18	13	43	0	0	16	10	10	3	22	9	17	9
CPCT02300040T	62	110	33	304	155	32	43	0	116	46	39	4	72	27	16	13	1	10
