cluster_id	size	retained	medoid	min_cos_sim	mean_cos_sim	max_cos_sim	members
11	6	TRUE	C.H.Skin.12	0.9251	0.9474	0.9974	C.H.All.11; C.H.Colon.13; C.H.Head.9; C.H.Skin.12; C.PH.Colon.19; C.PH.Skin.13
12	14	TRUE	C.PH.CNS.3	0.9182	0.9817	0.9972	C.H.All.12; C.H.Breast.7; C.H.CNS.3; C.H.Head.5; C.H.Liver.3; C.P.All.17; C.P.Bone.SoftTissue.3; C.P.Breast.7; C.P.CNS.4; C.P.Head.6; C.PH.All.9; C.PH.Breast.7; C.PH.CNS.3; C.PH.Head.7
13	16	TRUE	C.PH.Skin.14	0.9033	0.9661	0.9996	C.H.All.13; C.H.Bone.SoftTissue.10; C.H.Breast.3; C.H.Kidney.6; C.H.Liver.7; C.H.Lung.4; C.H.Prostate.7; C.H.Skin.15; C.PH.All.19; C.PH.Bone.SoftTissue.10; C.PH.Breast.11; C.PH.Lung.4; C.PH.Ovary.7; C.PH.Prostate.4; C.PH.Skin.14; C.PH.Uterus.8
14	4	TRUE	C.PH.Colon.4	0.9512	0.9667	0.9975	C.H.All.14; C.H.Colon.5; C.PH.All.6; C.PH.Colon.4
15	12	TRUE	C.PH.Skin.2	0.9226	0.9674	0.9996	C.H.All.15; C.H.Bone.SoftTissue.8; C.H.Lymphoid.4; C.H.MSI.5; C.H.Skin.4; C.P.All.6; C.P.Skin.3; C.PH.All.8; C.PH.Bone.SoftTissue.8; C.PH.Lymphoid.7; C.PH.MSI.7; C.PH.Skin.2
16	10	TRUE	C.P.All.7	0.9257	0.9695	0.9991	C.H.All.16; C.H.Bladder.2; C.H.Breast.8; C.H.Ovary.6; C.P.All.7; C.P.Liver.4; C.P.Ovary.5; C.PH.All.18; C.PH.Bladder.1; C.PH.Liver.5
17	5	TRUE	C.H.Lung.12	0.9292	0.9715	0.9989	C.H.All.17; C.H.Lung.12; C.H.Skin.8; C.PH.Lung.9; C.PH.Skin.8
18	7	TRUE	C.PH.Colon.8	0.9672	0.9883	0.9999	C.H.All.18; C.H.Colon.10; C.H.Other.13; C.PH.All.23; C.PH.Colon.8; C.PH.Esophagus.10; C.PH.Other.14
19	4	TRUE	C.H.All.19	0.9976	0.9987	1	C.H.All.19; C.H.Other.3; C.PH.All.24; C.PH.Other.6
20	2	FALSE	C.H.All.20	0.9606	0.9606	0.9606	C.H.All.20; C.PH.All.28
21	5	TRUE	C.PH.All.29	0.9523	0.9764	0.9931	C.H.All.21; C.H.Skin.10; C.P.All.25; C.PH.All.29; C.PH.Skin.10
22	5	TRUE	C.H.All.22	0.9309	0.9721	0.9949	C.H.All.22; C.H.Lung.9; C.H.Other.16; C.PH.Lung.13; C.PH.Other.13
23	2	FALSE	C.H.All.23	0.9533	0.9533	0.9533	C.H.All.23; C.H.Stomach.2
24	10	TRUE	C.H.All.24	0.9056	0.9598	0.9973	C.H.All.24; C.H.Bladder.13; C.H.Breast.9; C.H.Other.11; C.P.Breast.6; C.PH.Biliary.6; C.PH.Bladder.10; C.PH.Breast.9; C.PH.Head.11; C.PH.Other.15
25	2	FALSE	C.H.All.25	0.9601	0.9601	0.9601	C.H.All.25; C.H.Bone.SoftTissue.7
26	7	TRUE	C.H.All.26	0.9228	0.9508	0.9986	C.H.All.26; C.H.Breast.4; C.H.MSI.9; C.H.Prostate.10; C.H.Uterus.6; C.P.All.18; C.PH.MSI.3
27	6	TRUE	C.PH.Prostate.15	0.9532	0.9711	0.9995	C.H.All.27; C.H.CNS.8; C.H.MSI.15; C.H.Prostate.11; C.PH.CNS.8; C.PH.Prostate.15
