Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP79939	0	0	0	2	0	4	0	0	5	3	9
SP109649	2	0	5	0	7	41	0	9	7	2	9
SP79988	3	5	0	7	7	12	0	4	24	2	0
SP80183	5	0	44	0	48	41	0	29	16	1	0
SP79971	0	12	36	11	65	26	0	14	6	14	4
SP80217	0	0	0	0	0	0	0	0	0	0	9
SP79968	6	43	140	11	62	73	1	23	16	42	7
SP80160	0	0	6	2	0	0	0	3	0	0	5
SP80244	6	4	2	6	39	8	2	16	5	1	0
SP79998	0	2	0	0	0	0	0	0	0	0	5
SP80216	5	0	0	10	27	36	0	0	9	0	8
SP80042	7	0	4	4	41	27	5	10	10	11	0
SP79907	16	14	17	4	94	77	4	24	11	0	3
SP79958	25	31	91	16	83	48	8	16	32	3	4
SP80205	11	27	55	3	44	39	1	11	23	7	3
SP80014	0	0	9	2	19	6	0	10	19	0	0
CPCT02070032T	169	71	326	78	55	98	64	43	17	49	0
CPCT02060045T	20	81	93	89	47	284	60	13	0	68	0
CPCT02020310T	90	121	284	35	126	126	43	26	52	77	0
CPCT02020323T	11824	1169	841	20	136	0	71	148	0	0	412
CPCT02140007T	33	41	227	36	101	92	76	3	1	36	0
CPCT02140011T	76	97	133	10	112	76	101	33	21	62	0
CPCT02020348T	99	87	128	17	84	59	53	19	24	8	0
CPCT02020357T	85	176	319	66	175	219	69	37	47	80	0
CPCT02020351T	28	42	140	19	129	49	46	37	22	29	0
CPCT02140020T	247	129	65	47	136	105	86	70	62	55	3
CPCT02010399T	20	15	95	434	227	264	62	0	43	61	0
CPCT02020370T	55	63	121	143	116	658	50	28	167	27	0
CPCT02140023T	43	0	133	20	80	43	139	45	21	45	7
CPCT02140022T	9235	1310	3393	51	0	316	328	0	127	370	0
CPCT02020378T	79	131	407	47	107	78	91	40	25	29	0
CPCT02010415T	57	43	285	153	166	126	133	23	37	32	0
CPCT02070021T	106	0	455	56	183	32	74	26	74	35	0
CPCT02070024T	19208	5293	3127	0	0	0	134	160	181	0	0
CPCT02020380T	176	0	258	33	116	91	81	32	67	33	1
CPCT02070023T	88961	22292	10173	0	941	0	672	571	1892	0	1471
CPCT02020386T	120	36	155	662	132	200	71	0	66	128	0
CPCT02020387T	75550	15091	5800	0	0	0	2	720	0	0	3381
