Samples	ID1	ID2	ID6	ID8	ID9	ID11	ID16	ID19	ID21	ID23
SP106753	0	4	9	0	0	0	0	0	0	16
SP102523	23	15	0	0	62	0	0	0	0	36
SP102591	0	9	16	0	15	0	0	0	0	36
SP102547	20	0	0	30	34	0	0	0	0	53
SP118043	54	0	0	46	93	0	0	0	0	0
SP135478	15	0	0	16	22	0	0	0	32	0
SP102561	0	0	0	14	0	0	0	11	0	0
SP135274	19	0	0	19	20	0	0	0	21	0
SP106797	83	0	0	0	55	0	0	0	0	0
SP135488	290	144	0	0	240	0	0	0	0	0
SP135480	0	0	22	0	0	12	0	0	21	0
SP135455	255	687	0	0	0	0	0	0	0	0
SP135389	85	0	0	47	55	0	0	0	0	0
SP102597	27	0	0	0	0	0	0	0	168	0
SP102489	6	0	0	27	20	0	0	0	0	0
SP135410	60	0	0	0	0	0	0	0	0	56
SP135372	21	8	0	0	33	0	0	0	0	0
SP117223	15	0	0	0	30	16	0	0	24	0
SP135328	40	0	0	0	30	0	0	0	57	0
SP135444	4	4	0	0	10	0	0	0	0	0
SP106750	0	0	0	0	0	0	0	0	23	35
SP102511	28	0	30	0	0	0	0	0	65	61
SP102541	29	0	0	46	44	0	0	0	55	0
SP102567	42	18	0	34	77	0	0	0	0	65
SP117595	23	9	0	0	0	0	0	0	0	51
SP135440	28	16	0	0	76	31	0	0	0	0
SP135296	105	0	0	0	120	0	0	0	0	0
SP117294	10	0	0	0	0	0	0	0	0	29
SP135363	20	18	0	0	37	0	0	0	0	76
SP102499	14	0	0	25	42	0	0	0	40	0
SP117951	5	4	0	7	0	0	0	0	0	22
SP117085	0	0	0	22	24	0	0	0	0	0
SP106669	15	0	0	17	31	18	0	0	0	30
SP135316	29	0	0	23	26	0	0	0	0	0
SP135305	152	55	468	188	143	0	0	0	0	0
SP102581	6	0	0	0	25	0	0	0	0	0
SP106718	68	16	0	0	51	0	0	0	53	0
SP135451	14	0	0	0	18	0	0	0	28	29
SP135354	45	26	0	0	64	0	0	0	0	0
SP102611	587	0	0	0	270	0	0	0	0	0
SP135448	39	0	0	0	34	0	0	0	39	0
SP117758	81	27	0	55	98	0	0	0	0	0
SP135282	32	0	0	0	29	0	0	0	30	0
SP135288	47	0	0	26	47	0	0	0	57	0
SP135475	21	0	0	21	17	0	0	0	50	0
SP135416	42	0	0	0	42	0	0	0	0	43
SP117331	71	27	0	0	69	0	0	0	0	58
SP135468	11	7	0	0	0	0	0	0	0	42
SP135463	0	0	0	11	0	0	0	0	15	14
SP135422	58	18	0	45	52	0	0	0	0	0
SP135484	38	0	0	0	73	0	0	0	0	0
CPCT02030262T	187	71	0	0	0	0	0	86	0	0
CPCT02190001T	261	233	0	0	0	0	0	150	0	0
CPCT02160010T	575	179	0	0	0	0	0	0	0	0
CPCT02330006T	461	96	0	0	0	0	0	0	0	0
CPCT02030290T	239	95	955	234	0	0	0	233	0	0
CPCT02060058T	506	186	0	0	0	0	0	0	0	0
CPCT02130025T	613	394	0	0	0	0	0	0	0	0
CPCT02060167T	450	421	0	0	0	0	0	0	0	0
CPCT02090031T	158	0	563	164	0	0	0	0	0	0
CPCT02220061T	829	488	0	0	0	0	0	0	0	0
DRUP01020037T	335	111	852	342	0	0	0	0	0	0
CPCT02380033T	490	148	0	0	0	0	0	0	0	0
CPCT02100135T	380	177	0	0	0	0	0	0	0	0
CPCT02080286T	55	16	0	0	0	0	0	52	0	67
CPCT02380032T	271	347	0	0	0	0	0	137	0	0
CPCT02250006T	158	123	310	270	0	0	0	116	0	0
