Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
CPCT02030304T	116	61	38	0	327	0	15	46	9	42	78	58	72	24	0	0	0
CPCT02110018T	540	266	117	0	185	149	78	0	39	38	0	8	33	31	0	0	0
CPCT02100061T	539	209	0	121	0	0	189	23	58	101	145	33	16	8	28	0	82
CPCT02070120T	391	333	474	0	622	109	19	20	10	36	93	0	43	8	0	0	0
CPCT02120011T	619	350	891	0	68	304	185	3	52	104	115	33	70	34	32	0	0
CPCT02120012T	512	324	890	40	1034	0	42	5	21	19	0	32	37	20	63	13	0
CPCT02050147T	747	142	910	0	552	468	83	54	36	86	0	54	59	11	0	0	0
CPCT02030335T	1169	207	261	0	199	0	108	130	47	23	441	0	94	265	0	0	192
CPCT02040108T	152	0	533	0	393	118	41	96	0	3	155	40	104	0	28	37	0
CPCT02400002T	509	0	344	0	0	572	30	153	46	89	0	7	58	11	0	0	0
CPCT02340041T	1509	282	853	0	415	106	227	77	105	142	311	131	38	41	24	0	0
CPCT02380030T	337	237	0	111	54	0	12	55	29	101	62	52	31	6	8	57	0
CPCT02040196T	1158	593	764	0	481	0	85	0	212	189	182	79	95	7	22	29	0
CPCT02230068T	335	394	354	0	88	253	73	0	20	36	0	0	63	44	26	0	0
CPCT02100127T	749	365	1011	0	0	72	70	140	112	115	113	59	53	44	0	0	0
CPCT02100133T	13	705	0	0	63	0	5	21	58	277	26	7	74	46	32	56	0
CPCT02090026T	589	327	586	0	0	204	45	42	203	94	0	30	20	24	25	0	0
CPCT02050287T	596	445	0	109	361	0	52	142	52	105	118	224	0	23	9	0	0
CPCT02050292T	462	198	229	106	307	0	127	127	76	218	89	44	0	21	17	0	141
DRUP01050016T	847	68	0	0	0	0	89	168	218	125	168	46	129	77	128	0	303
CPCT02250004T	821	698	830	43	224	0	113	71	161	40	0	14	34	2	35	0	0
WIDE01010644T	0	67	243	0	262	29	33	38	25	22	61	20	20	18	21	0	0
WIDE01010539T	679	567	1072	0	1392	145	110	0	83	29	0	11	0	0	17	0	0
WIDE01010590T	794	237	663	0	752	88	392	154	79	72	0	116	0	0	26	81	355
WIDE01010691T	553	228	260	0	18	230	34	99	59	57	0	8	8	26	0	0	0
WIDE01010704T	691	598	160	29	0	424	44	22	13	37	0	79	40	31	7	0	0
WIDE01010725T	357	0	277	0	260	0	95	90	104	135	0	1636	0	119	10	0	0
