MutationType	CPCT02060013T	CPCT02100026T	CPCT02070020T	CPCT02030269T	CPCT02010944TIII	CPCT02020867T	CPCT02070272T	CPCT02020648T	CPCT02020362T	CPCT02440020T	CPCT02210077T	CPCT02070445T	CPCT02020894T	CPCT02020896T	CPCT02140101T	CPCT02210040T	DRUP01010020T	CPCT02020902T	CPCT02070443T	CPCT02080295T	CPCT02020916T	CPCT02020915T	CPCT02160036T	CPCT02120184T	CPCT02050315T	CPCT02120182T	CPCT02020940T	CPCT02010712T	CPCT02070294T	CPCT02070299T	CPCT02050437T	CPCT02050436T	CPCT02020952T	CPCT02020642TII	CPCT02020958T	CPCT02020684T	WIDE01010111T	CPCT02020958TII	CPCT02020972T	CPCT02020971T	CPCT02330103T	WIDE01010148T	CPCT02070480T	CPCT02360014T	CPCT02140107T	CPCT02070485T	WIDE01010202T	CPCT02020583TII	CPCT02020703T	CPCT02020973T	CPCT02020940TII	WIDE01010230T	CPCT02320002T	CPCT02050351T	CPCT02020979T	CPCT02080315T	CPCT02120203T	DRUP01050023T	CPCT02020983T	CPCT02140034T	WIDE01010280T	CPCT02020984T	CPCT02070154TII	CPCT02020986T	CPCT02020988T	CPCT02050445T	CPCT02070331T	CPCT02020989T	CPCT02050356T	WIDE01010412T	CPCT02140110T	CPCT02020717T	CPCT02130095T	DRUP01030012T	CPCT02070336T	CPCT02070332T	CPCT02050371T	CPCT02100178T	CPCT02020767T	CPCT02140072T	CPCT02060112T	CPCT02170032T	DRUP01070046T	WIDE01010565T	CPCT02020787T	CPCT02020778T	CPCT02050385T	CPCT02130142T	CPCT02020800T	CPCT02050395T	DRUP01070048T	CPCT02020817T	CPCT02080263T	CPCT02010944T	CPCT02020832T	CPCT02050351TII	CPCT02120168T	CPCT02440016T	CPCT02010935T	CPCT02010963T	CPCT02070401T	CPCT02230056T	CPCT02040169T	CPCT02020859T	CPCT02020633TII	CPCT02020621TII	CPCT02020586T	CPCT02070237T	CPCT02080273T	CPCT02070410T	CPCT02020600T	CPCT02010963TII	CPCT02120056T	CPCT02020840T	CPCT02040164T	CPCT02070244T	CPCT02020619T	CPCT02020633T	CPCT02010663T	CPCT02020614T	CPCT02290020T	CPCT02020632T	CPCT02050103T	CPCT02100072T	CPCT02100076T	CPCT02100077T	CPCT02070154T	CPCT02330034T	CPCT02070156T	CPCT02070162T	CPCT02070172T	CPCT02070188T	CPCT02270003T	CPCT02160026T	CPCT02070149T	CPCT02080119T	CPCT02110041T	CPCT02050216T	CPCT02070194T	CPCT02330046T	CPCT02070204T	CPCT02120020T	CPCT02260007T	CPCT02020583T	CPCT02070041T	CPCT02070043T	CPCT02050086T	CPCT02070044T	CPCT02220005T	CPCT02070057T	CPCT02330015T	CPCT02140037T	CPCT02070096T	CPCT02040064T	CPCT02070094T	CPCT02070102T	CPCT02050124T	CPCT02060073T	CPCT02060082T	CPCT02040105T	CPCT02010665T	CPCT02020629T	CPCT02080164T	CPCT02120080T	CPCT02050289T	CPCT02050297T	WIDE01010621T	WIDE01010461T	CPCT02120204T	CPCT02120206T	WIDE01010518T	CPCT02020991T	WIDE01010609T	CPCT02020993T	WIDE01010723T
A[Del(T):R(8,)]C	16	15	27	5	9	9	54	7	16	13	22	30	12	21	15	27	3425	20	20	35	14	10	11	16	2	4	2	34	5	40	41	9	46	50	6	0	8	5	62	6	19	27	8	10	15	41	27	36	3	14	2	4	12	3	12	12	7	14	10	0	33	1	17	3960	36	8	17	11	14	23	8	14	8	81	9	2	7	6	6	31	4	7	10	6	3	58	11	16	10	11	7	2	5	9	7	4	3	12	13	22	21	251	753	14	23	5	25	69	4970	30	44	24	11	4	59	2	16	16	20	34	11	45	3	6	9	9	15	6	40	25	6	13	6	7	20	46	62	11	13	4	25	25	1	36	767	18	6	5	16	89	27	7	13	6	8	20	14	4	30	8	5	23	8	23	21	15	5	8	24	6	15	49	16	10	17
A[Del(T):R(8,)]G	8	7	15	3	6	4	28	4	11	8	11	15	12	6	11	14	3505	5	14	17	5	9	6	12	0	9	0	29	4	22	21	7	21	32	2	0	0	1	37	2	10	21	7	2	9	25	17	36	5	6	2	4	5	3	12	9	2	2	3	0	6	1	10	4125	18	7	21	9	5	10	5	6	4	35	2	0	2	8	2	21	2	7	4	7	2	37	7	11	5	1	2	6	3	7	6	5	1	6	8	10	9	172	553	5	15	3	14	42	3240	18	22	11	9	4	48	2	9	12	6	18	4	28	4	1	3	6	7	2	32	12	4	5	3	9	11	32	53	1	4	2	20	26	0	29	830	10	2	3	6	29	25	2	3	0	4	11	3	1	25	5	4	9	6	23	7	3	5	3	10	3	12	32	9	5	12
C[Del(T):R(8,)]A	12	6	23	5	4	4	36	2	7	3	15	28	16	9	5	17	5162	10	11	22	6	9	6	11	0	5	1	45	5	26	16	5	14	22	1	1	1	2	46	2	11	27	7	7	8	24	13	25	3	8	1	2	7	4	8	8	3	9	6	1	18	1	12	3829	18	2	17	10	6	12	9	9	4	70	5	0	6	5	3	17	2	7	4	6	2	40	13	4	3	1	5	4	3	3	13	2	1	8	3	12	5	216	629	6	12	2	16	42	5308	17	31	14	14	4	49	0	6	10	12	19	6	29	9	4	3	6	9	4	25	5	1	9	6	3	12	24	48	5	3	5	16	22	3	33	821	13	8	6	16	32	24	1	7	1	10	12	9	1	17	7	3	4	3	8	6	6	0	2	8	6	8	41	10	13	12
C[Del(T):R(8,)]C	7	10	16	3	6	12	36	3	8	16	7	19	7	13	4	20	5141	21	16	25	13	10	7	18	2	8	2	44	8	43	24	6	22	37	2	2	6	5	45	4	19	30	6	4	4	19	24	18	3	4	3	6	12	7	4	8	6	9	7	0	23	0	19	4082	9	3	21	7	4	18	4	9	5	45	7	0	5	5	2	25	0	2	6	4	1	39	19	7	2	3	3	2	5	4	13	9	0	6	8	21	6	239	813	5	13	4	15	47	8171	25	37	27	10	3	35	0	19	7	17	32	17	27	3	5	13	7	15	4	25	19	2	13	4	8	11	33	29	5	3	2	22	19	0	20	791	14	6	1	27	35	33	3	8	3	11	8	9	0	17	3	3	10	3	19	10	10	5	3	9	2	12	30	6	5	7
C[Del(T):R(8,)]G	8	1	8	1	6	2	18	3	5	3	7	11	10	8	3	10	5171	9	11	19	3	4	2	6	1	3	0	24	7	18	9	1	15	16	1	0	1	1	47	4	13	25	1	4	13	18	16	22	6	6	0	1	5	1	4	8	4	1	3	2	12	0	4	5221	3	4	13	3	6	8	3	2	1	46	4	0	3	9	3	24	1	4	4	5	2	30	13	4	3	2	1	4	5	5	7	7	0	5	4	8	4	154	739	1	7	3	16	28	4607	18	20	8	6	0	33	0	8	6	10	11	7	18	4	1	5	2	4	3	23	7	2	12	4	4	11	22	26	10	5	0	17	13	0	24	1024	15	6	5	8	38	16	0	5	2	2	4	2	2	16	8	2	10	3	8	4	2	0	3	10	5	10	17	6	6	14
G[Del(T):R(8,)]A	8	5	17	3	4	5	19	5	5	4	8	10	2	16	4	10	2718	8	18	8	4	5	2	4	1	3	0	20	1	29	12	1	14	15	3	0	0	4	30	3	7	13	4	4	6	20	15	17	2	1	0	1	4	1	3	8	3	1	2	0	6	0	12	2417	5	2	9	2	8	10	2	0	2	28	2	0	2	1	3	12	1	2	7	1	0	37	8	3	0	4	2	3	2	4	4	3	0	2	4	10	8	122	602	2	4	0	9	31	3934	16	13	10	3	1	15	1	7	4	8	12	6	19	3	1	4	3	11	3	18	6	0	8	1	2	5	14	23	2	4	1	11	7	0	16	434	6	1	3	6	20	20	0	3	0	0	3	3	0	6	3	0	4	6	7	4	2	2	1	5	1	10	12	6	5	8
G[Del(T):R(8,)]C	6	5	8	2	1	1	13	4	3	3	14	8	3	10	5	10	1946	11	11	7	4	5	7	7	0	1	0	23	2	18	6	3	13	23	1	0	3	1	29	2	6	16	5	1	6	20	9	17	1	6	1	3	4	4	3	0	5	7	2	0	11	3	4	2041	5	1	11	2	2	6	2	3	0	22	2	0	3	3	2	9	2	1	3	4	0	35	5	3	2	7	3	4	3	1	5	3	0	4	1	13	4	76	463	2	4	1	10	14	2951	17	20	11	6	1	27	1	6	0	8	13	5	10	5	0	1	6	4	2	18	10	1	3	1	6	9	18	21	6	3	1	9	13	1	16	415	7	2	1	11	24	17	2	5	0	4	1	5	0	4	3	1	10	2	15	2	8	6	1	6	4	9	20	5	2	2
G[Del(T):R(8,)]G	3	6	6	2	2	3	10	2	6	3	6	7	2	6	2	11	2244	3	6	6	4	0	3	3	2	1	0	19	1	9	7	3	6	6	0	0	3	1	17	0	5	8	3	4	4	9	10	14	1	1	2	1	6	0	6	4	4	2	0	0	9	0	6	2306	7	2	9	6	2	4	1	4	3	23	1	1	0	3	2	8	0	0	3	2	0	15	1	3	0	2	1	1	2	2	8	0	0	6	5	4	1	73	442	1	9	0	8	16	2525	6	9	6	2	1	17	0	10	2	1	10	5	17	0	1	3	4	5	1	10	3	1	5	3	3	6	7	12	2	1	2	9	9	1	20	461	7	3	0	5	21	11	0	2	2	5	7	2	0	13	1	1	1	2	8	7	1	0	2	5	0	3	21	2	2	5
A[Ins(C):R0]A	2	1	5	0	0	32	2	2	3	3	2	2	2	3	1	5	37	7	0	4	4	3	1	2	0	2	0	33	4	2	4	1	3	36	1	0	1	1	4	0	1	2	3	21	6	2	2	2	0	0	0	2	3	0	1	3	4	0	1	0	1	1	4	14	1	0	3	13	7	6	1	3	1	2	4	0	0	2	2	2	2	0	1	6	2	8	18	0	0	2	4	3	1	0	2	1	0	1	4	14	1	3	6	1	5	1	3	2	78	7	3	14	2	0	1	1	7	4	6	0	2	10	1	6	3	0	4	2	2	5	0	1	0	5	0	0	23	6	0	2	2	5	0	7	5	3	1	1	2	4	5	0	2	1	6	2	2	0	44	1	2	2	10	2	12	0	2	3	2	1	3	67	2	1	11
A[Ins(C):R0]T	1	2	0	0	0	55	2	1	0	2	1	0	1	0	0	7	3	2	0	0	2	2	0	0	0	2	0	16	0	0	2	1	0	23	0	0	0	0	0	1	1	0	3	38	0	2	0	1	0	2	0	0	0	0	0	4	4	1	0	0	0	0	0	2	0	2	1	4	1	7	0	0	2	2	0	1	1	0	1	2	0	0	2	1	0	4	9	3	0	1	0	0	0	1	1	2	1	3	1	5	1	3	0	3	1	2	2	0	9	1	1	4	0	0	1	1	2	1	4	2	1	9	0	5	2	0	0	0	2	4	0	4	1	3	2	2	19	0	1	0	1	0	0	2	1	0	0	1	2	2	0	1	1	1	7	3	1	0	16	1	5	0	2	0	8	1	3	0	0	0	0	37	0	1	7
Ins(C):R(0,3)	21	2	15	2	12	30	25	16	26	18	32	12	14	7	31	8	120	25	13	12	14	10	3	11	10	9	17	22	9	21	17	29	21	87	15	4	13	15	23	5	15	13	7	21	32	21	21	20	24	16	17	9	8	10	5	30	31	5	9	11	11	11	10	91	17	11	8	7	13	9	5	7	15	12	29	13	15	21	9	16	7	7	8	12	12	24	22	14	8	9	10	3	9	11	6	14	7	14	14	21	8	51	22	7	13	15	17	11	216	24	16	131	11	21	14	26	17	10	8	31	12	17	5	12	20	4	8	18	10	5	11	17	3	21	10	11	19	5	12	13	20	15	6	27	35	25	8	7	14	29	16	14	11	9	14	9	20	3	38	11	9	7	10	8	14	7	18	8	15	7	20	23	22	6	20
Ins(C):R(4,6)	1	10	2	2	3	5	20	4	19	10	5	7	2	5	13	5	385	9	7	16	11	3	3	9	6	4	5	21	3	15	14	11	9	20	13	1	8	15	15	2	8	9	4	10	14	17	9	25	15	10	6	1	5	4	4	17	13	4	3	4	8	4	16	288	4	5	7	5	2	4	5	5	8	19	6	6	5	5	2	17	1	2	5	4	6	5	5	13	1	4	10	4	4	4	5	2	4	10	6	10	3	41	56	1	6	8	9	11	682	13	12	32	8	5	14	5	10	3	5	14	7	5	4	3	8	1	9	3	6	3	1	7	4	11	4	3	19	2	2	5	19	11	4	22	91	7	2	1	7	15	7	6	9	3	9	4	6	5	10	7	3	6	5	7	4	5	5	6	10	7	8	18	8	4	5
Ins(C):R(7,)	7	4	11	2	4	1	13	4	24	21	12	7	5	2	18	9	608	10	16	12	1	7	14	8	5	4	2	27	3	15	18	11	10	18	3	0	8	3	11	0	7	17	1	11	6	17	9	24	0	5	3	9	6	0	5	9	6	6	6	0	7	8	12	362	6	1	6	3	3	3	7	1	4	8	3	2	8	10	3	7	4	3	7	6	3	12	6	5	2	14	1	6	3	6	14	4	2	4	5	9	5	45	134	0	4	4	6	11	1135	16	8	18	10	4	17	10	14	3	9	4	8	5	4	2	6	2	13	5	7	6	1	10	5	4	3	3	17	6	4	4	13	12	3	40	147	6	6	2	3	18	19	7	3	0	4	1	11	0	8	7	4	13	2	5	3	6	6	4	6	8	15	22	3	5	8
A[Ins(T):R(0,4)]A	9	5	14	4	5	32	13	5	15	9	11	8	11	6	23	13	180	9	11	17	5	11	4	8	6	5	16	27	6	16	16	13	13	32	7	4	11	8	23	4	11	20	7	18	11	13	13	24	13	14	17	2	12	2	8	11	9	3	6	8	5	3	13	117	19	3	10	10	4	3	4	15	4	26	23	2	8	11	10	14	4	9	9	15	8	16	16	8	7	4	9	5	7	5	12	6	3	7	9	13	6	32	37	7	19	7	3	10	202	27	10	15	12	7	12	32	23	10	8	18	9	10	12	2	10	3	9	12	14	5	8	10	5	10	10	14	30	5	10	10	9	12	4	29	59	19	7	7	10	22	10	10	10	4	10	6	11	5	12	13	4	9	10	7	7	9	11	5	14	11	12	14	11	8	16
A[Ins(T):R(0,4)]C	1	3	13	2	0	7	4	5	9	10	1	3	3	1	19	4	44	3	1	9	4	0	0	5	1	2	2	3	0	6	3	6	2	9	4	0	4	4	3	2	7	11	3	5	9	5	2	3	3	2	3	4	1	0	2	5	8	1	2	4	3	0	4	42	2	1	2	3	1	3	1	7	3	3	7	0	2	2	1	5	1	0	1	2	0	4	9	7	3	1	2	2	2	0	3	0	4	1	3	1	1	26	10	1	4	2	2	3	71	14	7	4	3	0	7	10	3	3	2	3	4	8	6	1	6	1	2	7	3	3	3	8	4	2	3	4	7	3	0	3	8	5	1	3	12	4	2	0	4	6	5	1	2	2	2	1	2	1	4	1	3	3	6	2	1	1	3	2	6	3	5	4	4	5	6
A[Ins(T):R(0,4)]G	9	3	17	2	5	7	8	5	15	5	7	6	2	1	11	5	80	4	4	8	3	3	2	3	6	4	8	7	5	12	9	7	10	16	9	2	14	8	9	1	11	3	1	9	5	8	2	11	7	9	11	3	6	7	4	10	5	2	4	11	6	7	3	73	4	2	2	3	2	5	4	3	4	8	12	8	10	1	3	8	4	4	4	6	0	14	8	5	1	5	6	0	3	5	7	7	2	4	0	10	3	48	22	2	1	8	6	4	125	9	7	22	4	8	8	24	11	1	3	6	3	7	4	2	8	0	3	12	5	1	0	4	1	6	2	7	12	4	3	1	7	8	4	11	15	4	3	0	2	18	8	6	11	1	4	4	8	0	8	6	8	10	11	2	6	2	3	5	9	3	7	3	9	1	4
C[Ins(T):R(0,4)]A	7	3	8	4	2	3	9	5	10	8	3	5	1	1	10	1	38	5	1	4	5	1	1	4	0	4	6	3	1	5	5	6	0	9	1	3	4	1	5	1	5	7	4	4	5	9	2	8	2	1	8	2	0	6	2	8	5	1	3	5	4	4	5	30	7	6	7	6	1	4	0	2	1	6	13	2	4	2	1	7	5	0	10	6	6	5	6	5	0	1	6	2	0	1	5	9	2	2	3	7	4	20	6	2	5	5	2	4	73	9	9	8	7	2	7	10	13	2	4	5	2	9	2	5	6	1	4	5	4	3	0	3	5	8	8	4	8	2	8	5	13	4	2	8	18	7	2	4	2	5	5	3	3	4	8	4	3	4	6	0	3	2	4	1	4	3	8	3	4	4	3	2	4	4	9
C[Ins(T):R(0,4)]C	4	1	4	3	7	5	8	1	13	6	8	4	6	4	17	3	69	9	5	6	8	3	0	4	5	4	3	4	1	6	8	6	4	15	3	3	5	2	10	2	11	6	2	4	6	10	7	6	7	7	8	7	6	1	5	4	9	1	5	0	3	0	11	55	6	1	4	2	5	0	0	2	9	6	8	2	6	6	1	11	0	2	5	5	3	2	8	3	3	0	3	3	4	6	4	3	5	5	9	3	4	22	10	4	10	4	5	4	112	11	7	10	5	3	7	12	8	7	8	7	3	2	2	3	8	3	10	9	2	8	5	2	5	9	4	4	10	1	5	6	5	6	1	7	25	4	3	0	2	13	1	4	3	4	7	2	6	1	6	6	3	5	4	2	0	3	4	1	10	4	5	7	6	1	6
C[Ins(T):R(0,4)]G	5	1	6	1	5	2	11	5	5	6	9	3	5	1	9	2	74	6	3	6	12	0	3	5	3	3	7	6	2	6	4	9	4	10	8	0	11	7	6	4	5	3	1	10	5	13	3	13	4	4	10	3	2	4	1	10	11	8	4	3	2	3	11	67	5	3	3	4	3	5	1	3	9	3	16	0	4	5	1	8	2	2	9	3	4	3	9	14	2	0	4	0	3	5	5	4	2	0	3	6	3	36	12	2	7	4	9	6	145	8	11	8	7	2	8	20	7	3	3	6	4	2	3	0	5	2	8	11	6	3	2	4	1	2	6	6	11	2	7	3	11	5	0	13	10	2	2	2	2	6	3	1	5	3	9	2	5	2	9	9	4	2	5	1	5	6	6	3	8	1	13	7	5	3	9
G[Ins(T):R(0,4)]A	6	3	3	2	4	18	9	2	11	1	10	3	5	4	48	6	32	8	3	5	23	3	2	7	5	6	7	4	5	4	13	4	4	23	4	0	10	6	6	6	5	3	2	8	14	6	4	4	6	2	9	3	4	11	5	4	6	5	4	4	4	11	6	25	5	3	1	7	7	7	2	3	2	7	5	1	2	3	0	12	2	1	1	12	5	27	11	7	2	3	6	4	1	4	8	13	5	1	1	6	6	8	8	2	9	7	8	11	28	15	6	42	3	4	2	7	4	1	0	10	5	4	2	1	20	1	4	6	8	2	2	3	1	6	1	6	6	3	0	1	6	3	1	7	10	1	2	1	18	30	5	3	10	3	7	11	5	0	5	4	3	3	9	4	2	6	6	2	23	2	6	3	15	4	11
G[Ins(T):R(0,4)]C	4	2	1	0	2	4	6	3	11	1	6	1	5	1	71	1	15	1	3	1	24	1	0	5	3	3	0	2	0	1	3	6	6	2	2	2	1	2	6	1	5	1	2	4	15	1	1	5	4	2	0	0	2	5	1	3	0	3	0	2	1	5	3	20	5	3	0	4	4	1	2	0	0	9	3	1	1	1	0	5	2	1	1	5	2	32	12	2	1	5	1	1	0	2	7	6	2	3	2	1	7	6	2	0	12	6	3	2	35	8	0	3	0	3	3	2	2	3	4	3	8	4	5	0	21	0	2	2	1	1	1	1	0	3	0	2	0	2	2	2	3	4	0	5	6	4	1	1	19	25	3	2	8	0	1	4	1	0	9	2	2	0	2	0	0	4	2	3	21	1	6	1	14	1	6
G[Ins(T):R(0,4)]G	1	1	4	3	8	5	16	3	23	5	17	4	8	2	105	2	104	5	4	5	40	2	4	21	6	5	3	7	2	8	19	8	5	11	8	1	5	6	5	6	4	7	1	5	22	3	3	10	5	1	5	3	4	7	1	6	6	15	2	4	3	11	8	71	5	5	0	4	9	4	5	1	1	13	6	0	2	6	2	21	2	3	4	24	1	63	14	8	0	15	4	4	3	8	17	14	5	6	2	11	20	25	13	4	35	15	17	4	105	27	2	16	6	6	12	4	8	2	3	11	16	0	2	2	34	2	7	10	3	3	5	11	1	15	1	7	6	3	1	1	7	10	1	6	26	10	2	1	36	57	5	5	25	2	6	9	3	1	16	9	2	5	4	2	7	12	7	3	42	6	10	7	31	4	16
A[Ins(T):R(5,7)]A	5	6	20	5	8	8	54	13	16	44	31	24	14	5	38	32	763	15	14	46	9	13	12	15	10	19	3	62	9	24	36	9	28	21	6	2	19	6	35	6	18	26	7	14	14	18	23	59	11	23	9	9	6	15	15	19	10	16	18	5	15	12	34	348	24	15	30	24	8	15	9	6	5	58	13	9	13	16	7	27	19	7	10	8	11	14	27	20	9	22	9	19	21	9	18	18	2	11	14	17	11	155	95	5	13	16	13	18	1062	48	26	21	21	9	45	17	24	9	11	24	14	34	14	6	4	7	20	10	15	17	8	23	20	8	10	19	44	20	7	3	23	32	9	66	179	26	5	3	12	23	29	11	23	7	21	6	32	2	32	13	5	26	16	7	11	17	4	14	31	20	40	29	13	21	12
A[Ins(T):R(5,7)]C	7	15	21	9	9	13	52	11	24	43	17	20	11	7	35	27	559	13	13	48	6	6	8	16	4	11	8	63	6	24	41	16	25	29	13	3	27	13	41	13	20	40	5	27	16	12	16	49	18	18	18	19	10	3	15	15	7	20	20	9	25	10	38	163	22	16	29	26	6	5	18	9	12	59	8	2	12	15	8	23	13	8	12	4	9	13	16	16	14	15	11	9	12	10	18	7	3	18	15	19	12	182	71	6	9	12	13	22	806	34	22	23	15	10	32	20	31	6	11	20	23	48	26	20	15	7	25	15	21	10	6	18	18	13	6	20	51	19	7	11	22	20	7	57	103	21	5	6	14	33	21	15	24	2	12	8	31	4	28	16	3	31	11	15	10	20	11	13	29	21	28	20	7	16	16
A[Ins(T):R(5,7)]G	7	5	21	4	14	7	36	5	29	38	26	19	14	5	27	24	778	8	14	42	12	15	12	6	6	10	8	54	6	28	42	17	13	25	13	3	26	14	38	15	22	35	9	28	16	17	22	41	10	21	20	7	2	7	16	14	16	17	27	5	11	11	46	290	21	19	28	18	5	11	11	7	12	51	11	1	18	16	8	35	13	7	16	10	15	17	20	14	15	16	11	9	8	13	20	13	5	14	8	20	7	192	113	3	20	23	5	20	1153	36	18	24	28	14	51	25	26	17	14	27	25	33	20	18	17	12	24	25	22	17	4	19	20	8	4	18	49	22	13	8	21	24	10	46	175	23	4	8	11	40	12	15	19	5	24	5	23	1	23	20	7	16	17	11	16	19	6	24	36	17	29	18	18	12	15
C[Ins(T):R(5,7)]A	6	3	11	6	8	5	14	4	8	14	16	10	5	2	16	15	304	6	8	20	3	6	7	7	3	6	5	19	5	14	22	7	14	12	3	2	11	2	17	1	8	10	0	14	5	7	10	30	5	7	9	3	6	6	5	7	6	5	5	2	7	2	21	148	8	6	8	10	1	9	6	9	7	15	5	1	9	7	1	9	11	1	3	6	4	4	7	8	2	6	2	7	2	8	9	7	2	7	8	13	1	73	34	3	5	8	3	11	448	15	16	19	15	7	26	9	15	4	5	8	11	7	10	13	4	6	15	3	8	8	1	5	5	2	3	7	28	6	5	2	11	8	8	32	83	12	3	1	7	11	12	8	3	1	4	2	12	1	10	6	2	5	4	10	7	6	9	9	13	5	15	15	2	9	13
C[Ins(T):R(5,7)]C	6	5	10	3	4	4	24	6	16	17	18	9	14	1	17	8	286	11	10	24	2	6	5	7	5	5	5	22	5	10	24	12	6	12	7	1	9	6	17	7	6	22	3	12	5	10	11	19	1	5	10	9	2	7	8	5	10	14	9	6	6	3	28	84	7	8	8	9	3	4	3	3	3	34	4	1	13	7	3	21	10	5	5	3	16	5	12	7	6	4	7	8	5	3	7	8	3	8	8	9	7	98	50	4	9	6	5	15	458	27	10	11	17	6	23	9	11	5	3	11	9	15	7	8	10	1	16	8	9	10	3	10	7	4	2	5	25	11	5	6	16	11	4	22	56	10	5	5	6	14	8	8	5	6	10	6	5	1	11	7	3	6	7	5	4	16	4	10	16	9	16	5	5	12	10
C[Ins(T):R(5,7)]G	0	5	6	5	5	6	9	2	7	25	7	11	4	2	20	16	374	8	7	23	2	9	8	6	4	4	9	25	3	11	24	10	17	9	7	1	13	6	20	1	7	12	4	13	6	9	8	28	5	13	10	6	1	4	1	8	8	7	5	2	5	4	22	121	6	6	9	10	3	7	8	3	2	23	6	2	4	8	1	12	5	2	5	2	7	4	12	5	3	5	3	9	4	3	10	6	2	10	9	15	9	99	59	5	6	10	5	12	559	19	13	17	5	10	18	4	24	5	11	15	12	13	9	12	4	5	10	9	12	9	2	13	8	5	5	15	26	9	7	4	6	11	6	33	65	15	6	3	7	13	8	3	10	1	12	3	14	6	11	8	3	15	7	3	8	7	2	9	16	12	13	13	7	12	8
G[Ins(T):R(5,7)]A	3	5	13	5	3	3	17	6	12	19	10	10	10	2	26	13	425	4	1	17	2	9	3	4	3	9	2	24	2	14	18	3	7	5	0	0	10	0	12	2	5	14	6	6	5	5	8	26	5	6	5	12	9	2	6	9	1	7	7	0	8	4	7	173	7	8	11	6	4	7	10	3	2	26	1	1	6	7	2	14	9	6	3	4	6	9	19	7	5	2	3	7	10	3	7	3	4	6	1	18	7	35	51	0	8	10	6	7	575	11	12	15	7	3	12	3	11	6	6	6	8	13	8	7	7	2	6	6	9	4	1	7	5	5	3	8	18	4	3	2	9	9	5	34	82	9	3	5	4	7	7	5	6	1	8	7	11	2	5	4	2	4	7	6	7	7	6	3	13	8	13	14	5	6	10
G[Ins(T):R(5,7)]C	1	2	10	5	4	8	19	5	20	17	12	8	8	4	17	17	423	9	6	14	5	4	3	3	3	14	1	24	6	18	34	5	9	11	2	2	9	4	21	3	15	16	6	12	4	9	16	26	11	9	4	7	4	6	12	7	10	7	8	3	6	3	28	97	8	14	8	6	7	8	7	4	10	31	2	2	8	13	4	12	7	4	6	7	3	11	11	2	8	7	4	9	7	5	6	7	6	15	3	11	8	69	43	3	5	6	5	7	668	25	4	9	11	2	31	7	8	4	8	8	9	18	13	7	6	2	16	5	7	7	2	9	8	10	6	7	28	3	7	5	13	12	6	25	77	16	8	1	8	14	18	8	6	2	8	3	9	0	19	11	1	14	5	8	5	5	4	10	27	8	22	13	8	5	9
G[Ins(T):R(5,7)]G	6	3	13	5	4	6	17	4	27	31	17	3	7	2	22	11	792	7	11	26	4	13	11	12	8	5	4	36	2	11	17	16	10	23	2	0	12	2	11	6	7	14	8	17	16	13	12	29	11	16	8	10	6	3	7	15	5	11	10	5	11	2	27	212	8	6	17	9	6	9	4	4	3	32	7	1	13	14	3	15	16	6	7	11	8	15	14	9	6	1	5	7	11	5	13	6	4	5	5	23	5	79	66	2	6	10	4	8	1306	25	18	23	19	3	22	9	13	4	5	15	9	19	4	9	14	5	16	6	3	10	4	16	9	8	6	3	26	7	5	9	13	15	5	39	146	13	5	7	8	20	12	10	9	2	8	7	21	4	18	7	1	8	13	5	4	11	1	16	19	10	20	8	7	12	11
A[Ins(T):R(8,)]A	7	9	34	12	5	10	40	14	26	56	28	19	11	3	24	40	873	13	20	47	8	13	13	10	8	17	4	66	11	24	43	11	18	21	10	1	26	12	33	14	16	53	5	30	10	22	25	58	20	21	8	14	7	9	15	19	13	8	12	3	9	11	31	331	18	20	17	15	12	16	20	4	6	56	8	1	22	23	6	37	22	13	15	9	11	17	27	11	11	21	9	17	15	5	22	13	10	20	14	18	20	137	121	3	13	21	14	32	1284	46	23	21	24	13	49	15	36	9	13	28	26	35	20	20	15	8	18	12	12	20	6	23	10	12	12	25	42	16	9	11	24	34	18	80	234	20	14	11	13	31	20	19	15	6	15	10	31	4	47	9	1	20	13	9	10	10	7	23	30	22	32	34	14	18	19
A[Ins(T):R(8,)]C	14	6	16	12	15	15	48	16	40	44	33	16	12	6	48	31	707	10	19	56	6	16	12	11	8	6	4	71	9	29	54	16	22	24	8	2	20	7	33	12	17	38	6	28	18	18	21	60	10	19	9	13	9	13	18	13	13	15	19	4	12	16	42	237	16	18	32	17	6	16	12	11	8	60	8	1	18	25	5	27	20	11	15	5	8	19	29	19	10	12	15	17	14	16	25	15	11	15	15	13	20	150	112	0	8	17	14	25	1102	41	15	15	16	20	45	13	16	5	5	20	15	28	25	19	9	8	26	18	15	17	2	18	16	9	9	20	48	14	10	10	25	45	6	75	154	26	11	6	13	34	40	16	23	9	14	8	29	2	30	16	3	18	20	12	7	18	6	11	44	24	41	26	14	20	16
