MutationType	SP1086	SP1003	SP1677	SP1305	SP963	SP1144	SP1132	SP1712	SP1114	SP1431	SP975	SP1059	SP1419	SP1009	SP1724	SP96136	SP967	SP1781	SP1174	SP953	SP1377	SP1365	SP1491	CPCT02060013T	CPCT02100026T	CPCT02070020T	CPCT02030269T	CPCT02010944TIII	CPCT02020867T	CPCT02070272T	CPCT02020648T	CPCT02020362T	CPCT02440020T	CPCT02210077T	CPCT02070445T	CPCT02020894T	CPCT02020896T	CPCT02140101T	CPCT02210040T	DRUP01010020T	CPCT02020902T	CPCT02070443T	CPCT02080295T	CPCT02020916T	CPCT02020915T	CPCT02160036T	CPCT02120184T	CPCT02050315T	CPCT02120182T	CPCT02020940T	CPCT02010712T	CPCT02070294T	CPCT02070299T	CPCT02050437T	CPCT02050436T	CPCT02020952T	CPCT02020642TII	CPCT02020958T	CPCT02020684T	WIDE01010111T	CPCT02020958TII	CPCT02020972T	CPCT02020971T	CPCT02330103T	WIDE01010148T	CPCT02070480T	CPCT02360014T	CPCT02140107T	CPCT02070485T	WIDE01010202T	CPCT02020583TII	CPCT02020703T	CPCT02020973T	CPCT02020940TII	WIDE01010230T	CPCT02320002T	CPCT02050351T	CPCT02020979T	CPCT02080315T	CPCT02120203T	DRUP01050023T	CPCT02020983T	CPCT02140034T	WIDE01010280T	CPCT02020984T	CPCT02070154TII	CPCT02020986T	CPCT02020988T	CPCT02050445T	CPCT02070331T	CPCT02020989T	CPCT02050356T	WIDE01010412T	CPCT02140110T	CPCT02020717T	CPCT02130095T	DRUP01030012T	CPCT02070336T	CPCT02070332T	CPCT02050371T	CPCT02100178T	CPCT02020767T	CPCT02140072T	CPCT02060112T	CPCT02170032T	DRUP01070046T	WIDE01010565T	CPCT02020787T	CPCT02020778T	CPCT02050385T	CPCT02130142T	CPCT02020800T	CPCT02050395T	DRUP01070048T	CPCT02020817T	CPCT02080263T	CPCT02010944T	CPCT02020832T	CPCT02050351TII	CPCT02120168T	CPCT02440016T	CPCT02010935T	CPCT02010963T	CPCT02070401T	CPCT02230056T	CPCT02040169T	CPCT02020859T	CPCT02020633TII	CPCT02020621TII	CPCT02020586T	CPCT02070237T	CPCT02080273T	CPCT02070410T	CPCT02020600T	CPCT02010963TII	CPCT02120056T	CPCT02020840T	CPCT02040164T	CPCT02070244T	CPCT02020619T	CPCT02020633T	CPCT02010663T	CPCT02020614T	CPCT02290020T	CPCT02020632T	CPCT02050103T	CPCT02100072T	CPCT02100076T	CPCT02100077T	CPCT02070154T	CPCT02330034T	CPCT02070156T	CPCT02070162T	CPCT02070172T	CPCT02070188T	CPCT02270003T	CPCT02160026T	CPCT02070149T	CPCT02080119T	CPCT02110041T	CPCT02050216T	CPCT02070194T	CPCT02330046T	CPCT02070204T	CPCT02120020T	CPCT02260007T	CPCT02020583T	CPCT02070041T	CPCT02070043T	CPCT02050086T	CPCT02070044T	CPCT02220005T	CPCT02070057T	CPCT02330015T	CPCT02140037T	CPCT02070096T	CPCT02040064T	CPCT02070094T	CPCT02070102T	CPCT02050124T	CPCT02060073T	CPCT02060082T	CPCT02040105T	CPCT02010665T	CPCT02020629T	CPCT02080164T	CPCT02120080T	CPCT02050289T	CPCT02050297T	WIDE01010621T	WIDE01010461T	CPCT02120204T	CPCT02120206T	WIDE01010518T	CPCT02020991T	WIDE01010609T	CPCT02020993T	WIDE01010723T
C[Del(T):R3]G	1	0	3	5	2	1	1	0	3	0	0	2	1	5	1	0	1	2	1	1	0	2	0	5	0	3	3	1	4	1	0	4	1	3	1	1	0	1	1	12	2	3	0	1	0	1	2	3	3	4	2	1	7	2	2	3	6	1	0	1	1	3	2	1	4	1	2	5	1	1	0	4	0	4	0	1	0	1	5	2	5	1	1	2	0	8	9	4	4	1	0	1	4	2	6	2	6	16	1	0	1	2	3	1	1	0	9	0	2	2	5	1	1	2	1	1	1	1	0	1	0	3	1	3	8	8	2	4	2	3	1	8	1	5	2	1	0	3	3	4	4	1	4	2	0	0	0	5	1	8	3	1	1	1	1	1	4	2	2	4	2	0	2	8	3	0	3	1	5	0	0	1	6	4	4	3	2	1	6	0	0	2	0	2	0	0	0	4	4	3	3	2	6	4	1	2	0	2
C[Del(T):R4]A	2	0	2	3	2	1	2	0	0	0	5	8	5	1	0	1	1	2	1	6	0	2	0	7	2	1	1	2	4	6	2	1	2	5	2	2	1	1	0	80	3	1	1	3	0	1	0	1	0	1	1	0	7	2	8	0	11	1	1	2	1	1	0	2	3	0	5	3	5	1	2	2	2	2	0	3	1	1	3	0	1	1	3	1	0	5	125	2	0	1	0	1	1	0	0	1	6	10	0	0	2	2	3	1	1	0	0	0	4	5	3	0	1	2	1	0	2	2	0	1	4	0	2	0	10	12	1	5	2	5	3	85	2	4	2	2	3	6	6	5	4	4	2	2	0	0	1	5	0	4	2	1	1	0	2	1	2	1	0	3	0	0	0	3	7	1	3	7	4	0	1	1	5	5	1	2	0	2	1	3	0	6	2	2	1	3	1	2	1	2	1	1	0	7	2	2	0	2
C[Del(T):R4]C	0	1	1	3	1	1	1	2	0	0	2	3	1	0	0	3	0	0	3	1	0	4	0	1	1	3	0	1	4	2	3	2	1	3	1	0	1	3	0	77	2	1	2	3	0	0	2	0	1	0	2	2	4	2	4	3	6	2	0	0	2	3	0	1	2	0	2	1	2	3	6	1	4	1	1	0	0	4	5	0	2	0	0	0	0	1	99	1	1	2	1	1	0	1	1	0	9	3	1	1	1	0	1	1	1	0	3	1	4	0	2	0	0	1	1	0	1	2	0	0	2	3	2	0	17	17	3	0	3	3	4	82	3	5	0	1	1	5	4	2	0	2	3	0	1	0	2	5	1	1	0	3	1	3	5	2	2	0	1	3	1	0	2	1	6	4	5	10	3	0	0	1	6	2	0	4	2	1	1	5	0	2	5	1	1	2	2	0	2	6	2	0	4	2	2	3	0	2
C[Del(T):R4]G	3	1	1	3	0	1	2	1	1	1	2	4	3	2	1	3	2	1	1	1	1	1	0	3	2	7	1	3	3	0	1	5	0	4	0	0	2	3	2	76	0	1	0	3	2	0	3	0	0	0	2	0	5	5	2	3	11	1	0	2	1	0	1	0	1	2	6	2	4	0	5	2	3	1	0	2	1	0	0	1	4	1	3	3	2	4	68	1	0	1	1	0	1	0	0	3	2	12	2	2	2	0	2	0	0	1	2	0	5	2	1	3	0	2	0	1	3	0	2	0	2	1	1	4	12	13	3	5	3	4	2	36	4	2	2	1	0	2	3	3	3	2	5	0	2	0	0	1	1	3	5	3	1	1	1	0	1	2	1	6	1	1	1	2	3	1	6	5	1	0	1	0	7	3	3	3	2	2	2	1	0	7	2	8	0	5	1	1	3	0	5	1	3	6	1	0	0	2
C[Del(T):R5]A	0	2	3	3	2	0	1	0	1	2	2	2	0	1	0	1	1	2	3	8	1	4	2	3	0	0	0	3	1	2	3	3	2	4	0	2	1	2	0	214	2	1	1	6	0	0	2	2	2	1	5	1	3	2	6	1	5	4	1	2	5	0	0	2	2	0	2	2	6	1	4	2	5	2	2	0	1	0	3	3	0	0	1	2	4	9	253	0	2	1	1	1	1	1	1	0	8	9	1	1	0	2	1	0	1	1	1	0	5	3	0	1	1	1	1	0	3	1	2	1	2	1	4	2	16	33	1	3	3	5	3	177	4	5	4	2	1	2	5	5	1	3	6	0	0	1	0	6	0	7	4	0	1	1	1	1	1	1	0	0	0	1	5	3	0	1	4	23	1	0	0	3	5	2	1	0	1	2	1	2	0	6	2	0	2	1	1	1	0	4	0	3	1	3	2	1	0	2
C[Del(T):R5]C	2	1	3	1	0	0	0	0	1	0	0	1	2	0	3	2	0	1	1	4	0	2	0	0	1	0	0	1	3	6	2	2	1	4	1	2	2	2	2	212	3	3	1	2	0	0	1	2	1	0	0	0	3	1	3	3	2	0	1	2	0	5	0	1	4	1	1	3	2	1	1	1	6	0	0	1	1	2	1	2	0	1	3	1	2	5	257	1	1	0	1	3	2	2	0	0	5	2	0	1	3	0	0	0	1	0	4	1	2	2	0	0	0	1	1	0	1	1	1	0	2	2	0	1	30	43	0	3	0	1	1	196	4	4	0	0	3	3	5	2	1	5	3	1	0	0	0	5	1	5	3	2	1	1	2	1	2	0	3	2	0	0	0	0	0	0	2	28	4	0	0	2	2	6	4	2	0	1	1	0	0	3	3	1	0	2	1	1	0	4	7	2	2	4	1	4	0	0
C[Del(T):R5]G	0	1	2	2	1	3	1	0	1	1	0	2	1	2	0	0	0	2	0	3	0	0	1	0	1	2	1	1	3	1	0	0	0	2	0	2	0	1	1	146	1	1	0	1	2	0	2	0	2	0	2	2	3	1	5	3	5	2	0	1	2	3	1	1	1	1	2	1	2	2	1	1	1	0	0	0	3	0	1	0	0	0	0	3	1	3	170	2	1	0	0	0	0	1	2	1	3	3	0	0	1	0	4	1	0	3	1	0	1	3	0	0	0	1	0	0	1	2	6	1	1	0	0	0	7	34	1	2	3	3	2	137	2	3	0	2	0	1	5	0	2	4	4	2	1	0	0	3	0	3	2	7	0	1	3	0	2	1	2	1	0	3	1	1	3	0	2	25	4	2	0	0	0	1	1	2	0	2	1	2	0	2	2	2	0	3	0	1	0	1	1	2	1	2	1	2	0	2
C[Del(T):R6]A	0	2	5	3	1	1	0	0	1	1	2	4	0	0	1	1	0	0	2	4	3	3	2	3	2	5	1	3	1	4	3	4	1	2	4	1	0	3	4	382	3	1	2	1	0	2	2	1	2	0	5	0	5	2	7	4	3	3	0	6	3	4	0	3	6	2	1	5	3	2	4	5	3	0	0	0	1	2	0	3	0	3	0	3	2	5	471	3	0	0	0	0	0	0	0	0	7	2	0	1	0	0	6	0	0	2	1	0	9	5	0	0	0	3	2	0	2	1	1	2	3	3	1	4	30	63	0	2	4	4	10	399	3	8	2	5	0	6	3	0	4	1	5	3	2	1	1	4	2	5	5	6	1	0	3	0	3	2	2	2	0	1	0	7	3	0	3	56	3	0	0	2	0	3	3	1	2	2	0	0	0	1	4	0	0	0	1	2	0	1	0	1	1	1	2	4	0	3
C[Del(T):R6]C	0	4	2	1	4	1	1	1	1	0	1	2	2	1	0	4	0	0	2	2	0	2	4	1	1	3	1	4	1	7	0	1	1	2	1	0	0	6	2	217	4	0	1	0	0	1	1	0	2	0	3	1	5	5	4	3	7	1	1	2	1	2	3	3	1	2	2	2	5	5	4	1	2	0	0	0	0	0	1	1	3	1	0	0	2	2	211	2	1	1	0	2	4	2	1	0	2	1	0	0	1	1	4	0	0	0	2	0	6	2	1	2	0	1	1	1	2	1	1	1	2	1	2	1	33	50	1	3	0	3	6	330	3	4	1	1	0	1	3	1	2	2	4	0	3	1	0	5	0	2	0	1	1	2	3	0	3	3	0	3	2	0	2	4	1	0	5	42	0	0	0	2	2	4	1	2	1	3	2	0	0	2	3	0	0	0	1	4	3	5	1	2	1	1	0	4	0	1
C[Del(T):R6]G	0	3	3	2	1	0	1	1	1	0	2	3	2	1	1	1	0	2	1	2	0	3	1	1	1	2	0	2	1	0	2	0	0	2	1	1	0	0	1	166	4	0	2	2	1	0	0	0	0	0	2	0	2	4	2	1	3	1	0	3	1	5	1	2	4	0	1	0	3	0	0	1	0	0	0	4	0	0	0	0	1	0	1	1	1	1	215	2	1	2	0	0	3	1	0	0	2	2	1	0	1	0	1	0	0	0	1	1	1	2	1	0	1	0	0	0	2	2	2	0	3	2	3	1	13	38	0	2	0	1	3	166	1	6	4	0	0	3	2	3	2	2	4	0	0	0	0	1	0	2	2	2	1	0	1	0	1	2	2	2	0	0	0	1	4	0	1	38	2	0	0	1	4	3	3	0	0	3	0	1	0	4	1	1	1	0	3	2	1	0	1	2	3	0	2	3	1	3
C[Del(T):R7]A	1	6	1	2	1	2	0	2	1	1	0	4	5	1	1	1	1	3	16	3	0	0	3	1	3	11	2	1	2	8	1	2	0	6	3	2	4	7	3	1089	2	3	2	3	2	1	5	1	0	0	11	0	9	6	2	4	14	1	0	3	1	7	1	3	8	3	4	2	9	3	10	3	1	0	0	1	0	0	3	3	2	1	0	7	1	4	953	3	4	3	1	2	3	2	0	1	18	3	0	1	1	1	8	2	1	0	3	0	7	1	3	0	4	1	0	0	1	5	1	1	0	5	3	1	36	145	0	2	7	8	4	1221	3	8	4	0	1	13	2	1	2	4	4	3	10	2	1	2	1	3	2	10	1	0	3	0	3	2	7	8	1	0	1	3	8	0	14	184	1	3	1	3	7	7	2	1	0	5	3	5	1	7	4	2	4	0	1	3	3	4	4	6	1	6	2	3	4	3
C[Del(T):R7]C	1	4	0	6	1	3	1	2	1	2	1	5	3	1	0	2	1	3	8	2	0	4	2	5	0	3	1	4	2	9	2	5	2	7	3	3	1	1	4	977	3	2	4	3	1	2	0	1	2	0	14	1	13	7	4	7	5	2	0	1	3	17	1	2	9	3	3	2	9	5	5	0	4	0	1	2	2	2	4	2	2	3	1	7	0	8	1060	4	0	8	0	1	1	1	2	0	10	2	0	2	1	2	6	0	1	2	1	0	8	5	4	0	4	3	1	1	4	2	3	1	2	1	6	2	67	229	2	3	2	5	10	1733	4	10	6	2	2	11	2	1	1	5	3	4	4	1	1	0	1	5	2	3	6	0	0	0	1	2	5	9	0	3	0	3	4	0	8	171	3	4	0	2	13	6	3	1	0	1	2	2	0	2	1	0	6	2	2	5	2	4	1	8	0	4	3	3	3	2
C[Del(T):R7]G	0	3	2	1	0	1	2	1	0	0	3	2	5	0	2	5	1	1	9	2	0	2	1	5	0	4	1	3	3	7	0	1	1	5	4	2	4	2	4	1011	3	2	3	1	0	0	1	0	1	1	4	0	7	3	3	3	8	1	1	2	1	10	2	5	3	2	4	3	8	2	5	1	3	1	2	3	2	2	1	2	5	1	0	6	0	2	1172	2	1	6	2	1	4	1	1	1	9	0	0	1	1	1	3	1	1	0	1	0	4	2	0	1	4	1	3	1	3	3	2	1	3	1	3	4	34	201	0	3	4	3	10	996	5	6	3	1	0	5	1	2	0	4	6	0	5	0	0	1	0	1	0	4	2	1	2	0	2	0	3	10	2	0	1	2	6	0	3	213	3	3	3	0	5	3	2	1	1	3	1	1	1	2	2	1	1	0	3	4	5	1	5	3	2	4	3	3	1	5
C[Del(T):R8]A	1	3	0	2	0	0	1	1	1	2	3	0	3	2	2	0	2	6	19	1	0	0	3	5	4	10	5	2	2	14	2	3	1	8	12	9	4	1	6	2417	4	2	9	2	6	1	4	0	1	1	19	3	11	7	3	7	11	1	0	0	2	22	0	2	9	2	1	3	13	4	18	2	6	1	0	2	1	5	2	2	3	3	1	9	1	1	1632	8	1	10	7	2	5	4	1	0	29	0	0	2	4	2	8	0	3	3	1	1	18	2	2	1	1	1	2	2	2	3	0	1	5	1	7	3	84	265	2	5	2	8	27	2430	8	9	7	7	1	23	0	4	3	7	8	3	13	5	2	1	2	1	0	9	3	1	4	1	2	6	10	18	4	2	1	5	8	1	17	325	5	4	1	5	11	11	0	4	1	4	4	5	1	8	5	2	1	2	3	3	3	0	1	7	2	1	20	6	5	6
C[Del(T):R8]C	0	1	1	1	0	2	2	1	0	2	1	1	4	1	2	3	3	2	9	4	0	0	2	4	4	2	0	4	1	14	2	2	3	3	4	0	2	1	5	1933	6	7	10	3	3	2	3	1	1	1	11	2	13	7	3	13	7	1	1	2	2	15	3	5	10	0	2	1	4	3	8	2	2	2	5	4	3	1	4	2	3	5	0	13	0	8	1613	6	1	6	3	1	9	2	4	1	16	3	0	5	3	1	10	0	0	1	3	0	15	8	0	1	0	2	0	0	2	7	6	0	1	4	7	4	80	303	2	3	1	7	19	3076	6	12	11	3	2	11	0	11	2	8	14	7	7	2	2	2	3	6	0	6	5	1	6	1	4	4	15	11	1	0	0	9	9	0	6	292	6	3	1	10	11	14	2	4	0	6	3	4	0	3	2	1	3	3	7	0	4	4	1	5	1	4	9	2	0	3
C[Del(T):R8]G	0	0	0	1	0	0	0	0	1	2	0	4	2	1	0	2	2	1	7	2	0	2	0	4	1	3	1	2	2	6	0	3	1	3	4	5	3	2	4	2080	2	4	9	0	3	1	2	1	2	0	4	1	7	3	0	5	5	0	0	0	0	20	3	2	8	0	1	1	7	5	7	4	5	0	0	2	1	2	5	0	0	1	0	3	0	2	2188	0	4	3	0	2	4	0	1	0	16	1	0	1	4	1	8	0	2	1	2	0	14	5	3	2	1	0	2	2	1	5	2	0	4	1	4	3	48	308	0	2	2	6	11	1739	6	8	5	1	0	11	0	4	2	6	3	5	5	2	0	2	2	2	1	12	4	1	5	0	1	4	8	8	5	1	0	7	9	0	11	421	7	0	1	4	17	8	0	3	1	1	1	1	0	5	2	0	3	1	2	3	0	0	1	2	1	4	9	1	3	8
C[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R1]A	0	1	0	2	2	1	1	0	1	0	2	5	0	3	1	2	1	1	2	2	1	5	0	1	1	1	0	2	2	5	1	3	2	1	0	0	0	0	1	4	1	0	0	0	1	1	3	0	0	2	1	1	3	5	2	1	7	0	0	3	0	1	0	2	1	0	2	3	1	2	1	2	2	1	0	1	1	1	2	2	2	0	3	0	0	1	5	1	1	4	0	0	1	1	2	1	6	10	0	1	2	0	3	0	0	1	4	0	3	3	1	0	2	0	1	0	3	0	1	0	2	2	2	1	6	4	0	0	2	2	2	8	4	2	2	1	1	5	3	1	1	3	2	1	2	1	1	4	1	1	1	1	1	1	4	1	0	1	0	0	0	1	0	2	4	2	1	0	4	0	1	1	1	5	1	1	1	2	1	2	0	6	0	1	0	1	4	2	1	1	1	0	1	2	1	2	2	1
G[Del(T):R1]C	1	0	0	1	1	0	1	0	1	0	3	0	1	1	0	1	0	0	2	0	1	2	1	2	0	4	0	1	2	2	1	3	1	0	1	0	1	3	1	0	5	2	0	2	0	1	6	0	0	2	2	1	0	0	3	0	8	1	0	1	1	0	0	3	2	3	2	3	2	1	1	2	0	2	1	0	1	1	1	2	0	0	2	1	0	3	4	1	0	1	0	0	1	1	4	0	3	9	1	2	0	1	0	1	0	0	6	1	2	4	1	2	1	3	0	1	1	1	1	1	1	3	3	1	6	7	0	0	0	1	0	5	0	3	3	1	0	1	5	2	0	5	0	0	0	0	0	5	0	3	1	0	0	0	1	0	0	1	1	3	2	0	2	4	1	1	1	2	6	0	0	2	3	2	0	2	0	0	0	3	0	1	1	2	0	1	0	0	0	1	1	2	1	3	0	2	0	2
G[Del(T):R1]G	0	1	2	5	1	2	1	1	1	0	4	3	1	2	1	2	1	1	0	3	2	3	0	2	2	4	0	3	4	6	1	0	2	1	2	2	0	1	1	30	1	3	1	2	2	1	7	1	1	3	2	0	1	0	5	2	5	2	1	4	2	0	0	0	4	4	2	4	0	0	1	2	3	4	0	1	1	1	3	4	3	1	3	1	1	5	29	0	1	1	3	1	2	0	1	0	3	8	1	1	1	0	3	1	0	1	7	2	4	1	0	3	0	0	2	0	3	1	2	2	2	1	3	4	4	9	1	0	2	6	6	48	2	2	4	2	0	4	6	6	0	1	3	0	2	3	0	6	0	4	2	1	2	3	2	1	3	2	0	4	1	1	4	7	1	1	2	4	3	1	0	5	2	4	2	1	2	2	2	2	0	3	2	3	2	7	1	0	3	1	1	2	1	5	0	4	2	3
G[Del(T):R2]A	2	1	5	4	2	1	0	1	3	0	1	4	0	0	1	1	0	0	3	4	1	1	0	2	0	0	1	1	1	2	3	1	0	2	1	2	2	5	0	5	1	0	0	1	1	1	2	0	0	1	5	0	1	2	5	1	7	4	0	2	4	0	2	2	1	0	0	1	1	1	3	2	4	1	0	3	1	1	1	2	2	3	1	0	1	2	4	0	0	0	1	2	1	1	2	3	1	7	0	1	2	3	2	1	2	1	3	0	5	3	1	0	2	2	1	1	2	1	2	1	2	1	7	0	3	3	1	2	7	3	1	4	2	9	7	1	0	4	3	6	1	4	6	2	0	1	1	8	2	2	0	1	2	2	3	2	4	2	1	2	3	1	1	6	1	1	4	0	3	1	0	0	1	3	2	1	1	3	1	1	0	0	2	0	1	2	0	3	2	4	3	1	1	4	0	5	0	3
G[Del(T):R2]C	0	1	3	2	1	0	0	0	2	1	0	0	1	1	1	2	0	0	0	3	0	0	0	4	0	0	0	0	1	3	0	0	0	1	1	3	0	5	0	1	2	1	2	1	0	1	3	0	0	0	3	1	1	1	8	0	5	2	0	1	2	0	0	1	2	1	1	1	1	1	2	2	1	1	0	0	1	0	1	2	0	0	2	0	0	2	3	1	0	0	0	0	2	2	1	2	3	8	1	1	0	1	1	0	0	1	3	0	3	2	0	2	2	0	0	1	0	0	1	0	0	2	1	0	2	2	0	2	3	1	0	9	0	1	2	0	1	2	7	5	2	5	1	0	0	0	0	2	0	2	3	3	0	0	1	1	1	0	2	1	0	1	0	3	1	1	1	1	3	0	0	0	2	3	1	0	0	3	2	0	0	2	0	0	3	1	0	2	0	3	2	1	0	1	0	2	0	0
G[Del(T):R2]G	0	0	1	2	1	2	3	0	2	0	1	3	1	1	2	3	0	2	0	1	0	2	0	3	2	0	0	2	1	3	3	5	1	5	0	1	2	3	0	4	1	1	4	1	1	0	1	0	2	0	4	0	5	1	1	1	2	4	0	0	3	1	1	2	0	1	1	0	0	0	1	1	1	1	0	1	0	1	0	1	3	0	0	1	1	4	4	0	0	0	1	1	1	1	0	2	0	5	1	0	1	0	0	1	0	0	1	0	3	4	3	0	0	3	0	1	2	1	0	1	2	4	3	1	5	4	0	1	5	2	2	12	1	0	3	1	2	2	2	3	1	4	3	0	2	1	0	4	2	3	5	1	1	0	1	0	4	0	2	3	1	0	0	2	1	1	1	0	4	0	0	2	4	2	2	1	0	1	1	1	0	4	0	1	0	3	0	2	3	5	0	1	0	2	0	2	1	2
G[Del(T):R3]A	0	0	1	4	1	1	3	1	2	1	3	3	1	0	0	2	0	0	2	0	1	0	1	3	0	6	1	0	3	2	4	1	2	1	0	0	0	3	1	8	2	3	2	1	2	0	4	2	1	2	1	1	3	0	5	0	6	2	0	1	1	3	1	0	4	1	1	1	1	3	1	1	1	2	0	2	1	0	1	5	1	0	1	2	0	2	11	1	1	0	1	2	1	1	3	3	1	16	0	0	1	0	2	0	1	0	3	0	7	2	0	0	0	1	1	0	0	1	1	0	1	1	0	2	7	9	1	1	0	1	1	20	1	5	0	1	0	2	2	2	1	2	0	0	3	2	0	7	0	2	0	1	1	5	2	0	1	0	0	2	0	0	0	2	2	1	3	0	3	0	1	1	1	0	0	2	1	0	0	1	0	0	2	3	1	0	0	1	1	0	4	1	1	3	0	4	0	2
G[Del(T):R3]C	1	2	1	1	1	0	1	0	2	0	1	3	1	2	1	2	1	1	0	2	1	2	0	1	1	3	0	0	1	4	0	1	1	3	2	0	1	6	1	17	1	0	2	4	0	0	3	1	0	2	4	1	1	3	1	0	4	0	0	4	0	1	1	2	1	0	2	2	0	0	0	1	3	3	0	0	1	0	1	2	0	2	1	0	0	2	7	0	0	1	1	0	0	2	1	1	5	16	0	0	0	0	2	1	0	0	3	1	5	2	0	1	2	0	1	0	0	1	1	2	0	0	0	3	5	6	1	1	3	2	3	35	4	0	1	1	1	2	5	1	1	2	0	1	3	1	1	5	2	2	1	0	2	0	2	1	1	1	1	1	2	0	2	5	0	1	0	1	5	0	2	3	4	1	2	5	0	1	0	2	0	1	5	0	0	0	1	2	0	4	1	1	2	1	0	0	0	0
G[Del(T):R3]G	2	1	1	1	1	0	0	0	1	0	1	2	1	2	0	4	0	0	0	1	1	3	1	3	0	1	0	1	0	3	3	3	2	0	0	1	1	2	1	19	1	0	2	1	0	0	2	1	0	1	2	0	1	1	1	3	6	1	0	3	1	1	2	1	1	1	2	3	0	1	0	3	3	1	3	1	0	0	1	1	1	0	2	2	1	4	10	1	2	0	0	0	1	2	4	2	0	14	1	0	1	2	3	0	0	2	4	0	0	3	1	0	1	0	1	0	1	0	0	0	0	0	1	0	7	2	0	1	1	2	5	27	3	5	2	1	1	3	9	1	1	0	1	1	0	2	0	1	2	3	3	1	2	2	1	1	3	2	1	4	1	1	1	2	1	0	0	0	1	0	0	0	4	2	0	0	1	4	0	1	0	1	2	4	1	0	0	3	1	6	1	3	0	6	0	3	0	0
G[Del(T):R4]A	2	3	2	6	2	0	1	0	2	1	3	5	2	1	0	2	1	0	2	2	1	1	0	6	0	4	1	1	1	5	2	2	2	2	1	0	0	1	0	74	1	0	0	0	0	1	1	1	1	2	5	2	3	3	2	1	8	0	1	0	0	1	0	1	2	0	5	0	2	1	4	0	1	2	0	1	2	0	1	0	1	0	1	3	0	5	53	3	2	2	0	2	0	2	0	1	5	8	2	0	0	1	3	2	1	1	1	0	5	2	0	3	0	0	0	0	1	1	2	0	0	3	2	1	7	18	0	1	2	6	1	150	3	3	1	0	0	0	2	3	1	4	3	1	3	3	0	2	1	5	2	0	0	3	3	1	2	2	2	4	1	2	1	5	0	2	2	3	2	1	1	1	3	7	1	0	2	0	3	0	0	4	2	6	1	3	1	3	1	1	3	0	2	2	1	0	1	3
G[Del(T):R4]C	1	5	2	2	0	0	0	0	1	0	0	4	0	0	0	1	1	0	0	5	0	3	0	2	4	1	0	0	1	2	2	3	1	2	2	0	1	5	1	69	1	1	2	2	1	1	1	1	1	1	1	0	0	1	2	2	5	1	1	1	1	3	0	0	3	0	1	2	0	2	2	0	2	2	0	2	0	1	2	2	1	0	1	0	0	2	41	1	0	1	0	0	1	0	1	0	1	5	0	2	0	1	2	1	1	1	1	0	5	1	2	0	2	2	1	0	0	6	0	2	1	3	0	0	16	19	0	2	4	2	4	117	5	4	0	1	1	3	1	1	2	4	4	0	0	1	0	1	0	2	2	1	2	1	1	0	0	0	4	2	1	0	0	5	2	0	3	7	1	0	0	1	1	0	1	0	0	4	0	0	0	2	2	3	0	2	0	1	1	3	2	4	1	3	2	5	0	4
