MutationType	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
C[Ins(T):R(5,7)]G	4	21	3	4	2	6	13	55	4	5	5	5	20	19	387	8	14	12	8	21	7	14	5	9	100	3	3	7	17	19	5	6	1	3	12	11	8	5	1	121	3	23	6	4	5	13	10	10	10	259	10	2	7	3	3	1	6	8	29	6	6	3	5	5	235	4	2	489	6	217	13
G[Ins(T):R(5,7)]A	6	12	7	2	9	5	4	64	5	3	5	1	12	18	272	3	18	8	9	18	5	5	2	5	101	3	0	3	4	15	7	3	1	3	11	13	2	0	0	109	0	16	6	5	3	5	11	5	7	263	12	1	3	1	2	1	6	5	13	5	6	1	4	2	237	10	10	459	8	251	14
G[Ins(T):R(5,7)]C	3	17	7	1	4	9	3	45	3	4	13	3	14	11	347	4	15	6	6	11	9	9	2	2	100	4	0	5	6	13	2	7	1	6	10	20	6	2	0	96	0	14	10	2	6	7	10	14	16	281	15	1	8	3	3	1	6	9	25	6	10	4	3	7	205	2	6	419	9	210	9
G[Ins(T):R(5,7)]G	6	12	11	1	9	8	10	88	3	4	5	4	13	17	481	9	32	17	10	22	9	12	6	4	186	5	2	11	14	22	6	6	2	3	13	16	12	3	1	192	3	24	6	6	8	13	10	13	13	423	19	2	1	4	4	5	12	12	18	12	7	3	2	8	389	3	14	769	10	407	10
A[Ins(T):R(8,)]A	8	40	19	6	20	12	22	155	7	7	12	10	29	43	569	22	42	10	20	46	25	12	14	16	235	13	3	11	15	38	12	14	4	11	32	40	14	8	3	260	2	44	17	7	12	16	33	17	29	535	22	5	12	7	13	7	10	18	51	15	17	8	10	18	446	13	8	1092	25	427	18
A[Ins(T):R(8,)]C	11	41	19	7	23	16	18	108	14	8	20	8	18	41	462	13	30	12	20	24	8	19	10	11	206	11	3	16	25	44	10	21	4	11	20	23	13	8	5	181	1	38	9	7	6	24	18	19	27	434	29	5	10	4	5	7	9	14	42	19	10	5	7	11	402	12	10	947	23	392	13
A[Ins(T):R(8,)]G	9	33	23	3	17	11	14	171	16	7	20	4	25	52	444	11	26	15	9	37	13	21	10	16	184	7	2	13	13	41	15	18	4	9	13	22	17	3	6	234	2	36	10	6	10	13	15	19	37	485	19	4	7	1	11	5	14	8	41	11	11	9	10	6	414	9	2	1035	17	442	11
C[Ins(T):R(8,)]A	9	21	13	1	5	10	13	90	2	1	12	6	17	21	289	13	22	8	13	25	6	15	7	8	146	7	4	9	11	20	8	5	1	1	7	27	8	4	1	174	3	21	5	2	2	12	10	8	16	258	10	4	3	3	5	1	5	11	23	5	4	3	4	7	272	6	4	679	12	288	6
C[Ins(T):R(8,)]C	6	20	12	3	7	6	11	98	11	7	10	3	16	24	309	9	15	8	7	28	7	9	5	4	172	7	5	6	4	25	16	10	2	5	11	18	7	2	1	177	4	20	6	3	6	4	12	11	21	249	12	3	5	3	3	5	8	14	22	7	6	3	3	9	308	1	6	733	10	325	9
C[Ins(T):R(8,)]G	5	29	18	5	11	14	7	173	12	6	15	2	24	24	362	6	23	5	9	17	3	16	12	15	220	4	2	11	11	27	8	11	3	5	16	18	6	5	3	278	2	27	11	7	10	11	17	16	21	343	17	3	10	2	7	4	8	6	37	10	11	1	3	4	355	5	6	916	8	423	11
