Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP49223	82	2	0	5	17	0	0	10	0	0	1	23	39	51	13	0	39	0	1	2
SP49187	50	18	118	0	40	16	11	27	0	19	28	25	1	0	1	3	17	3	0	40
SP49157	28	11	166	79	17	39	73	0	14	0	16	147	19	18	47	0	0	1	21	14
SP49379	165	5	65	26	25	5	0	105	0	0	12	136	13	0	0	9	56	2	27	0
SP49541	143	48	84	72	30	28	1	0	19	75	25	79	75	33	31	16	22	5	10	38
SP98164	148	17	160	0	40	90	106	34	0	36	30	40	27	0	74	17	13	0	36	14
SP49481	1	10	0	0	35	52	31	11	0	0	9	0	7	0	18	8	0	0	0	0
SP98078	62	2	62	32	91	153	10	66	0	22	12	0	12	0	9	51	132	4	29	36
SP106677	116	25	1	85	15	22	28	10	0	37	27	0	22	0	49	18	0	0	0	43
SP106743	64	11	3	45	6	0	7	0	0	21	8	0	11	0	5	0	0	8	10	68
SP98359	178	39	15	23	50	47	12	36	34	14	26	60	25	0	37	0	58	9	17	22
SP98192	293	4	17	0	6	0	3	26	22	0	5	0	12	15	18	20	0	0	1	0
SP98053	157	19	63	0	25	116	53	13	18	0	6	0	0	103	0	38	103	5	42	0
SP106631	32	5	49	16	39	0	72	33	0	0	99	28	13	0	0	0	21	3	13	2
SP49551	121	16	105	0	7	32	0	36	0	74	21	0	7	26	0	18	0	4	5	10
SP49651	68	0	5	4	96	4	0	37	59	25	0	0	403	61	9	0	0	9	6	12
SP98265	203	25	13	57	36	10	84	19	0	58	8	106	5	103	0	103	0	3	15	0
SP98297	84	27	180	0	64	10	15	133	0	112	20	13	13	19	40	0	0	6	18	0
SP98060	0	3	8	0	0	11	0	15	0	20	1	0	1	16	0	0	0	0	0	15
SP98289	108	11	29	197	38	0	0	66	0	0	43	0	47	0	102	0	87	3	21	6
SP115498	108	65	172	0	0	26	44	59	194	102	20	0	7	24	10	63	0	18	10	0
SP98096	55	26	81	99	30	0	37	0	86	28	32	184	10	0	0	28	0	9	12	18
SP49114	108	13	121	0	110	187	127	56	0	32	24	0	34	140	16	48	0	10	44	26
SP98090	692	91	298	165	16	59	26	45	188	166	26	0	6	39	18	0	0	0	44	0
SP49286	90	10	36	178	40	21	75	0	0	8	14	0	2	83	8	0	0	6	32	0
SP49469	161	50	4	15	53	21	87	11	33	42	19	3	36	50	26	32	0	1	13	25
SP49205	84	25	0	0	16	19	19	10	46	9	5	23	40	34	0	20	0	3	15	2
SP98327	80	6	75	0	35	17	144	48	12	6	24	72	13	0	29	13	0	7	27	2
SP49449	232	16	4	4	5	0	0	0	31	27	4	0	5	26	4	17	2	0	18	0
SP49391	73	3	4	0	43	47	61	29	0	0	5	0	7	0	20	17	0	4	5	14
SP49531	314	78	124	153	43	30	0	92	48	64	9	0	19	0	0	3	80	12	26	0
SP49322	236	41	18	0	9	0	44	31	19	90	14	68	10	0	29	0	0	6	18	0
SP49433	123	14	13	0	17	24	29	30	0	7	18	0	0	60	26	2	8	0	6	3
SP109384	83	14	29	0	30	18	6	20	0	37	2	0	21	0	37	11	0	3	0	33
SP98065	0	35	3	3	44	107	0	115	114	8	6	0	9	0	50	11	102	7	1	0
SP49591	85	44	0	27	11	48	0	17	1	46	12	0	28	0	28	0	36	0	16	0
SP49385	90	8	0	0	50	155	48	11	0	0	10	0	27	159	39	19	0	2	13	0
SP98313	337	26	0	90	6	7	16	0	41	8	12	0	12	0	6	48	0	7	14	0
SP49119	112	22	15	15	12	90	11	63	28	25	14	97	5	20	14	15	35	5	20	0
SP109301	144	39	154	0	36	71	46	38	15	38	29	14	2	3	40	2	58	0	11	11
SP115830	223	26	39	19	14	0	62	0	0	25	17	25	19	10	48	29	3	2	13	0
SP49229	598	0	6	3	5	7	0	10	148	9	30	0	10	0	41	32	0	0	0	0
SP98853	165	19	81	0	49	97	89	32	63	0	151	0	42	0	51	53	0	6	10	22
SP98855	183	4	32	15	34	31	56	26	0	18	6	0	11	9	36	0	0	2	13	7
SP98859	176	16	0	0	28	72	46	34	0	12	1	0	39	11	0	0	0	2	0	3
SP98865	84	25	9	0	25	0	3	7	0	27	19	0	0	2	21	25	0	0	6	30
SP98879	0	19	46	90	45	82	29	0	47	0	16	53	20	9	39	43	0	0	4	3
SP98871	107	11	16	0	13	0	0	97	0	22	28	0	5	53	4	45	0	0	4	0
SP98867	211	24	62	225	61	0	21	0	0	1	43	0	37	84	0	27	0	0	19	0
SP98861	84	35	120	0	23	5	0	59	6	150	6	0	65	158	17	15	0	9	21	0
SP98877	45	11	93	146	27	24	40	0	35	0	31	0	10	18	0	19	0	9	20	0
SP98889	161	26	41	204	54	0	87	0	0	0	54	36	21	0	18	89	0	12	10	0
SP98887	125	32	124	78	42	2	76	119	128	39	68	0	33	0	0	32	0	8	21	0
SP98875	217	13	108	3	74	40	75	125	4	3	39	0	17	0	42	17	0	5	19	8
SP98851	25	7	10	0	10	7	9	1	0	0	4	0	7	0	10	1	17	0	3	9
SP98833	33	10	34	1	2	58	0	7	4	26	10	0	35	74	14	35	0	3	3	5
SP98873	117	19	110	240	38	0	14	0	18	66	31	0	45	0	4	32	0	0	19	0
SP98883	203	31	53	35	12	80	16	0	35	0	34	89	37	33	60	0	0	1	16	6
SP98849	27	1	26	0	25	0	0	61	25	33	34	0	12	0	0	20	0	7	18	18
SP98869	162	32	0	36	19	28	18	17	34	0	10	10	6	12	0	12	54	7	1	33
SP98893	226	41	59	35	9	0	10	87	67	89	113	0	30	0	0	112	0	2	14	0
SP98847	44	21	50	79	33	63	0	0	64	28	0	67	4	0	7	2	0	2	13	0
SP98881	6	22	14	101	72	0	0	10	33	51	34	187	18	130	56	0	63	11	10	0
SP98841	47	8	97	0	0	0	14	28	0	6	9	0	32	0	28	28	67	2	2	10
SP98845	0	7755	60	0	0	0	437	0	485	0	0	0	0	0	0	0	477	0	0	0
SP98839	53	21	32	0	31	69	72	14	15	0	8	0	9	49	129	24	0	0	8	3
SP98843	33	7	88	0	25	0	0	56	40	39	14	0	13	0	0	9	89	0	8	9
SP98863	55	2	0	74	16	0	4	0	41	0	3	0	0	0	4	0	15	0	5	9
SP98891	92	29	120	9	67	51	56	0	0	0	36	0	14	0	0	10	71	7	22	20
SP98885	34	31	77	99	42	0	18	2	38	0	111	125	19	94	7	0	0	8	8	0
SP107047	108	14	139	48	62	113	50	39	0	24	45	9	23	12	31	9	65	2	14	0
SP107050	125	10	34	134	15	54	26	36	0	79	18	0	0	0	0	0	0	0	4	0
SP99261	24	19	88	0	46	62	38	29	21	0	22	148	23	20	35	0	0	0	8	18
SP107052	125	17	41	0	6	23	35	49	27	14	20	0	16	46	0	19	0	0	1	23
SP99269	91	13	80	59	30	45	17	36	0	59	16	0	18	0	2	16	0	0	2	0
SP99271	26	4	94	0	11	39	4	40	0	8	9	0	0	27	24	5	0	0	0	0
SP107056	222	24	144	115	45	53	34	0	7	38	34	0	19	0	0	67	111	1	12	0
SP107060	161	23	73	38	39	15	88	10	12	0	4	0	16	64	0	0	0	4	0	45
SP99279	126	8	99	45	47	10	75	23	27	8	26	0	1	0	55	7	0	3	0	26
