Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID13	ID14	ID19	ID25
DRUP01340013T	1149	2288	0	0	0	0	0	0	0	0	0	0
CPCT02080141T	842	1421	0	0	0	0	0	0	0	0	0	0
CPCT02010662T	349	599	0	0	0	0	0	0	0	759	0	829
CPCT02120069T	936	844	0	0	0	0	0	0	0	0	0	0
CPCT02100126T	1502	1889	0	0	0	0	0	0	0	0	0	0
CPCT02380021T	1211	1330	0	0	0	0	0	0	0	0	0	0
CPCT02020622T	2079	2237	0	0	0	0	0	0	0	0	0	0
CPCT02340034T	859	998	0	0	0	0	0	0	0	0	0	0
CPCT02210033T	1028	1268	0	0	0	0	0	0	0	0	494	0
CPCT02050163T	432	795	0	0	0	0	229	0	0	203	375	0
CPCT02030277T	873	2863	0	0	0	0	0	0	0	0	0	0
CPCT02100064T	705	782	0	0	0	0	0	0	0	0	0	0
CPCT02010569T	1511	2365	0	0	0	0	0	0	0	0	0	0
CPCT02110032T	354	102	0	0	0	0	163	214	0	0	0	0
CPCT02340011T	476	669	0	0	0	0	0	0	0	0	0	0
CPCT02330033T	346	469	0	0	0	0	0	0	0	643	0	0
CPCT02040119T	462	338	0	0	361	0	0	0	0	0	0	0
CPCT02020536T	257	560	313	0	0	0	257	0	0	409	0	0
CPCT02340012T	949	775	0	0	0	0	0	0	0	0	0	0
CPCT02020527T	314	132	0	0	0	0	0	168	0	0	0	0
CPCT02020526T	1608	788	0	0	0	0	0	0	0	0	0	0
CPCT02100098T	794	540	0	0	0	0	0	0	0	0	0	0
CPCT02230029T	766	981	0	0	0	0	0	0	0	0	0	0
CPCT02230030T	898	1472	0	0	0	0	0	0	0	0	0	0
CPCT02230034T	888	1020	0	0	0	0	0	0	0	0	0	0
CPCT02070034T	797	1064	0	0	0	0	0	0	0	0	0	0
CPCT02030363T	396	773	0	0	0	0	0	0	0	0	0	0
CPCT02230039T	1087	1984	0	0	1212	0	0	0	0	0	0	0
CPCT02080130T	618	844	0	0	0	0	359	0	0	0	507	0
CPCT02340019T	1294	1570	0	0	0	0	0	0	0	0	0	0
CPCT02050233T	391	995	0	0	650	0	0	0	0	0	0	0
CPCT02100044T	1681	1115	0	0	0	0	0	0	0	0	0	0
CPCT02050100T	572	901	0	0	0	0	0	0	0	0	0	0
CPCT02030243T	178	0	167	0	626	0	148	0	0	0	0	0
CPCT02050041T	1691	2315	0	0	0	932	0	0	0	0	0	0
CPCT02030310T	671	854	0	0	544	0	0	0	0	0	0	0
CPCT02220007T	681	775	0	0	0	0	0	0	0	0	0	0
CPCT02030307T	714	973	0	0	530	0	0	0	0	0	0	0
CPCT02030304T	558	328	0	0	0	0	0	0	0	0	0	0
CPCT02110018T	703	781	0	0	0	0	0	0	0	0	0	0
CPCT02100061T	419	848	0	0	0	0	0	0	0	285	0	0
CPCT02070120T	1183	975	0	0	0	0	0	0	0	0	0	0
CPCT02120011T	1201	1659	0	0	0	0	0	0	0	0	0	0
CPCT02120012T	1467	1585	0	0	0	0	0	0	0	0	0	0
CPCT02050147T	1344	1858	0	0	0	0	0	0	0	0	0	0
CPCT02030335T	1079	2057	0	0	0	0	0	0	0	0	0	0
CPCT02040108T	793	907	0	0	0	0	0	0	0	0	0	0
CPCT02400002T	613	904	0	0	0	0	0	302	0	0	0	0
CPCT02340041T	1429	2832	0	0	0	0	0	0	0	0	0	0
CPCT02380030T	535	617	0	0	0	0	0	0	0	0	0	0
