MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
4:Ins:R:3	0.00E+00	8.63E-06	3.83E-05	7.49E-06	3.63E-05	4.60E-05	7.38E-05	8.50E-06	1.05E-04	1.26E-05	2.99E-05	1.46E-04	1.75E-04	5.24E-05	1.98E-05	7.67E-05	6.20E-05
4:Ins:R:4	3.11E-06	1.79E-05	2.61E-05	3.48E-05	5.98E-05	9.46E-05	4.81E-05	2.00E-05	1.74E-04	1.33E-06	2.25E-04	2.83E-04	3.10E-04	5.95E-05	3.71E-05	0.00E+00	2.26E-04
4:Ins:R:5	0.00E+00	2.80E-05	1.26E-04	3.30E-06	5.96E-05	1.39E-04	9.57E-05	5.94E-06	2.00E-04	2.61E-06	2.11E-04	4.40E-04	2.73E-04	1.55E-05	1.69E-04	7.97E-05	4.06E-04
5:Ins:R:0	9.23E-10	2.22E-05	0.00E+00	5.51E-09	5.41E-03	4.56E-04	3.11E-03	4.94E-09	4.35E-04	2.13E-10	2.82E-09	2.97E-03	3.75E-08	1.34E-08	3.99E-09	1.31E-09	1.52E-05
5:Ins:R:1	7.93E-04	3.32E-05	3.57E-04	8.16E-04	1.08E-03	1.60E-03	5.29E-04	1.48E-04	1.61E-03	1.97E-04	5.30E-03	2.27E-03	1.45E-03	1.13E-03	1.18E-03	5.34E-04	9.96E-04
5:Ins:R:2	1.08E-05	1.94E-06	4.43E-05	2.68E-05	6.52E-05	1.12E-04	1.16E-04	5.37E-05	1.61E-04	3.09E-05	1.93E-04	3.14E-04	2.04E-04	1.26E-04	5.59E-05	3.54E-05	9.31E-05
5:Ins:R:3	2.20E-06	3.33E-06	1.69E-05	3.29E-05	8.56E-05	1.09E-04	3.70E-05	0.00E+00	1.83E-04	0.00E+00	1.89E-04	1.84E-04	1.03E-04	1.08E-04	7.35E-05	5.04E-05	5.76E-05
5:Ins:R:4	1.30E-06	4.29E-06	3.15E-05	1.03E-05	4.40E-06	1.97E-05	2.42E-05	2.88E-10	3.78E-05	0.00E+00	4.18E-05	7.84E-05	7.83E-05	6.53E-05	0.00E+00	7.29E-06	1.28E-04
5:Ins:R:5	4.93E-07	1.79E-08	2.92E-05	2.93E-06	1.37E-05	4.83E-05	1.36E-05	3.31E-10	7.78E-05	0.00E+00	5.79E-05	1.18E-04	2.58E-05	2.17E-05	8.70E-05	2.73E-05	6.49E-06
2:Del:M:1	2.92E-04	1.27E-04	3.00E-04	5.44E-04	6.69E-04	1.35E-03	3.07E-04	4.74E-04	1.21E-03	9.18E-04	1.50E-03	2.27E-03	9.96E-04	7.58E-04	7.30E-04	7.86E-04	1.44E-03
3:Del:M:1	7.68E-05	2.21E-05	1.15E-04	3.80E-04	1.70E-04	7.39E-04	2.19E-04	8.03E-05	5.76E-04	1.27E-04	1.32E-03	1.87E-03	1.59E-04	4.30E-04	3.04E-04	3.03E-04	4.34E-04
3:Del:M:2	5.89E-05	4.86E-05	6.85E-05	2.50E-04	2.44E-04	5.10E-04	1.44E-04	2.45E-05	6.19E-04	2.77E-04	8.31E-04	7.24E-04	4.00E-04	4.00E-04	4.53E-04	1.23E-03	6.87E-04
4:Del:M:1	5.50E-05	1.41E-05	1.28E-04	3.45E-04	3.16E-04	7.27E-04	2.61E-04	1.00E-05	8.88E-04	1.05E-04	6.72E-04	8.43E-04	4.90E-04	5.66E-05	5.33E-04	3.24E-04	5.66E-04
4:Del:M:2	2.10E-05	1.54E-05	1.16E-04	2.86E-04	2.33E-04	5.95E-04	7.60E-05	3.61E-05	4.42E-04	1.57E-04	3.68E-04	7.38E-04	3.38E-04	3.22E-04	2.01E-04	5.51E-04	4.37E-04
4:Del:M:3	1.45E-05	3.64E-05	1.43E-04	1.04E-04	9.73E-05	6.30E-04	1.97E-04	9.71E-05	8.49E-04	2.03E-04	7.05E-04	1.25E-03	3.01E-04	9.88E-05	2.79E-04	7.54E-04	8.48E-04
5:Del:M:1	9.62E-04	5.17E-05	5.62E-05	1.74E-03	1.82E-03	2.39E-03	1.35E-03	2.71E-04	2.43E-03	1.51E-04	2.51E-03	2.98E-03	1.08E-03	3.14E-03	1.49E-03	5.82E-04	1.48E-03
5:Del:M:2	5.42E-04	1.02E-05	2.08E-04	2.02E-03	1.31E-03	4.05E-03	6.73E-04	2.54E-04	5.33E-03	2.32E-04	1.71E-03	3.65E-03	8.51E-47	2.56E-03	1.66E-03	4.14E-04	2.81E-03
5:Del:M:3	2.33E-04	7.44E-06	1.97E-04	7.86E-04	6.55E-04	1.76E-03	1.96E-04	2.00E-04	2.00E-03	1.67E-04	1.69E-03	1.24E-03	3.96E-04	1.25E-03	5.68E-04	5.18E-04	8.75E-04
5:Del:M:4	6.34E-05	1.09E-05	1.26E-04	7.66E-04	2.67E-04	1.78E-03	2.22E-04	1.54E-04	1.94E-03	1.33E-04	5.52E-04	1.27E-03	9.67E-05	1.08E-03	5.76E-04	2.65E-04	1.30E-03
5:Del:M:5	3.99E-04	3.30E-05	0.00E+00	3.40E-04	8.07E-05	2.07E-04	3.72E-05	2.20E-04	5.70E-04	1.88E-04	2.95E-04	5.17E-04	1.22E-04	5.54E-03	3.79E-04	1.20E-08	3.12E-04
