Samples	ID83A	ID83B	ID83C
CPCT02020492T	9.52E-01	1.30E+00	1.16E+00
CPCT02030327T	1.01E+00	1.46E+00	1.15E+00
CPCT02020503T	1.33E+00	2.17E+00	1.98E+00
CPCT02380029T	5.30E+01	5.38E+01	8.21E+00
CPCT02020636T	1.21E+00	1.90E+00	1.86E+00
CPCT02130013T	1.27E+00	2.12E+00	1.84E+00
DRUP01110002T	5.27E+01	5.12E+01	7.99E+00
WIDE01010639T	1.65E+00	1.97E+00	1.40E+00
DRUP01010167T	2.86E+01	2.84E+01	3.96E+00
WIDE01010570T	2.03E+00	2.35E+00	2.01E+00
