Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP112215	19	80	224	31	96	6	18	63	28	0	38	36	4	28	4
SP112217	36	103	214	0	65	68	103	145	33	0	113	0	12	20	5
SP98975	10	31	90	0	32	20	46	21	27	75	4	19	0	0	2
SP112219	54	35	161	0	14	127	127	138	108	198	25	10	0	0	2
SP112221	6	43	43	0	27	58	0	28	0	0	6	15	9	0	0
SP112228	34	112	170	0	39	15	55	20	74	0	49	35	36	18	8
SP50099	25	166	127	0	16	0	36	27	22	234	43	0	18	14	9
SP98981	34	38	63	21	0	17	31	36	17	152	14	0	39	13	6
SP112234	43	115	218	38	86	0	59	86	67	77	30	0	78	32	2
SP98985	18	98	190	103	70	82	39	34	24	97	0	0	4	5	1
SP112237	38	103	0	0	96	107	7	0	7	43	15	0	17	2	1
SP98989	10	133	46	0	0	0	0	61	15	19	14	33	5	0	1
SP112241	7	139	13	242	5	0	62	10	49	0	12	0	15	0	0
SP112245	20	49	33	33	62	0	37	0	10	39	4	0	0	7	1
SP98991	19	48	0	0	26	77	48	0	14	0	10	33	11	0	3
SP112248	37	105	139	0	46	0	124	56	67	0	40	58	21	25	2
SP112051	41	115	100	67	29	73	79	99	98	0	43	0	18	0	9
SP98997	25	0	223	303	65	0	61	77	122	0	58	0	0	24	3
SP112252	63	163	96	50	83	27	41	88	44	216	7	0	32	11	0
SP99001	7	73	32	0	78	0	8	11	30	0	11	38	27	0	0
SP112257	0	0	1	12	30	0	3	2	0	0	0	0	0	0	0
SP99007	28	106	21	0	76	10	34	19	17	0	17	0	49	7	0
SP112261	11	30	20	0	54	37	42	31	0	0	6	74	2	0	3
SP50101	15	57	48	0	75	84	40	59	12	0	21	69	20	11	4
SP112265	23	133	0	21	66	45	36	52	77	0	29	15	14	39	3
SP112268	26	61	124	117	87	0	54	23	41	0	48	143	4	45	3
