Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02230115T	144	0	0	185	130	7	41	0	4	40	0	0	21	12	13	9	0	0
CPCT02010902T	0	0	473	66	117	11	6	0	0	12	0	50	6	0	5	53	45	0
CPCT02290056T	0	40	230	0	46	180	69	0	106	171	79	0	0	0	46	3	1	0
CPCT02130152T	12	11	61	0	49	5	0	0	34	56	0	13	11	15	8	2	0	0
DRUP01170003T	3	0	14	52	47	254	9	0	22	0	79	0	10	15	1	0	0	0
DRUP01010095T	42	0	623	110	16	14	3	0	0	10	101	0	6	0	8	72	0	0
DRUP01030024T	261	86	0	323	127	59	2	0	15	93	0	0	0	44	3	28	0	0
CPCT02040292T	58	26	288	0	303	63	12	0	0	53	0	0	41	13	2	70	38	11
DRUP01050035T	983	0	335	0	106	151	148	0	166	11	63	0	299	84	42	0	0	0
CPCT02020577T	0	0	148	0	119	33	0	91	44	34	0	29	0	92	8	21	0	0
CPCT02050263T	210	0	256	0	38	13	26	0	24	0	26	0	11	57	14	37	0	128
DRUP01010108T	1775	0	1230	675	39	27	159	0	36	0	258	933	0	97	186	0	0	0
DRUP01010109T	34	0	183	0	14	0	35	0	20	22	3	0	0	50	16	8	0	117
DRUP01010113T	9	41	73	0	0	83	50	0	76	352	87	0	5	86	13	70	34	0
CPCT02120059T	15	0	937	0	105	63	39	0	0	54	12	376	0	17	94	0	102	0
CPCT02170010T	4	18	70	4	131	107	39	0	22	71	70	0	30	16	19	0	0	0
CPCT02030398T	115	0	234	0	101	12	9	6	26	22	15	56	0	0	22	48	0	0
CPCT02050250T	181	0	228	15	42	3	1	0	20	34	18	0	26	0	20	0	0	0
CPCT02050076TII	71	0	159	260	32	11	0	145	0	11	103	312	0	0	7	0	73	0
CPCT02050182T	28	0	0	214	9	15	30	0	27	20	69	0	10	0	10	13	3	0
CPCT02070187T	55	0	312	128	66	14	12	0	6	9	64	0	0	17	17	0	0	0
CPCT02030373T	733	0	338	0	87	39	158	422	11	14	94	2	0	171	8	0	0	0
CPCT02020589T	42	0	85	93	87	319	44	0	34	11	87	0	0	0	8	22	0	0
CPCT02040154T	92	0	212	41	58	6	14	7	19	48	42	0	17	26	1	42	0	0
CPCT02050091T	23	0	50	0	33	11	7	0	26	5	1	0	7	14	10	0	56	41
CPCT02020406T	0	62	92	29	40	10	36	0	8	15	9	0	0	46	6	47	0	0
CPCT02020405T	119	0	262	213	73	173	11	67	29	0	7	0	1	0	4	19	0	0
CPCT02070052T	70	30	234	8	44	8	15	204	16	23	29	0	17	34	15	28	0	0
CPCT02060063T	117	0	39	0	148	976	59	225	0	119	0	0	0	14	146	0	0	0
