rowname	C_ID1	C_ID2	C_ID3	C_ID4	C_ID5	C_ID6	C_ID7	C_ID8	C_ID9	C_ID10	C_ID11	C_ID12	C_ID13	C_ID14	C_ID17	C_ID18	C_ID19	C_ID23	ID_A	ID_B	ID_C	ID_D	ID_E	ID_F	ID_G	ID_H	ID_I	ID_J	ID_K	ID_L	ID_M	ID_N	ID_O	C_ID16	C_ID15	ID_P
INS:repeats:5+:1	0.003466175	0.000128585	0.001529307	0.001833589	0.009408263	0.010886564	0.000310415	0.012116878	0.019433737	0.155639603	0.001245715	0.006748574	0.021770245	0.030375844	0.004278624	0.002205981	0.014278444	0.001554805	0.006851937	0.00454957	0.009145273	0.012812828	0.004488344	0.002821171	0.004428746	0.019558494	0.000349913	0.001196816	0.000350977	0.002982099	0.018246724	0.000405117	0.004208706	0	0	0.007844113
INS:repeats:5+:2	0.000486297	6.37E-05	3.07E-05	7.96E-05	0.000160533	0.001162443	1.49E-05	0.000175555	0.000888287	0.003189321	0.000259685	0.003133695	0.000133687	0.002088392	0.000562615	0.000554967	0.001214168	0.000300872	0.000358352	0.00020083	0.002848905	0.000922518	0.000487374	0.00040737	0.000808512	0.001672829	8.84E-05	0.000639291	7.14E-05	0.001028708	0.000100537	0.000513571	0.009478746	0	0	0.000349295
INS:repeats:5+:3	0.000148627	4.47E-05	2.43E-05	0.000105651	3.38E-05	5.32E-05	1.29E-05	0.000165195	0.000680633	0.000197948	7.32E-07	0.001689342	7.01E-05	0.000470649	1.74E-06	0.000448775	0.002988544	1.60E-05	0.000235107	0.00011823	0.000520123	0.001220027	0.00027497	0.000425739	0.000390703	0.001219068	0.000203806	0.000930206	4.63E-05	0.001493578	6.34E-05	0.000531454	0.004891251	0	0	0.000221585
INS:repeats:5+:4	0.000405911	1.51E-05	2.02E-05	8.89E-05	1.64E-05	4.53E-05	2.18E-05	8.17E-05	0.000491005	0.00061296	8.65E-07	0.000525425	1.99E-05	1.69E-06	0.000283345	5.87E-05	0.000342621	3.37E-05	0.000344369	3.085E-05	0.000608062	0.000368712	0.000252061	9.19E-05	0.000284199	0.000926489	0.000114466	0.000996281	5.70E-05	0.001415919	9.44E-05	0.000527849	0.001808773	0	0	0.000211156
INS:repeats:5+:5+	0.000116685	2.12E-05	1.08E-05	0.000181001	2.20E-05	7.92E-05	2.78E-05	0.000126734	0.002405804	0.000345499	9.32E-07	0.001521174	7.63E-05	0.000480093	6.04E-07	0.000199413	0.000129245	1.79E-05	0.00019922	3.049E-05	0.00023186	0.000360381	0.000178748	0.000148708	0.000236328	0.000380837	0.000186124	0.000645786	9.74E-05	0.001763036	7.66E-05	0.000517321	0.000796278	0	0	0.000250634
DEL:MH:2:1	0.002496297	0.000940348	0.008983499	0.108186191	0.023905926	0.002678666	0.00687495	0.00840557	0.008699651	0.011129513	0.000207575	0.011696937	0.007679006	0.002193545	0.016590892	0.018652669	0.022153051	0.04667617	0.034255825	0.0272061	0.012382298	0.005856498	0.010346257	0.257351509	0.007450206	0.014071234	0.010325233	0.007118932	0.001096905	0.003345831	0.013358297	0.003661482	0.000630377	0	0	0.003349101
DEL:MH:3:1	0.000774586	9.46E-05	0.000673167	0.006180236	0.010372151	0.004161592	0.000469829	0.004805838	0.002789848	0.005476813	0.000250634	0.00510234	0.002508294	0.001584336	0.014864562	0.003800374	0.007042761	0.002838201	0.004339229	0.01788068	0.002946586	0.001467531	0.001386046	0.002864909	0.001210386	0.006829048	0.000253129	0.001115777	0.000203303	0.003636239	0.002808854	0.000799849	0.00022643	0	0	0.000467129
DEL:MH:3:2	0.001599206	0.000119483	0.000425311	0.070602157	0.007654744	0.005730089	0.006512884	0.003675813	0.001994157	0.009665286	0.000230202	0.007677229	0.001483225	0.00132216	0.006819901	0.006192529	0.001791047	0.001878887	0.004611808	0.01091241	0.004544441	0.002882006	0.003600522	0.013273681	0.001213581	0.00531617	0.007184389	0.002728332	0.00079467	0.002356133	0.002696716	0.001886843	0.000337277	0	0	0.001471012
DEL:MH:4:1	0.001100107	0.000540217	0.00033447	0.011513382	0.007134629	0.005131884	0.000488827	0.005242113	0.001884028	0.001904744	2.13E-06	0.004649272	0.001553848	0.001964352	0.024147037	0.004650075	0.005591413	0.004207121	0.002574455	0.01379306	0.002723222	0.001953888	0.003607587	0.004240072	0.001018467	0.002654027	0.000202875	0.003225871	0.000437512	0.002154942	0.005616161	0.001774062	0.000195795	0	0	0.00039201
DEL:MH:4:2	0.001006159	5.97E-05	0.000198441	0.028876859	0.005657737	0.009622165	0.001681024	0.003519528	0.010636842	0.002846363	2.26E-06	0.006980438	0.000606738	0.0003483	0.015446796	0.00447951	0.001854896	0.002081623	0.002478128	0.00810491	0.002497544	0.001333912	0.0014039	0.010488549	0.000807411	0.004029364	0.000226141	0.00123501	0.000442014	0.003453831	9.82E-05	0.000954887	6.88E-06	0	0	0.00061301
DEL:MH:4:3	0.001661572	0.000161176	0.000143153	0.044166303	0.004481372	0.005017794	0.002664531	0.002044954	0.003045174	0.004963174	0.000760753	0.002548371	0.000176257	0.00049884	0.003166975	0.002578274	0.005286174	0.002935701	0.001862964	0.00518544	0.00466942	0.002702108	0.002764257	0.019568708	0.001867911	0.000972155	0.000282909	0.001606203	0.00054259	0.002433069	0.002622474	0.001144105	0.000175372	0	0	0.000668798
DEL:MH:5+:1	0.003079477	0.000588047	0.00497449	0.004537186	0.041157727	0.10083829	0.000301743	0.242515569	0.008351448	0.032477228	0.000190205	0.016189568	0.038460892	0.009318125	0.052062299	0.009387127	0.041704177	0.006507377	0.0049305	0.109362781	0.007431276	0.01046652	0.005295846	0.015649466	0.003722559	0.095693973	0.006726524	0.005607513	0.000498315	0.010670322	0.00992766	0.003106808	0.000362657	0	0.000685589	0.002304148
DEL:MH:5+:2	0.002826935	4.42E-05	0.004113187	0.003846924	0.023070511	0.216152157	0.000611761	0.14868303	0.007277899	0.020276578	0.000442902	0.005187356	0.022461927	0.005552084	0.046559897	0.005434865	0.018046929	0.008357437	0.004376189	0.063504861	0.00560564	0.012392627	0.003212871	0.013212222	0.008124977	0.062888519	0.003333482	0.000574659	0.000424344	0.007964183	0.004825011	0.000349592	0.00018218	0	0.000411353	0.002163122
DEL:MH:5+:3	0.001724652	0.000119617	0.002466694	0.006000908	0.011537841	0.172525775	0.000382593	0.072821662	0.003934587	0.013073435	0.000739256	0.008019561	0.009897625	0.004943299	0.027901152	0.006221109	0.002742341	0.002726288	0.002733331	0.03002285	0.005895382	0.006519581	0.003990456	0.011157781	0.007313659	0.042844235	0.00034433	0.001341599	0.00046704	0.015476861	0.002542817	0.001346735	0.000196091	0	0.000274236	0.00152811
DEL:MH:5+:4	0.000738163	4.17E-05	0.001312725	0.005506749	0.005128604	0.097218799	0.000368204	0.029210468	0.004544946	0.009480375	0.000235926	0.000988687	0.004446477	0.000546906	0.009920926	0.002520899	0.010678821	0.001092423	0.003000391	0.01271661	0.004007877	0.002536729	0.002737096	0.00679034	0.0029328	0.03313816	0.000335954	0.000582963	0.000222754	0.010233265	0.000116004	0.000386224	0.000216662	0	0.000274236	0.000854455
