rowname	InsDel1a	InsDel1b	InsDel1c	InsDel1d	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4a	InsDel4b	InsDel5a	InsDel5b	InsDel6	InsDel7	InsDel8	InsDel9	InsDel11	InsDel12	InsDel13	InsDel14	InsDel15	InsDel16	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel19c	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_J	InsDel_K_beta	InsDel_N	InsDel_O
G[Del(C):R3]T	0.000316908	0.00000533	0.000244435	0.000493073	0.000636033	0.00004798	0.00016987	0.00558456	0.008486128	0.000929713	0.00105055	0.0041765	0.003799825	0.000948986	0.00015176	0.00105779	0.003868357	0.00002807	0.000996852	0.00044949	0.00052175	0.021801728	0	0.00065017	0.00022296	0.000945107	0.000866807	0.00067246	0.008002387	0.001335314	0.002435155	0.000503545	0.000923064	0.0001104	0.001767203	0.001275969	0.000033625	8.18607762126119E-05	7.54830905011214E-05	0.000120301
G[Del(C):R4]A	0.000219473	0.00012705	0.00090197	0.001599587	0.000379825	0.0001631	0.0024558	0.00525984	0.006480025	0.000620978	0.00081979	0.00168551	0.004005906	0.000673212	0.000492536	0.000661612	0.001629902	0.00003598	0.001300399	0.000145955	0.00032769	0.020019196	0	0.000209018	0.000205023	0.000898511	0.000692587	0.00024128	0.003528618	0.000763754	0.001043855	0.000546388	0.00061323	0.00040662	0.00154286	0.002656167	0.00026772	0.000143171	0.000321304	0.000144941
G[Del(C):R4]G	0.000123398	0.00000329	5.55344805902468E-05	0.000338293	0.000475668	0.00003059	0.00125262	0.00089093	0.001109336	0.000151575	0.00010298	0.00040258	0.000677147	0.000329362	0.000204909	0.000263609	0.000599022	0.00000327	0.001190615	0.00022607	0.00002389	0.008364185	0	0.000220275	0.000365853	0.000372841	0.000252213	0.00019163	0.000442626	0.000988104	0.000385175	0.0000513825	0.000184678	0.00002048	0.000803352	0.000640937	0.0001148	7.25520365175777E-05	0.000237856	6.53738644242851E-05
G[Del(C):R4]T	0.000216624	0.00005333	0.000499393	0.000468878	0.00030054	0.00009037	0.00067009	0.00280601	0.003642839	0.000242078	0.00025144	0.00205352	0.002087626	0.000650642	0.000529473	0.000569912	0.001896606	0.00001945	0.000573683	0.000554725	0.00022697	0.014123132	0	0.000458419	0.000141196	0.000710584	0.00043738	0.00021804	0.00331369	0.000513107	0.001587985	0.00039335	0.00051879	0.00014078	0.001872959	0.000812231	0.000155705	0.000176461	0.000185003	0.000118583
G[Del(C):R5]A	0.000182919	0.0000932	0.000763134	0.000466232	0.000508983	0.00046838	0.00240263	0.00345605	0.005339619	0.000678958	0.00123037	0.00073605	0.002639911	0.000517274	0.001435979	0.00036825	0.002205219	0.00002394	0.001602188	0.000517925	0.00004008	0.014123132	0	0.000214647	0.00017506	0.000935746	0.000301085	0.00040763	0.001470361	0.001059162	0.000697825	0.000351945	0.000581685	0.0002349	0.002200061	0.00081898	0.00058945	0.000301185	0.001121771	0.000130882
G[Del(C):R5]G	0.000015265	0.00001321	8.2545144027971E-05	7.05496825275355E-05	0.000370598	0.00004037	0.00065343	0.00037793	0.001037186	0.0000924725	0.00017851	0.00013802	0.000352838	0.00025692	0.000590234	9.14630279879599E-05	0.000484272	0.0000074	0.000295135	0.00024901	0.00010257	0.0061703	0	3.27871808680242E-06	3.89456825040405E-05	0.000124662	0.00004954625	0.00003988	0.000276335	0.000236277	0.000275945	0.00011729	0.000206528	0.0000332	0.00041514	0.000770802	0.000237375	4.52027409981642E-05	0.000381168	4.19921775733945E-05
G[Del(C):R5]T	0.000345486	0.00000089	0.000281881	0.000561785	0.0001315	0.00042572	0.0019047	0.00181487	0.003078793	0.00036098	0.00091283	0.00078584	0.001458365	0.000166389	0.001472939	0.000342926	0.001390025	0.00003296	0.000114394	0.000220475	0.00014251	0.00987248	0	1.2131256921169E-05	0.000302363	0.000501515	0.000233078	0.00002853	0.000659359	0.000282931	0.000527885	0.000199325	0.000274185	0.0000404	0.000255164	0.000659074	0.000623145	0.000222053	0.000865611	0.000128808
G[Del(C):R6]A	0.00008062625	0.00009285	0.000890082	0.000758658	0.000099675	0.0007325	0.00316235	0.00212223	0.002529849	0.00022374	0.00017323	0.00025652	0.001320843	0.00027639	0.001854083	0.000189462	0.000766863	0.00003748	0.000509238	0.00010484	0.00038936	0.005210476	0	3.13664030304098E-05	0.000283167	0.000740438	0.000328892	0.00016979	0.000420666	0.000842601	0.000495545	0.0000679775	0.000680946	0.00008721	0.000277377	0.00014894	0.00107948	0.000269299	0.001787271	0.00015065
G[Del(C):R6]G	0.000034068125	0	8.98500240304463E-05	7.84746233323229E-05	0.0004319	0.00003735	0.00077105	0.0001543	0.000674704	0.000158773	0.00012501	0.0000603	0.000153319	0.0000686909375	0.000894283	0.00012035	0.000268451	0.00000995	0.000145761	0.000199595	0.00004162	0.001096942	0	9.01647473870666E-06	9.35036860231211E-05	0.000272335	0.000138484	0.00019225	4.1743914268253E-05	0.000466244	0.00015969	0.00009412	6.74088933692593E-05	0.00015507	0.000221266	0.000405436	0.0005204	5.27807099961316E-05	0.000583866	4.63502556770017E-05
G[Del(C):R6]T	0.000041559375	0.00002993	0.000446215	0.000407659	0.000219685	0.00019985	0.00136366	0.00071587	0.000960218	0.00010489	0.00023197	0.00016347	0.000417197	0.000139508	0.001399312	0.000237143	0.000824285	0.00002836	0.000494885	0.00008841	0.00011863	0.002605238	0	2.50821933640385E-05	9.45952052605757E-05	9.33726457617453E-05	0.000052645	0.00009044	0.000293216	0.000805122	0.000065945	0.0000561375	0.000117342	0.00048984	0.000225268	0.000463503	0.000501275	0.00010751	0.00089519	8.71344091404635E-05
