rowname	InsDel1a	InsDel1b	InsDel1c	InsDel_P	InsDel1d	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel19c	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K_alpha	InsDel_K_beta	InsDel_L	InsDel_M	InsDel_N	InsDel_O	InsDel15	InsDel16
"C[Del(T):R(8,)]C"	0.007237806	0.003433667	0.013708491	0.031156715	0.0017898	0.062124495	0.000884341	0.148840285	0.001599057	0.000649007	0.008454294	0.000268309	0.000267726	0.00020042	0.058556088	0.0003579	0.002108294	0.002554396	0.000714531	0.000924927	0.00042974	0.026990172	0.000476611	0.00079989	0.002788222	0.000510884	0.004026167	0.001852214	0.001640485	0.003301178	0.000251178	0.001258401	0.005021606	0.001088713	0.000233836	0.007378471	0.001299055	8.83E-06	0.074997735	3.15E-06	0.002282759	0.003536894	0.033669962	0.074997735	0.002258726	0	0
"C[Del(T):R(8,)]G"	0.003973128	0.001082009	0.00313755	0.020950127	0.00023077	0.030033431	0.004385939	0.027030788	0.000736289	0.000249204	0.002819029	0.000170391	7.10E-05	0.000446036	0.089304892	0.000602333	0.000259826	0.000848858	0.000222137	0.000707649	7.43E-05	0.002884012	0.000602198	0.000681603	0.002691821	0.000859776	0.001498111	0.000574445	0.001207586	0.001327815	0.000321105	0.000421766	0.003054313	0.002135349	0.000887299	0.001415817	0.000852864	0.003398661	0.069848437	6.31E-06	0.002123176	0.009466624	0.203789358	0.069848437	0.000335407	0	0
"G[Del(T):R(8,)]A"	0.004585693	0.007057545	0.001966395	0.011329961	0.00303352	0.036871546	0.001541051	0.081091623	0.000661076	0.000209783	0.00502992	4.40E-05	0.00010254	0.000129138	0.03072455	0.000131227	0.002098333	0.000898727	0.001023377	0.000793505	0.000582361	0.016628413	0.000407345	0.000560292	0.002036423	0.000514481	0.003897522	0.000470009	0.0010436	0.001017037	0.000121525	0.001656033	0.003485514	0.000360393	0.000435503	0.002039244	0.000731013	6.31E-06	0.044708381	4.73E-06	0.002300648	0.004396708	0.010123737	0.044708381	0.002575258	0	0
"G[Del(T):R(8,)]C"	0.004547021	0.001761066	0.005318221	0.011414058	0.002539993	0.043843968	0.000553413	0.094272707	0.000990455	0.000296184	0.004541121	6.29E-05	0.000126243	0.000262716	0.018049136	0.000350176	0.001164729	0.000826996	0.000495373	0.000826884	0.000178179	0.014084562	0.000176844	0.000733313	0.00312076	0.000432492	0.005091092	6.50E-05	0.000541986	0.001462239	0.000249487	0.001511614	0.002348957	0.000649677	0.000179584	0.006697313	0.001879002	0.003271243	0.038414442	4.10E-06	0.001848935	0.002902269	0.004741302	0.038414442	0.002509461	0	0
"G[Del(T):R(8,)]G"	0.003596779	0.000526288	0.001282457	0.007274133	0.000253238	0.022055082	0.000464762	0.044995665	0.000461775	0.000174169	0.001789865	0.000110275	0.000132478	0.000157512	0.026560058	0.000220856	0.000301947	0.000334319	0.000240207	0.000396519	5.05E-05	0.00662578	0.000458893	0.000643208	0.001689203	0.00084719	0.00142008	0.000180253	0.001073254	0.001197561	0.00016604	0.007134772	0.001856327	0.001109198	0.000321798	0.001328444	0.001425555	1.26E-05	0.034138039	3.47E-06	0.001698364	0.003869166	0.034919375	0.034138039	0.001044951	0	0
A[Ins(C):R0]A	0.001111745	0.039819276	0.000701855	0.002998533	0.003412044	0.003289694	0.000100571	0.000634782	0.00054381	0.00074752	0.00010574	0.000566069	0.001316043	0.001420783	8.05E-05	0.001495695	0.001200065	0.004050816	0.000251658	0.000631342	0.00603553	0.14359906	0.000183409	0.003092502	0.001602703	0.000758524	0.002401261	0.000721807	0.001212885	0.000629657	0.000585988	0.009328259	0.313045915	0.003348127	0.000531283	0.002261548	0.003282882	0.044731381	3.67E-05	0.000815237	0.001975136	0.005403763	0.005432213	3.67E-05	0.000347146	0	0.025806452
A[Ins(C):R0]T	0.000182533	0.001031718	8.74E-05	0.000197199	0.000172506	0.000836329	4.07E-05	2.08E-05	0.000870959	0.00142251	6.56E-05	0.000135056	0.000660173	0.000551876	9.86E-06	0.000259581	0.000468836	0.001104665	1.19E-06	0.00057413	0.00068688	0.078567792	0.000231793	0.002050121	0.001040844	0.001157456	0.002142068	0.000817001	0.000799387	0.000949889	8.37E-05	0.002041407	0.220654597	0.000272312	0.000200294	0.000668134	0.000730542	0.032577444	4.41E-06	2.84E-06	0.001925863	0.025149582	3.48E-06	4.41E-06	6.63E-05	0	0.032258065
"Ins(C):R(0,3)"	0.007069317	0.005636979	0.004550555	0.00614405	0.004621492	0.004940738	0.001135401	0.002374272	0.016576002	0.020662303	0.002844703	0.017313727	0.014218505	0.002455726	0.001119364	0.006842331	0.015942906	0.022119837	0.382398403	0.002588943	0.020755797	0.026902471	0.045976445	0.000741252	0.022036804	0.014945722	0.028802123	0.009046237	0.001598597	0.00415287	0.013006064	0.028140305	0.063172584	0.350091337	0.001188934	0.011955205	0.020042648	0.07425331	0.000420018	0.000435844	0.006066167	0.009820155	0.007164965	0.000420018	0.004722576	0	0.505990783
"Ins(C):R(4,6)"	0.007038358	0.003018875	0.026100209	0.009180012	0.001330926	0.004832144	0.016176015	0.006924639	0.009164435	0.012319238	0.000402282	0.001709774	0.005628034	8.55E-05	0.006415454	0.000905399	0.002000008	0.00929486	0.019089515	0.001690254	0.003535908	0.001895987	0.009108641	0.000356506	0.008380979	0.005749168	0.004263183	0.000853072	0.001018105	0.002209313	0.001564648	0.008899598	0.000426013	0.0447052	0.000268949	0.006549379	0.003079514	1.26E-05	0.003920436	3.47E-06	0.004573641	0.556413533	4.48E-06	0.003920436	0.012697553	0	0.004608295
"Ins(C):R(7,)"	0.015130889	9.64E-05	0.012832115	0.009879531	0.001603204	0.009188096	0.00216048	0.013045631	0.001888841	0.000390356	0.000159222	0.000149968	0.00226867	4.53E-05	0.006459067	0.000149302	0.000166302	0.007675901	8.60E-07	0.001635371	0.001196237	0.004010091	0.000224779	0.000255251	0.006274367	0.003302112	0.002629799	0.001701573	0.001211292	0.001503621	0.00094863	0.002739369	0.000509103	0.012696134	0.001095511	0.002736584	0.003911206	1.89E-05	0.004468669	0.000540232	0.001225254	0.025438549	1.99E-06	0.004468669	0.028464356	0	0
