	SP90989	SP117290	SP116797	SP84743	SP84982	SP9816	SP124439	SP107363	SP97194	SP5559	SP28659	SP107439	SP102581	SP23925	SP2293	SP53810	SP52667	SP79243	SP116578	SP121761	SP80754	SP96116	SP102133	SP30113	SP67609	SP116276	SP50097	SP116919	SP114898	SP81312	SP92364	SP125584	SP22031	SP26649	SP8831	SP99013	SP107784	SP94741	SP90629	SP94933	SP2155	SP85818	SP1305	SP56553	SP62616	SP107371	SP29559	SP84384	SP57189	SP48189	SP102973	SP69077	SP112907	SP27825	SP55235	SP80615	SP125778	SP80217	SP21017	SP111114	SP54113	SP25494	SP103894	SP82103	SP56704	SP53618	SP116715	SP124369	SP102045	SP79427	SP111031	SP18787	SP31126	SP93540	SP90125	SP94348	SP79998	SP111175	SP107012	SP112290	SP93227	SP77956	SP21400	SP116520	SP112985	SP49229	SP114980	SP96118	SP110847	SP99325	SP114916	SP99329	SP99197	SP59368	SP101740	SP69898	SP17172	SP81137	SP17905	SP89909	SP31030	SP111119	SP102143	SP33688	SP110851	SP102897	SP123846	SP86775	SP114968	SP57629	SP16886	SP19295	SP63546	SP116819	SP102035	SP114973	SP125746	SP125732	SP114917	SP114937	SP114944	SP112777	SP124384	SP114903	SP975	SP105018	SP135287	SP90209	SP59803	SP94332	SP92659	SP112947	SP116545	SP23502	SP25350	SP49114	SP116365	SP123975	SP98953	SP5052	SP23775	SP59448	SP116676	SP111170	SP116589	SP101670	SP103080	SP107076	SP110242	SP125752	SP84392	SP96126	SP95126	SP24135	SP1365	SP57735	SP102957	SP3631	SP18310	SP112817	DRUP01010025T	CPCT02050439T	CPCT02340026T	CPCT02340014T	DRUP01330020T	CPCT02070336T	CPCT02050424T	CPCT02340081T	CPCT02020865T	DRUP01030028T	CPCT02020597TII	DRUP01340014T	WIDE01010510T	CPCT02100089T	CPCT02080153T	CPCT02020815T	CPCT02120078T	CPCT02450014T	CPCT02020413T	CPCT02070357T	CPCT02070053T	CPCT02010605T	CPCT02100101T	CPCT02040317T	CPCT02030278T	CPCT02250003T	DRUP01030015T	CPCT02050117T	CPCT02070466TII	WIDE01010470T	CPCT02210064T	CPCT02010648T	DRUP01050003T	CPCT02100090T	CPCT02050149T	DRUP01020002T	CPCT02030351T	CPCT02020476T	DRUP01010142T	WIDE01010075T	CPCT02130170T	WIDE01010028T	CPCT02080273T	CPCT02220047T	CPCT02100092T	CPCT02140107T	CPCT02050436T	CPCT02080045T	CPCT02070436T	CPCT02010408T	CPCT02060033T	CPCT02010523T	CPCT02020436T	DRUP01010022T	CPCT02040329T	CPCT02050104T	CPCT02010772T	CPCT02070465T	CPCT02030430T	CPCT02030516T	CPCT02030421T	CPCT02220023T	CPCT02010579T	CPCT02340022T	CPCT02160003T	CPCT02030447T	CPCT02060013T	CPCT02020561T	DRUP01230001T	CPCT02130140T	DRUP01340003T	CPCT02050349T	WIDE01010372T	CPCT02080157T	CPCT02440020T	CPCT02360007T	CPCT02060224T	CPCT02020413TII	CPCT02220069T	CPCT02050385T	CPCT02050211T	WIDE01010208T	WIDE01010040T	CPCT02340010T	CPCT02010867T	CPCT02310017T	CPCT02120032T	CPCT02340030T	CPCT02030532T	CPCT02150052T	DRUP01070080T	CPCT02100141T	CPCT02130144T	CPCT02130131T	CPCT02220045T	CPCT02160058T	CPCT02210016T	CPCT02040280TII	CPCT02130146T	WIDE01010134T	CPCT02010635T	WIDE01010556T	CPCT02370010T	CPCT02380029T	CPCT02380026T	CPCT02070024T	CPCT02060054T	CPCT02050370T	CPCT02010373T	WIDE01010071T	CPCT02130184T	CPCT02070373T	CPCT02140057T	CPCT02070069TII	CPCT02010786T	CPCT02011068T	CPCT02120021T	CPCT02180025T	CPCT02080110T	CPCT02180009T	CPCT02090032T	CPCT02160021T	DRUP01030018T	CPCT02160034T	CPCT02450007T	DRUP01010078T	CPCT02340110T	CPCT02070043T	CPCT02180033T	CPCT02060264T	CPCT02070192T	CPCT02060265T	CPCT02070058T	CPCT02060140T	CPCT02040114T	WIDE01010026T	CPCT02100044T	CPCT02060225T	DRUP01070015T	CPCT02040299T	CPCT02080078T	CPCT02030451T	CPCT02050390T	CPCT02190055T	CPCT02011010T	CPCT02070244T	CPCT02070353T	CPCT02060291T	CPCT02020789T	CPCT02070131T	CPCT02070450T	CPCT02070145T	DRUP01040016T	CPCT02110059T	WIDE01010539T	CPCT02010486T	WIDE01010016T	CPCT02080120T	CPCT02310006T	CPCT02050170T	CPCT02010530T	DRUP01050017T	CPCT02040113T	CPCT02240008T	CPCT02060246T	CPCT02010715T	CPCT02010662T	CPCT02140012T	CPCT02090019T	CPCT02080294T	DRUP01070038T	WIDE01010565T	WIDE01010404T	DRUP01070009T	CPCT02050192T	CPCT02010505T	CPCT02050089T	WIDE01010228T	DRUP01010106T	CPCT02020599T	CPCT02180068T	CPCT02020428T	CPCT02390002T	DRUP01340015T	CPCT02010794T	CPCT02370012T
Del5:U5:R(5,9)	8	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	4	0	0	1	0	1	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	6	0	14	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	9	0	0	0	10	0	6	0	0	0	0	8	1	0	1	0	5	1	0	4	0	4	0	0	0	0	0	16	0	4	1	0	0	0	9	0	8	1	1	0	0	0	0	0	0	9	0	0	0	0	0	1	1	47	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	7	0	0	0	0	1	0	0	0	0	0	2	0	0	19	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2
Del(6,):U1:R(7,9)	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Del(6,):U2:R(4,9)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	13	2	0	0	18	1	0	0	1	1	0	0	0	0	1	0	0	3	0	0	0	2	2	0	1	2	0	0	0	0	0	2	1	0	0	0	0	1	5	0	0	0	17	0	0	1	1	0	2	1	1	0	0	0	0	1	0	0	4	1	0	0	0	0	0	1	1	0	3	4	0	0	0	5	0	4	0	0	1	0	9	0	1	2	1	1	1	0	4	1	29	0	0	0	0	1	34	0	3	1	0	0	0	15	2	2	0	0	0	0	0	0	0	1	11	2	0	0	0	0	0	1	49	1	1	1	1	0	0	0	3	0	0	0	1	1	0	1	7	0	0	0	0	0	0	0	1	0	0	1	1	0	19	1	0	1	1	0	1	3	1	28	0	0	0	0	0	0	0	0	4	1	0	1	2	0	1	2	0	0	0	0	0	0	1	2
Del(6,):U3:R(3,9)	2	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	4	0	0	1	7	1	1	0	1	0	1	0	0	1	0	0	0	5	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	2	0	0	3	1	1	3	5	0	1	0	0	0	4	2	0	1	0	2	1	0	0	0	0	1	0	1	0	1	0	0	0	0	3	6	0	0	2	4	1	3	0	1	2	1	5	1	0	0	0	1	1	0	2	3	10	0	1	0	0	0	14	1	2	0	0	0	1	5	1	3	0	0	0	0	0	1	0	1	5	0	0	1	1	0	0	0	20	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	2	0	2	0	1	0	0	0	0	0	0	0	1	11	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0
Del(6,):U(4,):R(2,9)	3	1	1	5	8	2	0	0	3	4	4	0	0	0	2	0	2	0	0	0	1	1	5	2	3	0	0	0	4	1	9	0	1	1	11	2	9	11	3	9	8	0	7	5	3	1	1	19	10	0	1	5	1	2	2	4	9	0	23	13	0	3	2	1	3	1	3	2	5	0	6	0	1	15	2	12	0	5	3	1	7	2	0	0	0	1	0	0	5	30	1	0	4	3	6	2	0	4	1	3	7	4	2	2	4	6	0	0	3	5	2	2	1	0	3	0	14	3	2	1	2	0	15	2	5	8	9	7	1	3	3	0	0	9	0	2	1	2	2	3	0	9	7	10	0	2	1	2	28	0	25	2	2	2	3	2	0	0	34	1	29	0	0	3	29	11	17	1	2	0	9	2	5	1	3	2	3	42	1	21	0	4	6	3	7	9	3	1	2	6	7	15	10	1	1	3	0	5	21	8	3	5	41	5	2	3	2	5	10	6	5	12	5	7	2	7	1	6	3	3	2	7	6	4	16	1	6	5	21	36	4	1	26	23	3	12	0	1	6	10	15	3	1	8	2	20	9	0	6	32	77	5	6	3	5	4	69	7	26	4	2	11	12	34	4	5	3	7	3	3	3	5	6	0	12	5	6	2	2	10	1	5	82	2	4	5	6	7	1	2	7	3	12	1	19	4	7	3	7	5	2	4	2	1	2	1	1	8	3	4	4	15	42	3	13	1	2	5	3	8	1	9	7	3	4	2	5	6	3	2	6	3	1	4	1	2	7	5	1	7	16	1	1	0	5	10
Ins(2,4):M	23	5	1	63	18	2	20	7	9	1	5	1	0	2	7	6	1	0	2	2	0	8	49	9	6	0	4	0	7	77	49	0	19	2	9	8	4	44	3	128	2	0	5	8	1	6	1	21	21	0	1	0	0	1	2	183	11	0	62	15	5	7	5	4	6	3	8	6	7	0	13	11	4	44	3	37	0	45	14	3	43	2	46	0	0	0	0	1	3	77	2	0	2	3	4	3	42	51	82	5	3	15	1	3	4	10	3	0	14	5	89	23	3	1	3	0	25	4	2	3	3	3	19	5	2	3	17	56	1	3	32	0	0	12	0	7	1	1	3	3	0	2	0	11	1	4	2	9	91	1	34	10	3	3	3	2	2	0	58	1	234	18	12	90	512	10	196	6	11	6	15	9	15	6	21	51	12	1403	5	26	2	30	133	25	14	91	14	5	11	486	35	4	411	3	16	15	13	24	183	28	6	18	548	13	6	14	32	8	19	15	16	22	29	87	17	125	13	15	193	17	13	30	44	346	30	11	12	10	313	158	105	18	22	167	15	167	10	5	24	41	351	5	5	17	80	52	24	34	452	33	173	36	31	21	16	10	743	41	353	13	13	64	28	186	19	112	6	40	48	13	9	6	22	10	176	7	8	5	4	9	27	25	819	49	6	56	11	8	52	6	108	5	8	6	11	8	17	8	158	10	10	2	10	15	8	9	7	27	24	44	11	23	320	13	51	13	11	8	8	147	20	579	16	10	9	7	39	20	19	16	191	15	30	8	8	8	27	54	14	14	28	7	12	13	30	57
Ins(5,):M	12	4	2	5	3	1	15	10	11	4	0	2	1	0	3	2	0	0	0	2	1	8	12	1	10	0	2	0	12	11	14	1	8	0	14	24	4	7	5	34	4	0	9	9	5	9	2	10	7	0	3	2	2	0	0	40	11	0	16	8	1	2	3	1	2	3	2	6	4	0	9	1	4	14	6	8	0	8	4	2	9	3	14	0	0	0	1	0	1	7	0	1	4	4	4	3	9	9	13	4	2	3	1	4	4	9	1	1	25	2	21	3	1	0	2	1	16	0	0	0	1	0	6	11	4	6	1	13	1	5	16	1	0	4	1	3	2	4	3	9	1	1	3	3	3	2	1	6	31	1	6	3	1	3	1	2	2	1	13	0	303	24	33	52	548	22	306	27	13	19	21	6	15	9	46	44	22	1786	12	34	12	24	159	25	20	20	19	12	24	539	40	17	480	12	10	27	36	42	164	103	15	23	508	34	14	35	34	12	53	29	38	18	31	98	19	68	13	25	203	27	26	46	46	376	46	44	23	19	357	218	68	33	32	220	21	179	34	23	39	49	335	14	11	27	78	54	28	52	492	63	206	43	47	24	33	18	550	59	471	34	41	59	45	151	41	102	17	40	40	14	18	15	33	12	228	13	16	12	9	24	28	11	690	38	12	59	22	9	62	14	134	23	18	14	19	10	23	25	161	18	12	11	20	24	11	10	15	49	29	63	15	33	375	26	65	20	11	8	35	141	22	494	23	19	16	31	43	31	27	26	147	15	36	11	26	33	36	62	25	15	44	6	21	25	48	50
Ins2:U1:R0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	2	0	0	1	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	2	5	0	5	1	4	0	0	0	2	0	2	0	4	2	0	1	1	0	1	2	0	4	0	0	0	2	0	1	0	3	1	2	0	0	0	1	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	3	1	0	0	1	0	0	0	3	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	7	0	0	3	31	1	9	1	2	0	0	8	0	1	0	6	3	63	1	0	0	2	7	6	2	6	2	1	1	10	3	1	77	0	0	4	1	3	6	0	0	0	12	2	2	1	1	1	0	0	3	2	3	1	1	0	1	3	5	1	0	7	1	11	3	4	1	2	23	6	3	5	2	6	1	5	0	1	4	4	8	0	0	1	4	3	0	0	56	5	3	2	1	0	0	0	17	5	18	1	0	2	6	1	2	5	0	4	5	0	2	0	5	1	5	0	0	0	1	3	4	1	23	1	0	4	1	3	4	0	3	3	0	0	2	1	1	0	7	2	0	0	1	0	0	1	0	1	2	1	0	2	7	1	4	0	1	1	3	2	1	11	0	2	1	1	3	1	1	3	6	1	3	0	1	0	2	3	1	3	0	2	0	17	1	3
Ins3:U1:R0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	4	0	2	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	1	0	0	0	0	18	0	1	1	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	0	0	4	2	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	3	0	2	0	0	0	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	5	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1
Ins4:U1:R0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ins2:U2:R0	4	1	0	3	0	0	1	1	3	0	0	5	0	0	0	2	1	0	1	0	0	2	6	1	1	0	0	0	0	3	10	0	0	0	2	5	2	1	0	21	0	0	2	1	1	2	2	5	5	0	0	0	1	0	1	13	8	0	8	3	2	1	1	1	2	2	2	1	2	0	4	1	1	4	0	2	0	6	0	3	12	0	2	0	0	0	0	1	1	14	3	0	1	1	0	1	5	0	9	0	0	0	0	0	0	2	0	0	14	3	5	3	0	0	1	0	5	1	2	0	0	3	5	0	0	1	0	4	1	1	2	0	0	1	0	1	0	2	0	0	0	0	0	4	0	2	0	1	13	0	3	3	0	1	1	1	0	2	11	0	33	3	1	9	55	4	12	2	5	1	4	13	1	2	3	5	4	360	1	4	1	3	28	3	3	33	1	3	4	22	6	0	151	3	3	5	4	5	16	2	1	4	49	1	2	1	5	3	2	2	3	1	1	7	3	14	5	3	15	2	2	5	7	13	6	7	3	3	36	16	8	2	4	19	5	12	1	4	4	8	33	0	2	1	15	5	4	7	132	6	21	4	9	3	5	3	56	9	66	6	3	3	9	18	7	9	3	7	5	3	4	3	5	3	19	6	9	2	1	5	9	3	77	6	2	7	3	2	0	2	14	1	1	1	5	2	2	2	17	4	1	2	2	1	4	2	2	3	4	9	1	5	38	1	9	0	0	4	6	11	7	34	10	6	1	4	4	3	6	2	9	3	5	3	1	3	4	4	5	2	8	8	4	18	2	14
Ins3:U3:R0	1	1	0	2	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	2	0	0	5	0	0	1	1	0	0	3	2	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	5	1	1	0	0	0	1	0	1	2	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	73	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	3	0	13	1	0	3	29	1	6	0	3	0	0	4	2	1	0	2	0	136	1	5	0	3	6	1	3	30	1	0	1	9	2	1	37	1	0	2	0	1	9	1	0	3	20	4	0	1	3	0	5	2	3	1	3	1	2	1	1	3	5	3	1	1	0	3	9	3	2	0	13	10	3	1	2	5	2	11	1	2	7	1	13	2	0	4	5	1	1	1	45	2	8	0	5	0	4	0	34	4	28	2	2	1	19	8	3	5	2	2	4	1	1	3	2	1	10	2	3	2	0	3	3	0	43	1	0	3	4	5	2	0	2	0	0	0	4	1	1	2	12	2	1	1	0	1	2	1	3	0	2	6	1	3	11	1	2	0	1	1	1	5	1	20	5	1	0	0	1	2	3	1	7	0	0	1	1	1	1	6	1	0	3	1	1	10	4	12
Ins4:U2:R0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	3	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	1	2	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ins4:U4:R0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	3	7	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	8	0	1	0	15	3	12	0	0	1	0	2	0	1	2	0	1	69	1	0	0	0	4	2	3	15	2	2	0	14	2	1	31	1	0	0	2	1	3	2	0	1	11	3	3	0	2	0	5	2	1	2	1	2	0	4	3	1	3	0	0	0	2	11	8	1	1	1	13	6	0	2	2	4	0	4	1	2	3	1	7	1	1	0	2	5	1	2	23	6	6	1	6	1	1	2	15	1	15	3	2	3	6	7	5	2	0	4	2	2	2	1	1	0	3	1	0	2	0	1	2	0	18	2	3	4	4	2	2	1	6	1	0	2	4	0	1	1	4	0	1	1	3	1	1	0	1	1	0	0	0	1	6	0	3	1	2	1	1	3	1	10	1	1	1	0	3	0	4	2	1	0	0	0	0	0	1	2	0	3	3	0	3	7	2	8
Ins(5,):R0	1	1	0	2	0	1	1	12	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	2	0	3	0	0	0	0	10	0	0	1	2	1	0	1	0	1	7	0	0	0	0	1	1	0	0	0	3	11	0	0	0	1	0	0	1	0	0	1	0	6	0	1	0	0	2	2	1	0	2	0	1	2	1	1	0	0	0	0	0	1	0	0	1	1	2	3	1	1	0	0	1	0	1	2	1	0	0	0	0	17	0	1	1	1	0	0	0	2	0	0	1	1	0	1	1	0	1	1	1	2	0	1	0	0	0	0	2	1	0	0	1	0	0	0	2	0	1	0	2	3	0	1	2	0	0	0	0	1	0	0	0	41	0	13	29	56	27	30	96	5	9	25	6	3	13	25	16	5	180	9	25	9	6	23	3	9	21	6	10	8	33	22	14	54	6	3	16	114	11	23	13	1	7	64	44	5	3	6	10	24	10	8	5	8	17	4	8	29	13	19	20	55	10	5	62	29	194	18	20	169	47	57	27	9	42	6	29	105	71	13	31	36	4	2	5	21	56	10	13	113	24	27	16	23	5	30	3	54	27	79	6	93	10	68	21	57	28	20	21	20	3	3	12	24	5	28	3	5	4	4	10	8	11	92	33	21	31	23	7	7	14	30	19	14	11	13	7	12	23	20	13	9	13	21	3	1	13	4	12	19	11	3	15	34	25	6	5	0	8	57	8	6	53	5	34	38	65	30	20	13	5	26	4	5	9	61	30	6	18	10	17	74	1	11	17	16	31
Ins2:U1:R1	0	0	0	2	1	1	4	3	5	5	0	1	0	0	2	5	3	0	3	0	0	1	2	3	1	0	1	0	0	6	5	0	0	0	1	0	1	4	1	11	0	0	2	2	0	0	0	4	5	0	1	0	0	0	1	8	0	0	4	1	2	1	3	0	2	1	1	1	2	0	1	2	0	1	2	3	0	2	2	0	1	0	1	0	0	0	0	0	0	9	0	0	0	0	2	1	3	3	5	0	0	2	0	2	0	4	1	0	1	1	1	0	0	0	1	0	2	0	0	0	0	1	4	0	0	1	0	2	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	4	3	5	0	2	1	0	0	1	4	4	0	4	1	10	0	0	5	38	5	43	1	7	0	0	4	0	0	7	31	2	55	1	3	1	2	9	5	0	23	2	0	1	8	3	1	40	0	0	0	0	0	4	3	2	1	18	1	1	2	2	2	2	1	2	4	5	4	3	1	0	1	4	2	1	19	2	12	3	1	1	3	38	7	6	7	4	7	4	13	2	4	2	4	9	1	1	3	31	7	6	9	25	1	9	1	7	3	3	5	30	12	33	3	0	6	7	7	0	2	3	6	16	1	3	0	10	0	6	0	2	0	4	2	4	1	34	5	3	19	1	0	3	2	2	2	2	1	1	0	0	4	7	3	2	0	3	5	1	5	1	7	5	2	0	1	7	2	2	1	2	2	2	2	1	7	2	0	0	0	2	4	3	1	2	3	1	0	0	1	0	4	5	1	4	0	5	7	6	7
