Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D
SP127630	4:Del:R:5	0.3760950952704768	0.2963682013663454	0.11308418584006895	0.21445251752310887
SP127630	5:Del:R:0	0.49021905730473997	0.0	0.2375118951883241	0.27226904750693603
SP127630	5:Del:R:1	0.659266980988862	0.10163766366064222	0.1644652125352307	0.07463014281526503
SP127630	5:Del:R:2	0.5144138202218286	0.08729581127136128	0.21191163337531443	0.18637873513149583
SP127630	5:Del:R:3	0.4493474590358828	0.12860450481584215	0.22041401945929254	0.20163401668898254
SP127630	5:Del:R:4	0.011485105195416798	0.389175566967103	0.12215485065794698	0.47718447717953316
SP127630	5:Del:R:5	0.48686867565100067	0.2718321505618245	0.019767437576084984	0.22153173621108974
SP127630	2:Ins:R:0	0.2286792291626272	0.27419888222690914	0.0746426065409483	0.4224792820695154
SP127630	2:Ins:R:1	0.6751272839514542	0.03968409241514064	0.13143225089037805	0.1537563727430272
SP127630	2:Ins:R:2	0.6958293053218457	0.1477573194140518	0.10411744565254948	0.05229592961155287
SP127630	2:Ins:R:3	0.8352520792892019	0.09946314498300113	0.004433582403620427	0.06085119332417674
SP127630	2:Ins:R:4	0.6939058075057812	0.22362907533622625	0.002499266269062647	0.07996585088892977
SP127630	2:Ins:R:5	0.5751660721956808	0.3449397692476184	0.00765278501902773	0.07224137353767314
SP127630	3:Ins:R:0	0.27428304600589143	0.043754182891304644	0.021744169672294783	0.6602186014305091
SP127630	3:Ins:R:1	0.8204031458689434	0.01110918728154002	0.11346478784029516	0.05502287900922146
SP127630	3:Ins:R:2	0.8167627031003327	0.049071891742836035	0.07236590401617511	0.06179950114065617
SP127630	3:Ins:R:3	0.3348926218599264	0.6330829582532451	0.025357434834242177	0.006666985052586322
SP127630	3:Ins:R:4	0.4058130533472565	0.44837063888553663	0.11588888112392333	0.029927426643283538
SP127630	3:Ins:R:5	0.7323319699696679	0.19738416291862043	0.030571316397642687	0.03971255071406902
SP127630	4:Ins:R:0	0.0	0.08022794641307751	0.0019290250199048514	0.9178430285670176
SP127630	4:Ins:R:1	0.8520179861351362	0.05296135200438068	0.06751109385596968	0.027509568004513252
SP127630	4:Ins:R:2	0.3431874984049101	0.0	0.20452075990274793	0.452291741692342
SP127630	4:Ins:R:3	0.7763867458812986	0.0003508820294710617	0.0008969443882080983	0.22236542770102213
SP127630	4:Ins:R:4	0.6858333527042554	0.1881990613167385	0.03506291706434319	0.09090466891466309
SP127630	4:Ins:R:5	0.8052975707296678	0.1191354485992355	0.01806802911535679	0.05749895155573975
SP127630	5:Ins:R:0	1.5428594325672612e-06	4.6326843223283315e-05	0.00028008142283986756	0.9996720488745042
SP127630	5:Ins:R:1	0.7466189124623168	0.015537194467868921	0.1808943493431423	0.05694954372667199
SP127630	5:Ins:R:2	0.6427955363382072	0.013446789620983907	0.14539583593848138	0.19836183810232763
SP127630	5:Ins:R:3	0.5288146614132474	0.19754693263743092	0.017328772373330737	0.25630963357599085
SP127630	5:Ins:R:4	0.7241386026269817	0.1693164030415179	0.06521812835904935	0.04132686597245115
SP127630	5:Ins:R:5	0.5571016431690469	0.3367990082874069	0.053481636879465014	0.05261771166408129
SP127630	2:Del:M:1	0.6954543445034859	0.03516016217712386	0.22118108802945688	0.04820440528993341
SP127630	3:Del:M:1	0.4489973031732236	0.021960458469169605	0.39299818688829075	0.13604405146931603
SP127630	3:Del:M:2	0.7794895947898743	0.02505369376713814	0.16614655895851138	0.029310152484476226
SP127630	4:Del:M:1	0.44491139521674156	0.0520248848870726	0.3647511070349411	0.1383126128612446
SP127630	4:Del:M:2	0.6718778560808886	0.010002724530487547	0.28266622347338255	0.03545319591524135
SP127630	4:Del:M:3	0.7086364370731729	0.016406449455332768	0.23990485438276732	0.03505225908872711
SP127630	5:Del:M:1	0.558704076386001	0.0073084253474467575	0.27856148589693125	0.155426012369621
SP127630	5:Del:M:2	0.8112607300514355	0.0039055373626230663	0.1566839927645475	0.02814973982139388
SP127630	5:Del:M:3	0.8194945795574688	0.006402452250103138	0.14799070213080112	0.026112266061626914
SP127630	5:Del:M:4	0.812872544773869	0.015712066394327935	0.1486530870313784	0.022762301800424784
SP127630	5:Del:M:5	0.7660916940373387	0.03975883855000956	0.1328912144422055	0.0612582529704463
