Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP107365	31	24	11	0	2	0	1	3	14	8	7	3	0	0	1	3	0	0	36	0
SP78660	29	0	4	0	4	0	0	0	0	0	3	0	9	0	2	0	0	1	6	0
SP78659	4	11	8	5	0	0	0	6	0	1	0	2	4	0	1	0	0	11	0	0
SP107449	32	0	5	0	7	0	3	0	1	15	0	0	2	5	0	3	0	13	8	2
SP78813	22	16	4	7	1	0	0	1	6	4	2	0	5	2	7	0	0	7	0	0
SP78953	20	0	3	0	0	0	0	1	2	0	0	0	0	1	2	0	0	3	1	0
SP78804	38	19	1	17	8	0	1	10	1	11	2	0	2	17	0	0	0	1	0	4
SP107460	34	0	19	0	2	4	3	0	0	7	17	0	0	2	3	0	0	2	12	1
SP107548	72	12	0	3	3	0	5	0	2	9	3	0	2	0	4	0	5	0	7	6
SP78730	87	13	26	0	5	0	8	8	6	3	1	0	3	8	6	0	2	8	15	2
SP78727	41	27	7	0	1	0	1	2	2	6	0	0	9	0	11	0	1	2	0	0
SP78822	110	0	20	19	8	0	6	11	8	20	9	0	35	3	13	0	0	4	0	20
SP78818	59	11	7	0	2	0	3	0	4	6	0	0	4	0	0	0	0	3	0	2
SP78923	19	0	2	0	2	0	2	4	2	2	1	0	0	0	2	0	0	0	0	2
SP107405	144	7	30	2	0	2	7	17	6	17	44	13	13	6	30	0	0	4	17	0
SP107437	66	18	59	3	5	6	10	0	2	1	1	0	1	15	0	20	12	28	0	5
SP78675	49	20	4	2	4	0	3	0	0	7	10	7	4	0	1	0	0	9	4	2
SP107371	133	0	49	4	119	27	11	0	9	23	51	8	4	32	7	38	8	25	0	0
SP107556	109	0	15	13	0	0	1	2	2	5	0	0	6	18	1	0	0	3	13	2
SP78807	17	12	7	3	3	0	1	6	2	1	0	0	12	1	3	0	0	10	0	7
SP78945	54	0	1	0	1	0	3	0	1	5	5	0	0	3	10	0	0	1	2	4
SP107480	14	15	8	7	1	0	0	0	2	3	5	0	0	12	2	0	0	1	0	0
SP107448	40	0	2	3	4	2	7	3	5	6	0	0	1	0	2	0	0	4	8	2
SP107436	82	0	6	0	2	0	6	0	1	11	0	0	4	3	5	0	2	0	9	7
SP79150	3	0	2	0	1	2	0	0	5	1	0	0	1	1	2	0	0	0	0	2
SP107546	154	5	35	9	0	0	14	3	5	2	5	0	0	9	2	2	10	7	2	3
SP107459	39	0	15	0	2	0	2	10	14	1	0	2	0	8	2	7	4	4	1	0
SP78823	10	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	2	2	0	4
SP78666	40	0	6	12	0	0	0	6	0	4	0	0	1	1	0	0	2	2	3	4
SP78721	18	0	4	0	2	0	0	3	0	0	0	0	0	0	2	0	0	2	3	8
SP78665	121	0	5	0	7	0	3	0	6	0	0	0	12	1	12	0	0	12	0	4
SP78935	61	0	8	7	1	3	6	0	4	9	4	0	4	0	9	0	0	0	0	8
SP107458	177	21	13	11	13	1	9	6	19	7	18	0	6	8	15	2	0	0	2	9
SP79160	52	20	0	2	0	0	0	0	0	0	0	5	3	10	0	0	0	9	1	0
SP107479	83	0	5	4	8	0	5	2	0	0	0	0	0	11	3	6	0	1	0	10
SP107377	112	0	17	21	0	0	8	9	2	1	27	10	11	0	4	0	0	14	20	2
SP78937	127	0	20	16	2	0	0	0	0	45	3	0	13	9	3	2	5	36	8	12
SP107444	38	0	2	0	0	0	5	0	0	2	0	3	2	20	0	0	4	2	0	2
SP79144	82	0	7	12	9	2	2	8	0	9	0	0	17	20	8	0	0	7	0	10
SP107469	15	0	0	0	2	0	1	0	0	4	0	0	0	1	3	0	2	0	1	0
SP107373	112	0	7	0	10	13	0	9	19	8	0	0	9	4	34	23	6	14	20	0
SP107406	120	0	25	0	327	23	6	6	0	36	70	6	73	49	13	18	6	51	46	2
SP107369	159	0	50	4	8	2	0	18	11	2	1	21	9	32	24	3	9	26	8	8
SP107403	165	77	56	14	3	3	4	11	8	31	54	19	29	0	0	0	7	24	36	3
SP107363	132	0	35	0	0	39	5	14	0	2	26	7	0	11	18	61	17	0	18	6
SP78955	35	0	0	9	2	0	1	0	2	1	1	0	3	0	6	0	0	0	0	4
SP78711	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
SP78677	21	0	8	0	4	0	0	6	0	3	0	1	0	1	2	1	0	0	3	2
SP78805	56	28	0	7	10	0	8	0	0	2	0	0	6	15	3	0	0	6	0	0
SP107461	22	3	0	0	3	0	0	7	0	5	0	0	0	0	2	5	4	0	3	0
SP107472	12	0	6	0	0	0	0	0	2	6	4	0	0	0	0	0	0	7	1	0
SP107356	59	0	15	1	0	0	0	12	0	2	28	10	22	15	11	7	4	0	8	1
SP78825	25	0	12	0	3	0	2	0	0	4	0	0	6	20	0	0	2	0	7	5
SP107468	40	14	5	0	2	0	0	1	0	0	0	0	14	3	4	0	0	1	9	2
SP78851	267	51	19	47	16	5	14	17	11	17	0	0	13	7	14	3	5	17	0	31
SP78726	13	17	8	0	0	0	6	0	2	24	1	0	4	4	0	1	2	16	3	6
SP107379	186	52	80	14	12	4	6	14	24	19	49	6	12	6	16	17	11	10	8	1
SP107474	60	0	9	0	6	0	7	2	0	15	0	0	0	0	2	0	7	7	0	2
