Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
DRUP01090014T	3.40E+00	3.27E+00	2.96E+00	1.28E+00	1.14E+00	2.26E+00
CPCT02060240T	2.58E+00	1.71E+00	1.85E+00	1.42E+00	2.73E+00	1.88E+00
DRUP01060024T	1.27E+01	2.83E+00	4.16E+00	1.55E+00	1.06E+01	1.40E+00
CPCT02020848T	3.97E+00	7.11E-02	7.74E-01	1.08E+00	3.90E+00	1.59E+00
CPCT02010648T	2.11E+00	7.80E-01	2.36E+00	1.57E+00	2.30E+00	2.10E+00
CPCT02060130T	2.38E+00	1.43E+00	1.65E+00	1.51E+00	2.27E+00	1.95E+00
CPCT02010649T	2.69E+00	1.91E+00	2.13E+00	1.73E+00	9.85E-01	1.81E+00
CPCT02060127T	2.45E+00	1.43E+00	2.01E+00	1.06E+00	9.31E-01	2.08E+00
CPCT02340106T	2.04E+00	1.30E+00	9.62E-01	1.59E+00	1.75E+00	2.01E+00
CPCT02150034T	3.54E+00	2.77E+00	3.74E+00	1.19E+00	5.51E+00	3.61E+00
CPCT02030415T	1.08E+01	2.61E+00	1.37E+01	4.33E+00	1.29E+01	6.58E+00
CPCT02060235T	1.83E+00	1.09E+00	7.93E-01	1.38E+00	8.55E-01	2.07E+00
CPCT02010625T	1.59E+00	1.48E+00	1.38E+00	1.52E+00	7.95E-01	1.55E+00
CPCT02060275T	1.20E+00	1.96E+00	2.14E+00	1.16E+00	8.00E-01	1.32E+00
CPCT02340026T	2.62E+00	9.57E-01	2.16E+00	1.34E+00	1.04E+00	2.03E+00
CPCT02090063T	2.94E+00	1.35E+00	1.27E+00	9.81E-01	2.79E+00	1.49E+00
CPCT02010549T	2.84E+00	1.06E+00	2.25E+00	1.91E+00	2.33E+00	1.19E+00
CPCT02060066T	1.88E+00	8.71E-01	9.71E-01	8.67E-01	1.89E+00	1.29E+00
CPCT02020450T	1.24E+00	7.57E-01	6.75E-01	4.86E-01	7.45E-01	1.35E+00
CPCT02010406TII	1.58E+00	6.46E-01	1.10E+00	8.51E-01	1.86E+00	1.38E+00
CPCT02050167T	1.33E+00	1.31E+00	1.53E+00	8.60E-01	1.41E+00	1.48E+00
CPCT02110036T	1.43E+00	6.27E-01	1.05E+00	1.21E+00	1.51E+00	1.55E+00
CPCT02010599T	1.55E+00	1.29E+00	1.29E+00	9.66E-01	9.72E-01	1.42E+00
CPCT02010595T	1.09E+00	1.40E+00	1.61E+00	6.19E-01	6.85E-01	1.47E+00
CPCT02100091T	1.68E+01	2.13E+00	5.65E+00	1.65E+00	2.04E+01	7.14E+00
CPCT02060104T	1.09E+00	2.40E-01	3.63E-01	7.31E-01	1.11E+00	9.64E-01
CPCT02010600T	1.70E+00	1.75E+00	1.67E+00	1.34E+00	9.49E-01	2.10E+00
CPCT02110040T	1.34E+01	3.23E+00	8.44E+00	2.72E+00	2.48E+00	9.31E+00
CPCT02340018T	6.12E+00	2.51E+00	4.61E+00	2.19E+00	6.78E+00	3.39E+00
CPCT02050225T	1.45E+00	1.72E+00	1.87E+00	1.23E+00	9.99E-01	1.80E+00
CPCT02040141T	4.91E+00	1.28E+00	1.25E+00	1.92E+00	3.50E+00	1.31E+00
CPCT02340020T	1.82E+00	1.46E+00	1.52E+00	1.06E+00	1.85E+00	1.19E+00
CPCT02080139T	2.21E+00	2.37E-01	3.68E-01	1.25E+00	1.39E+00	4.95E-01
CPCT02060061T	2.15E+00	7.07E+00	6.64E+00	8.67E-01	1.17E+00	2.16E+00
CPCT02070051T	4.76E+00	1.29E+00	1.10E+00	1.46E+00	4.01E+00	1.35E+00
CPCT02010408TII	1.92E+00	1.36E+00	1.11E+00	1.42E+00	1.40E+00	2.49E+00
CPCT02010429T	1.92E+00	9.53E-01	8.43E-01	1.08E+00	1.87E+00	1.49E+00
CPCT02020438T	2.68E+00	1.18E+00	2.16E+00	1.10E+00	2.19E+00	2.91E+00
CPCT02040072T	4.33E+00	1.24E+00	3.49E+00	1.04E+00	1.47E+00	3.85E+00
CPCT02020428T	1.58E+00	1.43E+00	6.62E-01	1.11E+00	8.71E-01	1.67E+00
CPCT02010494T	1.83E+00	1.30E+00	1.63E+00	1.09E+00	1.51E+00	2.33E+00
CPCT02070095T	3.33E+00	1.42E+00	2.45E+00	9.06E-01	1.53E+00	2.82E+00
DRUP01070006T	6.45E-01	5.16E-01	6.17E-01	7.41E-01	5.96E-01	6.60E-01
DRUP01070005T	3.84E+00	1.71E+00	2.61E+00	1.44E+00	1.43E+00	3.51E+00
CPCT02020465T	1.82E+00	5.21E-01	7.53E-01	9.70E-01	7.97E-01	1.68E+00
CPCT02030325T	4.06E+00	1.50E+00	2.19E+00	1.35E+00	7.46E-01	3.28E+00
CPCT02090011T	2.32E+00	2.21E+00	2.26E+00	1.48E+00	1.12E+00	2.10E+00
CPCT02060071T	4.88E+00	2.12E+00	2.60E+00	1.45E+00	3.59E+00	2.44E+00
DRUP01070010T	2.49E+00	1.32E+00	1.90E+00	1.32E+00	1.26E+00	2.63E+00
CPCT02070111T	1.26E+00	5.80E-01	7.73E-01	9.57E-01	1.01E+00	1.27E+00
CPCT02070098T	3.76E+00	1.79E+00	2.53E+00	9.16E-01	8.55E-01	2.51E+00
CPCT02090012T	5.87E+00	1.57E+00	3.26E+00	8.16E-01	1.14E+00	5.16E+00
DRUP01090001T	1.17E+00	2.04E+00	1.86E+00	1.10E+00	8.23E-01	1.56E+00
CPCT02070108T	1.85E+00	9.42E-01	2.13E+00	1.02E+00	2.04E+00	2.07E+00
CPCT02010548T	1.07E+00	8.98E-01	8.04E-01	9.83E-01	7.60E-01	1.36E+00
CPCT02090014T	2.80E+00	2.02E+00	2.20E+00	1.23E+00	1.16E+00	2.50E+00
CPCT02010559T	2.06E+00	1.65E+00	5.92E-01	1.22E+00	1.59E+00	1.94E+00
CPCT02080102T	2.80E+00	2.11E+00	2.19E+00	1.87E+00	2.13E+00	2.93E+00
CPCT02030422T	1.88E+00	8.41E-01	8.80E-01	1.33E+00	1.37E+00	1.27E+00
CPCT02070249T	1.98E+01	1.74E+00	2.03E+00	1.68E+00	1.92E+01	2.88E+00
DRUP01070029T	2.31E+00	2.07E+00	2.22E+00	1.68E+00	1.60E+00	7.21E-01
CPCT02070247T	2.08E+00	8.25E-01	3.15E-01	1.59E+00	1.38E+00	1.69E+00
DRUP01010053T	1.49E+00	1.44E+00	1.26E+00	1.42E+00	1.22E+00	1.86E+00
DRUP01100003T	3.39E+01	2.71E+00	5.07E+00	4.05E+00	3.09E+01	4.26E+00
CPCT02070257T	1.85E+00	3.26E+00	3.46E+00	1.66E+00	9.32E-01	2.02E+00
CPCT02340046T	2.74E+00	6.05E-01	1.05E+00	1.53E+00	2.08E+00	1.37E+00
DRUP01080008T	5.56E+00	2.00E+00	2.37E+00	3.04E+00	4.22E+00	3.80E+00
DRUP01340002T	1.83E+00	7.54E-01	2.04E+00	1.30E+00	1.87E+00	1.65E+00
CPCT02010715T	3.06E+00	9.76E-01	8.18E-01	1.74E+00	2.00E+00	1.30E+00
WIDE01010465T	1.03E+00	1.45E+00	1.04E+00	1.27E+00	7.00E-01	1.96E+00
WIDE01010487T	1.61E+00	1.09E+00	1.12E+00	1.46E+00	1.32E+00	2.03E+00
WIDE01010492T	3.91E+00	1.26E+00	2.36E+00	1.55E+00	6.34E-01	2.68E+00
WIDE01010497T	2.10E+00	8.01E-01	1.00E+00	1.22E+00	2.17E+00	2.00E+00
WIDE01010521T	6.07E+00	3.88E+00	3.56E+00	1.14E+00	7.29E+00	3.20E+00
WIDE01010519T	1.41E+01	1.40E+00	1.72E+00	1.11E+00	1.34E+01	2.37E+00
WIDE01010527T	1.05E+00	7.66E-02	6.56E-01	5.86E-01	5.08E-01	1.02E+00
WIDE01010517T	4.01E+00	1.81E-01	3.48E+00	1.15E+00	1.40E+00	3.05E+00
WIDE01010699T	1.31E+00	1.03E+00	8.34E-01	1.00E+00	1.30E+00	1.49E+00
WIDE01010713T	3.77E+00	3.72E+00	5.02E+00	1.55E+00	2.42E+00	3.28E+00
