Samples	ID83A	ID83B	ID83C	ID83D	ID83E
CPCT02340010TII	5.44E+00	2.20E+01	8.78E-01	5.02E+01	5.95E+01
DRUP01020022T	3.76E-01	9.87E-01	1.06E+00	1.14E+00	8.81E-01
CPCT02120103T	8.54E-01	1.83E+00	7.68E-01	1.83E+00	1.57E+00
CPCT02300030T	1.07E+00	2.32E+00	1.05E+00	1.98E+00	7.62E-01
CPCT02150044T	6.02E-01	1.33E+00	8.92E-01	1.33E+00	7.42E-01
CPCT02020920T	4.60E-01	1.27E+00	1.26E+00	1.42E+00	1.04E+00
CPCT02080192T	7.14E-01	1.93E+00	9.35E-01	1.68E+00	9.09E-01
CPCT02130170T	2.72E+00	1.18E+01	2.76E+00	2.67E+01	2.90E+01
CPCT02260014T	3.36E+00	5.51E+00	1.66E+00	2.88E+00	4.68E+00
CPCT02020922T	2.23E-01	1.13E+00	1.26E+00	1.23E+00	8.08E-01
CPCT02011072T	5.34E-01	1.01E+00	7.11E-01	1.02E+00	5.93E-01
CPCT02010758T	3.22E-01	1.13E+00	1.16E+00	1.48E+00	8.73E-01
WIDE01010006T	0.00E+00	8.79E-01	5.53E-01	1.14E+00	8.23E-01
CPCT02040220T	6.10E-01	1.62E+00	6.94E-01	1.67E+00	9.90E-01
CPCT02100157T	1.91E+00	3.30E+00	9.26E-01	2.65E+00	2.31E+00
CPCT02230088T	7.32E+00	3.75E+00	1.02E+01	5.17E+00	6.59E+00
CPCT02130178T	4.93E-01	1.02E+00	1.15E+00	1.63E+00	1.34E+00
WIDE01010017T	1.05E+00	1.82E+00	1.38E+00	1.67E+00	1.48E+00
WIDE01010025T	4.80E-01	1.21E+00	1.19E+00	1.38E+00	8.31E-01
WIDE01010028T	1.77E+00	2.85E+00	2.22E+00	3.39E+00	3.72E+00
WIDE01010012T	1.19E+00	2.55E+00	1.40E+00	2.54E+00	1.06E+00
WIDE01010031T	3.24E+00	1.66E+01	1.95E+00	3.96E+00	1.90E+01
CPCT02020956T	2.64E-01	8.94E-01	7.96E-01	9.66E-01	8.90E-01
CPCT02010774T	3.99E-01	1.12E+00	1.12E+00	1.28E+00	5.04E-01
CPCT02010756T	4.15E-01	8.60E-01	1.02E+00	1.30E+00	7.62E-01
WIDE01010045T	5.52E-01	1.21E+00	9.64E-01	1.50E+00	7.43E-01
CPCT02080204T	3.73E-01	8.51E-01	1.01E+00	1.29E+00	9.84E-01
WIDE01010037T	3.05E+00	4.45E+00	1.65E+00	2.91E+00	1.94E+00
WIDE01010056T	1.79E+00	3.03E+00	9.27E-01	2.59E+00	1.86E+00
CPCT02070298T	1.53E+00	2.30E+00	1.09E+00	1.63E+00	1.09E+00
WIDE01010594T	5.88E-01	1.48E+00	1.12E+00	1.29E+00	9.43E-01
WIDE01010078T	5.21E-01	1.42E+00	1.84E+00	2.01E+00	1.17E+00
CPCT02130054T	9.70E-01	1.78E+00	1.44E+00	1.71E+00	1.50E+00
CPCT02040228T	6.57E-01	1.56E+00	9.09E-01	1.49E+00	7.18E-01
WIDE01010051T	5.38E-01	1.83E+00	1.22E+00	2.08E+00	1.36E+00
CPCT02050319T	3.91E-01	9.50E-01	8.88E-01	1.75E+00	1.88E+00
CPCT02020689T	4.50E-01	1.50E+00	8.00E-01	1.60E+00	9.46E-01
WIDE01010043T	7.76E-01	1.31E+00	1.30E+00	1.41E+00	9.43E-01
WIDE01010112T	2.00E+00	3.04E+00	1.57E+00	2.52E+00	1.79E+00
WIDE01010092T	5.86E-01	1.45E+00	1.05E+00	1.30E+00	6.56E-01
WIDE01010119T	1.27E+00	2.27E+00	1.26E+00	2.32E+00	2.56E+00
CPCT02170022T	4.21E-01	1.40E+00	7.85E-01	1.45E+00	8.68E-01
WIDE01010120T	3.59E-01	9.06E-01	8.87E-01	1.03E+00	6.98E-01
WIDE01010127T	4.67E+00	4.41E+00	7.40E+00	3.97E+00	4.05E+00
CPCT02300036T	1.32E+00	2.92E+00	1.55E+00	2.29E+00	1.38E+00
WIDE01010146T	4.67E-01	1.01E+00	1.18E+00	1.37E+00	7.09E-01
CPCT02070309T	5.44E-01	1.33E+00	1.17E+00	1.70E+00	7.49E-01
WIDE01010157T	2.41E+00	3.26E+00	4.18E+00	2.37E+00	1.98E+00
WIDE01010170T	1.05E+00	1.55E+00	9.79E-01	1.17E+00	7.27E-01
CPCT02020696T	4.10E-01	1.01E+00	1.00E+00	1.47E+00	5.84E-01
CPCT02030471T	4.79E-01	1.43E+00	7.22E-01	1.69E+00	1.39E+00
CPCT02130032T	4.15E-01	8.36E-01	9.69E-01	1.41E+00	1.12E+00
CPCT02070310T	3.17E+00	1.88E+01	4.63E-01	4.52E+00	2.16E+01
WIDE01010164T	1.18E+00	2.59E+00	1.89E+00	2.42E+00	2.54E+00
WIDE01010190T	4.87E-01	1.32E+00	1.25E+00	1.36E+00	5.06E-01
WIDE01010182T	1.93E+00	3.22E+00	2.51E+00	2.96E+00	1.79E+00
DRUP01050040TII	2.76E+00	4.88E+00	2.45E+00	3.08E+00	4.00E+00
WIDE01010225T	1.29E+00	2.04E+00	1.40E+00	1.93E+00	8.43E-01
CPCT02050348T	9.03E-01	1.45E+00	1.70E+00	1.67E+00	7.63E-01
WIDE01010275T	9.03E-01	1.68E+00	1.35E+00	2.02E+00	1.31E+00
CPCT02010810T	6.85E-01	1.26E+00	8.65E-01	1.25E+00	6.16E-01
CPCT02060206T	3.74E+00	3.32E+00	6.40E+00	4.33E+00	3.81E+00
WIDE01010284T	5.24E-01	1.18E+00	1.01E+00	1.05E+00	7.20E-01
WIDE01010330T	5.67E-01	1.23E+00	1.05E+00	1.36E+00	8.02E-01
WIDE01010312T	4.07E+00	3.18E+00	6.00E+00	3.87E+00	3.62E+00
WIDE01010317T	1.91E+00	3.69E+00	1.87E+00	3.92E+00	1.59E+00
WIDE01010337T	1.20E+00	3.09E+00	2.36E+00	2.54E+00	1.44E+00
CPCT02220043T	2.85E+00	7.49E+00	3.48E+00	4.45E+00	9.27E+00
CPCT02130094T	1.30E+00	2.92E+00	1.70E+00	2.84E+00	1.61E+00
WIDE01010329T	2.93E+00	4.09E+00	4.81E+00	4.10E+00	2.71E+00
WIDE01010331T	5.02E-01	1.24E+00	7.71E-01	1.28E+00	6.76E-01
CPCT02010828T	1.49E+00	2.76E+00	3.23E+00	2.49E+00	1.27E+00
WIDE01010101T	2.29E+00	3.25E+00	3.72E+00	2.35E+00	2.19E+00
WIDE01010349T	3.45E-01	1.06E+00	1.22E+00	1.37E+00	4.98E-01
WIDE01010342T	5.76E-01	1.63E+00	1.10E+00	1.39E+00	7.67E-01
WIDE01010359T	3.80E-01	8.88E-01	8.50E-01	1.10E+00	8.13E-01
WIDE01010370T	4.64E-01	5.36E-01	1.29E+00	1.45E+00	8.01E-01
WIDE01010369T	6.92E-01	1.98E+00	1.01E+00	1.59E+00	9.13E-01
CPCT02340084T	1.33E+00	2.35E+00	2.15E+00	2.16E+00	1.11E+00
DRUP01030015T	1.11E+00	2.79E+00	2.37E+00	2.03E+00	1.33E+00
CPCT02060236T	4.44E-01	1.23E+00	9.72E-01	1.35E+00	9.91E-01
