hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7
T[Del(C):R4]T	0.000697054619909057	0.000669084653783843	0.000627586599496436	0.000881481546027088	0.00225698929623271	0.000374331652067127	5.00096208984967e-05
T[Del(C):R5]A	0.0016447071785235	0.0014010996171368	0.00164771489060796	0.000539145001961574	0.00127880936019276	0.00116350770219413	0.00084254304161372
T[Del(C):R5]G	4.64070256861833e-06	9.43097282370871e-06	0.000429840236605436	0.000109772045727268	0.000120036630479659	8.44493737289915e-05	2.23852588783747e-05
T[Del(C):R5]T	9.56617552212914e-05	1.35463064195089e-05	0.00196386360294812	0.000495777031341221	0.000773618430995742	0.000245983906263835	0.000304344264325137
T[Del(C):R6]A	9.49234616308294e-06	2.22913903105842e-06	0.00317639571191452	0.000109271260847126	0.000170277145741308	0.000568517392066384	6.0011545078196e-05
T[Del(C):R6]G	1.37111666800087e-06	0	0.000358293451054147	0.000547057403067828	2.24379133490814e-05	1.63734233096301e-05	6.19166734933768e-06
T[Del(C):R6]T	2.25706897655528e-05	1.54325009842506e-05	0.00210661424041662	5.58875926239195e-05	0.000122974107765064	0.000523031410021641	8.28730860603659e-05
T[Del(C):R7]A	0.000144811014243476	8.57361165791701e-07	0.00214664722991025	2.69422265516744e-05	3.41740315175315e-05	6.03100510458687e-05	0.000464375051200326
T[Del(C):R7]G	0.000130361553973006	8.57361165791701e-07	0.000786581461736927	1.43224475720797e-05	2.39687113710532e-05	3.85617072338951e-05	0.000443894920737132
T[Del(C):R7]T	3.17466243898663e-05	5.14416699475021e-06	0.0015295110816838	0.000154942841916135	6.51209753130685e-05	0.000276014600885469	0.000105734627042536
T[Del(C):R8]A	0.000425257108106116	6.85888932633361e-06	0.00167508640934876	0.000198711440440603	6.8858329042387e-05	0.000116851919390806	9.19224460324748e-05
T[Del(C):R8]G	6.32823077538862e-07	0	0.000503200960589598	6.00941856171177e-07	1.93073624392833e-07	3.07958078604023e-06	0
T[Del(C):R8]T	0.000279918741298023	8.57361165791701e-07	0.000612975821770965	0.000468434176885433	6.40314884325661e-05	9.30951533270672e-05	0.000787294317573476
T[Del(C):R(9,)]A	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0
A[Del(T):R1]A	0.00177886567096174	0.0529039851518764	0.00133703506727437	0.00308503517563077	0.0110183531787966	0.00429653164796229	0.00170366108527545
A[Del(T):R1]C	0.000464175727374756	0.0293354696487288	0.000297061748233071	0.0031655613843577	0.00412867259304318	0.00156348977559095	0.00185083225534817
A[Del(T):R1]G	0.000882577252140867	0.00614127803056595	0.000502190208826007	0.00109892234098503	0.00804824645086892	0.00171913293618728	0.000768243033421668
A[Del(T):R2]A	0.000682183277586894	0.0911916771493358	0.000937327867620975	0.00187253482382939	0.00616024843279726	0.00403241455793966	0.00067060520214365
A[Del(T):R2]C	7.50950052012783e-05	0.0341505814280482	0.00019940688364547	0.000765299453833994	0.00349868714762253	0.00175304658049566	0.000267670542332906
A[Del(T):R2]G	0.000206194852764746	0.0287936173919485	0.000389076256997064	0.00287911243291611	0.00418573964002443	0.000827546479051209	0.000746334056647088
