hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19	hdp.20	hdp.21	hdp.22	hdp.23	hdp.24	hdp.25	hdp.26	hdp.27	hdp.28	hdp.29	hdp.30	hdp.31	hdp.32	hdp.33	hdp.34	hdp.35	hdp.36	hdp.37	hdp.38	hdp.39
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	2.27709774166732e-05	0.000903893821844673	0.00210092974770639	0.00105512733621315	0.00200889839736015	0.00201985576324267	0.00124543796300195	0.000354037578106227	0.00570918513184827	0.000651665194127998	0.00156156481817394	0.000128769445530984	3.11027497937093e-05	0.000418687645887412	0.000115175563284732	0.00504440812304249	3.74961682354067e-05	4.84901723244546e-05	0.00124965924659518	0.00236210793800653	0.0103039299003561	0.00128503456629578	0.00665097686738076	0.0183376850241658	0.00297734226305318	7.78980250970718e-05	0.000508963887301834	0.000892252363059119	0.0275175381053425	0.000359017012796335	0.00661847213745417	0.00700760101200764	0.000447509621150898	0.000741939508204592	0.00155484760692961	0.000446177571244721	0.00170722783869926	0.00408827812340526	0.00370278080773669
G[Del(C):R1]G	7.1554757897599e-05	0.000126138952728715	0.000286465409867332	6.04992754354301e-05	0.00145837616871243	0.000481911829049203	0.000449669942314868	0.000117355447805145	0.000426818404563024	0.000732107289798226	0.000323428595848433	0.00029783106235585	2.69743808040885e-05	0.000165632680390472	9.82041391243944e-06	0.000534556191331393	8.52798192849517e-05	0.000123639443719064	0.000658790698097323	0.000551518441744829	0.00128132449475195	0.000184342334900726	0.00107656455709984	0.00418097868172664	0.000780025042089674	0.0017545216034604	0.000294456614678618	0.00158402643948083	0.000786810156655611	0.00104285221484619	0.00100416612980719	0.00464936276433957	0.000685132946588235	7.40175254857397e-05	0.000238963025044907	7.70433636581169e-05	0.00110946362877858	0.00129229731969911	0.0004435459599314
G[Del(C):R1]T	5.40935399247818e-05	0.00138715397956366	0.00659698585933937	0.00257540893204855	0.00318669684102137	0.00464616595113827	0.00458783979191792	0.000164320592768261	0.0167012382201209	0.00194418745182678	0.000583352422291093	0.000321899068948941	0.000151465369905528	0.000215693619701249	0.000809479402196714	0.00748345597318251	0.000118519159063485	8.0893286298057e-05	0.000643340663874963	0.00160446394601218	0.0333648063994861	0.00065567347050442	0.00642583821378057	0.0105158362350487	0.00230838872254073	0.000232413418130724	0.00152015029946074	0.0011184437543956	0.0809338049305303	0.00256149776955685	0.00506712564760591	0.006415304702777	0.00233792930222931	0.00297887958849706	0.00250350266830419	0.000101626782877059	0.00191458990158321	0.00529213367461269	0.00216445209566294
G[Del(C):R2]A	3.20774491641262e-05	0.00142992451396701	0.00167513437254995	0.000886015214729157	0.00356115640060711	0.00190968280148344	0.00128749143498435	0.000436437102001376	0.00918152626735434	0.00107324608828298	0.00113106957057772	0.000417946685003421	5.79971406711959e-05	0.000125829337555232	3.00020261003935e-05	0.00482020279204458	0.00016463686395334	7.65423381319902e-05	0.00168052674514392	0.00116348871875605	0.00669612149784152	0.00129921903984588	0.00585841081419491	0.0341148045145045	0.00385682281806118	0.000165244318936392	0.000538754314429943	0.002167874146179	0.0320848568341194	0.000558188371181552	0.0148279283837641	0.034376799990323	0.000885082499351691	0.000369098699211478	0.00107429549935107	7.8919668240248e-05	0.00223637155592731	0.00436430252030662	0.0025614058156533
G[Del(C):R2]G	4.97110719197207e-06	0.000185283805231896	0.0002545954992365	6.03266932389073e-05	0.000961345482317164	0.000757241628525636	0.000253513204882126	6.55291998181373e-05	0.000349770768846164	0.000629934088651094	0.000628246893860876	8.92907616394321e-05	1.7082293214319e-05	7.02195039813195e-05	3.24988390107618e-05	0.000815294863686021	3.89083317263968e-05	3.47885022225426e-05	0.000410559647710238	0.000568722501781333	0.00102975803194471	0.000139841046403774	0.00102593514756028	0.00688667433805033	0.00073939660782302	5.61663986017e-05	6.8209737063623e-05	0.00188556409458684	0.00306189954893202	0.000238102686941527	0.00176428890253258	0.00618851214414516	0.000421471336085872	2.67970480623852e-05	0.00026212977595331	7.52819348667286e-05	0.000707369425128149	0.00103339191952049	0.000185785269212209
G[Del(C):R2]T	7.94967689356435e-05	0.000810133309466319	0.00122545191163426	0.000649797103237991	0.00211831843280614	0.00227388329754288	0.00233364377578245	0.00014732587038552	0.00648629732696788	0.000461508450841553	0.000573955370667735	0.000258839769623453	0.000134823021287519	0.000652291258727737	9.91533882723455e-05	0.00655688412690323	0.000171602181309964	0.000164210127057037	0.0010591598178288	0.00380428341934286	0.00976276397887064	0.00102343855865277	0.00717160676742073	0.0210217973002756	0.00210635545736921	0.000171930505251738	0.000397469155854411	0.000590752857960085	0.0265445117151867	0.000891806429832063	0.00637928208297703	0.0176085570124255	0.000930720279242935	0.000437198202454043	0.00179229244248885	9.48108192929908e-05	0.001448564532759	0.00341212167081994	0.00359918799717192
G[Del(C):R3]A	0.000120587909582185	0.000565276148079035	0.00194837389455686	0.000222790211268507	0.00199083118552258	0.000255879367705156	0.000365240830024459	0.00011323116551519	0.00395331407966926	0.000673689790753444	0.000315800671303311	0.000607832878045706	0.000119540501421743	0.000447078883745745	6.12294465554147e-05	0.00284823100895814	3.88552761162156e-05	3.06474682223825e-05	0.000796488588450993	0.000694739865297343	0.00375393651154272	0.000371361151865276	0.0034113070852916	0.023579305364703	0.001227928756444	0.00017137078810796	0.000475552752220449	0.000761779339215174	0.0131424028479243	0.000408484639827968	0.00886528740150004	0.0215490945350435	0.00226994298373613	0.000368559959779404	0.00116966241834028	8.56590479638209e-05	0.00284751598036847	0.00223696707142625	0.000561976282426021
G[Del(C):R3]G	1.31147702527292e-05	0.000180982724280835	0.000374847930331428	7.92202548698905e-05	0.000566808050456645	0.000419896425449493	0.000278370942484509	0.000111192947121314	0.000990112786689856	0.000151109660045502	0.000165447845329585	0.00020360678013418	2.76098563320926e-05	6.5613559070089e-05	1.24840645518416e-06	0.000701571093005744	4.27707801475895e-05	2.87200745172389e-05	0.000246877694212341	0.000728862835204001	0.000728369666054301	0.000128036320901644	0.000843026173562468	0.00557371531726322	0.000708331506128618	0.000101549116362682	3.10697846861935e-05	0.00104901074170671	0.00160630504142875	0.000194856773590574	0.00176846061352204	0.00580296133509942	0.000374956784757855	2.36720889726996e-05	0.000391298978680287	5.18472735552139e-05	0.000983477029438567	0.000751523055247007	0.000203403894948414
